ID,Text_lang,RelationshipFlags,EmotesTextID
95,You wave goodbye to %s. Farewell!,2,19
96,%s waves goodbye to everyone. Farewell!,4,19
97,You wave goodbye to everyone. Farewell!,6,19
98,%s cackles maniacally at %s.,0,20
99,%s cackles maniacally at you.,1,20
100,You cackle maniacally at %s.,2,20
101,%s cackles maniacally at the situation.,4,20
102,You cackle maniacally at the situation.,6,20
103,%s cheers at %s!,0,21
104,%s cheers at you.,1,21
105,You cheer at %s.,2,21
106,%s cheers!,4,21
107,You cheer!,6,21
108,"With arms flapping, %s struts around %s. Cluck, Cluck, Chicken!",0,22
109,"With arms flapping, %s struts around you. Cluck, Cluck, Chicken!",1,22
110,"With arms flapping, you strut around %s. Cluck, Cluck, Chicken!",2,22
111,"With arms flapping, %s struts around. Cluck, Cluck, Chicken!",4,22
112,"With arms flapping, you strut around. Cluck, Cluck, Chicken!",6,22
113,%s chuckles at %s.,0,23
114,%s chuckles at you.,1,23
115,You chuckle at %s.,2,23
116,%s lets out a hearty chuckle.,4,23
117,You let out a hearty chuckle.,6,23
118,%s claps excitedly for %s.,0,24
119,%s claps excitedly for you.,1,24
120,You clap excitedly for %s.,2,24
121,%s claps excitedly.,4,24
122,You clap excitedly.,6,24
123,%s looks at %s with a confused look.,0,25
124,%s looks at you with a confused look.,1,25
125,You look at %s with a confused look.,2,25
126,%s is hopelessly confused.,4,25
127,You are hopelessly confused.,6,25
128,%s congratulates %s.,0,26
129,%s congratulates you.,1,26
130,You congratulate %s.,2,26
131,%s congratulates everyone.,4,26
132,You congratulate everyone around you.,6,26
133,%s lets out a hacking cough.,0,27
134,%s lets out a hacking cough.,1,27
135,You let out a hacking cough.,2,27
136,%s lets out a hacking cough.,4,27
137,You let out a hacking cough.,6,27
138,%s cowers in fear at the sight of %s.,0,28
139,%s cowers in fear at the sight of you.,1,28
140,You cower in fear at the sight of %s.,2,28
141,%s cowers in fear.,4,28
142,You cower in fear.,6,28
143,%s cracks his knuckles while staring at %s.,0,29
144,%s cracks his knuckles while staring at you.,1,29
145,You crack your knuckles while staring at %s.,2,29
146,%s cracks his knuckles.,4,29
147,You crack your knuckles.,6,29
148,%s cracks her knuckles while staring at %s.,8,29
149,%s cracks her knuckles while staring at you.,9,29
150,%s cracks her knuckles.,12,29
151,%s cringes away from %s.,0,30
152,%s cringes away from you.,1,30
153,You cringe away from %s.,2,30
154,%s cringes in fear.,4,30
155,You cringe in fear.,6,30
156,%s cries on %s's shoulder.,0,31
157,%s cries on your shoulder.,1,31
158,You cry on %s's shoulder.,2,31
159,%s cries.,4,31
160,You cry.,6,31
161,%s is curious what %s is up to.,0,32
162,%s is curious what you are up to.,1,32
163,You are curious what %s is up to.,2,32
164,%s expresses his curiosity to everyone.,4,32
165,You express your curiosity to those around you.,6,32
166,%s expresses her curiosity to everyone.,12,32
167,%s curtsies before %s.,0,33
168,%s curtsies before you.,1,33
169,You curtsey before %s.,2,33
170,%s curtsies.,4,33
171,You curtsey.,6,33
172,%s dances with %s.,0,34
173,%s dances with you.,1,34
174,You dance with %s.,2,34
175,%s bursts into dance.,4,34
176,You burst into dance.,6,34
177,%s raises a drink to %s. Cheers!,0,35
178,%s raises a drink to you. Cheers!,1,35
179,You raise a drink to %s. Cheers!,2,35
180,%s raises a drink in the air before chugging it down. Cheers!,4,35
181,You raise a drink in the air before chugging it down. Cheers!,6,35
182,A tendril of drool runs down %s's lip.,0,36
183,A tendril of drool runs down %s's lip.,1,36
184,A tendril of drool runs down your lip.,2,36
185,A tendril of drool runs down %s's lip.,4,36
186,A tendril of drool runs down your lip.,6,36
187,%s begins to eat in front of %s.,0,37
188,%s begins to eat rations in front of you.,1,37
189,You begin to eat in front of %s.,2,37
190,%s begins to eat.,4,37
191,You begin to eat.,6,37
192,%s eyes %s up and down.,0,38
193,%s eyes you up and down.,1,38
194,You eye %s up and down.,2,38
195,%s looks at you with crossed eyes.,4,38
196,You cross your eyes.,6,38
197,%s farts loudly.  Whew...what stinks?,0,39
198,%s farts loudly.  Whew...what stinks?,1,39
199,You fart loudly.  Whew...what stinks?,2,39
200,%s farts loudly.  Whew...what stinks?,4,39
201,You fart loudly.  Whew...what stinks?,6,39
202,%s fidgets impatiently while waiting for %s.,0,40
203,%s fidgets impatiently while waiting for you.,1,40
204,You fidget impatiently while waiting for %s.,2,40
205,%s fidgets.,4,40
206,You fidget.,6,40
207,%s flexes at %s. Oooooh so strong!,0,41
208,%s flexes at you. Oooooh so strong!,1,41
209,You flex at %s. Oooooh so strong!,2,41
210,%s flexes his muscles. Oooooh so strong!,4,41
211,You flex your muscles. Oooooh so strong!,6,41
212,%s flexes her muscles. Oooooh so strong!,12,41
213,%s frowns with disappointment at %s.,0,42
214,%s frowns with disappointment at you.,1,42
215,You frown with disappointment at %s.,2,42
216,%s frowns.,4,42
217,You frown.,6,42
218,%s gasps at %s.,0,43
219,%s gasps at you.,1,43
220,You gasp at %s.,2,43
221,%s gasps.,4,43
222,You gasp.,6,43
223,%s gazes longingly at %s.,0,44
224,%s gazes longingly at you.,1,44
225,You gaze longingly at %s.,2,44
226,%s gazes off into the distance.,4,44
227,You gaze off into the distance.,6,44
228,%s giggles at %s.,0,45
229,%s giggles at you.,1,45
230,You giggle at %s.,2,45
231,%s giggles.,4,45
232,You giggle.,6,45
233,%s glares angrily at %s.,0,46
234,%s glares angrily at you.,1,46
235,You glare angrily at %s.,2,46
236,%s glares angrily.,4,46
237,You glare angrily.,6,46
238,%s gloats over %s's misfortune.,0,47
239,%s gloats over your misfortune.,1,47
240,You gloat over %s's misfortune.,2,47
241,%s gloats over everyone's misfortune.,4,47
242,You gloat over everyone's misfortune.,6,47
243,%s greets %s warmly.,0,48
244,%s greets you warmly.,1,48
245,You greet %s warmly.,2,48
246,%s greets everyone warmly.,4,48
247,You greet everyone warmly.,6,48
248,%s grins wickedly at %s.,0,49
249,%s grins at you wickedly.,1,49
250,You grin wickedly at %s.,2,49
251,%s grins wickedly.,4,49
252,You grin wickedly.,6,49
253,%s looks at %s and groans in pain.,0,50
254,%s looks at you and groans in pain.,1,50
255,You look at %s and groan in pain.,2,50
256,%s begins to groan in pain.,4,50
257,You begin to groan in pain.,6,50
258,%s grovels before %s like a subservient peon.,0,51
259,%s grovels before you like a subservient peon.,1,51
260,You grovel before %s like a subservient peon.,2,51
261,"%s grovels on the ground, wallowing in subservience.",4,51
262,"You grovel on the ground, wallowing in subservience.",6,51
263,%s takes one look at %s and lets out a guffaw!,0,52
264,%s takes one look at you and lets out a guffaw!,1,52
265,You take one look at %s and let out a guffaw!,2,52
266,%s lets out a boisterous guffaw!,4,52
267,You let out a boisterous guffaw!,6,52
268,%s hails %s.,0,53
269,%s hails you.,1,53
270,You hail %s.,2,53
271,%s hails everyone around him.,4,53
272,You hail those around you.,6,53
273,%s hails everyone around her.,12,53
274,%s is very happy with %s!,0,54
275,%s is very happy with you!,1,54
276,You are very happy with %s!,2,54
277,%s is filled with happiness!,4,54
278,You are filled with happiness!,6,54
279,%s greets %s with a hearty hello!,0,55
280,%s greets you with a hearty hello!,1,55
281,You greet %s with a hearty hello!,2,55
282,%s greets everyone with a hearty hello!,4,55
283,You greet everyone with a hearty hello!,6,55
284,%s hugs %s.,0,56
285,%s hugs you.,1,56
286,You hug %s.,2,56
287,%s needs a hug!,4,56
288,You need a hug!,6,56
289,%s is hungry. Maybe %s has some food...,0,57
290,%s is hungry. Maybe you have some food...,1,57
291,You are hungry. Maybe %s has some food...,2,57
292,%s is hungry!,4,57
293,You are hungry!,6,57
294,%s blows %s a kiss.,0,58
295,%s blows you a kiss.,1,58
296,You blow a kiss to %s.,2,58
297,%s blows a kiss into the wind.,4,58
298,You blow a kiss into the wind.,6,58
299,%s kneels before %s.,0,59
300,%s kneels before you.,1,59
301,You kneel before %s.,2,59
302,%s kneels down.,4,59
303,You kneel down.,6,59
304,%s laughs at %s.,0,60
305,%s laughs at you.,1,60
306,You laugh at %s.,2,60
307,%s laughs.,4,60
308,You laugh.,6,60
309,%s lies down before %s.,0,61
310,%s lies down before you.,1,61
311,You lie down before %s.,2,61
312,%s lies down.,4,61
313,You lie down.,6,61
314,%s massages %s's shoulders.,0,62
315,%s massages your shoulders.,1,62
316,You massage %s's shoulders.,2,62
317,%s needs a massage!,4,62
318,You need a massage!,6,62
319,,0,63
320,,1,63
321,,2,63
322,,4,63
323,,6,63
324,%s drops his trousers and moons everyone.,0,64
325,%s drops his trousers and moons everyone.,1,64
326,You drop your trousers and moon everyone.,2,64
327,%s drops his trousers and moons everyone.,4,64
328,You drop your trousers and moon everyone.,6,64
329,%s drops her trousers and moons everyone.,8,64
330,%s drops her trousers and moons everyone.,9,64
331,%s drops her trousers and moons everyone.,12,64
332,"In quiet contemplation, %s mourns the death of %s.",0,65
333,"In quiet contemplation, %s mourns your death.",1,65
334,"In quiet contemplation, you mourn the death of %s.",2,65
335,"In quiet contemplation, %s mourns the loss of the dead.",4,65
336,"In quiet contemplation, you mourn the loss of the dead.",6,65
337,%s tells %s NO. Not going to happen.,0,66
338,%s tells you NO. Not going to happen.,1,66
339,You tell %s NO. Not going to happen.,2,66
340,"%s clearly states, NO.",4,66
341,"You clearly state, NO.",6,66
342,%s nods at %s.,0,67
343,%s nods at you.,1,67
344,You nod at %s.,2,67
345,%s nods.,4,67
346,You nod.,6,67
347,%s picks his nose and shows it to %s.,0,68
348,%s picks his nose and shows it to you.,1,68
349,You pick your nose and show it to %s.,2,68
350,%s passes the time with a finger deep in one nostril.,4,68
351,"With a finger deep in one nostril, you pass the time.",6,68
352,%s picks her nose and shows it to %s.,8,68
353,%s picks her nose and shows it to you.,9,68
354,%s takes one look at %s and panics.,0,69
355,%s takes one look at you and panics.,1,69
356,You take one look at %s and panic.,2,69
357,%s runs around in a frenzied state of panic.,4,69
358,You run around in a frenzied state of panic.,6,69
359,%s peers at %s searchingly.,0,70
360,%s peers at you searchingly.,1,70
361,You peer at %s searchingly.,2,70
362,"%s peers around, searchingly.",4,70
363,"You peer around, searchingly.",6,70
364,%s pleads with %s.,0,71
365,%s pleads with you.,1,71
366,You plead with %s.,2,71
367,%s drops to his knees and pleads in desperation.,4,71
368,You drop to your knees and plead in desperation.,6,71
369,%s drops to her knees and plead in desperation.,12,71
370,%s points at %s.,0,72
371,%s points at you.,1,72
372,You point at %s.,2,72
373,%s points over yonder.,4,72
374,You point over yonder.,6,72
375,%s pokes %s. Hey!,0,73
376,%s pokes you. Hey!,1,73
377,You poke %s. Hey!,2,73
378,%s pokes his belly and giggles.,4,73
379,You poke your belly and giggle.,6,73
380,%s pokes her belly and giggles.,12,73
381,%s says a prayer for %s.,0,74
382,%s says a prayer for you.,1,74
383,You say a prayer for %s.,2,74
384,%s prays to the Gods.,4,74
385,You pray to the Gods.,6,74
386,%s roars with bestial vigor at %s. So fierce!,0,75
387,%s roars with bestial vigor at you. So fierce!,1,75
388,You roar with bestial vigor at %s. So fierce!,2,75
389,%s roars with bestial vigor. So fierce!,4,75
390,You roar with bestial vigor. So fierce!,6,75
391,%s rolls on the floor laughing at %s.,0,76
392,%s rolls on the floor laughing at you.,1,76
393,You roll on the floor laughing at %s.,2,76
394,%s rolls on the floor laughing.,4,76
395,You roll on the floor laughing.,6,76
396,%s makes a rude gesture at %s.,0,77
397,%s makes a rude gesture at you.,1,77
398,You make a rude gesture at %s.,2,77
399,%s makes a rude gesture.,4,77
400,You make a rude gesture.,6,77
401,%s salutes %s with respect.,0,78
402,%s salutes you with respect.,1,78
403,You salute %s with respect.,2,78
404,%s stands at attention and salutes.,4,78
405,You stand at attention and salute.,6,78
406,%s scratches %s. How catty!,0,79
407,%s scratches you. How catty!,1,79
408,You scratch %s. How catty!,2,79
409,"%s scratches himself. Ah, much better!",4,79
410,"You scratch yourself. Ah, much better!",6,79
411,"%s scratches herself. Ah, much better!",12,79
412,%s thinks %s is a sexy devil.,0,80
413,%s thinks you are a sexy devil.,1,80
414,You think %s is a sexy devil.,2,80
415,%s is too sexy for his tunic...so sexy it hurts.,4,80
416,You're too sexy for your tunic...so sexy it hurts.,6,80
417,%s is too sexy for her tunic...so sexy it hurts.,12,80
418,,0,81
419,,1,81
420,,2,81
421,,4,81
422,,6,81
423,,8,81
424,,9,81
425,,12,81
426,%s shouts at %s.,0,82
427,%s shouts at you.,1,82
428,You shout at %s.,2,82
429,%s shouts.,4,82
430,You shout.,6,82
431,%s shrugs at %s. Who knows?,0,83
432,%s shrugs at you. Who knows?,1,83
433,You shrug at %s. Who knows?,2,83
434,%s shrugs. Who knows?,4,83
435,You shrug. Who knows?,6,83
436,%s smiles shyly at %s.,0,84
437,%s smiles shyly at you.,1,84
438,You smile shyly at %s.,2,84
439,%s smiles shyly.,4,84
440,You smile shyly.,6,84
441,%s sighs at %s.,0,85
442,%s sighs at you.,1,85
443,You sigh at %s.,2,85
444,"%s lets out a long, drawn-out sigh.",4,85
445,"You let out a long, drawn-out sigh.",6,85
446,,4,86
447,,6,86
448,%s falls asleep. Zzzzzzz.,4,87
449,You fall asleep.  Zzzzzzz.,6,87
450,%s bares his teeth and snarls at %s.,0,88
451,%s bares his teeth and snarls at you.,1,88
452,You bare your teeth and snarl at %s.,2,88
453,%s bares his teeth and snarls.,4,88
454,You bare your teeth and snarl.,6,88
455,%s bares her teeth and snarls at %s.,8,88
456,%s bares her teeth and snarls at you.,9,88
457,%s bares her teeth and snarls.,12,88
458,,0,89
459,,1,89
460,,2,89
461,%s spits on the ground.,4,89
462,You spit on the ground.,6,89
463,%s stares %s down.,0,90
464,%s stares you down.,1,90
465,You stare %s down.,2,90
466,%s stares off into the distance.,4,90
467,You stare off into the distance.,6,90
468,%s is surprised by %s's actions.,0,91
469,%s is surprised by your actions.,1,91
470,You are surprised by %s's actions.,2,91
471,%s is so surprised!,4,91
472,You are so surprised!,6,91
473,%s surrenders before %s. Such is the agony of defeat...,0,92
474,%s surrenders before you. Such is the agony of defeat...,1,92
475,You surrender before %s. Such is the agony of defeat...,2,92
476,%s surrenders to his opponents.,4,92
477,You surrender to your opponents.,6,92
478,%s surrenders to her opponents.,12,92
479,%s wants to talk things over with %s.,0,93
480,%s wants to talk things over with you.,1,93
481,You want to talk things over with %s.,2,93
482,%s talks to himself since no one else seems interested.,4,93
483,You talk to yourself since no one else seems interested.,6,93
484,%s talks to herself since no one else seems interested.,12,93
485,%s talks excitedly with %s.,0,94
486,%s talks excitedly with you.,1,94
487,You talk excitedly with %s.,2,94
488,%s talks excitedly with everyone.,4,94
489,You talk excitedly with everyone.,6,94
490,%s questions %s.,0,95
491,%s questions you.,1,95
492,You question %s.,2,95
493,%s wants to know the meaning of life.,4,95
494,You want to know the meaning of life.,6,95
495,%s taps his foot as he waits for %s.,0,96
496,%s taps his foot as he waits for you.,1,96
497,You tap your foot as you wait for %s.,2,96
498,%s taps his foot.  Hurry up already!,4,96
499,You tap your foot.  Hurry up already!,6,96
500,%s taps her foot as she waits for %s.,8,96
501,%s taps her foot as she waits for you.,9,96
502,%s taps her foot.  Hurry up already!,12,96
503,%s thanks %s.,0,97
504,%s thanks you.,1,97
505,You thank %s.,2,97
506,%s thanks everyone.,4,97
507,You thank everyone around you.,6,97
508,%s threatens %s with the wrath of doom.,0,98
509,%s threatens you with the wrath of doom.,1,98
510,You threaten %s with the wrath of doom.,2,98
511,%s threatens everyone with the wrath of doom.,4,98
512,You threaten everyone with the wrath of doom.,6,98
513,%s lets %s know that he is tired.,0,99
514,%s lets you know that he is tired.,1,99
515,You let %s know that you are tired.,2,99
516,%s lets everyone know that he is tired.,4,99
517,You let everyone know that you are tired.,6,99
518,%s lets %s know that she is tired.,8,99
519,%s lets you know that she is tired.,9,99
520,%s lets everyone know that she is tired.,12,99
521,%s basks in the glory of victory with %s.,0,100
522,%s basks in the glory of victory with you.,1,100
523,You bask in the glory of victory with %s.,2,100
524,%s basks in the glory of victory.,4,100
525,You bask in the glory of victory.,6,100
526,%s waves at %s.,0,101
527,%s waves at you.,1,101
528,You wave at %s.,2,101
529,%s waves.,4,101
530,You wave.,6,101
531,%s welcomes %s.,0,102
532,%s welcomes you.,1,102
533,You welcome %s.,2,102
534,%s welcomes everyone.,4,102
535,You welcome everyone.,6,102
536,%s whines pathetically at %s.,0,103
537,%s whines pathetically at you.,1,103
538,You whine pathetically at %s.,2,103
539,%s whines pathetically.,4,103
540,You whine pathetically.,6,103
541,%s lets forth a sharp whistle.,0,104
542,%s lets forth a sharp whistle.,1,104
543,You let forth a sharp whistle.,2,104
544,%s lets forth a sharp whistle.,4,104
545,You let forth a sharp whistle.,6,104
546,%s works with %s.,0,105
547,%s works with you.,1,105
548,You work with %s.,2,105
549,%s begins to work.,4,105
550,You begin to work.,6,105
551,%s yawns sleepily at %s.,0,106
552,%s yawns sleepily at you.,1,106
553,You yawn sleepily at %s.,2,106
554,%s yawns sleepily.,4,106
555,You yawn sleepily.,6,106
556,%s boggles at %s.,0,107
557,%s boggles at you.,1,107
558,You boggle at %s.,2,107
559,%s boggles at the situation.,4,107
560,You boggle at the situation.,6,107
561,%s tries to calm %s down.,0,108
562,%s tries to calm you down.,1,108
563,You try to calm %s down.,2,108
564,%s remains calm.,4,108
565,You remain calm.,6,108
566,%s lets %s know that he is cold.,0,109
567,%s lets you know that he is cold.,1,109
568,You let %s know that you are cold.,2,109
569,%s lets everyone know that he is cold.,4,109
570,You let everyone know that you are cold.,6,109
571,%s lets %s know that she is cold.,8,109
572,%s lets you know that she is cold.,9,109
573,%s lets everyone know that she is cold.,12,109
574,%s comforts %s.,0,110
575,%s comforts you.,1,110
576,You comfort %s.,2,110
577,%s needs comforting.,4,110
578,You need to be comforted.,6,110
579,%s cuddles up against %s.,0,111
580,%s cuddles up against you.,1,111
581,You cuddle up against %s.,2,111
582,%s needs cuddling.,4,111
583,You need to be cuddled.,6,111
584,%s ducks behind %s.,0,112
585,%s ducks behind you.,1,112
586,You duck behind %s.,2,112
587,%s ducks for cover.,4,112
588,You duck for cover.,6,112
589,%s thinks %s is the son of a motherless ogre.,0,113
590,%s thinks you are the son of a motherless ogre.,1,113
591,You think %s is the son of a motherless ogre.,2,113
592,%s thinks everyone around him is a son of a motherless ogre.,4,113
593,You think everyone around you is a son of a motherless ogre.,6,113
594,%s thinks everyone around her is a son of a motherless ogre.,12,113
595,%s introduces himself to %s.,0,114
596,%s introduces himself to you.,1,114
597,You introduce yourself to %s.,2,114
598,%s introduces himself to everyone.,4,114
599,You introduce yourself to everyone.,6,114
600,%s introduces herself to %s.,8,114
601,%s introduces herself to you.,9,114
602,%s introduces herself to everyone.,12,114
603,%s lets %s know that he was just kidding!,0,115
604,%s lets you know that he was just kidding!,1,115
605,You let %s know that you were just kidding!,2,115
606,%s was just kidding!,4,115
607,You were just kidding!,6,115
608,%s lets %s know that she was just kidding!,8,115
609,%s lets you know that she was just kidding!,9,115
610,%s licks %s.,0,116
611,%s licks you.,1,116
612,You lick %s.,2,116
613,%s licks his lips.,4,116
614,You lick your lips.,6,116
615,%s licks her lips.,12,116
616,%s listens intently to %s.,0,117
617,%s listens intently to you.,1,117
618,You listen intently to %s.,2,117
619,%s is listening!,4,117
620,You are listening!,6,117
621,%s wants %s to know that he is hopelessly lost.,0,118
622,%s wants you to know that he is hopelessly lost.,1,118
623,You want %s to know that you are hopelessly lost.,2,118
624,%s is hopelessly lost.,4,118
625,You are hopelessly lost.,6,118
626,%s wants %s to know that she is hopelessly lost.,8,118
627,%s wants you to know that she is hopelessly lost.,9,118
628,%s mocks the foolishness of %s.,0,119
629,%s mocks your foolishness.,1,119
630,You mock the foolishness of %s.,2,119
631,%s mocks life and all it stands for.,4,119
632,You mock life and all it stands for.,6,119
633,%s ponders %s's actions.,0,120
634,%s ponders your actions.,1,120
635,You ponder %s's actions.,2,120
636,%s ponders the situation.,4,120
637,You ponder the situation.,6,120
638,%s pounces towards %s.,0,121
639,%s pounces towards you.,1,121
640,You pounce towards %s.,2,121
641,%s pounces out from the shadows.,4,121
642,You pounce out from the shadows.,6,121
643,%s lavishes praise upon %s.,0,122
644,%s lavishes praise upon you.,1,122
645,You lavish praise upon %s.,2,122
646,%s praises the Light.,4,122
647,You praise the Light.,6,122
648,%s purrs at %s.,0,123
649,%s purrs at you.,1,123
650,You purr at %s.,2,123
651,%s purrs like a kitten.,4,123
652,You purr like a kitten.,6,123
653,%s is puzzled by %s.,0,124
654,%s puzzled by you. What are you doing?,1,124
655,You are puzzled by %s.,2,124
656,%s is puzzled. What's going on here?,4,124
657,You are puzzled. What's going on here?,6,124
658,%s looks at %s and raises his hand in the air.,0,125
659,%s looks at you and raises his hand.,1,125
660,You look at %s and raise your hand.,2,125
661,%s raises his hand in the air.,4,125
662,You raise your hand in the air.,6,125
663,%s looks at %s and raises her hand in the air.,8,125
664,%s looks at you and raises her hand.,9,125
665,%s raises her hand in the air.,12,125
666,%s lets %s know that he is ready!,0,126
667,%s lets you know that he is ready!,1,126
668,You let %s know that you are ready!,2,126
669,%s lets everyone know that he is ready!,4,126
670,You let everyone know that you are ready!,6,126
671,%s lets you know that she is ready!,9,126
672,%s lets everyone know that she is ready!,12,126
673,%s shimmies before %s.,0,127
674,%s shimmies before you.,1,127
675,You shimmy before %s.,2,127
676,%s shimmies before the masses.,4,127
677,You shimmy before the masses.,6,127
678,%s shivers beside %s. Chilling!,0,128
679,%s shivers beside you. Chilling!,1,128
680,You shiver beside %s. Chilling!,2,128
681,%s shivers in his boots. Chilling!,4,128
682,You shiver in your boots. Chilling!,6,128
683,%s shivers in her boots. Chilling!,12,128
684,%s shoos %s away. Be gone pest!,0,129
685,%s shoos you away. Be gone pest!,1,129
686,You shoo %s away. Be gone pest!,2,129
687,%s shoos the measly pests away.,4,129
688,You shoo the measly pests away.,6,129
689,%s slaps %s across the face. Ouch!,0,130
690,%s slaps you across the face. Ouch!,1,130
691,You slap %s across the face. Ouch!,2,130
692,%s slaps himself across the face. Ouch!,4,130
693,You slap yourself across the face. Ouch!,6,130
694,%s slaps herself across the face. Ouch!,12,130
695,%s smirks slyly at %s.,0,131
696,%s smirks slyly at you.,1,131
697,You smirk slyly at %s.,2,131
698,A sly smirk spreads across %s's face.,4,131
699,A sly smirk spreads across your face.,6,131
700,%s sniffs %s.,0,132
701,%s sniffs you.,1,132
702,You sniff %s.,2,132
703,%s sniffs the air around him.,4,132
704,You sniff the air around you.,6,132
705,%s sniffs the air around her.,12,132
706,%s snubs %s.,0,133
707,%s snubs you.,1,133
708,You snub %s.,2,133
709,%s snubs all of the lowly peons around him.,4,133
710,You snub all of the lowly peons around you.,6,133
711,%s snubs all of the lowly peons around her.,12,133
712,"%s soothes %s. There, there...things will be ok.",0,134
713,"%s soothes you. There, there...things will be ok.",1,134
714,"You soothe %s. There, there...things will be ok.",2,134
715,%s needs to be soothed.,4,134
716,You need to be soothed.,6,134
717,,0,135
718,,1,135
719,,2,135
720,,4,135
721,,6,135
722,,12,135
723,%s makes a taunting gesture at %s. Bring it!,0,136
724,%s makes a taunting gesture at you. Bring it!,1,136
725,You make a taunting gesture at %s. Bring it!,2,136
726,%s taunts everyone around him. Bring it fools!,4,136
727,You taunt everyone around you. Bring it fools!,6,136
728,%s taunts everyone around her. Bring it fools!,12,136
729,%s teases %s.,0,137
730,%s teases you.,1,137
731,You tease %s.,2,137
732,%s is such a tease.,4,137
733,You are such a tease.,6,137
734,%s lets %s know he is thirsty. Spare a drink?,0,138
735,%s lets you know he is thirsty. Spare a drink?,1,138
736,You let %s know you are thirsty. Spare a drink?,2,138
737,%s is so thirsty. Can anyone spare a drink?,4,138
738,You are so thirsty. Can anyone spare a drink?,6,138
739,%s lets %s know she is thirsty. Spare a drink?,8,138
740,%s lets you know she is thirsty. Spare a drink?,9,138
741,%s vetoes %s's motion.,0,139
742,%s vetoes your motion.,1,139
743,You veto %s's motion.,2,139
744,%s vetoes the motion on the floor.,4,139
745,You veto the motion on the floor.,6,139
746,%s snickers at %s.,0,140
747,%s snickers at you.,1,140
748,You snicker at %s.,2,140
749,%s quietly snickers to himself.,4,140
750,You quietly snicker to yourself.,6,140
751,%s quietly snickers to herself.,12,140
752,%s tickles %s. Hee hee!,0,142
753,%s tickles you. Hee hee!,1,142
754,You tickle %s. Hee hee!,2,142
755,%s wants to be tickled. Hee hee!,4,142
756,You want to be tickled. Hee hee!,6,142
757,%s plays the world's smallest violin for %s.,0,143
