Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:Illusory Rescue|r|nRescue Arathor who have been kidnapped by the Kobyss.,27,122400,53
|cnWHITE_FONT_COLOR:NYI|r|n,28,122401,53
|cnWHITE_FONT_COLOR:Raen's Gambit|r|nRaen Dawncavalyr is looking for help in recovering relics stolen by the kobyss.,29,122402,53
|cnWHITE_FONT_COLOR:Lurking Terror|r|nThe kobyss are attempting to control something from the depths of the world.,30,122403,53
|cnWHITE_FONT_COLOR:Goblin Mischief|r|nInvestigate the Goblin presence within Tak-Rethan Abyss.,31,122404,54
|cnWHITE_FONT_COLOR:Niffen Napping|r|nSeveral niffen have been kidnapped by the kobyss!,32,122406,54
|cnWHITE_FONT_COLOR:Pheromone Fury|r|nKobyss have stolen crates of pheromones in order to ambush allies of the Weaver.,33,122407,54
|cnWHITE_FONT_COLOR:NYI|r|n,34,122408,54
|cnWHITE_FONT_COLOR:Kidnapped Earthen|r|nNerubians have kidnapped miners from Freywold Village!,35,122341,56
|cnWHITE_FONT_COLOR:Precious Ores|r|nHelp reinvigorate weakened earthen to strike back against the nerubians.,36,122372,56
|cnWHITE_FONT_COLOR:Fiery Grounds|r|nAid a stranded lamplighter to thwart the nerubian menace.,37,122373,56
|cnWHITE_FONT_COLOR:Looking for Treasure|r|nA dark iron dwarf will stop at nothing to find treasure.,38,122374,56
|cnWHITE_FONT_COLOR:Lost Gems|r|nNerubians have stolen a cache of memory gems!,39,122409,63
|cnWHITE_FONT_COLOR:Smashing Skardyn|r|nThe nerubians are using skardyn to kidnap machine speakers!,40,122410,63
|cnWHITE_FONT_COLOR:Kobold Kidnapping|r|nA pair of friendly kobolds need aid rescuing their friends from Nerubians.,41,122411,63
|cnWHITE_FONT_COLOR:NYI|r|n,42,122412,63
|cnWHITE_FONT_COLOR:Old Rituals|r|nThe lamplighters need help thwarting a nerubian ritual happening deep in a forbidden temple.,43,122413,64
"|cnWHITE_FONT_COLOR:Renilash Beckons|r|nThe Order of the Night have invaded the Skittering Breach, believing it plays a key in ushering in Renilash.",44,122414,64
|cnWHITE_FONT_COLOR:NYI|r|n,45,122415,64
"|cnWHITE_FONT_COLOR:Shadow Realm|r|nThe Skittering Breach is oddly quiet, save for a singular portal hovering inside.",46,122416,64
|cnWHITE_FONT_COLOR:Tortured Hostages|r|nCaptives from all over Azeroth have been brought to the Spiral Weave to be tortured.,47,122417,57
|cnWHITE_FONT_COLOR:From the Weaver with Love|r|nThe Weaver has a plan to disrupt operations within the Spiral Weave.,48,122418,57
|cnWHITE_FONT_COLOR:Strange Disturbances|r|nThe nerubians within the Spiral Weave appear to be acting out of character.,49,122419,57
|cnWHITE_FONT_COLOR:NYI|r|n,50,122420,57
"|cnWHITE_FONT_COLOR:Zekvir's Power|r|nZekvir, Hand of the Harbinger, makes his vile home here. Only the strongest may challenge his might.",52,34450,61
|cnWHITE_FONT_COLOR:Lost Excavators|r|nGoblins excavating in the area have failed to report in.,53,129109,65
|cnWHITE_FONT_COLOR:Black Blood Profits|r|nA goblin is looking to make some profits off of the black blood in the area.,54,129110,65
|cnWHITE_FONT_COLOR:Rowdy Rifts|r|nStrange tears have opened up throughout Excavation Site 9.,55,129111,65
|cnWHITE_FONT_COLOR:All That Glitters|r|nThe Darkfuse have stolen gold from citizens and are using it to animate an elemental!,60,130367,66
|cnWHITE_FONT_COLOR:Mr. DELVER|r|nSeveral goblin mechanics have gone missing within the Sidestreet Sluice.,61,130368,66
|cnWHITE_FONT_COLOR:Teleporter Tantrums|r|nExperimental teleporters are being used to enhance Darkfuse operations in the area.,62,130369,66
"|cnWHITE_FONT_COLOR:Labyrinth Prototype|r|nExplore a sprawling cavern filled with nerubians, fungarians, and Light knows what else.",63,34450,67
|cnWHITE_FONT_COLOR:A Show for the Ages|r|nThe Underpin has been known to stomp out rivals in sold-out matches within the Demolition Dome.,64,34450,68
|cnWHITE_FONT_COLOR:Corrupted Candles|r|nDarkfuse Goblins are ransacking Kriegval's Rest. Help the Kobolds restore order.,65,133756,51
"|cnWHITE_FONT_COLOR:Oversparked Operation|r|nA gnomish drilling operation is up here, but the Darkfuse Goblins have shown up to wreak havoc.",67,133769,50
|cnWHITE_FONT_COLOR:Bugs and Grubs|r|nHelp the extermination crew handle a major infestation.,68,133773,56
|cnWHITE_FONT_COLOR:Put a Wrench on It!|r|nThe goblins have fixed all the old problems... and created a whole mess of new ones!,69,133774,52
|cnWHITE_FONT_COLOR:Darkfuse Disruption|r|nThe Darkfuse Goblin are setting up a camp. Put a stop to their plans!,70,133778,63
"|cnWHITE_FONT_COLOR:Relics of the Old Gods |r|nGallywix's thugs have tampered with old god relics, handle this before things get worse!",71,133782,64
|cnWHITE_FONT_COLOR:Aiming to Get Even|r|nHelp Nimsi settle a score with the Order of the Night.,73,133783,59
|cnWHITE_FONT_COLOR:Orphan's Holiday|r|nHelp Alyza Bowblaze continue her blood thirsty vengeance against the Kobyss.,75,133786,53
|cnWHITE_FONT_COLOR:Third Party Operation|r|nHelp Madam Goya keep the valuable Black Blood out of Gallywix's hands.,76,133788,60
|cnWHITE_FONT_COLOR:Pump the Brakes|r|nHelp Pamsy and crew sabotage Gallywix's pumping operation.,77,133792,54
|cnWHITE_FONT_COLOR:Down to Size|r|nBring down goblin mechs with some nerubian firepower.,78,133850,57
|cnWHITE_FONT_COLOR:Relic Retrieval|r|nHelp recover artifacts the ethereals are looting from the Azure Archive.,79,136927,69
|cnWHITE_FONT_COLOR:Shadowed Wings|r|nRescue blue drakes that the invading ethereals are infusing with void.,80,136928,69
|cnWHITE_FONT_COLOR:Smash and Jab|r|nBeat back the ethereal menace by using their infrastructure against them.,81,136929,69
|cnWHITE_FONT_COLOR:Culinary Catastrophe|r|nA goblin chef has ideas for exploiting the area's untapped resources.,82,137352,65
|cnWHITE_FONT_COLOR:Crocolisk Reintroduction|r|nRelease Undermine sewer crocolisks into their natural habitat to help protect the species.,83,137516,66
|cnWHITE_FONT_COLOR:A Knightly Quest|r|nKobold knights have cornered a vicious beast and need help tracking it to its lair.,84,137714,65
"|cnWHITE_FONT_COLOR:Explosive Demolition|r|n""Safely"" dispose of unstable explosives being stockpiled in the sewers.",85,138372,66
|cnWHITE_FONT_COLOR:Knives in the Dark|r|nKy'veza welcomes only the most deserving and foolhardy of targets into her home.,86,34450,70
|cnWHITE_FONT_COLOR:Invasive Glow|r|nCut down the Lightbloom overgrowth before it overruns the campus!,87,144950,71
|cnWHITE_FONT_COLOR:Academy Under Siege|r|nEnd the Void invasion before it spreads beyond the campus!,88,144951,71
|cnWHITE_FONT_COLOR:Faculty of Fear|r|nUnmask the false professors and end the Twilight's Blade's influence over the student body.,89,144952,71
|cnWHITE_FONT_COLOR:Holding the Line|r|nHelp restore the Sunwell's defenses in the face of a renewed Void assault.,92,144941,72
|cnWHITE_FONT_COLOR:March of the Arcane Brigade|r|nDeploy Sentinels against the Void Pylons of the Devouring Host.,93,144942,72
|cnWHITE_FONT_COLOR:Bombing Run|r|nDestroy Devouring Host staging grounds in the Void from within using powerful arcane explosives.,94,144943,72
|cnWHITE_FONT_COLOR:Teleporter Tantrums|r|nExperimental teleporters are being used to enhance Darkfuse operations in the area.,95,5793,72
|cnWHITE_FONT_COLOR:Crocolisk Reintroduction|r|nRelease Undermine sewer crocolisks into their natural habitat to help protect the species.,96,5793,72
|cnWHITE_FONT_COLOR:Dastardly Rotstalk|r|nAntagonize fans and fighters while disguised as your villainous alter ego.,102,143768,74
|cnWHITE_FONT_COLOR:Arena Champion|r|nFight your way through several rounds to challenge the reigning champion.,103,143769,74
|cnWHITE_FONT_COLOR:Lightbloom Invasion|r|nHelp the fungarians fend off a lightbloom attack.,104,143770,74
"|cnWHITE_FONT_COLOR:Enter Tazavesh, the Veiled Market!|r|n|nBattle through the veiled market and stop So'leah's quest for power.",107,92044,75
|cnWHITE_FONT_COLOR:Totem Annihilation|r|nDestroy the cursed totems being used by the Vilebranch to imprison Akil'zon at her shrine.,108,144947,76
|cnWHITE_FONT_COLOR:Ritual Interrupted|r|nDisrupt the Vilebranch trolls' sacrificial ritual and save the Spiritclaw cubs.,109,144948,76
|cnWHITE_FONT_COLOR:Toadly Unbecoming|r|nDefeat the Vilebranch and break the hex imprisoning the Amani trolls in frog form.,110,144949,76
|cnWHITE_FONT_COLOR:Teleporter Tantrums|r|nExperimental teleporters are being used to enhance Darkfuse operations in the area.,111,5793,76
|cnWHITE_FONT_COLOR:Crocolisk Reintroduction|r|nRelease Undermine sewer crocolisks into their natural habitat to help protect the species.,112,5793,76
|cnWHITE_FONT_COLOR:Party Crasher|r|nStop the Twilight's Blade from making contact with the Void.,113,144935,77
|cnWHITE_FONT_COLOR:Trapped!|r|nRescue the forgotten hostages inside the crypts.,114,144936,77
|cnWHITE_FONT_COLOR:Loosed Loa|r|nFree a rampaging Loa from the shackles of the Vilebranch trolls.,115,144937,77
|cnWHITE_FONT_COLOR:Teleporter Tantrums|r|nExperimental teleporters are being used to enhance Darkfuse operations in the area.,116,5793,77
|cnWHITE_FONT_COLOR:Crocolisk Reintroduction|r|nRelease Undermine sewer crocolisks into their natural habitat to help protect the species.,117,5793,77
|cnWHITE_FONT_COLOR:Waygate Wiles|r|nReconstruct the vault's waygate network. And deconstruct the ethereal forces inside!,118,138779,69
|cnWHITE_FONT_COLOR:Core of the Problem|r|nGather the Energized Cores necessary to break the Domanaar's control of the Sanctum.,124,144944,79
|cnWHITE_FONT_COLOR:The Gravitational Effect|r|nUse the gravitational pull of the micro singularities to gain the advantage over the Domanaar.,125,144945,79
|cnWHITE_FONT_COLOR:Not What I Expected|r|nResolve the chaos caused by Deremius Duskwalk's Lightbloom experiments.,126,144946,79
|cnWHITE_FONT_COLOR:Teleporter Tantrums|r|nExperimental teleporters are being used to enhance Darkfuse operations in the area.,127,5793,79
|cnWHITE_FONT_COLOR:Crocolisk Reintroduction|r|nRelease Undermine sewer crocolisks into their natural habitat to help protect the species.,128,5793,79
|cnWHITE_FONT_COLOR:Domination and Despair|r|nNullaeus waits within for those brave or foolish enough to challenge his dominance.,134,34450,81
|cnWHITE_FONT_COLOR:Stolen Mana|r|nThe Shadowguard siphon mana from friend and foe alike to power their machinery.,135,144524,73
|cnWHITE_FONT_COLOR:Captured Wildlife|r|nTurn Voidstorm wildlife against the Shadowguard to disrupt their operations.,136,144526,73
|cnWHITE_FONT_COLOR:Results: Calamitous|r|nDisrupt the Shadowguard's volatile Void experiments.,137,144528,73
|cnWHITE_FONT_COLOR:Traitor's Due|r|nDisrupt the Twilight's Blade's shadowy rituals and bring Antenorian to justice.,139,144779,78
|cnWHITE_FONT_COLOR:Descent of the Haranir|r|nRetrace the Haranir's journey as they followed Azeroth's song to Harandar.,140,144783,80
|cnWHITE_FONT_COLOR:Focusers Under Pressure|r|nThe Twilight's Blade have infiltrated the tunnels under Suramar and are disrupting the ley lines within.,141,144938,83
|cnWHITE_FONT_COLOR:Leyline Technician|r|nUntangle the invisible flows of arcane power that course beneath Suramar.,142,144939,83
"|cnWHITE_FONT_COLOR:Ogre Powered|r|nThe Twilight's Blade have unleashed a power they could not control, leaving arcane energies to run amok through the tunnels underneath Suramar.",143,144940,83
|cnWHITE_FONT_COLOR:Alnmoth Munchies|r|nFeed fresh Lightbloom Overgrowth to hungry Alnmoths to combat their unchecked growth.,149,144931,80
|cnWHITE_FONT_COLOR:Sporasaur Special|r|nMassive Sporasaurs are spreading explosive Lightbloom spores throughout the Gulf and need to be stopped.,150,144932,80
"|cnWHITE_FONT_COLOR:Shadowy Supplies|r|n""Liberate"" the supplies the Twilight's Blade have gathered before they can rearm and recover their strength.",151,144933,78
|cnWHITE_FONT_COLOR:Mirror Shine|r|nGabby Flashwiks has a plan to banish the shadows infesting the area with reflected sunlight.,152,144934,78
|cnWHITE_FONT_COLOR:A Corrupted Path|r|nFaithbreaker Ger'lok only sees one path forward. Corrupt everything with the void and let chaos take the reins.,156,34450,85
|cnWHITE_FONT_COLOR:A Strike From the Sea|r|nSelen'vjar sees this turbulent time as the chance for her people to rise. And using the power from her former allies she might succeed.,157,34450,86
"|cnWHITE_FONT_COLOR:Val|r|nRenegade void forces have established a dark bastion of power on a remote, frozen world.|r|n
Venture into the storm-ridden wastes of Val and put an end to their pernicious schemes.",173,34450,93
"|cnWHITE_FONT_COLOR:Naigtal|r|nThe Hal'hadar ethereals have established a Mana-Forge base on a mysterious mushroom-filled world.
|r|nVenture into the mana-rich bogs of Naigtal and put an end to their insidious operation.",174,34450,94
