ID,Name_lang
471,Palamino Stallion
472,Pinto Horse
474,Fumble
475,Remove Lesser Curse
476,Frost Shield
481,Water Elemental
482,Reset
490,Frost Shield
491,Khadgar's Unlocking
493,Khadgar's Unlocking
498,Divine Protection
499,Cat Form
506,Ice Armor
507,Fumble II
509,Feeblemind II
512,Chains of Ice
513,Earth Elemental
514,Wyatt Test
518,Summon Worm
519,Ghost Wolf
520,Chains of Ice
522,SPELLDEFENSE (DND)
526,Cure Poison
527,Dispel Magic
528,Cure Disease
529,Lightning Bolt
530,Charm (Possess)
531,Lightning Bolt
533,Unyielding Will
534,Molten Blast
537,Undying Strength
538,Healing Wave
540,Nullify Disease
541,Fire Resistance
543,Fire Ward
546,Water Walking
547,Healing Wave
548,Lightning Bolt
550,Nullify Poison
552,Abolish Disease
553,Bloodlust II
555,Feral Spirit
556,Astral Recall
560,Spirit Armor
561,Molten Blast
567,Undying Strength
568,Arcane Burst
574,Redemption
575,Unyielding Will
578,Black Wolf
579,Red Wolf
580,Large Timber Wolf
581,Winter Wolf
585,Smite
586,Fade
587,Conjure Food
588,Inner Fire
589,Shadow Word: Pain
591,Smite
592,Power Word: Shield
594,Shadow Word: Pain
595,Prayer of Protection
596,Prayer of Healing
597,Conjure Food
598,Smite
600,Power Word: Shield
601,Sword Mastery
602,Inner Fire
603,Bane of Doom
604,Dampen Magic
605,Mind Control
606,Mind Rot
612,Holy Smite
613,Lesser Heal
614,Shadow Word: Fumble
615,Dispel Magic
616,Shadow Word: Pain
618,Prayer of Healing
624,Inner Fire
625,Curse of Archimonde
626,Seal of Might
627,Mind Control
633,Lay on Hands
635,Holy Light
639,Holy Light
642,Divine Shield
643,Devotion Aura
647,Holy Light
650,Blood Boil
653,Seal of Might
655,Blood Boil
657,Create Greater Healthstone
659,Divine Shield
661,Blood Boil
662,Seal of Might
663,Fear
664,Holy Light
668,Common
669,Orcish
670,Taurahe
671,Darnassian
672,Dwarven
673,Elixir of Minor Defense
674,Dual Wield
676,Disarm
678,Holy Strike
679,Holy Strike
680,Holy Strike
686,Shadow Bolt
687,Demon Skin
688,Summon Imp
689,Drain Life
690,Firebolt II
691,Summon Felhunter
692,Terror (TEST)
693,Create Soulstone
694,Mocking Blow
695,Shadow Bolt
696,Demon Skin
697,Summon Voidwalker
698,Ritual of Summoning
699,Drain Life
700,Sleep
701,Firebolt
702,Curse of Weakness
703,Garrote
704,Curse of Recklessness
705,Shadow Bolt
706,Demon Armor
707,Immolate
709,Drain Life
710,Banish
711,Hellfire
712,Summon Succubus
713,Summon Incubus
720,Entangle
721,Shadow Bolt
724,Lightwell
731,Entangle
736,Drain Life
739,Debuff Fire Resist (TEST)
740,Tranquility
742,Pulverize
744,Poison
745,Web
746,First Aid
747,Summon Images
748,Staff Strike II (Disabled)
749,Firestaff
750,Plate Mail
751,Staff Strike (Disabled)
752,Staff Strike IV (Disabled)
753,Firestaff II
755,Health Funnel
758,Firestone
759,Conjure Mana Agate
766,Water Elemental
768,Cat Form
769,Swipe
770,Faerie Fire
772,Rend
774,Rejuvenation
775,Tree Form
776,Abolish Magic
778,Faerie Fire
779,Swipe
780,Swipe
781,Disengage
782,Thorns
783,Travel Form
784,Faerie Fire
785,True Fulfillment
789,Divine Escape
794,Initialize Images
797,Cleave
799,Twin Teleport
800,Twin Teleport
802,Mutate Bug
804,Explode Bug
806,Fervor
812,Periodic Mana Burn
813,Language Thalassian (NYI)
814,Draconic (NYI)
815,Demon Tongue
816,Language Titan (NYI)
817,Language Old Tongue (NYI)
818,Basic Campfire
819,Toughness
820,Regeneration
821,Meditation
822,Magic Resistance
823,Natural Resistance
824,Horse Riding
825,Wolf Riding
826,Ram Riding
827,Nightmare Riding
828,Tiger Riding
829,Thickskull
830,Fearless
831,Swimming (NYI)
833,Green Tea
834,Lesser Armor
835,Tidal Charm
836,LOGINEFFECT
837,Frostbolt
839,Haste II
842,Ethereal Form
845,Cleave
849,Elemental Armor
850,Savage Pummel
851,Polymorph: Sheep
853,Hammer of Justice
855,Feeblemind III
857,Khadgar's Unlocking
863,Blur III
864,Seal of Righteousness
865,Frost Nova
867,Fumble III
871,Shield Wall
874,Fire Ward
877,Elemental Fury
879,Exorcism
883,Call Pet
885,Invisibility
890,Renew
895,Fire Elemental
897,Summon Angry Programmer
898,Create Fervor Potion
900,Molten Blast
902,Spirit Armor
905,Lightning Shield
910,Unyielding Will
913,Healing Wave
915,Lightning Bolt
921,Pick Pocket
924,Molten Blast
926,Thunderclap
930,Chain Lightning
931,Exorcism
932,Replenish Spirit II
935,Spirit Armor
936,Holy Ward
939,Healing Wave
943,Lightning Bolt
945,Lightning Shield
950,Mind Bomb
952,Molten Blast
959,Healing Wave
967,Group Astral Recall
968,Feral Spirit II
970,Shadow Word: Pain
973,Holy Protection
974,Earth Shield
976,Shadow Protection
977,Shadow Protection
980,Bane of Agony
982,Revive Pet
984,Smite
988,Dispel Magic
990,Conjure Food
992,Shadow Word: Pain
994,Prayer of Protection II
996,Prayer of Healing
999,Shadow Word: Fumble
1002,Eyes of the Beast
1003,Shadow Word: Befuddle
1004,Smite
1006,Inner Fire
1008,Amplify Magic
1009,Savage Pummel
1010,Curse of Idiocy
1012,Sword Mastery
1013,Heroic Strength
1014,Bane of Agony
1020,Divine Shield
1022,Blessing of Protection
1023,Seal of Protection
1026,Holy Light
1027,Holy Light
1029,Bane of Agony
1032,Devotion Aura
1037,Seal of Fury
1038,Blessing of Salvation
1042,Holy Light
1044,Blessing of Freedom
1050,Sacrifice
1054,Lesser Firestone Effect
1056,Slow Poison II
1058,Rejuvenation
1062,Entangling Roots
1064,Chain Heal
1066,Aquatic Form
1070,Faerie Fire
1075,Thorns
1079,Rip
1082,Claw
1084,Firebolt III
1086,Demon Armor
1088,Shadow Bolt
1089,Shadow Bolt
1090,Sleep
1094,Immolate
1096,Firebolt IV
1098,Subjugate Demon
1101,Mana Funnel
1105,Seal of Wisdom
1106,Shadow Bolt
1107,Corruption
1108,Curse of Weakness
1109,Curse of Weakness
1112,Shadow Nova II
1114,Dodge Mastery
1116,Chaos Shield
1117,Mend Pet
1120,Drain Soul
1121,Entangle
1122,Inferno
1124,Hellfire II
1126,Mark of the Wild
1127,Food
1129,Food
1130,Hunter's Mark
1131,Food
1132,Critical Strike
1133,Drink
1135,Drink
1137,Drink
1138,Crystal Protection
1139,Cold Eye
1140,Blur
1141,Brilliance Aura
1152,Purify
1159,First Aid
1160,Demoralizing Shout
1161,Challenging Shout
1176,Remove Lesser Curse
1177,Twin Empathy
1178,Bear Form (Passive)
1179,Beast Claws
1180,Daggers
1181,Regeneration
1182,Regeneration
1183,Regeneration
1185,Resist Fire
1186,Conjure: Lockpick
1193,Shadow Word: Silence
1199,Blur II
1200,Frost Armor
1203,Feeblemind II
1213,Resist Fire
1217,Resist Frost
1223,Shadow Word: Silence
1224,Blur III
1233,Ice Storm II
1234,Tony's God Mode
1243,Power Word: Fortitude
1244,Power Word: Fortitude
1245,Power Word: Fortitude
1246,Holy Word: Might
1247,Holy Word: Might
1248,Holy Word: Might
1250,Conjure Food
1254,Inner Fire
1260,Shadow Word: Pain
1262,Holy Word: Protect
1263,Holy Word: Protect
1264,Holy Word: Protect
1279,Shadow Protection
1281,Shadow Word: Fumble
1282,Shadow Word: Fumble
1290,Basic Campfire
1299,Frost Resist
1302,Damage Immunity Test
1306,Unyielding Will
1307,Unyielding Will
1308,Unyielding Will
1312,Spirit Armor
1313,Spirit Armor
1314,Spirit Armor
1318,Undying Strength
1319,Undying Strength
1320,Undying Strength
1321,Spirit Burn
1322,Spirit Burn II
1323,Spirit Burn III
1329,Mutilate
1330,Bloodlust III
1332,Resist Nature II
1340,Chain Lightning
1348,Earthquake
1349,Earthquake II
1353,Group Astral Recall
1354,Healing Wave
1357,Lightning Bolt
1361,Spirit Burn IV
1362,Spirit Burn V
1364,Unyielding Will
1365,Undying Strength
1366,Summon Imp
1373,Teach Summon Felhunter
1377,Create Soulstone (Minor)
1385,Summon Voidwalker
1386,Echoes of Lordaeron
1398,Fear II
1399,Anti-Magic
1403,Summon Succubus
1406,Shadow Bolt
1408,Sunder Soul
1409,Sunder Soul II
1413, Inferno
1417,Slumber
1419,Slumber III
1423,Rend
1425,Shackle Undead
1426,Slow Poison
1430,Rejuvenation
1432,Swipe
1433,Swipe
1437,Abolish Magic
1446,Aquatic Form
1449,Arcane Explosion
1450,Arcane Spirit II
1451,Arcane Spirit III
1452,Arcane Spirit IV
1453,Arcane Spirit V
1454,Life Tap
1455,Life Tap
1456,Life Tap
1459,Arcane Intellect
1460,Arcane Intellect
1461,Arcane Intellect
1462,Beast Lore
1463,Mana Shield
1464,Slam
1468,Arcane Spirit II
1477,Life Tap
1479,Burning Spirit
1483,Burning Intellect III
1484,Burning Intellect IV
1494,Track Beasts
1495,Mongoose Bite
1499,Freezing Trap
1509,GM Only OFF
1510,Volley
1513,Scare Beast
1515,Tame Beast
1516,Quick Shot
1522,Pet Upgrade (NYI)
1523,Pet Upgrade II (NYI)
1524,Pet Upgrade III (NYI)
1525,Major Pet Upgrade (NYI)
1526,Major Pet Upgrade II (NYI)
1527,Major Pet Upgrade III (NYI)
1528,Free Master
1536,Longshot II
1538,Charging
1539,Feed Pet Effect
1540,Volley
1543,Flare
1544,Critical Shot
1545,Critical Shot
1557,Full Speed
1558,Wounding Shot II
1559,Wounding Shot III
1560,Wounding Shot IV
1561,Wounding Shot V
1568,Free Master
1574,Don't Reuse
1579,Tame Beast
1581,Quick Shot
1582,Quick Shot
1583,Auto Shot
1584,Feed Pet
1588,Pet Upgrade
1599,Fire Resist
1602,Hunter's Will
1603,Flare
1604,Dazed
1608,Heroic Strike
1612,Defensive Stance
1630,Windwalk
1631,Two-Hand Strike II
1632,Two-Hand Strike IV
1633,Two-Hand Strike V
1634,Two-Hand Strike III
1640,Enrage
1647,Slowing Strike II
1650,Slowing Strike III
1663,Savage Assault III
1664,Savage Assault IV
1665,Savage Assault V
1666,Savage Assault
1667,Savage Assault II
1668,Savage Assault III
1669,Savage Assault IV
1671,Shield Bash
1672,Shield Bash
1680,Whirlwind
1698,Shockwave
1706,Levitate
1708,Mighty Blow III
1709,Mighty Blow IV
1711,Mighty Blow II
1714,Curse of Tongues
1715,Hamstring
1719,Recklessness
1725,Distract
1731,Defensive Strike
1732,Defensive Strike II
1734,Defensive Strike II
1735,Demoralizing Roar
1739,Morale Boost (NYI)
1742,Cower
1747,Cower
1748,Cower
1749,Cower
1750,Cower
1751,Cower
1752,Sinister Strike
1753,Cower
1754,Cower
1755,Cower
1756,Cower
1757,Sinister Strike
1758,Sinister Strike
1759,Sinister Strike
1760,Sinister Strike
1766,Kick
1767,Kick
1768,Kick
1769,Kick
1775,Kick
1776,Gouge
1777,Gouge
1784,Stealth
1785,Stealth
1786,Stealth
1787,Stealth
1791,Stealth
1794,Disheartening Blow
1795,Disheartening Blow II
1796,Disheartening Blow III
1797,Disheartening Blow IV
1798,Disheartening Blow V
1804,Pick Lock
1809,Lockpicking
1810,Lockpicking
1817,Evasive Slash
1818,Evasive Slash II
1819,Evasive Slash III
1820,Evasive Slash IV
1821,Evasive Slash V
1822,Rake
1823,Rake
1824,Rake
1825,Lend Pet (NYI)
1826,Judgement of Wisdom Intermediate
1833,Cheap Shot
1834,Gathering Speed
1842,Disarm Trap
1846,Detect Traps
1847,One-Handed Swords
1848,Divining Chant
1849,Beast Claws II
1850,Dash
1852,Silenced
1853,Growl
1856,Vanish
1857,Vanish
1860,Safe Fall
1866,Holy Strike
1876,Devotion Aura
1881,Summon Hive'Zara Hatchling
1885,Seal of Fortitude (NSE)
1886,Seal of Fortitude II (NSE)
1887,Seal of Fortitude III (NSE)
1893,Seal of Shadow
1894,Seal of Shadow II
1895,Seal of Fire * (NSE)
1896,Seal of Fire II * (NSE)
1900,Holy Flurry
1901,Holy Flurry II
1902,Holy Flurry IV
1904,Holy Flurry III
1905,Share Powers
1906,Debilitating Charge
1907,Righteous Aura III
1908,Uber Heal Over Time
1918,Staff Strike III (Disabled)
1920,Firestaff III
1921,Firestaff IV
1922,Firestaff V
1932,Staff Strike V
1933,Twirling Novastrike II
1936,Teleport Anvilmar
1940,Rocket Blast
1942,Fire Imp
1943,Rupture
1946,Greater Imp
1948,Greater Fire Imp
1949,Hellfire
1952,Nether Imp
1953,Blink
1966,Feint
1978,Serpent Sting
1980,Bombard
1981,Fire II
1982,Fire III
1983,Fire IV
1984,Fire V
1985,Sniper Shot
1988,Scatter Shot
1989,Scatter Shot II
1990,Scatter Shot III
1991,Scatter Shot IV
1992,Scatter Shot V
1993,Dizzy Shot
1994,Dizzy Shot II
1995,Dizzy Shot III
1996,Hip Shot
1997,Hip Shot II
1998,Hip Shot III
2000,Head Shot
2001,Head Shot II
2002,Head Shot III
2004,Silencing Shot
2006,Resurrection
2008,Ancestral Spirit
2010,Resurrection
2018,Blacksmithing
2020,Apprentice Blacksmith
2021,Journeyman Blacksmith
2023,Restore Mana
2024,Healing Potion
2050,Lesser Heal
2052,Lesser Heal
2053,Lesser Heal
2054,Heal
2055,Heal
2060,Greater Heal
2061,Flash Heal
2070,Sap
2075,Searing Totem
2076,Earthbind Totem
2090,Rejuvenation
2091,Rejuvenation
2094,Blind
2095,Stance Rage (+3 Off/Def)
2096,Mind Vision
2098,Eviscerate
2108,Leatherworking
2110,FIRESTAFF (DND)
2117,Parry Mastery
2120,Flamestrike
2121,Flamestrike
2123,Holy Affinity
2125,Flamestrike
2132,Freeze
2133,Freeze II
2134,Freeze III
2135,Freeze IV
2136,Fire Blast
2137,Fire Blast
2138,Fire Blast
2139,Counterspell
2140,Stasis Effect
2147,Mending
2148,Periodic Shadow Storm
2149,Handstitched Leather Boots
2152,Light Armor Kit
2153,Handstitched Leather Pants
2154,Journeyman Leatherworking
2155,Apprentice Leatherworking
2156,Light Winter Cloak
2157,Light Winter Boots
2158,Fine Leather Boots
2159,Fine Leather Cloak
2160,Embossed Leather Vest
2161,Embossed Leather Boots
2162,Embossed Leather Cloak
2163,White Leather Jerkin
2164,Fine Leather Gloves
2165,Medium Armor Kit
2166,Toughened Leather Armor
2167,Dark Leather Boots
2168,Dark Leather Cloak
2169,Dark Leather Tunic
2259,Alchemy
2275,Apprentice Alchemist
2280,Journeyman Alchemist
2313,True Fulfillment
2329,Elixir of Minor Strength
2331,Minor Mana Potion
2332,Minor Rejuvenation Potion
2333,Elixir of Lesser Agility
2334,Elixir of Minor Fortitude
2335,Swiftness Potion
2336,Draught of Tongues
2338,Handstitched Leather Pants
2339,Minor Mana Potion
2341,Lesser Healing Potion
2351,Sanctuary
2353,Sanctuary II
2354,Sanctuary III
2358,Shadowskin
2361,Tracking (TEST)
2362,Create Spellstone
2363,Recipe: Elixir of Minor Fortitude
2365,Draught of Tongues
2366,Herbalism
2367,Lesser Strength
2368,Herbalism
2369,Herbalism
2370,Rejuvenation Potion
2371,Herbalism
2372,Apprentice Herbalism
2373,Journeyman Herbalism
2374,Lesser Agility
2376,Lesser Intellect
2378,Health
2379,Speed
2380,Resistance
2381,Resistance (OLD)
2382,Generic
2383,Find Herbs
2385,Brown Linen Vest
2386,Linen Boots
2387,Linen Cloak
2389,Red Linen Robe
2392,Red Linen Shirt
2393,White Linen Shirt
2394,Blue Linen Shirt
2395,Barbaric Linen Vest
2396,Green Linen Shirt
2397,Reinforced Linen Cape
2399,Green Woolen Vest
2400,Transfer Power
2401,Woolen Boots
2402,Woolen Cape
2403,Gray Woolen Robe
2406,Gray Woolen Shirt
2425,Spotted
2426,Base Stealth
2432,Numbing Strike
2433,Numbing Strike II
2434,Numbing Strike III
2435,Numbing Strike IV
2436,Numbing Strike V
2442,Smashing Blow
2443,Smashing Blow II
2444,Smashing Blow III
2445,Smashing Blow IV
2446,Smashing Blow V
2452,Reckless Assault
2453,Reckless Assault II
2454,Reckless Assault III
2455,Reckless Assault IV
2456,Reckless Assault V
2457,Battle Stance
2458,Berserker Stance
2469,Offensive Stance
2470,Offensive Stance
2473,Power Stance II
2479,Honorless Target
2480,Shoot Bow
2481,Find Treasure
2484,Earthbind Totem
2495,Holy Strike
2507,Stunning Smash
2508,Stunning Smash II
2509,Stunning Smash III
2510,Stunning Smash IV
2511,Stunning Smash V
2512,Divine Strike
2513,Divine Strike
2514,Divine Strike
2515,Divine Strike
2516,Divine Strike
2537,Crusader Strike
2538,Charred Wolf Meat
2539,Spiced Wolf Meat
2540,Roasted Boar Meat
2541,Coyote Steak
2542,Goretusk Liver Pie
2543,Westfall Stew
2544,Crab Cake
2545,Cooked Crab Claw
2546,Dry Pork Ribs
2547,Redridge Goulash
2548,Succulent Pork Ribs
2549,Seasoned Wolf Kabob
2550,Cooking
2551,Apprentice Cook
2552,Expert Cook
2564,Dodge!
2565,Shield Block
2567,Thrown
2569,Parry!
2570,Shield Block
2575,Mining
2576,Mining
2577,Mining
2578,Mining
2579,Mining
2580,Find Minerals
2581,Apprentice Mining
2582,Journeyman Mining
2584,Waiting to Resurrect
2585,Eye of Kilrogg Passive (DND)
2589,Backstab
2590,Backstab
2591,Backstab
2592,Backstab
2596,Touch of the Black Claw
2597,Rejuvenation Potion
2598,Rejuvenation (OLD)
2599,Rejuvenation Potion
2600,Rejuvenation Potion
2601,Fire Shield III
2602,Fire Shield IV
2605,Sharpen Blade
2606,Shock
2607,Shock
2608,Shock
2609,Shock
2610,Shock
2620,Lightning Storm
2621,Lightning Storm
2626,Lightning Bolt Proc V
2627,Dagger Strike (Disabled)
2628,Dagger Strike II (Disabled)
2629,Dagger Strike III (Disabled)
2630,Dagger Strike IV (Disabled)
2634,Dagger Strike IV
2635,Beast Slayer
2636,Dagger Strike V
2637,Hibernate
2639,Food
2641,Dismiss Pet
2643,Multi-Shot
2645,Ghost Wolf
2647,Freeze III PROC
2649,Growl
2650,Tame Pet (TEST)
2651,Elune's Grace
2652,Touch of Weakness
2653,Damage 100 (TEST)
2654,Summon Tamed (TEST)
2656,Smelting
2657,Smelt Copper
2658,Smelt Silver
2659,Smelt Bronze
2660,Rough Sharpening Stone
2661,Copper Chain Belt
2662,Copper Chain Pants
2663,Copper Bracers
2664,Runed Copper Bracers
2665,Coarse Sharpening Stone
2666,Runed Copper Belt
2667,Runed Copper Breastplate
2668,Rough Bronze Leggings
2670,Rough Bronze Cuirass
2671,Rough Bronze Bracers
2672,Patterned Bronze Bracers
2673,Silvered Bronze Breastplate
2674,Heavy Sharpening Stone
2675,Shining Silver Breastplate
2676,Pulverize
2678,Holy Smash
2683,Holy Smash
2684,Holy Smash
2685,Holy Smash
2686,Holy Smash
2687,Bloodrage
2689,Soul Steal
2690,Soul Steal Effect
2691,Mana Burn
2692,Heroic Strength
2694,Holy Staff III
2698,Smash
2703,Smash
2704,Smash
2705,Smash
2706,Smash
2708,Spirit Staff
2713,Spirit Staff II
2714,Spirit Staff III
2715,Spirit Staff IV
2716,Spirit Staff V
2718,Shadow Dagger
2723,Shadow Dagger II
2724,Shadow Dagger III
2725,Shadow Dagger IV
2726,Shadow Dagger V
2732,Shadow Staff
2733,Shadow Staff II
2734,Shadow Staff III
2735,Shadow Staff IV
2736,Shadow Staff V
2737,Copper Mace
2738,Copper Axe
2739,Copper Shortsword
2740,Bronze Mace
2741,Bronze Axe
2742,Bronze Shortsword
2743,Copper Chain Pants
2744,Copper Chain Belt
2750,Rough Bronze Cuirass
2763,INVIS Only ON
2764,Throw
2765,SHOWLABEL Only ON
2766,KJORDAN (TEST)
2767,Shadow Word: Pain
2769,Holy Word: Might
2772,Holy Word: Protect
2773,Holy Word: Protect
2782,Remove Curse
2786,Remove Curse
2791,Power Word: Fortitude
2795,Beer Basted Boar Ribs
2797,Mind Bomb Effect
2800,Lay on Hands
2810,Seal of Frost
2811,Seal of Frost II
2812,Holy Wrath
2816,Bark of Doom
2817,Teach Bark of Doom
2818,Deadly Poison
2819,Deadly Poison II
2823,Deadly Poison
2824,Deadly Poison II
2826,DONOTREUSE
2827,DONOTREUSE
2828,Sharpen Blade
2829,Sharpen Blade II
2830,Sharpen Blade III
2831,"Armor +8, Stamina +1"
2832,"Armor +16, Stamina +2"
2833,"Armor +24, Stamina +3"
2834,Periodic Thunderclap
2835,Deadly Poison
2836,Detect Traps
2837,Deadly Poison II
2838,Creeping Pain
2840,Creeping Anguish
2841,Creeping Torment
2842,Poisons
2850,Parry!
2857,Chant of Regeneration III
2859,Chant of Regeneration V
2860,Chain Lightning
2865,Spirit Armor
2868,Fire Resistance
2869,Resist Fire II
2870,Cure Disease
2871,Nullify Disease
2878,Turn Undead
2880,Stun
2881,Light Leather
2882,Bear Form (PT) (NYI)
2893,Abolish Poison
2899,Eyes of the Beast
2908,Soothe Animal
2912,Starfire
2916,(OLD) Magic Focus
2923,Rooting Attack
2927,Rooting Attack II
2928,Rooting Attack III
2929,Rooting Attack IV
2941,Immolate
2943,Touch of Weakness
2944,Devouring Plague
2946,Dark Sacrifice
2947,Fire Shield
2948,Scorch
2949,Fire Shield
2950,Anti-Holy
2951,Hellfire III
2963,Bolt of Linen Cloth
2964,Bolt of Woolen Cloth
2969,Aura Leech (PT)
2970,Detect Invisibility
2973,Raptor Strike
2974,Wing Clip
2975,Claw
2976,Claw
2977,Claw
2980,Claw
2981,Claw
2982,Claw
2983,Sprint
2995,Poisons
2996,Brown Linen Vest
3006,Head Shot IV
3007,Longshot III
3009,Claw
3010,Claw
3011,Fire Shot
3013,Volley II
3015,Bombard II
3017,Immune Effect (TEST)
3018,Shoot (TEST)
3019,Enrage
3023,Debuff Nature (TEST)
3025,Cat Form (Passive)
3026,Use Soulstone
3029,Claw
3033,Scout Form
3034,Viper Sting
3039,Trueshot
3040,Trueshot
3041,Trueshot
3042,Trueshot
3043,Scorpid Sting
3044,Arcane Shot
3045,Rapid Fire
3050,Detect
3052,Fire Shield Effect
3053,Fire Shield Effect II
3054,Fire Shield Effect III
3055,Fire Shield Effect IV
3068,Blizzard
3069,Sleep
3084,Holy Word: Shield
3086,Shadow Word: Befuddle
3087,Lightning Storm
3088,Lightning Storm
3093,Seal of Righteousness
3094,Seal of Righteousness
3100,Blacksmithing
3101,Alchemy
3102,Cooking
3104,Leatherworking
3105,Curse of Stalvan
3106,Aura of Rot
3107,Summon Eliza's Guard
3108,Touch of Death
3109,Presence of Death
3110,Firebolt
3111,Mend Pet
3112,Enhance Blunt Weapon
3113,Enhance Blunt Weapon II
3114,Enhance Blunt Weapon III
3115,Rough Weightstone
3116,Coarse Weightstone
3117,Heavy Weightstone
3120,Sol L
3121,Kev
3122,Tree Form (Passive)
3124,Parry
3127,Parry
3129,Frost Breath
3130,Ice Claw
3131,Frost Breath
3132,Chilling Breath
3133,Beast Claws III
3136,Frenzied Command
3137,Abolish Poison Effect
3140,Fireball
3143,Glacial Roar
3145,Icy Grasp
3146,Daunting Growl
3147,Rend Flesh
3148,Head Crack
3149,Furious Howl
3150,Rabies
3151,Crazed Hunger
3157,Lesser Agility
3158,Lesser Agility
3159,Agility
3160,Agility
3161,Lesser Strength
3162,Lesser Strength
3163,Strength
3164,Strength
3165,Lesser Intellect
3166,Lesser Intellect
3167,Intellect
3168,Intellect
3169,Invulnerability
3170,Minor Troll's Blood Elixir
3171,Elixir of Wisdom
3172,Minor Magic Resistance Potion
3173,Lesser Mana Potion
3174,Potion of Poison Cleansing
3175,Limited Invulnerability Potion
3176,Lesser Troll's Blood Elixir
3177,Elixir of Lesser Defense
3183,Recipe: Limited Invulnerability Potion
3188,Elixir of Ogre Strength
3196,Taunt
3204,Sapper Explode
3205,Sol M
3206,Sol H
3207,Sol U
3214,Lightning Storm
3218,Call Spirit
3219,Minor Troll's Blood Elixir
3220,Armor
3221,Regeneration
3222,Regeneration
3223,Regeneration
3229,Quick Bloodlust
3230,Elixir of Minor Agility
3231,QAEnchant Cloak +3 Agility
3232,Gouge Stun Test
3233,Evil Eye
3234,Disease Touch
3235,Rancid Blood
3237,Curse of Thule
3238,Nimble Reflexes
3240,Bloody Explosion
3242,Ravage
3243,Life Harvest
3245,Chicken
3246,Chicken Other
3247,Agonizing Pain
3248,Improved Blocking
3252,Shred
3256,Plague Cloud
3258,Savage Rage
3260,Violent Shield Effect
3261,Ignite
3263,Touch of Ravenclaw
3264,Blood Howl
3267,First Aid
3268,First Aid
3269,Blessing of Thule
3271,Fatigued
3273,First Aid
3274,First Aid
3275,Linen Bandage
3276,Heavy Linen Bandage
3277,Wool Bandage
3278,Heavy Wool Bandage
3279,Apprentice First Aid
3280,Journeyman First Aid
3281,Heavy Linen Bandage
3284,Violent Shield
3286,Bind
3287,Ghoul Form
3288,Moss Hide
3292,Heavy Copper Broadsword
3293,Copper Battle Axe
3294,Thick War Axe
