ID,EffectType,Effect,ParentSpellVisualKitID
335,5,1270,121
336,2,277497,121
337,5,30,123
338,2,277498,123
339,2,277499,123
340,6,74,124
341,5,126380,124
342,2,277500,124
343,2,277501,124
344,2,277502,125
345,2,277503,125
347,2,277504,126
348,2,277505,127
352,2,277508,130
357,6,76,132
358,5,3,132
359,2,277511,132
360,2,277512,132
361,6,77,133
362,2,277513,133
363,6,78,134
364,2,277514,134
365,2,277515,134
371,5,1012,136
372,2,277519,136
373,6,80,137
374,5,6554,137
375,2,277520,137
376,2,277521,137
377,2,277522,137
378,6,81,138
379,5,2560,138
380,3,3,138
381,2,277523,138
382,2,277524,138
383,2,277525,138
384,5,1012,139
385,2,277526,139
394,6,82,143
395,2,277535,143
396,2,277536,143
397,6,83,144
398,5,745,144
399,2,277537,144
400,2,277538,144
401,5,1507,145
402,2,277539,145
403,5,3460,146
404,2,277540,146
405,2,277541,147
406,5,3460,148
407,2,277542,148
408,2,277543,149
409,5,3460,150
410,2,277544,150
411,2,277545,151
412,5,3460,152
413,2,277546,152
414,2,277547,153
415,5,1430,154
416,2,277548,154
417,2,277549,155
418,6,84,156
419,2,277550,156
420,2,277551,156
422,5,3660,158
423,2,277553,158
424,6,85,159
425,5,1161,159
426,6,86,160
427,5,3076,160
428,2,277554,160
429,6,87,161
430,5,1147,161
431,6,88,162
432,5,118985,162
433,6,89,163
434,5,1105,163
435,2,277555,163
436,2,277556,163
439,6,91,165
440,5,2562,165
441,2,277557,165
442,2,277558,165
443,2,277559,165
446,6,93,167
447,5,1148,167
448,6,94,168
449,5,703,168
450,2,277561,168
451,2,277562,168
463,6,97,171
464,6,98,172
465,5,101465,172
467,6,99,173
468,5,6424,173
469,2,277570,173
470,2,277571,173
471,6,100,174
472,2,277572,174
473,5,12345,175
474,2,277573,175
475,2,277574,175
476,2,277575,175
477,6,101,176
478,5,1164,176
479,6,102,177
480,5,1166,177
485,6,104,179
489,6,106,181
490,5,26,181
493,6,107,182
494,5,3223,182
495,2,277581,182
496,6,108,183
497,5,2561,183
498,2,277582,183
499,2,277583,183
500,6,109,184
501,5,740,184
502,2,277584,184
503,2,277585,184
504,6,110,185
505,5,742,185
506,2,277586,185
507,2,277587,185
508,2,277588,185
509,6,111,186
510,5,741,186
511,2,277589,186
512,2,277590,186
513,6,112,187
514,5,741,187
515,2,277591,187
516,2,277592,187
517,6,113,188
518,5,2561,188
519,2,277593,188
520,2,277594,188
521,6,114,189
522,5,2562,189
523,2,277595,189
524,2,277596,189
525,6,115,190
526,5,2562,190
527,2,277597,190
528,2,277598,190
529,6,116,191
530,5,71641,191
531,2,277599,191
532,2,277600,191
533,6,117,192
534,5,742,192
535,2,277601,192
536,2,277602,192
537,2,277603,192
538,6,118,193
539,5,742,193
540,2,277604,193
541,2,277605,193
542,2,277606,193
543,6,119,194
544,5,20,194
545,2,277607,194
546,2,277608,194
547,6,120,195
548,5,703,195
549,2,277609,195
550,2,277610,195
551,6,121,196
552,5,1136,196
553,2,277611,196
554,2,277612,196
555,6,122,197
556,5,20,197
557,2,277613,197
558,2,277614,197
559,6,123,198
560,5,1136,198
561,2,277615,198
562,2,277616,198
563,2,277617,198
564,2,277618,198
565,6,124,199
566,5,20,199
567,2,277619,199
568,2,277620,199
569,2,277621,199
570,6,125,200
571,5,1136,200
572,2,277622,200
573,2,277623,200
574,2,277624,200
575,2,277625,200
576,6,126,201
577,5,1136,201
578,2,277626,201
579,2,277627,201
580,2,277628,201
581,2,277629,201
582,6,127,202
583,5,2559,202
584,2,277630,202
585,2,277631,202
586,6,128,203
587,5,2559,203
588,2,277632,203
589,2,277633,203
590,6,129,204
591,5,2559,204
592,2,277634,204
593,2,277635,204
594,6,130,205
595,5,2559,205
596,2,277636,205
597,2,277637,205
598,6,131,206
599,5,2559,206
600,2,277638,206
601,2,277639,206
602,6,132,207
603,5,2559,207
604,2,277640,207
605,2,277641,207
606,6,133,208
607,5,2559,208
608,2,277642,208
609,2,277643,208
610,6,134,209
611,5,2559,209
612,2,277644,209
613,2,277645,209
614,5,1272,211
615,2,277646,211
616,6,135,212
617,5,1273,212
618,2,277647,212
619,2,277648,212
620,5,178172,213
621,2,277649,213
622,5,7,214
623,2,277650,214
624,5,22,215
625,2,277651,215
626,5,12347,216
627,2,277652,216
628,6,136,217
629,5,745,217
630,2,277653,217
631,2,277654,217
632,6,137,218
634,2,277655,218
635,2,277656,218
636,5,22571,219
637,2,277657,219
638,5,3134,220
639,2,277658,220
640,1,9,220
641,2,277659,221
642,1,10,221
643,5,1456,222
644,2,277660,222
645,6,138,223
646,5,3087,223
647,2,28288,223
648,2,28289,223
649,6,139,224
650,5,143736,224
651,2,277661,224
652,2,277662,224
653,5,39,225
654,2,277663,225
655,5,1435,226
656,2,277664,226
657,5,1365,227
658,2,277665,227
659,5,1431,228
660,2,277666,228
661,6,140,229
662,5,1270,229
663,2,277667,229
664,2,277668,229
665,5,1372,230
666,2,277669,230
667,5,1434,231
668,2,277670,231
669,5,1432,232
670,2,277671,232
671,5,743,233
672,2,277672,233
673,2,277673,234
674,5,22467,235
675,2,277674,235
676,1,11,235
677,6,141,237
678,5,178292,237
679,2,277675,237
680,2,277676,237
681,6,142,238
682,5,325238,238
683,2,277677,238
684,6,143,239
685,5,325237,239
686,2,277678,239
687,2,14242,239
688,5,4100,240
689,3,3,240
690,2,277679,240
691,1,12,242
692,2,277680,243
693,1,13,243
694,2,277681,244
695,1,14,244
696,5,13360,245
697,1,15,245
698,6,144,246
699,2,277682,246
700,5,3373,247
701,2,277683,247
702,2,277684,247
703,5,1455,248
704,2,277685,248
705,5,1423,249
706,2,277686,249
707,5,1148,250
708,2,277687,251
709,5,39,252
710,2,277688,252
711,6,145,253
712,5,3091,253
713,2,277689,253
714,5,1642,254
715,2,277690,254
716,5,3216,255
717,2,277691,255
718,6,146,256
719,2,277692,256
720,2,277693,257
721,6,147,258
722,2,277694,258
723,2,277695,258
724,6,148,259
725,5,3216,259
726,5,5335,261
727,2,277696,261
728,2,277697,262
729,6,149,263
730,2,277698,263
731,2,277699,264
732,6,150,265
733,5,2561,265
734,2,277700,265
735,6,151,266
736,5,3136,266
737,2,277701,266
738,2,277702,266
741,2,277703,267
742,2,277704,267
743,6,153,268
745,2,277705,268
746,6,154,269
747,5,4121,269
748,2,277706,269
749,6,155,270
750,5,2562,270
751,2,277707,270
752,2,277708,270
757,5,1422,273
758,2,277711,273
759,2,277712,273
760,5,1440,274
761,6,156,275
762,5,2560,275
763,5,1501,276
764,2,277713,276
765,2,277714,277
766,6,157,278
767,5,14340,278
768,6,158,279
769,6,159,280
770,6,160,281
771,2,277715,281
772,6,161,282
773,5,1483,282
774,2,277716,282
775,1,16,282
776,5,24094,283
777,2,277717,283
778,6,162,284
779,5,3014,284
780,2,277718,284
781,1,17,284
782,5,1502,285
783,2,277719,285
784,2,277720,285
785,1,18,285
786,6,163,286
787,5,39219,286
788,2,277721,286
789,2,277722,287
790,5,1501,288
791,2,277723,288
792,2,277724,289
794,2,277725,290
795,5,44,291
796,2,277726,291
797,2,277727,292
798,2,277728,293
799,1,19,293
800,5,1485,294
801,3,75,294
802,5,1491,295
803,2,277729,295
804,5,2557,297
805,2,277730,297
806,2,277731,297
807,2,277732,298
808,5,1505,299
809,2,277733,299
810,2,277734,300
811,1,20,300
812,2,277735,301
813,6,164,302
814,2,277736,302
815,2,277737,302
816,5,1500,303
817,2,277738,303
819,2,277739,304
820,6,165,305
821,5,1164,306
822,2,277740,306
823,6,166,307
824,2,277741,307
825,6,167,308
826,2,277742,309
827,5,1504,310
828,2,277743,310
829,2,277744,310
830,5,5694,311
831,2,277745,311
832,5,3325,312
833,1,21,312
834,1,22,312
836,2,277746,313
837,6,168,314
838,5,2545,315
839,2,277747,315
840,6,169,316
841,5,2561,316
842,2,277748,316
843,2,277749,316
844,5,1490,317
845,2,277750,317
846,5,30,318
847,2,277751,318
848,5,2545,319
849,2,277752,319
850,5,2545,320
851,2,277753,320
852,6,170,321
853,5,1483,321
854,2,277754,321
855,2,277755,321
856,1,23,321
857,6,171,322
858,2,277756,322
859,2,277757,322
860,6,172,323
861,2,277758,323
862,6,173,324
864,1,24,324
865,2,277759,325
866,6,174,326
867,6,175,327
868,6,176,328
869,6,177,329
870,5,2562,329
871,2,277760,329
872,5,10714,330
873,2,277761,330
874,5,2615,331
875,2,277762,331
876,5,2615,332
877,2,277763,332
878,5,3116,333
879,2,277764,333
880,2,277765,334
881,1,25,334
882,2,277766,335
883,2,277767,335
884,5,3331,336
885,2,277768,336
886,6,178,337
887,5,2562,337
888,2,277769,337
889,6,179,338
890,2,277770,338
891,2,277771,338
892,5,2556,339
893,2,277772,339
894,5,3156,340
895,2,277773,340
896,6,180,341
898,6,181,342
899,5,3192,342
900,2,28785,342
901,1,26,342
902,2,277774,343
903,2,277775,344
904,1,27,344
905,6,182,345
907,2,277776,345
908,2,277777,345
909,5,3225,346
910,2,277778,346
911,2,277779,346
912,5,3258,347
913,2,277780,347
914,6,183,348
915,5,256390,348
916,3,3,348
917,6,184,349
919,2,277781,349
920,6,185,350
921,5,3222,350
922,2,277782,350
923,6,186,351
924,5,3113,351
925,2,277783,351
926,6,187,352
927,5,2552,352
928,5,3314,353
929,2,277784,353
930,6,188,355
931,2,277785,355
932,2,277786,355
933,6,189,356
934,5,3090,356
935,3,3,356
936,2,277787,356
937,2,277788,356
938,2,277789,356
939,5,3316,357
940,2,277790,357
943,5,2544,359
944,2,277791,359
945,2,277792,360
946,5,2544,361
947,2,277793,361
948,5,1455,362
949,2,277794,362
950,5,10045,363
951,2,277795,363
952,5,3112,364
953,2,277796,364
954,5,3315,365
955,2,277797,365
956,6,191,366
957,5,3091,366
958,2,277798,366
959,1,28,366
960,6,192,367
961,5,1455,368
962,2,277799,368
963,6,193,369
964,5,5674,369
965,2,277800,369
966,1,29,369
967,6,194,370
968,5,4354,370
969,2,277801,370
970,1,30,370
971,5,5734,371
972,2,277802,371
973,6,195,372
974,5,745,372
975,5,10030,373
976,2,277803,373
978,5,71390,379
979,2,277804,379
980,2,277805,379
981,1,31,379
982,6,197,380
983,5,7518,380
984,5,3227,381
985,2,277806,381
986,6,198,382
987,5,1432,382
988,2,277807,382
989,2,277808,383
990,6,199,384
991,2,277809,384
992,2,277810,384
993,6,200,385
994,5,1432,385
995,2,277811,385
996,2,277812,385
997,6,201,386
998,5,35,386
999,2,277813,386
1000,6,202,387
1001,5,1506,387
1002,2,277814,387
1003,1,32,387
1004,6,203,388
1005,5,3113,388
1006,2,277815,388
1007,6,204,389
1008,5,3113,389
1009,2,277816,389
1010,5,3071,390
1011,2,277817,390
1012,1,33,391
1013,6,205,392
1014,5,3113,392
1015,2,277818,392
1016,2,277819,392
1017,5,117860,393
1018,2,277820,393
1019,6,206,394
1020,5,4474,394
1021,2,277821,394
1022,2,277822,394
1023,5,3339,395
1024,2,277823,395
1025,6,207,396
1026,6,208,397
1027,5,12125,397
1028,6,209,398
1029,5,745,398
1030,2,277824,398
1031,6,210,399
1032,5,3091,399
1033,1,34,399
1034,6,211,400
1035,5,51,400
1036,2,277825,400
1037,2,277826,400
1038,6,212,402
1039,5,3087,402
1040,2,277827,402
1041,1,35,402
1042,6,213,403
1043,5,27,403
1044,2,277828,403
1045,2,277829,403
1046,6,214,404
1047,5,10895,404
1048,2,277830,404
1049,6,215,405
1050,5,45,405
1051,2,277831,405
1052,6,216,406
1053,5,45,406
1054,2,277832,406
1055,6,217,407
1056,5,3091,407
1057,2,277833,407
1058,2,277834,407
1059,5,10061,408
1060,2,277835,408
1061,5,3374,409
1062,2,277836,409
1063,2,277837,409
1064,5,10018,410
1065,2,277838,410
1066,6,218,411
1067,5,3091,411
1068,2,277839,411
1069,2,277840,412
1070,2,277841,412
1071,5,7,413
1072,2,277842,413
1073,6,219,414
1074,5,3212,414
1075,5,3213,415
1076,2,277843,415
1077,6,220,416
1078,5,3112,416
1079,2,277844,416
1080,1,36,416
1081,6,221,417
1082,5,2562,417
1083,2,277845,417
1084,2,277846,417
1085,6,222,418
1086,5,2560,418
1087,2,277847,418
1088,2,277848,418
1089,5,3333,419
1090,2,277849,419
1091,5,3226,420
1092,2,277850,420
1093,6,223,421
1094,2,277851,421
1095,5,3230,422
1096,2,277852,422
1097,5,3323,423
1098,2,277853,423
1099,6,224,424
1100,5,101465,424
1101,6,225,425
1102,5,2560,425
1103,2,277854,425
1104,2,277855,425
1105,6,226,426
1106,5,3,426
1107,2,277856,426
1108,2,277857,426
1109,2,277858,426
1110,6,227,427
1111,5,740,427
1112,2,277859,427
1113,2,277860,427
1114,2,277861,427
1115,6,228,428
1116,6,229,429
1118,2,277862,429
1119,6,230,430
1120,5,3012,430
1121,2,277863,430
1122,1,37,430
1123,5,1430,431
1124,2,277864,431
1125,6,231,432
1126,2,277865,432
1127,5,1422,433
1128,2,277866,433
1129,5,3156,434
1130,2,277867,434
1131,5,3155,435
1132,2,277868,435
1133,2,277869,436
1134,6,232,437
1135,5,26684,437
1136,2,277870,437
1137,6,233,438
1138,5,178143,438
1139,2,277871,438
1140,2,277872,438
1141,2,277873,439
1142,5,2558,440
1143,2,277874,440
1144,5,3090,441
1145,2,15763,441
1146,5,1432,442
1147,2,277875,442
1148,6,234,443
1149,6,235,444
1150,6,236,445
1151,6,237,446
1152,2,277876,446
1153,5,4474,447
1154,2,277877,447
1155,5,3074,448
1156,2,277878,448
1157,6,238,449
1158,5,3330,449
1159,1,38,449
1160,5,3075,450
1161,2,277879,450
1162,6,239,451
1163,2,277880,451
1164,6,240,452
1165,2,277881,452
1166,6,241,453
1167,2,277882,453
1168,6,242,454
1169,2,277883,454
1170,6,243,455
1171,2,277884,455
1172,5,1455,456
1173,2,277885,456
1174,6,244,457
1175,5,1455,457
1176,5,1455,458
1177,2,277886,458
1178,5,1455,459
1179,2,277887,459
1180,5,1455,460
1181,2,277888,460
1182,5,1455,461
1183,2,277889,461
1184,6,245,462
1185,2,277890,462
1186,5,1505,464
1187,2,277891,464
1188,5,3086,465
1189,2,277892,465
1190,6,246,466
1191,3,3,467
1192,2,277893,467
1193,6,247,468
1194,2,24381,468
1195,2,277894,469
1196,6,248,470
1197,2,277895,470
1198,5,1435,472
1199,2,277896,472
1200,6,249,473
1201,2,277897,473
1202,1,39,473
1203,5,3088,474
1204,2,277898,474
1205,6,250,475
1206,5,2562,475
1207,2,277899,475
1208,1,40,475
1209,6,251,476
1210,5,2561,476
1211,2,277900,476
1212,2,277901,476
1213,6,252,477
1214,5,3259,477
1215,2,277902,477
1216,6,253,478
1217,5,2561,478
1218,6,254,479
1219,1,41,479
1220,6,255,480
1221,5,2549,480
1222,2,277903,481
1223,5,1484,482
1224,2,277904,482
1225,2,277905,483
1226,6,256,484
1227,5,2562,484
1228,2,277906,484
1229,5,3329,485
1230,2,277907,485
1231,5,3051,486
1232,2,277908,486
1233,5,3320,487
1234,2,277909,487
1235,5,3178,488
1236,2,277910,488
1237,5,3221,489
1238,2,277911,489
1239,2,277912,490
1240,2,277913,491
1241,6,257,492
1242,5,1491,492
1243,6,258,493
1244,5,2560,493
1245,2,277914,493
1246,2,277915,493
1247,5,3317,494
1248,2,277916,494
1249,5,3331,495
1250,2,277917,495
1251,5,1642,496
1252,2,277918,496
1253,5,3134,497
1254,6,259,498
1255,5,3231,498
1256,2,277919,498
1257,2,277920,499
1258,5,1435,500
1259,2,277921,500
1260,5,3135,501
1261,2,277922,501
1262,2,277923,502
1263,5,2557,503
1264,2,277924,503
1265,2,277925,505
1266,6,260,506
1267,5,3091,506
1268,1,42,506
1269,6,261,507
1270,5,3112,507
1271,2,277926,507
1272,5,3219,508
1273,2,277927,508
1274,5,3094,509
1275,2,277928,509
1276,5,3114,510
1277,2,277929,510
1278,5,3220,511
1279,2,277930,511
1280,6,262,512
1281,3,76,513
1282,2,277931,513
1283,6,263,514
1284,5,3037,514
1285,6,264,515
1286,6,265,516
1287,5,2549,516
1288,2,277932,516
1289,6,266,517
1291,6,267,518
1292,5,1161,518
1293,5,2552,519
1294,5,2560,520
1295,2,277933,520
1296,2,277934,520
1297,5,2874,522
1298,5,1432,523
1299,2,277935,523
1300,5,1432,524
1301,2,277936,524
1303,2,277937,526
1304,2,277938,527
1305,2,277939,528
1306,2,277940,528
1307,2,277941,530
1308,6,268,532
1309,5,1455,533
1310,2,277942,533
1311,5,1484,534
1312,2,277943,534
1313,2,277944,534
1314,2,277945,535
1315,5,50,536
1316,6,269,537
1317,5,35,538
1318,3,77,538
1319,2,277946,538
1320,6,270,539
1321,6,271,540
1323,2,277947,541
1324,5,1423,542
1325,2,277948,542
1326,6,272,543
1327,5,1166,543
1328,2,277949,544
1329,6,273,545
1330,2,277950,545
1331,6,274,547
1333,1,43,547
1334,6,275,548
1336,6,276,549
1337,6,277,550
1338,6,278,551
1339,6,279,552
1340,6,280,553
1341,6,281,554
1342,5,3215,555
1343,2,277951,555
1344,5,3071,556
1345,2,277952,556
1346,6,282,557
1347,5,3091,557
1348,1,44,557
1349,5,3111,558
1350,2,277953,558
1351,5,3218,559
1352,2,277954,559
1353,2,277955,560
1354,5,3319,561
1355,2,277956,561
1356,5,27,562
1357,2,277957,562
1358,2,277958,562
1359,5,2579,563
1360,1,45,564
1361,2,277959,565
1362,1,46,566
1363,6,283,586
1364,1,47,587
1365,2,277960,588
1366,5,742,589
1367,2,277961,589
1368,2,277962,589
1369,1,48,589
1370,1,49,606
1371,6,284,607
1372,5,1507,608
1373,2,277963,608
1374,5,7,609
1375,2,277964,626
1376,6,285,646
1377,5,3091,646
1378,1,50,646
1379,5,3092,648
1380,2,277965,648
1381,5,3071,649
1382,2,277966,649
1383,2,277967,650
1384,5,3071,651
1385,2,277968,651
1387,2,277969,652
1388,2,277970,652
1389,5,2617,653
1390,2,277971,653
1391,1,51,653
1392,5,2561,654
1393,2,277972,655
1394,2,277973,655
1395,1,52,657
1396,5,56929,658
1397,2,277974,658
1398,5,3090,659
1399,2,277975,659
1400,5,4354,660
1401,2,277976,660
1402,1,53,660
1403,5,39,661
1404,2,277977,661
1405,6,286,662
1406,2,277978,662
1407,2,277979,663
1408,6,287,664
1409,2,277980,664
1410,2,277981,664
1411,1,54,664
1412,2,277982,665
1413,5,3089,666
1414,2,277983,666
1415,2,277984,667
1417,6,288,686
1418,6,289,687
1419,5,3090,687
1420,2,277985,687
1421,5,3036,688
1422,2,277986,688
1423,5,3037,689
1424,2,277987,689
1425,2,277988,690
1426,6,290,691
1427,2,277989,691
1428,1,56,691
1429,5,3181,692
1430,1,57,692
1431,5,3216,693
1432,2,277990,693
1433,2,277991,694
1434,5,3077,695
1435,2,277992,695
1436,5,1577,696
1437,2,21074,696
1438,2,17120,697
1439,3,3,698
1440,2,277993,698
1441,5,51,699
1442,2,277994,699
1443,5,30,700
1444,5,3182,701
1445,6,291,702
1447,2,277995,702
1448,5,703,703
1449,2,277996,703
1450,6,292,704
1452,2,277997,704
1453,5,2560,705
1454,2,277998,705
1455,6,293,716
1456,5,21703,716
1457,2,277999,716
1458,2,278000,716
1459,6,294,717
1460,5,1136,717
1461,2,278001,717
1462,2,278002,717
1463,6,295,718
1464,5,31,718
1465,2,278003,718
1466,2,278004,718
1467,5,5694,719
1468,2,278005,719
1469,5,10136,720
1470,2,278006,720
1471,5,142183,721
1472,2,278007,721
1473,6,296,722
1474,2,278008,722
1475,6,297,723
1476,5,3183,724
1477,2,278009,724
1478,5,10012,725
1479,2,278010,725
1480,6,298,726
1481,5,27,726
1482,2,278011,726
1483,6,299,727
1484,5,2560,727
1485,2,278012,727
1486,6,300,728
1487,5,1507,728
1488,2,278013,728
1489,6,301,729
1490,5,3136,729
1491,2,278014,729
1492,2,278015,729
1495,2,278016,730
1496,2,278017,730
1497,5,2874,731
1498,5,3264,732
1499,2,278018,732
1500,6,303,733
1501,5,3091,733
1502,2,278019,733
1503,2,278020,733
1504,1,58,733
1505,6,304,734
1506,5,1485,734
1507,3,78,734
1508,2,278021,734
1509,6,305,735
1510,5,3327,736
1511,6,306,737
1512,1,59,737
1513,6,307,738
1514,5,3091,738
1515,2,278022,738
1516,2,278023,738
1517,2,278024,738
1518,1,60,738
1519,6,308,739
1520,5,1578,739
1521,2,278025,739
1522,1,61,739
1523,6,309,740
1524,2,278026,740
1525,1,62,740
1526,2,278027,741
1527,5,1505,742
1528,2,278028,742
1529,6,310,743
1530,5,3213,743
1532,2,278029,744
1533,6,311,745
1534,5,2560,745
1535,2,278030,745
1536,2,278031,745
1537,2,278032,746
1538,6,312,747
1539,5,3223,747
1540,5,1455,748
1541,2,278033,748
1543,2,278034,749
1544,2,278035,750
1545,5,1505,751
1546,2,278036,751
1547,2,278037,752
1548,2,278038,753
1549,6,313,764
1550,1,63,764
1551,6,314,765
1552,5,1164,765
1553,2,278039,765
1554,2,278040,765
1555,6,315,766
1556,5,1164,766
1557,2,278041,766
1558,2,278042,766
1559,5,3077,767
1560,2,278043,767
1561,1,64,767
1562,5,1456,768
1563,2,278044,768
1564,6,316,769
1565,2,278045,769
1566,1,65,769
1567,6,317,770
1568,5,3076,770
1569,2,278046,770
1570,2,278047,771
1571,2,278048,771
1572,2,278049,771
1573,2,278050,771
1574,2,278051,771
1575,2,278052,771
1576,1,66,771
1577,6,318,772
1578,5,1105,772
1579,2,278053,772
1580,6,319,773
1581,5,118988,773
1582,1,67,773
1583,6,320,775
1584,2,278054,776
1585,2,278055,777
1586,5,1105,778
1587,2,278056,778
1588,2,278057,779
1589,6,321,780
1590,5,10062,780
1591,2,278058,780
1592,5,39,781
1593,2,278059,781
1594,2,278060,782
1595,2,278061,783
1596,1,68,784
1597,2,278062,785
1598,2,278063,785
1599,2,278064,785
1600,2,278065,785
1601,2,278066,785
1602,2,278067,785
1603,5,2617,786
1604,2,278068,786
1605,5,3215,787
1606,2,278069,787
1607,2,278070,787
1608,6,322,788
1609,5,3228,788
1610,6,323,789
1611,5,5015,789
1612,2,278071,789
1613,6,324,790
1614,5,702,790
1615,2,278072,790
1616,6,325,791
1617,6,326,792
1618,2,278073,792
1619,2,278074,792
1620,1,69,792
1621,6,327,793
1622,1,70,793
1623,6,328,794
1624,6,329,795
1625,5,3111,795
1626,2,278075,795
1627,2,278076,796
1628,6,330,797
1629,5,22463,797
1630,5,37,798
1631,2,278077,798
1632,6,331,799
1633,5,745,799
1634,2,278078,799
1635,5,2560,800
1636,2,278079,800
1638,5,1489,802
1639,2,278080,802
1640,2,278081,802
1641,6,333,803
1642,5,1144,803
1643,6,334,804
1644,5,40010,804
1645,2,278082,805
1646,6,335,806
1647,5,49,806
1648,2,278083,806
1649,6,336,807
1650,5,2560,807
1651,2,278084,807
1652,5,3328,808
1653,2,278085,808
1654,5,3134,809
1655,2,278086,809
1656,5,3322,810
1657,2,278087,810
1658,5,3321,811
1659,2,278088,811
1660,6,337,812
1661,5,3326,812
1662,5,24009,813
1663,2,278089,813
1665,2,278090,814
1666,5,3134,815
1667,2,278091,815
1668,5,3087,816
1669,2,278092,816
1670,1,71,816
1671,6,338,817
1672,5,2560,817
1673,2,278093,817
1674,6,339,818
1675,5,1164,818
1676,2,278094,818
1677,6,340,819
1678,5,8464,819
1679,5,3113,820
1680,2,278095,820
1681,2,278096,820
1682,1,72,821
1683,6,341,822
1684,1,73,822
1685,6,342,823
1686,5,48,823
1687,1,74,823
1688,6,343,824
1689,1,75,824
1690,5,3071,825
1691,2,278097,825
1692,1,76,825
1693,6,344,826
1694,5,745,826
1695,2,278098,826
1696,2,278099,826
1697,2,278100,826
1698,2,278101,826
1699,2,278102,826
1700,6,345,827
1701,5,2560,827
1702,2,278103,827
1703,2,278104,827
1704,6,346,828
1706,2,278105,828
1707,1,77,828
1708,6,347,829
1710,6,348,830
1711,1,78,830
1712,5,1505,831
