ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,PvpType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
872,Black Rook Hold Arena,,,,0,50,80,5,0,15,1,5,0,96,1389174,0
873,Nagrand Arena,,,,0,50,80,5,0,15,1,5,0,96,460867,0
874,Ashamane's Fall,,,,0,50,80,5,0,15,1,5,0,96,1389175,0
875,Blade's Edge Arena,,,,0,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,0,0,0,10,5,10,1,10,0,1,0,0
879,Deep Six,Brawl,,,0,50,80,6,5,6,1,6,0,32,0,0
880,Arathi Basin,Brawl,,,0,50,80,6,6,6,1,6,0,32,0,0
881,Deepwind Gorge,Brawl,,,0,50,80,6,6,6,1,6,0,32,0,0
882,Eye of the Storm,Brawl,,,0,50,80,6,6,6,1,6,0,32,0,0
883,Silvershard Mines,Brawl,,,0,50,70,6,6,6,1,6,0,32,0,0
884,Temple of Kotmogu,Brawl,,,0,50,70,6,6,6,1,6,0,32,0,0
885,The Battle for Gilneas,Brawl,,,0,50,80,6,6,6,1,6,0,32,0,0
886,Warsong Gulch,Brawl,,,0,50,80,6,6,6,1,6,0,32,0,0
887,Cooking: Impossible,,,,0,50,80,10,5,10,1,5,0,32,875925,0
890,Seething Strand,Domination,,,0,0,0,10,8,15,1,5,0,1,875925,0
893,8.0 BG Temp,Domination,,,0,0,0,10,8,15,1,5,0,1,875925,0
894,Seething Shore,Resource Race,,,0,40,80,10,5,10,1,5,0,24,1864730,0
897,Hook Point,,,,1,10,80,5,0,5,1,5,0,8,0,0
901,Random Epic Battleground,,,,0,20,80,0,5,40,1,5,0,0,0,0
903,Mugambala,,,,1,10,80,5,0,5,1,5,0,8,0,0
904,Brawl - All Arenas,,,,1,50,80,3,3,3,1,3,0,32,525915,0
1014,Warsong Gulch,Capture the Flag,,,0,10,80,10,5,10,1,5,1942,24,136365,0
1017,Battle for Wintergrasp,Epic Battleground,,,0,20,80,25,10,40,1,5,0,152,136324,0
1018,Arathi Basin,Domination,,,0,10,80,10,8,15,1,5,1943,24,136322,0
1019,Arathi Basin Comp Stomp,,,,0,0,0,15,1,15,1,15,0,0,0,0
1020,Ashran,Epic Battleground,,,0,20,80,35,10,35,1,5,0,152,1398842,0
1021,Classic Ashran,Endless Epic Battleground,,,0,20,80,25,10,25,1,5,1941,40,1398842,0
1022,Arathi Basin,Brawl,,,0,50,80,10,8,15,1,5,0,32,136322,0
1025,The Robodrome,,,,1,20,80,5,0,5,1,5,0,8,0,0
1029,Random Battleground,,,,0,10,60,25,5,40,1,5,0,1,525915,0
1030,Battle for Wintergrasp,Epic Battleground,,,0,50,80,25,10,40,1,5,0,32,136324,0
1031,Programmer Map - Battlefield,,,,0,0,0,0,1,20,0,0,0,0,0,0
1033,Korrak's Revenge,Limited Time Event,,,0,20,80,25,10,40,1,40,1941,32,136324,0
1036,Epic Battleground - Warfront Arathi (PvP),,,,0,0,0,40,10,40,1,5,0,1,0,0
1037,Deepwind Gorge,Domination,,,0,40,80,10,8,15,1,5,0,24,875925,0
1039,Deepwind Gorge,Domination,,,0,50,80,10,8,15,1,5,0,32,875925,0
1041,Empyrean Domain,,,,1,60,80,5,0,5,1,5,0,8,0,0
1047,Mugambala,,,,0,50,80,5,0,15,1,5,0,32,0,0
1048,The Robodrome,,,,0,50,80,5,0,15,1,5,0,32,0,0
1049,Hook Point,,,,0,50,80,5,0,15,1,5,0,32,0,0
1050,Empyrean Domain,,,,0,50,80,5,0,15,1,5,0,32,0,0
1053,Mugambala,,,,1,10,80,6,6,6,0,3,0,76,0,0
1054,Ashamane's Fall,,,,1,10,80,6,6,6,0,3,0,76,1389175,0
1055,Tol'Viron Arena,,,,1,10,80,6,6,6,0,3,0,76,791652,0
1056,The Robodrome,,,,1,10,80,6,6,6,0,3,0,76,0,0
1057,The Tiger's Peak,,,,1,10,80,6,6,6,0,3,0,76,875926,0
1058,Ruins of Lordaeron,,,,1,10,80,6,6,6,0,3,0,76,460869,0
1059,Nagrand Arena,,,,1,10,80,6,6,6,0,3,0,76,460867,0
1060,Hook Point,,,,1,10,80,6,6,6,0,3,0,76,0,0
1061,Empyrean Domain,,,,1,10,80,6,6,6,0,3,0,76,0,0
1062,Dalaran Sewers,,,,1,10,80,6,6,6,0,3,0,76,460862,0
1063,Blade's Edge Arena,,,,1,10,80,6,6,6,0,3,0,76,460861,0
1064,Black Rook Hold Arena,,,,1,10,80,6,6,6,0,3,0,76,1389174,0
1065,All Arenas,,,,1,60,80,6,6,6,0,1,0,76,525915,0
1066,Maldraxxus Coliseum,,,,1,20,80,5,0,5,1,5,0,8,3759934,0
1068,Enigma Arena,,,,1,60,60,5,0,5,1,5,0,9,0,0
1070,Ruins of Lordaeron,,,,0,50,80,5,0,15,1,5,0,96,460869,0
1071,Maldraxxus Coliseum,,,,1,10,80,6,6,6,0,3,0,76,3759934,0
1075,Deepwind Detonation,Brawl,,,0,50,80,10,8,15,1,5,0,32,875925,0
1076,Enigma Crucible,,,,1,60,80,5,0,5,1,5,0,8,525915,0
1077,Enigma Crucible,,,,1,60,80,0,0,6,0,1,0,76,0,0
1088,Nokhudon Proving Grounds,,,,1,61,80,5,0,5,1,5,0,8,0,0
1092,Nokhudon Proving Grounds,,,,1,61,80,6,6,6,1,3,0,76,0,0
1094,All Arenas,,,,1,20,80,5,0,5,1,3,0,0,525915,0
1095,All Arenas,,,,1,20,80,5,0,5,1,3,0,0,525915,0
1096,All Arenas,,,,1,20,80,5,0,5,1,3,0,0,525915,0
1101,Battleground Blitz,,,,0,60,80,8,6,8,1,2,0,776,136324,0
1102,Warsong Gulch,Brawl,,,0,60,80,8,6,8,1,2,0,520,136365,0
1103,Twin Peaks,Brawl,,,0,60,80,8,6,8,1,2,0,520,525913,0
1104,Battle for Gilneas,Brawl,,,0,60,80,8,6,8,1,2,0,520,460871,0
1105,Silvershard Mines,Brawl,,,0,60,80,8,6,8,1,2,0,520,791650,0
1106,Temple of Kotmogu,Brawl,,,0,60,80,8,6,8,1,2,0,520,791651,0
1107,Eye of the Storm,Brawl,,,0,60,80,8,6,8,1,2,0,520,460625,0
1108,Arathi Basin,Brawl,,,0,60,80,8,6,8,1,2,0,520,136322,0
1109,Deepwind Gorge,Brawl,,,0,60,80,8,6,8,1,2,0,520,875925,0
1110,Deephaul Ravine,Payload,,,0,19,80,10,5,10,1,5,0,24,6031736,0
1111,The Heat of Battle,Brawl,,,0,50,70,6,6,6,1,3,0,96,0,0
1112,Nokhudon Proving Grounds,,,,1,61,70,6,6,6,1,3,0,104,0,0
1117,Cage of Carnage,,,,1,61,80,5,0,5,1,5,0,8,0,0
1118,Deephaul Ravine,Brawl,,,0,60,80,8,6,8,1,2,0,520,460625,0
1123,Cage of Carnage,,,,1,71,80,6,6,6,0,3,0,12,0,0
1134,Cage of Carnage,,,,1,10,80,5,0,5,1,5,0,8,460867,0
1142,Cage of Carnage,,,,0,50,80,5,0,15,1,5,0,96,791652,0
