ID,Flags,DefaultPriority,DefaultPriorityPenalty,DefaultVolume,DefaultPlaybackLimit,BusEnumID,Parent
247,0,80,0,1,30,38,234
248,0,80,0,0.5,6,57,247
249,0,80,0,1,20,49,247
250,0,140,0,0.75,150,31,234
251,0,140,0,0.9,25,34,250
252,0,210,30,1,30,56,250
253,0,220,0,1,5,35,250
254,0,180,0,1,20,40,250
255,0,190,0,1,10,60,250
256,0,240,0,1,15,41,250
257,0,160,0,1,25,46,250
258,0,200,0,1,15,48,250
259,0,230,30,1,15,32,250
260,0,50,0,1,80,24,234
261,0,60,0,1,15,30,260
262,0,60,0,0.95,10,27,260
263,0,140,0,1,10,29,260
264,0,50,0,1,15,55,260
265,0,50,0,1,10,28,260
266,0,140,0,1,5,26,260
267,0,80,0,1,10,47,260
268,0,140,0,1,5,25,260
269,0,90,0,1,10,59,260
270,1,20,0,0.95,20,1,227
271,1,128,0,1,20,8,270
272,1,128,0,1,255,5,227
274,1,30,0,1,10,62,1
543,1,60,0,1,25,63,5
544,0,180,0,1,10,64,12
549,1,128,0,0.75,75,65,213
550,1,128,0,1,75,66,213
551,0,140,0,0.5,50,67,2
552,0,160,0,0.75,10,70,551
553,0,220,0,0.25,3,76,551
554,0,220,0,0.75,5,71,551
555,0,240,0,0.3,4,69,551
556,0,230,30,1,5,68,551
557,0,100,0,0.75,15,75,551
558,0,180,0,0.75,10,73,551
559,1,180,0,0.75,10,77,551
560,0,200,0,0.75,5,74,551
561,0,225,0,0.3,5,72,551
562,0,100,0,1,15,53,14
563,0,100,0,1,15,53,14
664,0,140,0,0.85,100,78,2
665,0,160,0,0.75,20,81,664
666,0,190,0,0.35,5,87,664
667,0,220,0,0.75,10,82,664
668,0,240,0,0.35,10,80,664
669,0,230,30,0.75,5,79,664
670,0,100,0,1,15,86,664
671,0,180,0,1,20,84,664
672,1,180,0,1,15,88,664
673,0,200,0,0.75,10,85,664
674,0,225,0,0.5,3,83,664
683,0,80,0,0.7,10,89,5
684,0,60,0,1,3,93,683
685,0,220,0,0.4,10,95,551
686,0,60,0,0.6,5,91,683
687,0,50,0,0.8,2,90,683
688,0,128,0,0.7,7,96,664
689,0,220,0,1,2,92,683
690,0,60,0,1,3,94,683
691,1,128,0,1,75,97,213
1143,0,128,0,1,255,0,0
1144,0,128,0,1,255,0,0
1145,0,128,0,1,255,0,0
1146,0,128,0,1,255,0,0
1147,0,128,0,1,255,0,0
1148,0,128,0,1,255,0,0
1149,0,128,0,1,255,0,0
1150,0,128,0,1,255,0,0
1151,0,128,0,1,255,0,0
1152,0,128,0,1,255,0,0
1153,0,128,0,1,255,0,0
1154,0,128,0,1,255,0,0
1155,0,128,0,1,255,0,0
1156,0,128,0,1,255,0,0
1157,0,128,0,1,255,0,0
1158,0,128,0,1,255,0,0
1159,0,128,0,1,255,0,0
1160,0,128,0,1,255,0,0
1161,0,128,0,1,255,0,0
1162,0,128,0,1,255,0,0
1163,0,128,0,1,255,0,0
1164,0,128,0,1,255,0,0
1165,0,128,0,1,255,0,0
1166,0,128,0,1,255,0,0
1167,0,128,0,1,255,0,0
1168,0,128,0,1,255,0,0
1169,0,128,0,1,255,0,0
1170,0,128,0,1,255,0,0
1171,0,128,0,1,255,0,0
1172,0,128,0,1,255,0,0
1173,0,128,0,1,255,0,0
1174,0,128,0,1,255,0,0
1175,0,128,0,1,255,0,0
1176,0,128,0,1,255,0,0
1177,0,128,0,1,255,0,0
1178,0,128,0,1,255,0,0
1179,0,128,0,1,255,0,0
1180,0,128,0,1,255,0,0
1181,0,128,0,1,255,0,0
1182,0,128,0,1,255,0,0
1183,0,128,0,1,255,0,0
1184,0,128,0,1,255,0,0
1185,0,128,0,1,255,0,0
1186,0,128,0,1,255,0,0
1187,0,128,0,1,255,0,0
1188,0,128,0,1,255,0,0
1189,0,128,0,1,255,0,0
1190,0,128,0,1,255,0,0
1191,0,128,0,1,255,0,0
1192,0,128,0,1,255,0,0
1193,0,128,0,1,255,0,0
1194,0,128,0,1,255,0,0
1195,0,128,0,1,255,0,0
1196,0,128,0,1,255,0,0
1197,0,128,0,1,255,0,0
1198,0,128,0,1,255,0,0
1199,0,128,0,1,255,0,0
1200,0,128,0,1,255,0,0
1201,0,128,0,1,255,0,0
1202,0,128,0,1,255,0,0
1203,0,128,0,1,255,0,0
1204,0,128,0,1,255,0,0
1205,0,128,0,1,255,0,0
1206,0,128,0,1,255,0,0
1207,0,128,0,1,255,0,0
1208,0,128,0,1,255,0,0
1209,0,128,0,1,255,0,0
1210,0,128,0,1,255,0,0
1211,0,128,0,1,255,0,0
1212,0,128,0,1,255,0,0
1213,0,128,0,1,255,0,0
1214,0,128,0,1,255,0,0
1215,0,128,0,1,255,0,0
1216,0,128,0,1,255,0,0
1217,0,128,0,1,255,0,0
1218,0,128,0,1,255,0,0
1219,0,128,0,1,255,0,0
1220,0,128,0,1,255,0,0
1221,0,128,0,1,255,0,0
1222,0,128,0,1,255,0,0
1223,0,128,0,1,255,0,0
1224,0,128,0,1,255,0,0
1225,0,128,0,1,255,0,0
1226,0,128,0,1,255,0,0
1227,0,128,0,1,255,0,0
1228,0,128,0,1,255,0,0
1229,0,128,0,1,255,0,0
1230,0,128,0,1,255,0,0
1231,0,128,0,1,255,0,0
1232,0,128,0,1,255,0,0
1233,0,128,0,1,255,0,0
1234,0,128,0,1,255,0,0
1235,0,128,0,1,255,0,0
1236,0,128,0,1,255,0,0
1237,0,128,0,1,255,0,0
1238,0,128,0,1,255,0,0
1239,0,128,0,1,255,0,0
1240,0,128,0,1,255,0,0
1241,0,128,0,1,255,0,0
1242,0,128,0,1,255,0,0
1243,0,128,0,1,255,0,0
1244,0,128,0,1,255,0,0
1245,0,128,0,1,255,0,0
1246,0,128,0,1,255,0,0
1247,0,128,0,1,255,0,0
1248,0,128,0,1,255,0,0
1249,0,128,0,1,255,0,0
1250,0,128,0,1,255,0,0
1251,0,128,0,1,255,0,0
1252,0,128,0,1,255,0,0
1253,0,128,0,1,255,0,0
1254,0,128,0,1,255,0,0
1255,0,128,0,1,255,0,0
1256,0,128,0,1,255,0,0
1257,0,128,0,1,255,0,0
1258,0,128,0,1,255,0,0
1259,0,128,0,1,255,0,0
1260,0,128,0,1,255,0,0
1261,0,128,0,1,255,0,0
1262,0,128,0,1,255,0,0
1263,0,128,0,1,255,0,0
1264,0,128,0,1,255,0,0
1265,0,128,0,1,255,0,0
1266,0,128,0,1,255,0,0
1267,0,128,0,1,255,0,0
1268,0,128,0,1,255,0,0
1269,0,128,0,1,255,0,0
1270,0,128,0,1,255,0,0
1271,0,128,0,1,255,0,0
1272,0,128,0,1,255,0,0
1273,0,128,0,1,255,0,0
1274,0,128,0,1,255,0,0
1275,0,128,0,1,255,0,0
1276,0,128,0,1,255,0,0
1277,0,128,0,1,255,0,0
1278,0,128,0,1,255,0,0
1279,0,128,0,1,255,0,0
