ID,TabardAngle,TabardDampening,ExpectedWeaponSize,Angle[0],Angle[1],Angle[2],Angle[3],Angle[4],Dampening[0],Dampening[1],Dampening[2],Dampening[3],Dampening[4],TailAngle[0],TailAngle[1],TailDampening[0],TailDampening[1]
34,0,0,0.8,-4,-2,-5,-5,6,0.8,0.8,0.6,0.3,0.3,0,0,0,0
35,0,0.3,0.3,10,-8,0,0,0,0.5,0.5,0.4,0.4,0,0,0,0,0
36,0,0.5,0.35,-2,0,5,10,10,0.7,0.6,0.6,0.3,0,0,0,0,0
37,0,0.2,0.5,-13,-13,14,19,0,0.4,0.5,0.56,0.4,0,0,0,0,0
38,0,0,0.5,0,0,0,0,0,0.25,0.25,0.2,0.2,0.4,0,0,0,0
39,0,0.3,0.8,-15,-15,28,40,0,0.95,0.8,0.8,0.5,0.5,0,0,0,0
40,0,0.3,0.8,0,0,0,0,0,0.4,0.3,0.2,0,0,0,0,0,0
42,0,0.4,0.6,0,0,15,20,0,0.8,0.8,0.7,0.5,0,0,0,0,0
43,0,0.5,1.25,0,-4,7,20,8,0.64,0.64,0.56,0.4,0,0,0,0,0
45,0,0.7,0.9,-5,-4,10,20,20,0.7,0.7,0.7,0.5,0.3,0,0,0,0
46,0,0.8,0.35,-3,-3,5,-2,20,0.98,0.95,0.95,0.8,0.7,0,0,0,0
47,0,0.95,0.35,-3,-3,0,0,20,0.98,0.95,0.95,0.8,0.7,0,0,0,0
49,3,0.6,0.35,0,0,15,15,10,0.95,0.8,0.8,0.3,0.2,0,0,0,0
50,0,0.3,0.8,-10,-5,18,20,0,0.7,0.6,0.6,0.5,0.3,0,0,0,0
51,0,0.4,0.6,-5,-5,0,20,0,0.7,0.7,0.7,0.5,0,0,0,0,0
52,0,0.4,0.6,2,-2,-5,15,0,0.8,0.8,0.7,0.5,0,0,0,0,0
53,0,0.4,0.6,5,0,0,0,0,0.8,0.7,0.7,0.4,0,0,0,0,0
54,0,0.8,0.75,0,0,0,0,0,0.8,0.6,0.6,0.6,0.6,0,0,0,0
55,0,0.8,0.75,0,0,0,0,0,0.4,0.3,0.3,0.3,0.3,0,0,0,0
56,0,0,0.8,0,0,15,35,0,0.9,0.9,0.7,0.45,0,-20,0,0.5,0.5
57,0,0,0.8,-8,15,20,30,0,0.8,0.75,0.7,0.6,0.3,-10,-5,0.5,0.5
58,0,0,0.8,-6,5,20,28,0,0.7,0.7,0.7,0.45,0,0,0,0.5,0.5
59,0,0.5,1.3,-3,0,-5,0,-8,0.8,0.8,0.7,0.5,0.3,0,0,0,0
60,0,0.5,1.3,-3,0,-5,15,0,0.95,0.85,0.8,0.6,0.3,0,0,0,0
61,0,0.5,1,0,0,6,15,0,0.42,0.36,0.36,0.3,0,0,0,0,0
62,0,0.3,1.6,-3,-4,0,0,0,0.6,0.6,0.3,0.2,0,0,0,0,0
63,0,0.3,1.6,2,0,0,20,0,0.7,0.8,0.5,0.2,0,0,0,0,0
64,0,0.3,1.6,-3,-4,0,0,0,0.5,0.5,0.25,0.15,0,0,0,0,0
65,0,0.3,1.2,0,0,0,0,0,0.6,0.5,0.3,0.2,0,0,0,0,0
66,0,0.2,0.4,0,0,0,15,0,0.6,0.4,0.25,0.15,0,0,0,0,0
67,0,0.2,0.5,-5,0,0,15,0,0.6,0.3,0.3,0.15,0,0,0,0,0
68,0,0.2,0.6,-8,18,0,0,0,0.5,0.5,0.5,0.3,0,0,0,0,0
69,0,0.3,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
70,0,0.8,0.35,-4,5,-2,10,20,0.98,0.95,0.95,0.7,0.5,0,0,0,0
71,0,0.5,0.3,0,0,0,0,0,0.6,0.8,0.6,0.25,0,0,0,0,0
72,-5,0.6,0.3,5,4,0,0,0,0.8,0.98,0.9,0.4,0,0,0,0,0
73,0,0.6,0.8,-1,-1,6,10,10,0.8,0.8,0.6,0.5,0.4,0,0,0,0
74,0,0.5,0.35,-5,-5,15,15,10,0.8,0.7,0.7,0.5,0.3,0,0,0,0
75,0,0.3,0.8,-10,-5,15,20,0,0.7,0.6,0.6,0.5,0.3,0,0,0,0
76,0,0.3,1,-5,0,5,15,0,0.8,0.8,0.6,0.6,0.2,0,0,0,0
77,0,0.6,1,-5,-8,-4,40,0,0.9,0.8,0.6,0.3,0.2,0,0,0,0
78,-5,0.8,1.3,2,0,-8,15,0,0.95,0.85,0.8,0.7,0.3,0,0,0,0
79,-5,0.6,1.3,-10,0,0,0,0,0.4,0.4,0.4,0.3,0.1,0,0,0,0
80,0,0.2,0.6,-6,-7,9,5,0,0.35,0.25,0.25,0.2,0,0,0,0,0
81,0,0.3,1.6,-3,-1.5,4,7.5,0,0.3,0.4,0.35,0.3,0,0,0,0,0
82,0,0,0.6,0,0,10,0,0,0.8,0.8,0.5,0.3,0,-10,0,0.3,0.3
83,0,0,0.6,-6,20,10,10,0,0.8,0.8,0.5,0.3,0,-10,-5,0.3,0.3
84,0,0,0.6,-8,24,10,15,0,0.8,0.8,0.6,0.4,0.2,-10,-10,0.5,0.5
85,0,0.5,0.6,-8,6,10,15,0,0.8,0.8,0.6,0.4,0.2,-10,-10,0.7,0.7
1822,-2,0.75,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1878,-5,0.7,0.9,2,-6,7.5,25,25,0.95,0.95,0.95,0.8,0.5,0,0,0,0
1879,0,0.7,0.9,-3,-3,2.5,10,10,0.3,0.35,0.35,0.25,0.25,0,0,0,0
1880,0,0.7,0.9,-5,-4,10,20,20,0.7,0.7,0.7,0.5,0.3,0,0,0,0
1881,0,0.3,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1882,0,0,1,-17,25,30,0,0,0.6,0.6,0.4,0.2,0.2,0,0,0,0
1883,0,0,0.5,3.5,4,5,5,5,0.25,0.25,0.15,0.25,0,0,0,0,0
1884,-2,0.75,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1885,-5,0.7,0.9,2,-6,7.5,25,25,0.95,0.95,0.95,0.8,0.5,0,0,0,0
1886,0,0.7,0.9,-3,-3,2.5,10,10,0.3,0.35,0.35,0.25,0.25,0,0,0,0
1887,0,0.7,0.9,-5,-4,10,20,20,0.7,0.7,0.7,0.5,0.3,0,0,0,0
1888,0,0.3,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1889,0,0.3,0.5,-3,0,0,10,10,0.5,0.5,0.5,0.3,0,0,0,0,0
1890,0,0,0.8,-6,-3,20,28,0,0.7,0.7,0.7,0.45,0,0,0,0.3,0.3
1891,0,0,0.8,0,0,15,35,0,0.9,0.9,0.7,0.45,0,-20,0,0.5,0.5
1892,0,0,0.8,-8,15,20,30,0,0.8,0.75,0.7,0.6,0.3,-10,-5,0.5,0.5
1893,0,0,0.8,-6,5,20,28,0,0.7,0.7,0.7,0.45,0,0,0,0.5,0.5
1894,0,0,0.6,-8,24,10,10,0,0.8,0.8,0.5,0.3,0,-10,0,0.3,0.3
1895,0,0,0.6,0,0,10,0,0,0.8,0.8,0.5,0.3,0,-10,0,0.3,0.3
1896,0,0,0.6,-6,20,10,10,0,0.8,0.8,0.5,0.3,0,-10,-5,0.3,0.3
1897,0,0,0.6,-8,24,10,15,0,0.8,0.8,0.6,0.4,0.2,-10,-10,0.5,0.5
1898,0,0.5,0.6,-8,6,10,15,0,0.8,0.8,0.6,0.4,0.2,-10,-10,0.7,0.7
1899,0,0.3,1.6,-3,-4,0,40,10,0.6,0.8,0.8,0.4,0,0,0,0,0
1900,0,0.3,1.6,-3,-4,0,0,0,0.6,0.6,0.3,0.2,0,0,0,0,0
1901,0,0.3,1.6,2,0,0,20,0,0.7,0.8,0.5,0.2,0,0,0,0,0
1902,0,0.3,1.6,-3,-4,0,0,0,0.5,0.5,0.25,0.15,0,0,0,0,0
1903,0,0.3,1.2,0,0,0,15,10,0.6,0.5,0.3,0.2,0,0,0,0,0
1904,0,0.3,1.2,0,0,0,0,0,0.6,0.5,0.3,0.2,0,0,0,0,0
1905,0,0.2,0.4,0,0,0,0,0,0.6,0.4,0.25,0.15,0,0,0,0,0
1906,0,0.2,0.4,0,0,0,15,0,0.6,0.4,0.25,0.15,0,0,0,0,0
1907,0,0.2,0.5,0,0,0,0,0,0.5,0.3,0.3,0.3,0,0,0,0,0
1908,0,0.2,0.5,-5,0,0,15,0,0.6,0.3,0.3,0.15,0,0,0,0,0
1909,-2,0.75,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1910,-5,0.7,0.9,2,-6,7.5,25,25,0.95,0.95,0.95,0.8,0.5,0,0,0,0
1911,0,0.7,0.9,-3,-3,2.5,10,10,0.3,0.35,0.35,0.25,0.25,0,0,0,0
1912,0,0.7,0.9,-5,-4,10,20,20,0.7,0.7,0.7,0.5,0.3,0,0,0,0
1913,0,0.3,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1914,0,0.5,1,0,0,10,25,0,0.7,0.6,0.6,0.5,0,0,0,0,0
1915,0,0.5,1,0,0,6,15,0,0.42,0.36,0.36,0.3,0,0,0,0,0
1916,-2,0.75,0.9,-4,-6,10,20,20,0.8,0.6,0.6,0.5,0.3,0,0,0,0
1917,-5,0.7,0.9,2,-6,7.5,25,25,0.95,0.95,0.95,0.8,0.5,0,0,0,0
1918,0,0.7,0.9,-5,-3,10,20,10,0.8,0.7,0.35,0.25,0.25,0,0,0,0
1919,0,0.7,0.9,-5,-4,10,20,20,0.7,0.7,0.7,0.5,0.3,0,0,0,0
1920,0,0.3,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1921,-2,0.75,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1922,-5,0.7,0.9,2,-6,7.5,25,25,0.95,0.95,0.95,0.8,0.5,0,0,0,0
1923,0,0.7,0.9,0,0,0,5,5,0.3,0.3,0.3,0.25,0.25,0,0,0,0
1924,0,0.7,0.9,-5,-4,10,20,20,0.7,0.7,0.7,0.5,0.3,0,0,0,0
1925,0,0.3,0.9,-4,-6,5,20,20,0.6,0.7,0.7,0.5,0.3,0,0,0,0
1926,0,0.3,0.8,-5,3,3,3,12,0.8,0.8,0.8,0.6,0.8,0,0,0,0
1928,0,0.6,0.8,-1,-1,6,10,10,0.8,0.8,0.6,0.5,0.4,0,0,0,0
1929,5,0.5,0.35,-5,0,0,20,20,0.9,0.8,0.8,0.8,0.5,0,0,0,0
1930,0,0.5,0.35,-2,-5,0,10,20,0.7,0.6,0.6,0.3,0,0,0,0,0
1931,0,0.5,0.35,-5,-5,15,15,10,0.8,0.7,0.7,0.5,0.3,0,0,0,0
1932,3,0.6,0.35,0,0,15,15,10,0.95,0.8,0.8,0.3,0.2,0,0,0,0
1948,0,0.3,0.3,-6,-7,-3,0,0,0.6,0.8,0.6,0.5,0,0,0,0,0
1949,0,0.5,0.3,0,0,0,0,0,0.6,0.8,0.6,0.25,0,0,0,0,0
1950,0,0.3,0.3,5,4,0,0,0,0.8,0.98,0.98,0.8,0,0,0,0,0
1951,0,0.3,0.3,10,-8,0,0,0,0.5,0.5,0.4,0.4,0,0,0,0,0
1952,-5,0.6,0.3,5,4,0,0,0,0.8,0.98,0.9,0.4,0,0,0,0,0
