Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Trinket,iLvl,70,5,19,12,50,65,0,1
Held In Off-hand,iLvl,71,5,19,23,60,65,0,1
Shields,iLvl,72,5,25,14,70,65,0,3
Shirt,iLvl,73,5,19,4,80,65,0,1
Head,iLvl,74,5,19,1,90,65,0,1
Cosmetic,iLvl,75,5,24,0,60,24,0,1
Containers,Slots,76,2,0,0,300,0,0,2
Bag,Slots,77,2,2,0,10,76,0,2
Mining Bag,Slots,78,2,118,0,20,76,0,2
Tackle Box,Slots,79,2,171,0,30,76,0,2
Inscription Bag,Slots,80,2,167,0,40,76,0,2
Leatherworking Bag,Slots,81,2,149,0,50,76,0,2
Herb Bag,Slots,82,2,109,0,60,76,0,2
Enchanting Bag,Slots,83,2,110,0,70,76,0,2
Engineering Bag,Slots,84,2,111,0,80,76,0,2
Gem Bag,Slots,85,2,116,0,90,76,0,2
Cooking Bag,Slots,86,2,179,0,100,76,0,2
Gems,iLvl,87,4,0,0,400,0,0,1
Artifact Relic,iLvl,88,4,187,0,10,87,0,1
Intellect,iLvl,89,4,36,0,20,87,0,1
Agility,iLvl,90,4,119,0,30,87,0,1
Strength,iLvl,91,4,120,0,40,87,0,1
Stamina,iLvl,92,4,121,0,50,87,0,1
Critical Strike,iLvl,93,4,123,0,60,87,0,1
Mastery,iLvl,94,4,124,0,70,87,0,1
Haste,iLvl,95,4,125,0,80,87,0,1
Versatility,iLvl,96,4,126,0,90,87,0,1
Other,iLvl,97,4,169,0,100,87,0,1
Multiple Stats,iLvl,98,4,170,0,110,87,0,1
Item Enhancements,iLvl,99,9,0,0,500,0,0,1
Chest,iLvl,100,9,191,0,10,99,0,1
Wrist,iLvl,101,9,192,0,20,99,0,1
Hands,iLvl,102,9,193,0,30,99,0,1
Misc,iLvl,103,9,201,0,40,99,0,1
Head,iLvl,104,9,48,0,50,99,0,1
Two-Handed Weapon,iLvl,105,9,199,0,60,99,0,1
Shield/Off-hand,iLvl,106,9,200,0,70,99,0,1
Shoulder,iLvl,107,9,189,0,80,99,0,1
Cloak,iLvl,108,9,190,0,90,99,0,1
Weapon,iLvl,109,9,198,0,100,99,0,1
Finger,iLvl,110,9,197,0,110,99,0,1
Feet,iLvl,111,9,196,0,120,99,0,1
Legs,iLvl,112,9,195,0,130,99,0,1
Waist,iLvl,113,9,194,0,140,99,0,1
Consumables,Level,114,1,0,0,600,0,0,3
Vantus Runes,Level,115,1,184,0,10,114,0,3
Flasks & Phials,Level,116,1,131,0,20,114,0,3
Explosives and Devices,Level,117,1,43,0,30,114,0,3
Potions,Level,118,1,44,0,40,114,0,3
Elixirs,Level,119,1,45,0,50,114,0,3
Food & Drink,Level,120,1,133,0,60,114,0,3
Bandages,Level,121,1,135,0,70,114,0,3
Other,Level,122,1,136,0,80,114,0,3
Glyphs,,123,17,0,0,700,0,0,0
Druid,,124,17,161,0,10,123,0,0
Warlock,,125,17,160,0,20,123,0,0
Mage,,126,17,159,0,30,123,0,0
Shaman,,127,17,158,0,40,123,0,0
Priest,,128,17,157,0,50,123,0,0
Rogue,,129,17,156,0,60,123,0,0
Hunter,,130,17,155,0,70,123,0,0
Paladin,,131,17,154,0,80,123,0,0
Death Knight,,132,17,162,0,90,123,0,0
Monk,,133,17,177,0,100,123,0,0
Warrior,,134,17,153,0,110,123,0,0
Demon Hunter,,135,17,183,0,120,123,0,0
Trade Goods,,136,8,0,0,800,0,0,0
Cloth,,137,8,137,0,10,136,0,0
Leather,,138,8,138,0,20,136,0,0
Metal & Stone,,139,8,139,0,30,136,0,0
Cooking,,140,8,140,0,40,136,0,0
Herb,,141,8,141,0,50,136,0,0
Enchanting,,142,8,148,0,50,136,0,0
Inscription,,143,8,185,0,60,136,0,0
Jewelcrafting,,144,8,115,0,70,136,0,0
Parts,,145,8,38,0,80,136,0,0
Elemental,,146,8,142,0,90,136,0,0
Optional Reagents,,147,8,327,0,100,136,0,0
Other,,148,8,143,0,110,136,0,0
Recipes,Skill,149,10,0,0,900,0,0,4
Inscription,Skill,150,10,168,0,10,149,0,4
Tailoring,Skill,151,10,42,0,20,149,0,4
Leatherworking,Skill,152,10,41,0,30,149,0,4
Jewelcrafting,Skill,153,10,106,0,40,149,0,4
Alchemy,Skill,154,10,102,0,50,149,0,4
Blacksmithing,Skill,155,10,100,0,60,149,0,4
Engineering,Skill,156,10,99,0,70,149,0,4
Enchanting,Skill,157,10,104,0,80,149,0,4
Cooking,Skill,158,10,101,0,90,149,0,4
First Aid,Skill,159,10,103,0,100,149,0,4
Fishing,Skill,160,10,105,0,110,149,0,4
Book,Skill,161,10,40,0,120,149,0,4
Battle Pets,Level,162,18,0,0,1000,0,0,3
Companion Pets,Level,163,16,145,0,1000,162,0,3
Quest Items,,164,13,0,0,1100,0,0,0
Miscellaneous,,165,16,0,0,1200,0,0,0
Junk,,166,16,52,0,10,165,0,0
Reagent,,167,16,144,0,20,165,0,0
Holiday,,168,16,146,0,30,165,0,0
Other,,169,16,147,0,40,165,0,0
Mount,,170,16,152,0,50,165,0,0
Mount Equipment,,171,16,326,0,60,165,0,0
Profession Equipment,iLvl,172,145,0,0,950,0,0,1
Inscription,iLvl,173,145,341,0,10,172,0,1
Tailoring,iLvl,174,145,335,0,20,172,0,1
Leatherworking,iLvl,175,145,330,0,30,172,0,1
Jewelcrafting,iLvl,176,145,340,0,40,172,0,1
Alchemy,iLvl,177,145,331,0,50,172,0,1
Blacksmithing,iLvl,178,145,329,0,60,172,0,1
Engineering,iLvl,179,145,336,0,70,172,0,1
Enchanting,iLvl,180,145,337,0,80,172,0,1
Cooking,iLvl,181,145,333,0,120,172,0,1
Fishing,iLvl,182,145,338,0,130,172,0,1
Tools,iLvl,183,145,341,29,10,173,0,1
Accessories,iLvl,184,145,341,30,20,173,0,1
Tools,iLvl,185,145,340,29,10,176,0,1
Accessories,iLvl,186,145,340,30,20,176,0,1
Accessories,iLvl,187,145,335,30,20,174,0,1
Tools,iLvl,188,145,335,29,10,174,0,1
Tools,iLvl,189,145,330,29,10,175,0,1
Accessories,iLvl,190,145,330,30,20,175,0,1
Tools,iLvl,191,145,331,29,10,177,0,1
Accessories,iLvl,192,145,331,30,20,177,0,1
Tools,iLvl,193,145,329,29,10,178,0,1
Accessories,iLvl,194,145,329,30,20,178,0,1
Tools,iLvl,195,145,336,29,10,179,0,1
Accessories,iLvl,196,145,336,30,20,179,0,1
Tools,iLvl,197,145,337,29,10,180,0,1
Accessories,iLvl,198,145,337,30,20,180,0,1
Tools,iLvl,199,145,333,29,10,181,0,1
Accessories,iLvl,200,145,333,30,20,181,0,1
Tools,iLvl,201,145,338,29,10,182,0,1
Accessories,iLvl,202,145,338,30,20,182,0,1
Mining,iLvl,203,145,334,0,90,172,0,1
Herbalism,iLvl,204,145,332,0,100,172,0,1
Skinning,iLvl,205,145,339,0,110,172,0,1
Accessories,iLvl,206,145,334,30,20,203,0,1
Tools,iLvl,207,145,334,29,10,203,0,1
Accessories,iLvl,208,145,332,30,20,204,0,1
Tools,iLvl,209,145,332,29,10,204,0,1
Accessories,iLvl,210,145,339,30,20,205,0,1
Tools,iLvl,211,145,339,29,10,205,0,1
Neck,iLvl,212,9,188,0,45,99,0,0
Reagent Bag,Slots,215,2,344,0,15,76,0,2
