ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
137,Hurricane,Cast by the druid to damage many enemies.,0,1,136018,0,0
138,Berserk,Significantly increases the druid's burst damage.,0,1,236149,0,0
139,Celestial Alignment,Significantly increases the druid's burst damage.,0,1,136060,0,0
140,Provoke,Forces the enemy to attack the monk.,0,1,620830,0,0
141,Guard,Used by a monk to significantly reduce damage.,0,1,611417,0,0
142,Chi Wave,Cast by a monk to heal a group of allies.,0,1,606541,0,0
143,Roll,Used by a monk to quickly move out of harm's way.,0,1,574574,0,0
144,Paralysis,Used by a monk to neutralize a dangerous enemy.,0,1,629534,0,0
145,Detox,Cast by a monk to remove a harmful magic effect.,0,1,460692,0,0
146,Mana Tea,Cast by a monk to quickly regenerate the target's mana.,0,1,608949,0,2
147,Spear Hand Strike,Used by a monk to interrupt a spell.,0,1,608940,0,0
148,Dispel Magic,Cast by a priest to remove a harmful magic effect.,0,1,135894,0,0
149,Shadowfiend,Cast by a priest to greatly increase burst damage and mana regeneration.,0,1,136199,0,2
150,Mind Sear,Cast by a priest to damage many enemies.,0,1,237565,0,0
151,Dominate Mind,Cast by a priest to neutralize a dangerous enemy.  Wildly popular in AB and EotS.,0,1,136206,0,0
152,Power Infusion,Cast by a priest to greatly increase burst damage.,0,1,135939,0,0
153,Water Shield,Cast by a shaman to greatly increase mana regeneration.,0,1,132315,0,2
154,Chain Lightning,Cast by a shaman to damage many enemies.,0,1,136015,0,0
155,Wind Shear,Cast by a shaman to interrupt a spell.,0,1,463565,0,0
156,Ghost Wolf,Cast by a shaman to quickly move out of harm's way.,0,1,136095,0,0
157,Hex,Cast by a shaman to neutralize a dangerous enemy.  Also makes them feel dumb.,0,1,237579,0,0
158,Ascendance,Cast by a shaman to greatly increase burst damage.  Seems unfair at times.,0,1,135791,0,0
159,Evasion,Used by a rogue to avoid significant damage.,0,1,136205,0,0
160,Sprint,"Used by a rogue to escape harm's way.  Or, to move quickly between the mailbox and auction house.",0,1,132307,0,0
161,Fan of Knives,Used by a rogue to damage many enemies.,0,1,236273,0,0
162,Marked for Death,Used by a rogue to greatly increase burst damage.,0,1,236364,0,0
163,Feign Death,Used by a hunter to force the enemy to attack a different target.,0,1,132293,0,0
164,Deterrence,Used by a hunter to prevent damage.,0,1,132369,0,0
165,Disengage,Used by a hunter to quickly move out of harm's way.,0,1,132294,0,0
166,Counter Shot,Used by a hunter to interrupt a spell.,0,1,249170,0,0
167,Freezing Trap,Used by a hunter to neutralize a dangerous enemy.  Watch your step!,0,1,135834,0,0
168,Ice Block,Cast by a mage to prevent massive damage.  For a while.,0,1,135841,0,0
169,Conjure Food,Your body needs energy to perform to its fullest!,0,1,609812,0,2
170,Blink,Cast by a mage to quickly teleport out of harm's way.  Hax.,0,1,135736,0,0
171,Counterspell,Cast by a mage to interrupt a spell.,0,1,135856,0,0
172,Polymorph,Cast by a mage to neutralize a dangerous enemy.,0,1,136071,0,0
173,Time Warp,Cast by a mage to greatly increase burst damage.,0,1,458224,0,0
174,Unending Resolve,Cast by a warlock to prevent significant damage.,0,1,136150,0,0
175,Drain Life,Cast by a warlock to regain life.  Duh.,0,1,136169,0,0
176,Singe Magic,Cast by an annoying imp to remove a harmful magic effect.,0,1,841219,0,0
177,Metamorphosis,Cast by a warlock pretending to be a demon hunter. Greatly increases burst damage.,0,1,236293,0,0
178,Rain of Fire,Cast by a warlock to damage many enemies.,0,1,135804,0,0
179,Spell Lock,Cast by a warlock to interrupt a spell.,0,1,136174,0,0
180,Fear,Used to neutralize a dangerous opponent.  Sometimes causes them to violate basic laws of physics.  Odd.,0,1,136183,0,0
181,Summon Infernal,Cast by a warlock to feel powerful and deal significant damage.  Makes nearby innocents very nervous.,0,1,136219,0,0
182,Dash,"Used by a druid to quickly dash out of harm's way, as if they didn't already move fast enough.",0,1,132120,0,0
183,Energizing Brew,Used by a monk to significantly increase burst damage.  Also tastes fantastic.,0,1,608938,0,0
199,Extra Training,Grants a bonus to XP upon mission completion.,0,1,236221,0,2
200,Extra Training,Grants a bonus to XP upon mission completion.,0,1,236221,0,2
201,Combat Experience,Grants a bonus to mission success chance.,11,1,458725,0,51
202,Combat Experience,Grants a bonus to mission success chance.,0,1,236221,0,2
203,Teleport,Reduces travel time of missions.,0,1,236221,0,2
204,Teleport,Reduces travel time of missions.,0,1,236221,0,2
205,Salvage Arms,Awards a bonus to garrison resources upon mission completion.,0,1,236221,0,2
206,Salvage Arms,Awards a bonus to garrison resources upon mission completion.,0,1,236221,0,2
221,Epic Mount,Reduces mission time by 50%.,8,1,631718,0,1
222,Powered By Death,Reduces mission duration by 25%.,0,1,575534,0,3
227,Angler,With Nat's knowledge your fishing skill in Draenor allows you to catch lunkers without bait.,5,1,236574,0,19
228,Evergreen,"When assigned to the Lumber Mill, can more efficiently and humanely processes timber.",5,1,236160,0,19
231,Bodyguard,Can accompany you as a guardian in Draenor when assigned to a level 2 or 3 barracks.,5,1,1037260,0,19
232,Dancer,Your lithe moves help you skip out of danger zones just a bit more quickly.,12,1,132171,0,3
236,Hearthstone Pro,"A master tactician, and a must-watch.  Party members gain experience 35% more quickly.",7,1,1061040,0,3
244,Brute,Greatly increases success chance when on a mission alone.,9,1,1035504,0,19
248,Mentor,Accompanying followers gain this follower's combat effectiveness.,7,1,442732,0,19
249,Explorer Extraordinaire,"An expert in both Beast Lore and Terrain Exploration, Harrison can anticipate all incoming danger.

|cFFFFD200""Fortune and glory, kid. Fortune and glory."" - Harrison Jones |r",0,1,646781,0,18
250,Speed of Light,The Sun-touched Feather of Rukhmar infuses a follower with epic speed.,8,1,642580,0,3
252,Ogre Buddy,Increases success chance when on a mission with an ogre.,4,1,1030796,0,3
253,Mechano Affictionado,Increases success chance when on a mission with a construct or machine.,4,1,254104,0,3
254,Bird Watcher,Increases success chance when on a mission with an arakkoa.,4,1,1042646,0,3
255,Wildling,Increases success chance when on a mission with a beastly companion.,4,1,134176,0,3
256,Extreme Scavenger,Increases the garrison resources gained from a mission by 200%.,7,1,1005027,0,1
257,Test - Temporary Follower Ability,Temporary follower ability description.  Lasts for one mission.,0,1,463852,0,65
260,Boarding Party,Allows transports to run missions that require boots on the ground.,0,2,1141393,0,51
261,Submarine,Allows the submarine to become invisible to radar and sneak up on enemy ships.,0,2,1141396,0,51
262,Battleship,Fires armor piercing rounds that cleanly cut through armor.,0,2,1141390,0,51
263,Destroyer,"Drops explosive shells into the water, destroying submerged craft.",0,2,1141395,0,51
264,Carrier,A fleet of bombers that can attack from the air.,0,2,1141394,0,51
265,Ice Cutter,Slices a path through Icy Waters.,0,2,892834,0,0
266,Bilge Pump,"Pumps out excess water from the ship, allowing it to remain afloat during Stormy Weather.",0,2,986488,0,0
267,High Intensity Fog Lights,Burn through the fog (and maybe some retinas) with these super illuminating lights.,0,2,460953,0,0
268,Gyroscopic Internal Stabilizer,"Keeps the ship upright and stable, allowing it to move effortlessly around Chaotic Whirlpools.",0,2,657937,0,0
269,Blast Furnace,"A massive furnace, capable of producing 11 out of 10 power.",0,2,900306,0,0
270,True Iron Rudder,Reinforces the rudder to allow tighter turns at higher speeds.,0,2,986491,0,0
271,Trained Shark Tank,Mines are no match for a tank of trained sharks.,0,2,294472,0,0
272,Felsmoke Launcher,"Creates a smoke screen around your ship, blocking sight on a First Strike.",0,2,627487,0,0
273,Nitro Fuel Tanks,"Allows the ship to burn nitro fuel, getting it to and from destinations quicker.  Reduces mission time by 50%.",0,2,237030,0,18
274,Salty Crew,This crew has seen it all and has the hats to prove it.  Grants a bonus to mission success chance.,0,2,669453,0,18
275,Unsinkable,"On a devastating hit, saves the ship by surrounding the ship with an impenetrable shield. Unsinkable is destroyed when triggered.",0,2,1030102,0,2
276,Food Storage Bay,"Adds space for additional food stores, improving success chance on long missions.",0,2,651578,0,18
277,Automated Sky Scanner,Increases success chance when on a mission with a Carrier.,0,2,133873,0,0
278,Ammo Reserves,Increases success chance when on a mission with a Battleship.,0,2,249177,0,0
279,Sonic Amplification Field,Increases success chance when on a mission with a Destroyer.,0,2,252188,0,0
280,Extra Quarters,Increases success chance when on a mission with a Transport.,0,2,133004,0,0
281,Q-43 Noisemaker Mines,Increases success chance when on a mission with a Submarine.,0,2,948864,0,0
282,Orc Crew,The icy waters surrounding Frostfire have long been training grounds for navigating Icy Waters.,0,2,236452,284,5
283,Dwarven Crew,Allows naval equipment to be recovered from successful missions.,0,2,236443,286,9
284,Draenic Crew,Draenei are adept at navigating the Dense Fog surrounding Shadowmoon Valley.,0,2,236442,282,9
285,Tauren Crew,Increases the experience gained from a mission for all ships by 50%.,0,2,236453,291,5
286,Goblin Crew,Allows naval equipment to be recovered from successful missions.,0,2,632354,283,5
287,Gnomish Crew,Allows naval equipment to be recovered from successful missions.,0,2,236446,290,9
288,Night Elf Crew,Reduces mission time by 50%.,0,2,236450,289,9
289,Blood Elf Crew,Reduces mission time by 50%.,0,2,236439,288,5
290,Troll Crew,Allows naval equipment to be recovered from successful missions.,0,2,236456,287,5
291,Worgen Crew,Increases the experience gained from a mission for all ships by 50%.,0,2,463876,285,9
292,Human Crew,Increases success chance on missions.,0,2,236447,293,9
293,Undead Crew,Increases success chance on missions.,0,2,236457,292,5
294,Pandaren Crew,"Pandaren crewman stash extra supplies on their ships, which helps on long missions.",0,2,626190,0,1
299,Empty Equipment Bay,Attach ship equipment to this bay.,0,2,0,0,2
300,Empty Equipment Bay,Attach ship equipment to this bay.,0,2,0,0,2
303,Demonic Knowledge,Grants a large bonus to mission success chance.,11,1,1020342,0,51
304,Wreckage Recovery Module,"When deployed on a successful mission, filters the surrounding waters and returns a box full of useful junk.",0,2,236815,0,18
305,Tuskarr Fishing Net,"A fishing net that is attached to the back of a ship, courtesy of the tuskarr.  Supplies fish when returning from a successful mission.",0,2,134325,0,2
306,Ghostly Spyglass,A long spyglass that seems to display nothing when you look through it.  Maybe it will come in handy.,0,2,134441,0,2
307,Fel Rush,Lunges toward an enemy. Sometimes used on critters to travel quickly.,0,4,135788,0,0
308,Chaos Nova,Used by demon hunters to control multiple dangerous enemies at once.,0,4,135795,0,0
309,Stone Skin,Demon hunters can cover their skin in fel stone to absorb large blows. Also notoriously uncomfortable.,0,4,538745,0,0
310,Immolation,"Some demon hunters take the mantra ""fight fire with fire"" a bit too seriously.",0,4,135817,0,0
311,Devour Magic,Magic is a delicacy among the Illidari. Tastes like chicken.,0,4,236298,0,0
312,Vengeful Retreat,Used by demon hunters to who are... not prepared.,0,4,236171,0,0
313,Metamorphosis,Demon hunters can unleash the demon within to defeat the strongest foes.,0,4,237558,0,0
314,Greasemonkey,Increases the oil gained from a mission by 100%.,7,1,252178,0,1
315,Murloc Crew,"Murlocs can exit their ship and swim ashore even when underwater, always functioning as a Transport.  Being amphibious has its perks.",0,2,134169,0,3
317,Apexis Storm,The kraken unleashed in this area grants Apexis Crystals upon completion of any successful mission.,0,2,1061300,0,2
318,Air Superiority,"An airship spots and attacks hostile ships in the area, increasing the success chance of missions.",0,2,342918,0,2
319,Captain Reania's Command,Increases the experience gained from a mission for all ships by 50%.,0,2,1139028,0,2
320,Treasure Map,Grants additional Apexis Crystals upon completion of any successful mission.,0,2,237386,0,2
321,Captain Thokash's Command,Increases the experience gained from a mission for all ships by 50%.,0,2,1126434,0,2
322,Fearless Privateer,Increases the success chance of missions.,0,2,1126433,0,2
323,Boarding Party,Allows transports to run missions that require boots on the ground.,0,2,1141392,0,51
324,Apex Predator,Greatly increases success chance when fighting many creature types.,1,1,236186,0,19
325,Exorcist,"Grants a bonus to mission success chance, and provides a greater success chance when fighting demons.",1,1,236262,0,19
326,Apexis Attenuation,Increases the Apexis Crystals gained from a mission by 100%.,7,1,1061300,0,19
327,Arakkoa Crew,Capable of launching attacks from the air.,0,2,1042646,0,3
331,Elemental,A spellcaster who harnesses the destructive forces of nature and the elements to counter some |C00b3ffffBosses|R.,0,4,136048,0,560
332,Enhancement,A totemic warrior who strikes foes with weapons imbued with elemental power to counter some |C00b3ffffBosses|R.,0,4,132314,0,560
333,Restoration,A healer who calls upon ancestral spirits and the cleansing power of water to counter some |C00b3ffffBosses|R.,0,4,136052,0,560
334,Windwalker,A martial artist without peer who counters some |C00b3ffffBosses|R with hands and fists.,0,4,608953,0,560
335,Brewmaster,"A sturdy brawler who counters some |C00b3ffffBosses|R, using liquid fortification and unpredictable movement.",0,4,608951,0,560
336,Mistweaver,A healer who masters the mysterious arts of manipulating life energies to counter some |C00b3ffffBosses|R.,0,4,608952,0,560
337,Affliction,A master of shadow magic who specializes in drains and damage-over-time spells to counter some |C00b3ffffBosses|R.,0,4,136145,0,560
338,Demonology,A master of demons who compels demonic powers to aid them in countering some |C00b3ffffBosses|R.,0,4,136172,0,560
339,Destruction,A master of chaos who calls down fire to burn and counter some |C00b3ffffBosses|R.,0,4,136186,0,560
340,Holy,Invokes the power of the Light to protect and to counter some |C00b3ffffBosses|R.,0,4,135920,0,560
341,Retribution,A righteous crusader who judges and counters some |C00b3ffffBosses|R with weapons and Holy magic.,0,4,135873,0,560
342,Protection,Uses Holy magic to shield themselves and defend allies to counter some |C00b3ffffBosses|R.,0,4,236264,0,560
343,Fury,"A furious berserker wielding a weapon in each hand, unleash a flurry of attacks to counter some |C00b3ffffBosses|R.",0,4,132347,0,560
344,Arms,"A battle-hardened master of two-handed weapons, using mobility and overpowering attacks to counter some |C00b3ffffBosses|R.",0,4,132355,0,560
345,Protection,A stalwart protector who uses a shield to counter |C00b3ffffBosses|R.,0,4,132341,0,560
346,Arcane,Manipulate the arcane to counter some |C00b3ffffBosses|R with overwhelming power.,0,4,135932,0,560
347,Fire,Ignite the air around you with balls of fire and combustive flames to counter some |C00b3ffffBosses|R.,0,4,135812,0,560
348,Frost,Counter some |C00b3ffffBosses|R by freezing them in their tracks and shattering them with Frost magic.,0,4,135846,0,560
349,Outlaw,"A ruthless fugitive who uses ability and guile to stand toe-to-toe, countering some |C00b3ffffBosses|R.",0,4,135340,0,560
350,Subtlety,A dark stalker who leaps from the shadows to ambush and counter some |C00b3ffffBosses|R.,0,4,132320,0,560
351,Assassination,A deadly master of poisons who counters some |C00b3ffffBosses|R with vicious dagger strikes.,0,4,236270,0,560
352,Holy,A versatile healer who can counter some |C00b3ffffBosses|R.,0,4,237542,0,560
353,Shadow,"Uses sinister Shadow magic, to counter some |C00b3ffffBosses|R.",0,4,136207,0,560
354,Discipline,Uses magic to shield allies from taking damage to counter some |C00b3ffffBosses|R.,0,4,135940,0,560
355,Balance,"Can take on the form of a powerful Moonkin, balancing the power of Arcane and Nature magic to counter some |C00b3ffffBosses|R.",0,4,136096,0,560
356,Feral,"Takes on the form of a great cat to deal damage with bleeds and bites, to counter some |C00b3ffffBosses|R.",0,4,132115,0,560
357,Restoration,Uses powerful Nature spells to keep allies alive and counter some |C00b3ffffBosses|R.,0,4,136041,0,560
358,Havoc,A brooding master of warglaives who uses the destructive power of Fel Magic to counter some |C00b3ffffBosses|R.,0,4,1247264,0,560
359,Vengeance,"Embraces the demon within to incinerate enemies and protect allies, countering some |C00b3ffffBosses|R.",0,4,1247265,0,560
360,Outcast,"Allies of the Demon Hunters made up of Naga, Broken and even demons, the Outcast employ a variety of techniques to counter some |C00b3ffffBosses|R.",0,4,1391770,0,560
361,Frost,"An icy harbinger of doom, channeling runic power and delivering vicious weapon strikes to counter some |C00b3ffffBosses|R.",0,4,135773,0,560
362,Blood,"A dark guardian who manipulates and corrupts life energy to sustain themselves in the face of an enemy onslaught, countering some |C00b3ffffBosses|R.",0,4,135770,0,560
363,Unholy,"A master of death and decay, spreading infection and controlling undead minions to counter some |C00b3ffffBosses|R.",0,4,135775,0,560
364,Beast Mastery,A master of the wild who can tame a wide variety of beasts to assist them in countering some |C00b3ffffBosses|R.,0,4,461112,0,560
365,Marksmanship,A master archer or sharpshooter who excels in countering some |C00b3ffffBosses|R from afar.,0,4,236179,0,560
366,Survival,"A rugged tracker who counters some |C00b3ffffBosses|R using animal venom, explosives and traps as deadly weapons.",0,4,461113,0,560
388,Traveler's Backpack,"When sent on missions, theres a chance you will bring back a random item.",0,4,133633,0,2
389,Felsworn Gas Mask,Negates the stench created by Fel corrupted air.,0,4,133133,0,2
393,Invasion Thwated,Increases the success chance of missions in this area.,0,4,1099803,0,2
394,Chenship,Increases success chance of mission by ${$a478}% when accompanied by Chen Stormstout.,0,4,236701,0,18
404,Carrot on a Stick,Reduces mission duration by 3%.,0,4,134010,0,2
406,Portable Teleporter,Reduces mission duration by 30%.,0,4,321487,0,2
407,Path of the Ox,Increases success chance of missions by ${$a491}% when accompanied by Initiates of the Ox.,0,4,615340,0,18
408,Path of the Tiger,"Increases success chance of missions by ${$a492}% when accompanied by Tiger Initiates, Tiger Adepts or Tiger Masters.",0,4,606548,0,18
410,Test - Follower Test Ability,Test follower ability description,0,4,463852,0,321
412,Roll,Roll a short distance to counter a |C00b3ffffHazard|R.,0,4,574574,0,16
413,7.0 - Test - Anders Garrison Ability Test,"Desc of ID410 $@garrabdesc410 
7 * action flat: ${$a497*7$}
Combatmax /  by 5: ${$m497/5$}
Base + max: ${$b497+$m497$}
Hours - 10: ${$h497-10$}
No expression: $a497  -  $m497
My spellDesc $@spelldesc191997",11,4,1028994,0,0
414,Empty Equipment Slot,Equip items here.,0,4,0,0,1025
415,Empty Equipment Slot,Equip items here.,0,4,0,0,1025
416,Breath of Fire,Breathe fire in front of you to counter a |C00b3ffffMinion|R.,0,4,615339,0,16
417,Spear Hand Strike,"Jab the enemy in the throat, to counter a |C00b3ffffSpell|R.",0,4,608940,0,16
418,Go Bananas,Chance from successful missions to return with a Golden Banana. Golden Bananas are given to Champions to improve success chance.,0,4,133980,0,18
419,Fists of Fury,Increases success chance of missions with |C00b3ffffMinions|R by ${$a503}%.,0,4,627606,0,18
420,Brewer's Luck,Increases success chance of missions with |C00b3ffffHazards|R by ${$a504}%.,0,4,839394,0,18
421,Path of the Crane,Increases success chance of missions by ${$a505}% when accompanied by Initiates of the Crane.,0,4,988195,0,18
422,Hero of the Storm,Increases success chance when not accompanied by other Champions by ${$a506}%.,0,4,136111,0,18
423,Flying Serpent Kick,Reduces mission duration by ${100-$a507*100}%.,0,4,606545,0,18
428,Slowing,Mission duration increased.,0,4,1383681,0,0
435,Strength of the Ancients,Increases success chance of missions by ${$a523}%.,0,4,874857,0,18
436,Powerful,Reduces success chance.,0,4,1390116,0,0
437,Lethal,Troops on this mission will be killed.,0,4,1383682,0,0
438,Hellfire,"Ignite the area around the Warlock, to counter a |C00b3ffffMinion|R.",0,4,135818,0,16
439,Spell Lock,"Counters the enemy's spellcast, to counter a |C00b3ffffSpell|R.",0,4,136174,0,16
440,Demonic Circle,Teleports you to your Demonic Circle and counters a |C00b3ffffHazard|R.,0,4,237560,0,16
441,Wind Shear,"Disrupts the target's concentration with a burst of wind, to counter a |C00b3ffffSpell|R.",0,4,136018,0,16
442,Ghost Wolf,"Turns the Shaman into a Ghost Wolf, increasing movement speed to counter a |C00b3ffffHazard|R.",0,4,136095,0,16
443,Chain Lightning,"Hurls a lightning bolt at the enemy, dealing Nature damage to counter a |C00b3ffffMinion|R.",0,4,136015,0,16
444,Mind Freeze,Smash the target's mind with cold to counter a |C00b3ffffSpell|R.,0,4,237527,0,16
445,Death and Decay,"Corrupts the ground, causing Shadow damage to counter |C00b3ffffMinions|R.",0,4,136144,0,16
446,Icebound Fortitude,The Death Knight freezes their blood to counter a |C00b3ffffHazard|R.,0,4,237525,0,16
447,Aspect of the Cheetah,Increases movement speed for a short duration to counter a |C00b3ffffHazard|R.,0,4,132242,0,16
448,Explosive Trap,Set a fire trap at the target location that explodes to counter a |C00b3ffffMinion|R.,0,4,135826,0,16
449,Counter Shot,"Interrupts spellcasting, countering a |C00b3ffffSpell|R.",0,4,249170,0,16
450,Whirlwind,In a whirlwind of steel you counter a |C00b3ffffMinion|R.,0,4,132369,0,16
451,Heroic Leap,Leap through the air to counter a |C00b3ffffHazard|R.,0,4,236171,0,16
452,Pummel,"Pummel the target, to counter a |C00b3ffffSpell|R.",0,4,132938,0,16
453,Consecration,Consecrate the land beneath you to counter a |C00b3ffffMinion|R.,0,4,135926,0,16
454,Rebuke,Rebuke the enemy to counter a |C00b3ffffSpell|R.,0,4,523893,0,16
455,Divine Shield,Protects you from all damage to counter a |C00b3ffffHazard|R.,0,4,524354,0,16
456,Silence,Silences the target to counter a |C00b3ffffSpell|R.,0,4,458230,0,16
457,Holy Nova,Causes an explosion of holy light around the caster to counter a |C00b3ffffMinion|R.,0,4,135922,0,16
