ID,Pos[0],Pos[1],Pos[2],MapID
7438,1871.02,-4419.94,135.233,1
7439,-12451.6,219.819,31.6515,0
7440,1764.4,-4285.97,133.107,1
7441,2837.09,6184.84,121.991,571
7443,-221.669,931.35,84.38,530
7444,5586.82,4357.71,161.427,1116
7445,1966.39,66.2917,108.92,1116
7446,-2146.64,766.87,14.26,1642
7447,-393.536,4121.96,1.34222,1643
7448,-218.906,-1527.75,1.42441,1643
7449,4237.2,394.234,0.610021,1643
7450,5535.01,5019.88,12.64,1116
7459,5276.4,-4045.24,19.58,1116
7484,1292.3733,-106.57813,-330.10025,1718
7485,1150.5,-519.557,17.5329,1643
7488,-1142.57,779.252,433.326,1642
7489,1003.5,-417.769,-281.893,1718
7491,-1906.95,1033.59,4.8671,1642
7492,3349.02,4850.56,0.269304,1643
7493,3327.6,4856.08,2.82742,1643
7494,-714.485,4418.9,728.095,1220
7495,-2174.4,762.165,20.9987,1642
7496,1014.03,-485.519,20.0082,1643
7497,-217.74,-1554.51,2.73,1643
7498,3986.98,445.14,109.3,1643
7499,-406.7,4121.82,4.11,1643
7500,-2618.36,2266.79,12.88,1642
7501,2128.92,192.18,0.22,1642
7502,2831.18,4264.29,7.19,1642
7517,1142.95,-515.966,17.533,1643
7518,-7096,1302.7,-93.3,1
7519,-7086.57,1299.68,-93.405,1
7520,1143.6,-525.6,17.5,1643
7655,-8164.8,-4768.5,34.3,1
7656,1412.88,-4487.49,-2.66359,1
7657,-8153.36,-4808.22,36.557,1
7658,-8153.61,-4816.78,35.7809,1
7659,-8984.8,963.001,68.6839,0
7660,-8645.54,1308.25,5.23484,0
7661,8177.56,1002.66,6.66929,1
7662,8177.56,1002.66,6.66929,1
7676,1427.37,-4525.27,19.8045,2237
7894,2070.5122,289.158,97.03158,0
7895,2059.934,235.90973,99.76524,0
7896,2063.2449,364.2396,82.504425,0
7897,1950.8,-6174.23,24.3038,571
7898,-12396.4,217.48,1.69035,0
8017,1466.18,-4519.18,20.2849,1
8018,-9095.556,896.7031,68.04356,0
8019,-1834.19,1542.47,5274.16,2222
8020,-1834.19,1542.47,5274.16,2222
8207,-9041,917.66,66.69,0
8208,-4613.71,-915.29,501.06,0
8209,7415.11,46.24,2.76,1
8210,-4031.24,-11569.6,-138.3,530
8211,-3748.11,-4440.21,30.57,1
8212,-1824.32,5417.23,-12.43,530
8213,5807.75,588.35,660.94,571
8214,-369.21,1058.73,21.77,732
8215,303.22,347.21,125.53,0
8216,917.64,294.88,506.094,870
8217,3744.33,-4055.88,46.55,1116
8218,-935.17,4706.4,928.617,1513
8219,-828.72,4371.78,738.637,1220
8220,1137.36,-538.6,17.53,1643
8221,1445.21,-4499.56,18.3067,1
8222,1947.26,-98.15,41.1467,0
8223,-967.38,284.82,110.77,1
8224,9998.46,-7106.55,47.7059,530
8225,-10469,-3331.54,25.47,0
8226,-1902.49,5442.86,-12.43,530
8227,-603.72,1387.62,21.5384,732
8228,1579.65,897.84,473.6,870
8229,5267.77,-4060.26,20.97,1116
8230,-1129.19,774.15,433.325,1642
8323,-1834.224,1300.2067,5446.194,2222
8324,4608.93,6793.38,4867.65,2222
8342,4565.69,6895.49,4868.86,2222
8343,-1834.27,1541.95,5274.16,2222
8355,-3391.27,5462.78,4275.77,2222
8357,2579.47,-2517.65,3307.52,2222
8451,1646.31,2337.56,380.96,2453
8452,4644.16,6672.35,4840.52,2222
8454,4644.16,6672.35,4840.52,2222
8455,1646.31,2337.56,380.96,2453
8460,-1808.88,1537.94,5274.75,2222
8461,-9041.61,917.32,66.6876,0
8463,-1858.67,1538.31,5274.75,2222
8464,1439.93,-4484.69,-4.78058,1
8465,1468.2,-4520.67,20.2599,1
8475,-1834.21,1542.27,5274.16,2222
8486,-2983.85,-4501.56,6549.51,2222
8487,-6608.85,682.812,5620.22,2222
8756,4537.66,6713.26,4831.09,2222
8757,3473.16,5955.43,4877.01,2222
8758,3267.27,5760.56,4939.08,2222
8759,-1716.75,1402.68,5450.74,2222
9138,-1723.01,1282.88,5451.99,2222
9139,-4357.68,800.4,-40.99,2374
9174,-1941.27,1390.69,5269.73,2222
9233,1820.73,344.564,70.8108,0
9234,1790.59,344.559,70.8142,0
9235,1821.2,317.399,70.8148,0
9501,-8645.21,1330.57,5.53678,0
9502,3735.75,-1901.38,5.88092,2444
9503,3885.17,-1859.14,5.43444,2444
9504,1343.66,-4921.98,61.7144,1
9505,1473.53,-4499.38,19.8194,1
9506,275.702,-1025.99,870.631,2444
9507,247.353,-1064.72,870.848,2444
9508,-9077.96,873.264,68.1842,0
9610,-52.8771,787.317,75.2604,2454
9611,-16.9675,31.3629,175.222,2444
9612,-16.9675,31.3629,175.222,2444
9613,-52.8771,787.317,75.2604,2454
9630,266.7,-1048.16,871.11,2444
9631,-2026.79,3436.57,274.96,2454
9632,-2638.01,3432.62,445.784,2444
9633,-1544.26,3538.02,222.387,2454
9634,-1567.09,4131.84,393.03,2444
9635,-1567.09,4131.84,393.03,2444
9636,-1544.26,3538.02,222.387,2454
9637,-2638.01,3432.62,445.784,2444
9638,-2026.79,3436.57,274.96,2454
9766,-966.877,4604.5,735.296,1220
9767,2376.06,-5320.28,54.974,0
9768,-657.958,4363.85,748.577,1220
9777,-1222.2014,5429.4087,41.27019,2444
9778,-1222.2188,5429.382,41.270218,2444
9779,-1222.4567,5429.315,41.27027,2548
9780,-1222.4271,5429.213,41.27023,2548
9792,1805,327,70.5,2532
9793,1976.29,-6096.27,67.1595,571
9794,1820.73,344.564,70.8108,2532
9795,1821.2,317.399,70.8148,2532
9796,1790.59,344.559,70.8142,2532
9924,33.8944,-990.711,837.72,2444
9925,1235.42,-4144.14,26.2285,1
9926,-9134,334.513,92.8347,0
9927,-1220.8,62.4462,129.455,1
9928,9607.25,-7182.35,14.2783,530
9929,1827.78,258.303,59.7021,0
9930,-4922.27,-979.756,501.469,0
9931,9868.03,2494.51,1315.87,1
9932,-3970.11,-11860.2,0.538279,530
9945,92.0207,-1112.51,887.668,2444
9950,-1934.43,6852.18,183.277,2444
9951,-9126.13,971.79,73.5923,0
9952,-1960.38,6853.93,187.001,2444
9953,7416.26,-454.785,0.316142,1
9954,7416.26,-454.785,0.316142,1
9955,-1968.92,6855.01,187.001,2444
9956,5552.39,-3580.44,1567.94,1
9957,5552.39,-3580.44,1567.94,1
9958,-1968.92,6855.01,187.001,2444
9960,2325.57,6583.9,147.277,1220
9961,2325.57,6583.9,147.277,1220
9962,-1967.81,6864,187.244,2444
9963,-676.299,7022.55,14.5461,2444
9964,-4347.17,2320.58,11.3035,1
9965,-4347.17,2320.58,11.3035,1
9966,-676.299,7022.55,14.5461,2444
10073,2918.81,-2334.53,265.987,2552
10074,2981.67,-2397.56,265.987,2552
10075,1445.21,-4499.56,18.3067,1
10076,1444.81,-4512.77,-2.95482,1
10077,2915.57,-2400.36,265.859,2552
10078,-9041.61,917.32,66.687,0
10079,-9070.51,1013.76,73.9774,0
10080,2915.57,-2400.36,265.859,2552
10155,2915.68,-2400.33,265.858,2552
10177,-1721.01,7107.63,197.71,2548
10186,-4036.24,-3376.43,37.6532,1
10187,-884.33,4484.75,580.458,1220
10188,3632.58,271.995,52.2632,571
10189,-893.019,4506.61,580.458,1220
10190,-884.33,4484.75,580.458,1220
10191,-7104.82,-1254.48,273.776,0
10194,2463.25,-2324.14,-297.434,2552
10195,2470.97,-2334.03,-722.192,2552
10196,2467.09,-2396.32,408.562,2601
10197,2462.75,-2322.88,833.946,2601
10198,2678.58,-2291,362.718,2601
10199,2606.28,-2152.86,345.62,2601
10200,2606.28,-2152.86,345.62,2601
10201,2678.58,-2291,362.718,2601
10202,1608.07,-1760.78,-382.838,2601
10203,1607.89,-1769.31,-388.025,2601
10204,353.597,886.375,-462.624,2601
10205,-358.929,554.744,-995.487,2601
10206,1607.93,-1770.27,-388.501,2601
10207,1608.07,-1760.78,-382.838,2601
10208,317.426,798.459,-478.778,2601
10209,-364.937,553.036,-995.569,2601
10233,1607.92,-1775.32,-391.251,2601
10234,1608.63,-1765.08,-385.617,2601
10235,549.982,-2196.42,-964.144,2601
10246,-8791.18,642.022,94.6505,0
10247,-927.38,4566.12,729.27,1220
10248,1598.69,-4440.64,13.6269,1
10249,-748.12,4393.2,727.08,1220
10255,2466.98,-2395,408.573,2601
10261,549.617,-2421.79,-671.033,2601
10262,508.787,-2335.62,-807.426,2601
10263,549.617,-2421.79,-671.033,2601
10264,508.787,-2335.62,-807.426,2601
10265,2569.18,-2869.47,198.801,2552
10266,-368.86,-1473.83,-1094.53,2601
10267,-363.485,-1478.67,-1094.58,2601
10268,2571.27,-2869.31,198.797,2552
10285,2462.31,-2323.93,-290.001,2552
10291,-849.133,4473.86,588.849,1220
10292,2317.46,-1440.12,2034.19,2731
10393,-8163.22,-4753.57,33.515,1
10394,-8177.66,-4756.08,33.9269,1
10397,1970.9219,5.0590277,38.590565,2127
10398,3213.01,-3073.36,343.793,2552
10399,3225.74,-3073.52,342.687,2552
10400,1973.5642,6.642361,38.5237,2127
10402,2121.7744,50.446182,2.630986,2127
10403,2375.32,-2678.22,397.127,2601
10404,2375.32,-2678.22,397.127,2601
10405,2121.7744,50.446182,2.630986,2127
