ID,Field_5_5_0_61000_000,Field_5_5_0_61000_001,Field_5_5_0_61000_002,Field_5_5_0_61000_003,Field_5_5_0_61000_004,Field_5_5_0_61000_005,Field_5_5_0_61000_006,Field_5_5_0_61000_007,Field_5_5_0_61000_008,Field_5_5_0_61000_009,Field_5_5_0_61000_010,Field_5_5_0_61000_011,Field_5_5_0_61000_012,Field_5_5_0_61000_013,Field_5_5_0_61000_014,Field_5_5_0_61000_015,Field_5_5_0_61000_016,Field_5_5_0_61000_017,Field_5_5_0_61000_018,Field_5_5_0_61000_019,Field_5_5_0_61000_020,Field_5_5_0_61000_021,Field_5_5_0_61000_022,Field_5_5_0_61000_023,Field_5_5_0_61000_024,Field_5_5_0_61000_025,Field_5_5_0_61000_026,Field_5_5_0_61000_027,Field_5_5_0_61000_028,Field_5_5_0_61000_029,Field_5_5_0_61000_030,Field_5_5_0_61000_031[0],Field_5_5_0_61000_031[1],Field_5_5_0_61000_031[2],Field_5_5_0_61000_031[3],Field_5_5_0_61000_032[0],Field_5_5_0_61000_032[1],Field_5_5_0_61000_032[2],Field_5_5_0_61000_032[3],Field_5_5_0_61000_033[0],Field_5_5_0_61000_033[1],Field_5_5_0_61000_033[2],Field_5_5_0_61000_033[3],Field_5_5_0_61000_034[0],Field_5_5_0_61000_034[1],Field_5_5_0_61000_034[2],Field_5_5_0_61000_034[3],Field_5_5_0_61000_035[0],Field_5_5_0_61000_035[1],Field_5_5_0_61000_035[2],Field_5_5_0_61000_035[3],Field_5_5_0_61000_036[0],Field_5_5_0_61000_036[1],Field_5_5_0_61000_036[2],Field_5_5_0_61000_036[3],Field_5_5_0_61000_037[0],Field_5_5_0_61000_037[1],Field_5_5_0_61000_037[2],Field_5_5_0_61000_037[3],Field_5_5_0_61000_038[0],Field_5_5_0_61000_038[1],Field_5_5_0_61000_038[2],Field_5_5_0_61000_038[3]
11,11,16,11,14,5,7,14,5,24,8,6,5,8,4,27,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,61,99,149,53,81,132,198,43,66,107,161,46,71,116,173,36,56,91,136,30,46,74,111,33,51,83,124,23,35,58,87
12,12,17,11,15,5,7,15,5,27,9,7,5,9,4,28,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,64,104,156,56,85,138,208,46,69,112,169,49,74,121,182,39,58,95,143,32,48,78,117,35,53,86,130,25,37,60,91
13,13,18,12,16,6,8,16,6,27,9,7,5,9,4,29,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,67,108,163,58,89,145,217,47,72,118,176,51,78,127,190,40,61,100,149,33,50,82,122,36,56,91,136,25,39,63,95
14,14,19,12,16,6,8,16,6,30,10,8,6,10,4,31,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,69,113,170,61,93,151,227,50,76,123,184,53,81,132,199,42,64,104,156,34,52,85,128,38,58,94,142,27,41,66,99
15,15,20,13,17,6,8,17,6,33,11,8,6,11,5,32,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,72,118,177,63,96,157,236,51,78,128,192,55,84,137,207,43,66,108,162,35,54,88,133,39,60,98,148,28,42,69,103
16,16,21,14,18,7,9,18,7,33,11,8,6,11,5,33,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,75,123,184,66,100,164,246,54,81,133,200,58,88,144,215,45,69,113,169,37,56,92,138,41,63,103,154,29,44,72,108
17,17,22,14,19,7,9,19,7,36,12,9,7,12,5,34,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,78,128,192,68,104,170,255,55,85,138,207,60,91,149,223,47,72,117,175,38,59,96,143,43,65,106,159,30,46,74,112
18,18,23,15,19,7,9,19,7,36,12,9,7,12,5,36,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,81,132,199,71,108,176,265,58,88,143,215,62,95,154,232,49,74,121,182,40,61,99,149,44,68,110,166,31,47,77,116
19,19,24,15,20,7,10,20,7,39,13,10,7,13,6,37,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,84,137,206,73,112,183,275,59,91,149,223,64,98,160,241,50,77,126,189,41,63,103,155,46,70,114,172,32,49,80,120
20,20,25,16,21,8,10,21,8,42,14,10,8,14,6,38,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,87,142,213,76,116,189,284,62,94,154,231,67,102,165,249,52,80,130,195,43,65,106,160,48,73,118,178,33,51,83,124
21,21,26,16,21,8,10,21,8,42,14,11,8,14,6,40,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,90,147,220,79,120,195,294,64,98,158,239,69,105,171,257,54,83,134,202,44,68,110,165,49,75,122,184,35,53,85,129
22,22,27,17,22,8,11,22,8,45,15,11,8,15,6,41,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,93,151,227,81,124,202,303,66,101,164,246,71,109,177,265,56,85,139,208,46,70,114,170,51,78,126,189,35,54,88,133
23,23,28,17,23,8,11,23,8,45,15,12,9,15,7,42,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,96,156,235,84,128,208,313,68,104,169,254,74,112,182,274,58,88,143,215,47,72,117,176,53,80,130,196,37,56,91,137
24,24,29,18,23,9,11,23,9,48,16,12,9,16,7,43,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,99,161,242,86,132,215,322,70,107,175,262,75,116,188,282,59,91,148,221,48,74,121,181,54,83,134,201,38,58,94,141
25,25,30,19,24,9,12,24,9,51,17,12,9,17,7,45,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,102,166,249,89,136,221,332,72,111,180,270,78,119,193,291,61,94,152,228,50,77,124,187,56,85,138,208,39,60,97,145
26,26,31,19,25,9,12,25,9,51,17,13,10,17,7,46,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,105,170,256,91,139,227,342,74,113,184,278,80,122,199,299,63,96,156,235,51,78,128,192,57,87,142,214,40,61,99,150
27,27,32,20,26,10,13,26,10,54,18,13,10,18,8,47,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,108,175,263,94,143,234,351,76,116,190,285,82,125,205,307,65,98,161,241,53,80,132,197,59,89,146,219,41,63,102,154
28,28,33,21,27,10,13,27,10,54,18,14,10,18,8,48,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,110,180,270,96,147,240,361,78,119,195,293,84,129,210,316,66,101,165,248,54,83,135,203,60,92,150,226,42,64,105,158
29,29,34,22,29,11,14,29,11,57,19,14,11,19,8,50,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,113,185,278,99,151,246,370,80,123,200,301,87,132,215,324,68,104,169,254,56,85,138,208,62,94,154,231,43,66,108,162
30,30,35,23,30,11,15,30,11,60,20,15,11,20,8,51,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,116,190,285,102,155,253,380,83,126,206,309,89,136,221,333,70,107,174,261,57,87,142,214,64,97,158,238,45,68,111,166
31,31,36,24,31,12,15,31,12,60,20,15,11,20,9,52,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,119,194,292,104,159,259,389,85,129,210,316,91,139,227,340,72,109,178,267,59,89,146,219,65,99,162,243,46,70,113,170
32,32,37,25,32,12,16,32,12,63,21,16,12,21,9,54,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,122,199,299,107,163,265,399,87,132,215,324,94,143,232,349,74,112,182,274,60,92,149,224,67,102,166,249,47,71,116,175
33,33,38,25,33,12,16,33,12,63,21,16,12,21,9,55,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,125,204,306,109,167,272,408,89,136,221,332,95,146,238,357,75,115,187,281,61,94,153,230,68,104,170,255,48,73,119,179
34,34,39,26,34,13,17,34,13,66,22,16,12,22,9,56,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,128,209,314,112,171,278,418,91,139,226,340,98,150,243,366,77,118,191,287,63,96,156,235,70,107,174,261,49,75,122,183
35,35,40,27,35,13,17,35,13,69,23,17,13,23,10,57,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,131,213,321,114,175,285,428,93,142,232,348,100,153,249,375,78,120,196,294,64,98,160,241,71,109,178,268,50,77,125,187
36,36,41,28,36,14,18,36,14,69,23,17,13,23,10,59,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,134,218,328,117,178,291,437,95,145,236,355,102,156,255,382,80,122,200,300,66,100,164,246,73,111,182,273,51,78,127,191
37,37,42,28,37,14,18,37,14,72,24,18,13,24,10,60,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,137,223,335,119,182,297,447,97,148,241,363,104,159,260,391,82,125,204,307,67,102,167,251,74,114,186,279,52,80,130,196
38,38,43,29,38,14,19,38,14,72,24,18,14,24,10,61,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,140,228,342,122,186,304,456,99,151,247,371,107,163,266,399,84,128,209,314,69,105,171,257,76,116,190,285,53,81,133,200
39,39,44,29,38,14,19,38,14,75,25,19,14,25,11,63,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,143,233,349,125,190,310,466,102,154,252,379,109,166,271,408,86,131,213,320,70,107,174,262,78,119,194,291,55,83,136,204
40,40,45,30,39,15,19,39,15,78,26,19,14,26,11,64,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,146,237,357,127,194,316,475,103,158,257,386,111,170,277,416,87,133,217,327,71,109,178,267,79,121,198,297,56,85,138,208
41,41,46,31,40,15,20,40,15,78,26,20,15,26,11,65,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,149,242,364,130,198,323,485,106,161,262,394,114,173,283,424,89,136,222,333,73,111,182,273,81,124,202,303,57,87,141,212
42,42,47,31,41,15,20,41,15,81,27,20,15,27,11,66,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,151,247,371,132,202,329,495,107,164,267,402,116,177,288,433,91,139,226,340,74,114,185,278,83,126,206,309,58,88,144,217
43,43,48,32,41,16,20,41,16,81,27,20,15,27,12,68,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,154,252,378,135,206,336,504,110,167,273,410,118,180,294,441,93,142,231,347,76,116,189,284,84,129,210,315,59,90,147,221
44,44,49,32,42,16,21,42,16,84,28,21,16,28,12,69,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,157,256,385,137,210,342,514,111,171,278,418,120,184,299,450,94,144,235,353,77,118,192,289,86,131,214,321,60,92,150,225
45,45,50,33,43,16,21,43,16,84,28,21,16,28,12,70,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,160,261,392,140,214,348,523,114,174,283,425,123,187,305,458,96,147,239,360,79,120,196,294,88,134,218,327,61,94,152,229
46,46,51,34,44,17,22,44,17,87,29,22,16,29,12,71,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,163,266,400,142,218,355,533,115,177,288,433,124,191,311,466,98,150,244,366,80,123,200,300,89,136,222,333,62,95,155,233
47,47,52,34,45,17,22,45,17,90,30,22,17,30,13,73,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,166,271,407,145,221,361,542,118,180,293,440,127,193,316,474,100,152,248,373,82,124,203,305,91,138,226,339,63,97,158,237
48,48,53,35,45,17,22,45,17,90,30,23,17,30,13,74,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,169,276,414,148,225,367,552,120,183,298,449,130,197,321,483,102,155,252,380,83,127,206,311,93,141,229,345,65,98,161,242
49,49,54,35,46,17,23,46,17,93,31,23,17,31,13,75,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,172,280,421,150,229,374,561,122,186,304,456,131,200,327,491,103,157,257,386,84,129,210,316,94,143,234,351,66,100,164,245
50,50,55,36,47,18,23,47,18,93,31,24,18,31,13,77,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,175,285,428,153,233,380,571,124,189,309,464,134,204,333,500,105,160,261,393,86,131,214,321,96,146,238,357,67,102,166,250
51,51,56,37,48,18,24,48,18,96,32,24,18,32,14,78,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,178,290,435,155,237,386,581,126,193,314,472,136,207,338,508,107,163,265,399,87,133,217,327,97,148,241,363,68,104,169,254
52,52,57,37,49,18,24,49,18,99,33,24,18,33,14,79,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,181,295,443,158,241,393,590,128,196,319,479,138,211,344,516,109,166,270,406,89,136,221,332,99,151,246,369,69,105,172,258
53,53,58,38,49,19,24,49,19,99,33,25,19,33,14,80,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,183,297,445,160,243,396,593,130,197,322,482,140,213,347,519,110,167,272,408,90,137,223,334,100,152,248,371,70,106,173,259
54,54,59,38,50,19,25,50,19,102,34,25,19,34,14,81,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,184,299,447,162,246,398,596,132,200,323,484,142,215,348,522,111,169,274,410,91,138,224,335,101,154,249,373,71,108,174,261
55,55,60,39,51,19,25,51,19,102,34,26,19,34,15,83,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,186,301,450,165,248,401,600,134,202,326,488,144,217,351,525,113,171,276,413,93,140,226,338,103,155,251,375,72,109,175,263
56,56,61,40,52,20,26,52,20,105,35,26,20,35,15,84,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,188,303,452,167,251,404,603,136,204,328,490,146,220,354,528,115,173,278,415,94,141,227,339,104,157,253,377,73,110,177,264
57,57,62,40,53,20,26,53,20,108,36,27,20,36,15,85,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,190,305,455,169,253,407,606,137,206,331,492,148,221,356,530,116,174,280,417,95,142,229,341,106,158,254,379,74,111,178,265
58,58,79,53,72,26,36,72,26,139,46,34,25,46,19,105,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,223,342,497,210,297,456,663,171,241,371,539,184,260,399,580,144,204,314,456,118,167,257,373,131,186,285,414,92,130,200,290
59,59,81,55,75,27,37,75,27,142,47,36,27,47,20,109,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,229,349,505,217,305,465,674,176,248,378,548,190,267,407,590,149,210,320,463,122,172,262,379,136,191,291,421,95,133,203,295
60,60,84,57,77,28,38,77,28,148,49,37,28,49,21,114,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,240,365,513,228,320,487,684,185,260,396,556,200,280,426,599,157,220,335,470,128,180,274,385,143,200,304,428,100,140,213,299
61,61,88,59,80,29,40,80,29,154,51,39,29,51,22,121,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,254,386,533,242,338,515,711,197,275,418,578,212,296,451,622,166,232,354,489,136,190,290,400,151,211,322,444,106,148,225,311
62,62,91,62,83,31,41,83,31,160,53,40,30,53,22,128,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,269,409,578,255,358,545,771,207,291,443,626,223,313,477,675,175,246,375,530,143,201,307,434,159,224,341,482,112,157,238,337
63,63,94,64,86,32,43,86,32,163,54,41,31,54,23,135,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,284,433,623,270,379,577,831,219,308,469,675,236,332,505,727,186,261,397,571,152,213,325,467,169,237,361,519,118,166,252,364
64,64,96,66,89,33,44,89,33,166,55,42,31,55,24,143,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,301,458,668,286,401,611,890,232,326,496,723,250,351,535,779,197,276,420,612,161,226,344,501,179,251,382,556,125,175,267,389
65,65,101,70,94,35,47,94,35,172,57,43,32,57,24,151,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,318,485,713,302,424,647,950,245,345,526,772,264,371,566,831,208,292,445,653,170,239,364,534,189,265,404,594,132,186,283,416
66,66,103,73,99,36,49,99,36,175,58,44,33,58,25,160,2724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,337,514,757,320,449,685,1010,260,365,557,821,280,393,599,884,220,309,471,694,180,253,385,568,200,281,428,631,140,196,300,442
67,67,105,77,104,38,52,104,38,178,59,45,34,59,25,169,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,356,544,802,338,475,725,1070,275,386,589,869,296,416,634,936,232,327,498,736,190,267,408,602,211,297,453,669,148,208,317,468
68,68,139,122,165,61,82,165,61,253,84,62,47,84,36,241,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,498,749,1091,482,664,998,1454,392,540,811,1181,422,581,873,1272,331,457,686,1000,271,374,561,818,301,415,624,909,211,291,437,636
69,69,143,126,171,63,85,171,63,262,87,64,48,87,37,250,4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,518,779,1144,500,691,1039,1526,406,561,844,1240,438,605,909,1335,344,475,714,1049,281,389,584,858,313,432,649,954,219,302,455,668
70,70,147,131,177,65,88,177,65,271,90,67,50,90,39,260,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,539,811,1198,519,718,1082,1597,422,583,879,1298,454,628,947,1397,357,494,744,1098,292,404,609,898,324,449,676,998,227,314,473,699
71,71,150,135,183,67,91,183,67,280,93,69,52,93,40,270,4695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,560,845,1252,539,746,1126,1669,438,606,915,1356,472,653,985,1460,371,513,774,1147,303,420,633,939,337,466,704,1043,236,326,493,730
72,72,155,140,189,70,94,189,70,292,97,72,54,97,42,280,4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,582,879,1306,559,776,1172,1741,454,631,952,1415,489,679,1026,1523,384,534,806,1197,314,437,659,979,349,485,733,1088,245,340,513,762
73,73,159,145,196,72,98,196,72,304,101,75,56,101,43,290,5085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,605,915,1359,580,806,1220,1813,471,655,991,1473,508,705,1068,1586,399,554,839,1246,326,453,686,1020,363,504,763,1133,254,353,534,793
74,74,162,150,203,75,101,203,75,313,104,78,58,104,45,301,5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,628,952,1414,601,838,1269,1885,488,681,1031,1532,526,733,1110,1649,413,576,872,1296,338,471,714,1060,376,524,793,1178,263,367,555,825
75,75,167,156,210,78,105,210,78,325,108,81,60,108,46,312,5586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,653,990,1468,624,870,1320,1957,507,707,1073,1590,546,761,1155,1712,429,598,908,1345,351,489,743,1101,390,544,825,1223,273,381,578,856
76,76,171,161,218,80,109,218,80,340,113,84,63,113,48,324,5851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,678,1030,1522,647,904,1373,2029,526,735,1116,1649,566,791,1201,1775,445,622,944,1395,364,509,772,1141,404,565,858,1268,283,396,601,888
77,77,175,167,226,83,113,226,83,352,117,87,65,117,50,335,6122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,704,1071,1576,670,939,1429,2102,544,763,1161,1708,586,822,1250,1839,461,646,982,1445,377,528,804,1182,419,587,893,1314,293,411,625,920
78,78,179,173,234,86,117,234,86,364,121,90,68,121,52,348,6317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,731,1114,1631,695,975,1486,2174,565,792,1207,1766,608,853,1300,1902,478,670,1022,1495,391,548,836,1223,434,609,929,1359,304,427,650,951
79,79,183,180,242,90,121,242,90,380,126,94,71,126,54,357,6367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,751,1146,1660,713,1001,1528,2213,579,813,1242,1798,624,876,1337,1936,490,688,1051,1521,401,563,860,1245,446,626,955,1383,312,438,669,968
80,80,187,186,251,93,125,251,93,395,131,97,73,131,56,365,6417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,762,1156,1668,729,1016,1541,2224,592,826,1252,1807,638,889,1348,1946,501,699,1059,1529,410,572,867,1251,456,635,963,1390,319,445,674,973
81,81,279,442,597,221,298,597,221,928,308,229,172,308,132,542,8928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,1017,1390,1875,1084,1356,1854,2500,881,1102,1506,2031,949,1187,1622,2188,745,932,1275,1719,610,763,1043,1406,678,848,1159,1563,474,593,811,1094
82,82,298,525,708,262,354,708,262,1108,368,273,205,368,158,553,9174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,1062,1485,2034,1105,1416,1981,2713,898,1151,1610,2204,967,1239,1733,2374,760,974,1362,1865,622,797,1114,1526,691,885,1238,1696,483,620,867,1187
83,83,316,619,835,309,417,835,309,1310,435,323,242,435,186,563,10576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1104,1577,2189,1125,1472,2102,2919,914,1196,1708,2372,984,1288,1839,2554,773,1012,1445,2007,633,828,1182,1642,703,920,1314,1824,492,644,920,1277
84,84,325,673,908,336,454,908,336,1425,473,351,263,473,203,568,11389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,1126,1624,2271,1136,1501,2166,3028,923,1220,1760,2460,994,1313,1895,2650,781,1032,1489,2082,639,844,1218,1703,710,938,1354,1893,497,657,948,1325
85,85,333,725,978,362,489,978,362,1533,509,378,284,509,218,573,11504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1145,1668,2346,1145,1527,2224,3128,930,1241,1807,2542,1002,1336,1946,2737,787,1050,1529,2151,644,859,1251,1760,716,954,1390,1955,501,668,973,1369
86,86,384,1167,1573,583,786,1573,583,2467,819,609,456,819,351,718,12302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,1402,1994,2764,1436,1869,2659,3686,1167,1519,2160,2995,1257,1635,2327,3225,988,1285,1828,2534,808,1051,1496,2073,898,1168,1662,2304,628,818,1163,1613
87,87,404,1406,1896,703,948,1896,703,2973,987,733,550,987,423,797,12648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,1530,2139,2931,1595,2040,2852,3908,1296,1657,2317,3175,1396,1785,2495,3419,1096,1402,1961,2687,897,1147,1604,2198,997,1275,1782,2442,698,892,1248,1710
88,88,424,1694,2284,847,1142,2284,847,3581,1189,883,663,1189,510,874,13560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,1669,2322,3171,1748,2225,3096,4228,1420,1808,2515,3435,1529,1947,2709,3699,1202,1530,2128,2906,983,1251,1741,2378,1092,1390,1935,2642,765,973,1354,1850
89,89,444,2041,2752,1020,1376,2752,1020,4316,1433,1064,798,1433,614,948,14709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,1810,2518,3439,1896,2413,3358,4586,1540,1961,2728,3726,1659,2112,2938,4012,1303,1659,2308,3153,1066,1357,1889,2579,1185,1508,2099,2866,829,1056,1469,2006
90,90,463,2436,3285,1218,1642,3285,1218,5151,1710,1270,953,1710,733,1018,15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,1944,2705,3694,2037,2592,3607,4926,1655,2106,2931,4002,1782,2268,3156,4310,1400,1782,2480,3386,1146,1458,2029,2771,1273,1620,2254,3079,891,1134,1578,2155
