ID,SpellID,Field_3_4_0_43659_001,Field_3_4_0_43659_002,SpellIconFileDataID,GlyphSlotFlags
394,56818,0,0,237645,0
395,56820,0,0,237636,0
396,56806,0,0,237638,0
397,56799,0,0,237648,0
398,56802,0,0,237635,0
399,56803,0,0,237637,0
400,56804,0,0,237652,0
401,56812,0,0,237641,0
402,56814,0,0,237640,0
403,56809,0,0,237632,0
404,56807,0,0,237646,0
405,56819,0,0,237651,0
406,56801,0,0,237644,0
407,56798,0,0,237643,0
408,56805,0,0,237642,0
409,56821,0,0,237649,0
410,56810,0,0,237633,0
411,56811,0,0,237639,0
431,57856,0,0,237645,1
432,57858,0,0,237641,1
433,57855,0,0,237635,1
434,57857,0,0,237650,1
435,57862,0,0,237632,1
436,58133,0,0,237635,1
438,58132,0,0,237638,1
439,57866,0,0,237641,1
440,57870,0,0,237636,1
441,57903,0,0,237642,1
442,57902,0,0,237642,1
443,57904,0,0,237646,1
444,57900,0,0,237650,1
445,57924,0,0,237652,1
446,57926,0,0,237647,1
447,57927,0,0,237637,1
448,57928,0,0,237633,1
449,58136,0,0,237638,1
450,52648,0,0,237639,1
451,57925,0,0,237644,1
452,57937,0,0,237646,1
453,57958,0,0,237643,1
454,57979,0,0,237645,1
455,57955,0,0,237634,1
456,57947,0,0,237651,1
457,57954,0,0,237632,1
458,57985,0,0,237651,1
459,57987,0,0,237645,1
460,58009,0,0,237640,1
461,57986,0,0,237633,1
462,58015,0,0,237652,1
463,58228,0,0,237641,1
464,58032,0,0,237635,1
465,58027,0,0,237649,1
466,58017,0,0,237637,1
467,58033,0,0,237647,1
468,58039,0,0,237652,1
469,58038,0,0,237638,1
470,58058,0,0,237640,1
471,58135,0,0,237648,1
472,58134,0,0,237648,1
473,58059,0,0,237644,1
474,58055,0,0,237639,1
475,58063,0,0,237634,1
476,58057,0,0,237643,1
477,58079,0,0,237648,1
478,58070,0,0,237649,1
479,58081,0,0,237636,1
480,58080,0,0,237637,1
481,58107,0,0,237648,1
482,58094,0,0,237640,1
483,58095,0,0,237632,1
484,58096,0,0,237646,1
485,58097,0,0,237647,1
486,58099,0,0,237648,1
487,58098,0,0,237643,1
488,58104,0,0,237639,1
489,58368,0,0,237640,0
490,58369,0,0,237636,0
491,58355,0,0,237647,0
492,58366,0,0,237633,0
493,58388,0,0,237646,0
494,58367,0,0,237639,0
495,58372,0,0,237637,0
496,58357,0,0,237648,0
497,58377,0,0,237651,0
498,58365,0,0,237649,0
499,58386,0,0,237632,0
500,58385,0,0,237635,0
501,58364,0,0,237643,0
502,58375,0,0,237644,0
503,58376,0,0,237634,0
504,58387,0,0,237641,0
505,58384,0,0,237652,0
506,58353,0,0,237638,0
507,58356,0,0,237642,0
508,58382,0,0,237645,0
509,58370,0,0,237650,0
511,58613,0,0,237634,0
512,58623,0,0,237642,0
513,58616,0,0,237636,0
514,58640,0,0,237636,1
515,58673,0,0,237647,0
516,58620,0,0,237640,0
518,58677,0,0,237651,1
519,62259,0,0,237648,0
520,58629,0,0,237645,0
521,58647,0,0,237635,0
522,58680,0,0,237638,1
523,58625,0,0,237651,0
524,58631,0,0,237637,0
525,58671,0,0,237646,0
526,58657,0,0,237641,0
527,58686,0,0,237645,0
528,58669,0,0,237638,0
529,58642,0,0,237632,0
530,58618,0,0,237644,0
531,58635,0,0,237643,0
532,58676,0,0,237649,0
551,59219,0,0,237633,1
552,59289,0,0,237634,1
553,59309,0,0,237635,1
554,59307,0,0,237650,1
555,60200,0,0,237649,1
556,59327,0,0,237633,0
557,59332,0,0,237639,0
558,59336,0,0,237650,0
559,56420,0,0,237634,0
560,56414,0,0,237642,0
561,56416,0,0,237638,0
571,60200,0,0,237652,1
591,61205,0,0,237647,0
611,62126,0,0,237652,1
612,62132,0,0,237650,1
613,62135,0,0,237634,1
631,62080,0,0,237634,0
651,62210,0,0,237648,0
671,62969,0,0,237632,0
672,62970,0,0,237633,0
673,62971,0,0,237634,0
674,63055,0,0,237635,0
675,63056,0,0,237636,0
676,63057,0,0,237637,0
677,63065,0,0,237638,0
691,63066,0,0,237639,0
692,63067,0,0,237640,0
693,63068,0,0,237641,0
694,63069,0,0,237642,0
695,63086,0,0,237643,0
696,63090,0,0,237644,0
697,63091,0,0,237645,0
698,63092,0,0,237646,0
699,63093,0,0,237647,0
700,63095,0,0,237648,0
701,63218,0,0,237649,0
702,63219,0,0,237650,0
703,63220,0,0,237651,0
704,63222,0,0,237652,0
705,63223,0,0,237632,0
706,63224,0,0,237633,0
707,63225,0,0,237634,0
708,63229,0,0,237635,0
709,63231,0,0,237636,0
710,63235,0,0,237637,0
711,63237,0,0,237638,0
712,63246,0,0,237639,0
713,63248,0,0,237640,0
714,63249,0,0,237641,0
715,63252,0,0,237642,0
716,63253,0,0,237643,0
731,63254,0,0,237644,0
732,63256,0,0,237645,0
733,63268,0,0,237646,0
734,63269,0,0,237647,0
735,63270,0,0,237648,0
736,63271,0,0,237649,0
737,63273,0,0,237650,0
751,63279,0,0,237651,0
752,63280,0,0,237652,0
753,63291,0,0,237632,0
754,63298,0,0,237633,0
755,63302,0,0,237634,0
756,63303,0,0,237635,0
757,63304,0,0,237636,0
758,63309,0,0,237637,0
759,63310,0,0,237638,0
760,63320,0,0,237639,0
761,63312,0,0,237640,0
762,63324,0,0,237641,0
763,63325,0,0,237642,0
764,63326,0,0,237643,0
765,63327,0,0,237644,0
766,63328,0,0,237645,0
767,63329,0,0,237646,0
768,63330,0,0,237647,0
769,63331,0,0,237648,0
770,63332,0,0,237649,0
771,63333,0,0,237650,0
772,63334,0,0,237651,0
773,63335,0,0,237652,0
791,64199,0,0,237652,0
811,65243,0,0,237639,0
831,67598,0,0,237643,0
851,68164,0,0,237640,1
871,70937,0,0,237641,0
891,71013,0,0,237633,0
911,70947,0,0,237651,0
