ID,SpellShapeshiftFormID,CreatureDisplayInfoID,BarberShopMinCameraDistance,BarberShopHeightOffset,BarberShopCameraZoomOffset
118,1,66794,1,0,0
119,1,66795,1,0,0
120,1,66796,1,0,0
121,1,66797,1,0,0
122,1,66782,1,0,0
123,1,66783,1,0,0
124,1,66784,1,0,0
125,1,66785,1,0,0
126,1,69834,1,0,0
127,1,69835,1,0,0
128,1,69833,1,0,0
129,1,69832,1,0,0
130,1,38150,1,0,0
131,31,88976,1,0,0
132,31,88751,1,0,0
133,31,88752,1,0,0
134,31,88975,1,0,0
135,31,15375,1,0,0
136,31,89360,1,0,0
137,31,37173,1,0,0
138,31,37174,1,0,0
139,31,84820,1,0,0
140,31,15374,1,0,0
141,4,88749,0.6,1.5,0
142,4,88748,0.6,1.5,0
143,4,88747,0.6,1.5,0
144,4,88750,0.6,1.5,0
145,4,87882,0.9,0.8,0
146,4,87881,0.9,0.8,0
147,4,87880,0.9,0.8,0
148,4,87879,0.9,0.8,0
149,3,45339,1,0,0
151,3,87426,1,0,0
152,3,87425,1,0,0
153,3,87423,1,0,0
154,3,87424,1,0,0
155,3,81440,1,0,0
156,3,82130,1,0,0
157,27,64329,1,1.5,0
158,27,64331,1,1.5,0
159,27,20872,1,1.5,0
160,27,81439,1,1.5,0
161,27,88355,1,1.5,0
162,27,37728,0.7,1.5,0
163,27,91256,0.8,1.5,0
164,27,74304,0.6,0.8,0
165,27,74306,0.6,0.8,0
166,27,21244,1,1.5,0
167,27,88351,1,1.5,0
168,27,37730,0.7,1.5,0
169,27,91215,0.8,1.5,0
170,5,66693,1,0,0
171,5,66683,1,0,0
172,5,66685,1,0,0
173,1,66779,1,0,0
174,1,66777,1,0,0
175,1,66778,1,0,0
176,3,93783,1,0,0
177,27,95198,0.9,1.5,0
181,27,80962,1.7,1.5,0
182,27,32546,1.7,1.5,0
183,27,116324,0.75,0.8,0
184,27,116323,0.75,0.8,0
185,3,93787,1,0,0
186,27,95199,0.9,1.5,0
187,5,104595,0.7,0,0
188,0,106003,1.2,0,0
189,0,107058,0.75,0,0
190,0,105540,1,0,0
191,0,105268,0.35,0,0
192,0,107056,1.2,0,0
193,0,107712,1,0,0
194,0,109120,0.75,0,0
195,0,112230,1,0,0
196,0,112478,1,0,0
197,0,64799,1,0,0
198,0,77398,0.9,0,0
199,0,113549,0.9,0,0
200,0,113550,0.9,0,0
201,0,113321,0.9,0,0
202,0,113322,0.9,0,0
203,0,113323,0.9,0,0
204,0,77397,1,0,0
205,0,77397,1,0,0
206,0,93869,1,0,0
207,0,17081,1,0,0
208,0,18953,1,0,0
209,0,18366,1,0,0
210,0,60664,1,0,0
211,0,60669,1,0,0
212,0,60674,1,0,0
213,0,113634,1,0,0
214,0,113635,1,0,0
215,0,113636,1,0,0
216,0,113637,1,0,0
217,0,113638,1,0,0
218,0,113645,1,0,0
219,0,113639,1,0,0
220,0,113646,1,0,0
221,0,113640,1,0,0
222,0,113647,1,0,0
223,0,113641,1,0,0
224,0,113648,1,0,0
225,0,113642,1,0,0
226,0,113649,1,0,0
227,0,113643,1,0,0
228,0,113650,1,0,0
229,0,113644,1,0,0
230,0,113651,1,0,0
231,0,113652,1,0,0
232,0,113653,1,0,0
233,0,113654,1,0,0
234,0,113655,1,0,0
237,0,74437,1,0,0
238,0,71758,1,0,0
240,0,64802,1.1,0,0
241,0,20531,1.1,0,0
242,0,68010,1.1,0,0
243,0,60931,1.1,0,0
244,0,5049,1.1,0,0
245,0,39544,1.1,0,0
246,0,77401,1,0,0
247,0,64965,1.1,0,0
248,0,65072,1,0,0
249,0,77396,1.6,0,0
250,0,105009,0.9,0,0
251,0,113823,0.7,0,0
252,0,77399,1.6,0,0
253,0,77400,1.6,0,0
254,0,87778,1,0,0
255,0,16874,0.81,0,0
256,0,113822,0.7,0,0
257,0,113820,0.7,0,0
258,0,113821,0.7,0,0
259,0,113801,1,0,0
260,0,113802,1,0,0
261,0,51650,0.81,0,0
262,0,68,1.1,0,0
263,0,63142,1.1,0,0
264,0,100513,1,0,0
265,0,100514,1,0,0
266,0,48209,0.86,0,0
267,0,17704,1,0,0
268,0,57566,1,0,0
269,0,19884,1,0,0
270,0,60654,1,0,0
271,0,60659,1,0,0
272,0,60824,1,0,0
273,0,60657,1,0,0
274,0,113958,1,0,0
275,0,114390,1,0,0
276,0,114488,1,0,0
277,0,114211,0.8,0,0
278,0,112642,1,0,0
279,0,114628,0.75,0,0
280,0,114629,0.75,0,0
281,0,115602,1,0,0
282,0,115603,1,0,0
283,0,115605,1,0,0
284,0,115607,1,0,0
285,0,115608,1,0,0
286,0,115606,1,1.5,0
287,0,115604,1,0.3,0
288,27,113164,0.6,2,0
289,5,114437,0.7,0,0
290,1,116194,1,0,0
291,1,116195,1,0,0
292,1,116196,1,0,0
293,3,111447,1,0,0
294,3,111448,1,0,0
295,3,111449,1,0,0
296,3,111450,1,0,0
297,3,111451,1,0,0
298,4,116063,1,0,-9.5
299,5,112548,1,0,0
300,5,116197,1,0,0
301,5,116198,1,0,0
302,5,116199,1,0,0
303,5,116200,1,0,0
304,3,111087,1,0,0
305,3,116201,1,0,0
306,3,111093,1,0,0
307,27,116202,0.6,2,0
308,27,116203,0.6,2,0
309,0,44153,0.3,0.5,0
310,0,20526,0.3,0.5,0
311,0,20527,0.3,0.5,0
312,0,20528,0.3,0.5,0
313,0,19877,0.3,0.5,0
314,0,19878,0.3,0.5,0
315,0,71749,0.3,0.5,0
316,0,116321,0.3,0.5,0
317,0,71751,0.3,0.5,0
318,0,71752,0.3,0.5,0
319,0,116130,0.3,0.5,0
320,0,73459,0.35,2,0
321,0,74888,0.8,0,0
322,0,74890,0.8,0,0
323,0,74891,0.8,0,0
324,0,74889,0.8,0,0
325,0,76701,0.8,0,0
326,0,116432,1,0,0
327,0,118919,1,0,0
328,0,120513,1,0,0
329,0,122995,1,0,0
330,0,123754,1,0,0
