ID,ItemID,ItemSlot,MinItemLevel,GarrFollItemSetID
184,25764,0,0,21
185,25764,1,0,21
186,52492,0,615,21
187,52492,1,615,21
188,51523,0,630,21
189,51530,1,630,21
190,96786,0,645,21
192,50047,0,645,23
193,73458,1,645,23
194,868,0,0,22
195,62977,1,0,22
196,18048,0,615,22
197,10364,1,615,22
198,37169,0,630,22
199,47085,1,630,22
200,50734,0,645,22
201,103847,1,645,22
202,647,0,0,24
203,55462,0,615,24
204,50048,0,630,24
205,95505,0,645,24
206,15981,1,0,25
207,65475,0,615,25
208,60928,1,615,25
209,40488,0,630,25
210,28187,1,630,25
211,51944,0,645,25
212,86960,1,645,25
213,70226,0,630,26
214,51799,0,645,26
215,29399,0,0,27
216,24069,0,615,27
217,47960,0,630,27
218,71559,0,645,27
219,20070,0,0,28
220,4091,1,0,28
221,55064,0,615,28
222,56302,1,615,28
223,70216,0,630,28
224,100966,1,630,28
225,78475,0,645,28
226,51846,1,645,28
227,59101,0,0,29
228,4826,1,0,29
229,31821,0,615,29
230,65490,1,615,29
231,59655,0,630,29
232,28433,1,630,29
233,73472,0,645,29
234,96430,1,645,29
235,11922,0,0,30
236,44217,1,0,30
237,65958,0,615,30
238,39714,1,615,30
239,70203,0,630,30
240,73455,1,630,30
241,96982,0,645,30
242,78422,1,645,30
243,5267,0,0,31
244,15494,1,0,31
245,25104,0,615,31
246,19348,1,615,31
247,70155,0,630,31
249,77220,0,645,31
250,78448,1,645,31
251,12773,0,0,32
252,1207,1,0,32
253,27424,0,615,32
254,36693,1,615,32
255,67602,0,630,32
256,65171,1,630,32
257,100190,0,645,32
258,73448,1,645,32
259,25297,0,0,33
260,36451,1,0,33
261,40408,0,615,33
262,83759,1,615,33
263,50793,0,630,33
264,55070,1,630,33
265,73455,0,645,33
266,91419,1,645,33
267,25302,0,0,34
268,16887,1,0,34
269,55064,0,615,34
270,21597,1,615,34
271,51868,0,630,34
272,47276,1,630,34
273,51803,0,645,34
274,105521,1,645,34
275,27641,0,0,35
276,28633,0,615,35
277,65139,0,630,35
278,78477,0,645,35
279,5201,0,0,36
280,39256,0,615,36
281,50181,0,630,36
282,71409,0,645,36
283,64604,0,0,37
285,51392,0,630,37
286,78478,0,645,37
287,1265,0,0,38
288,871,1,0,38
289,55452,0,615,38
290,23497,1,615,38
291,50412,0,630,38
292,71312,1,630,38
293,59463,0,645,38
294,96802,1,645,38
295,6622,0,0,39
296,65341,1,0,39
297,15218,0,615,39
298,59788,1,615,39
299,51010,0,630,39
300,50065,1,630,39
301,100488,0,645,39
302,103208,1,645,39
304,106390,2,0,37
305,114807,2,0,40
306,114616,0,0,40
307,114746,2,645,40
308,114622,0,645,40
309,114806,2,630,40
310,114081,0,630,40
311,45528,0,0,41
312,109234,0,0,42
315,113134,0,0,44
316,12776,0,0,45
317,106268,0,0,46
318,111464,1,0,46
319,110046,0,0,47
321,28678,0,0,49
322,61526,0,0,50
323,34816,0,0,51
324,34816,1,0,51
325,3184,0,0,52
326,54825,0,0,53
327,29632,0,0,54
328,109630,1,0,54
332,28456,0,0,57
333,14824,0,0,59
334,107420,0,0,60
335,107412,0,0,61
336,111935,0,0,62
338,31824,0,0,66
339,106248,0,0,67
340,31669,0,0,68
341,12750,1,0,68
342,3351,0,0,71
343,94665,0,0,72
344,106280,0,0,73
345,12583,0,0,74
346,57020,0,0,76
349,111428,0,0,81
350,111425,1,0,81
351,111422,0,0,82
352,111419,1,0,82
353,1958,0,0,83
354,1958,1,0,83
355,108717,0,0,84
358,73434,0,0,86
359,73434,1,0,86
360,76364,0,0,87
361,76363,0,0,88
364,52523,0,0,91
365,10612,0,0,92
366,10612,1,0,92
367,14879,0,0,93
368,67224,0,0,94
371,5258,0,0,96
373,107839,0,0,99
374,97219,0,0,100
375,29716,0,0,101
376,42477,0,0,64
377,18842,0,0,102
378,2520,0,0,106
379,49933,1,0,106
380,106268,0,0,90
381,107248,1,0,90
382,110235,0,0,89
383,110235,1,0,89
384,31824,1,0,66
385,108717,1,0,84
386,119745,0,0,107
387,119751,1,0,107
388,12290,0,0,108
391,116627,0,0,48
392,116627,1,0,48
393,34269,0,0,85
394,50150,0,0,79
396,49158,0,0,98
397,62285,0,0,80
398,11021,0,0,95
399,52052,0,0,56
400,3417,0,0,65
401,14084,0,0,97
402,107287,0,0,43
403,42331,0,615,37
404,67124,1,630,31
405,96786,1,645,21
406,120406,0,0,55
407,120406,1,0,55
408,89364,0,0,109
409,61297,0,0,110
410,61297,1,0,110
411,85127,0,645,110
412,85127,1,645,110
413,115064,0,660,110
414,115064,1,660,110
415,49767,0,0,112
416,42322,0,0,113
417,105940,0,0,114
418,126759,0,0,114
422,122430,0,0,117
429,17382,0,0,118
431,128203,0,715,118
432,128204,1,715,118
433,32837,0,745,118
434,32838,0,745,118
435,17382,1,0,118
439,32837,0,745,119
440,32838,0,745,119
442,5597,0,0,119
443,5597,0,0,119
444,12482,0,715,119
445,128205,0,715,119
446,119680,0,0,120
447,50039,0,0,121
448,35939,0,0,122
449,35561,0,0,123
450,35561,1,0,123
451,108923,0,0,115
452,89545,0,0,124
453,110248,0,0,125
454,18816,0,0,126
455,18816,1,0,126
456,49340,0,0,127
457,49340,0,0,127
459,128360,0,0,116
460,128370,1,0,116
461,128359,0,0,129
462,128371,1,0,129
463,58803,0,0,130
464,107328,0,0,131
465,128359,0,0,133
466,128371,1,0,133
467,30699,0,0,134
468,30699,1,0,134
469,30699,0,0,135
470,30699,1,0,135
471,128361,0,0,128
472,128369,1,0,128
473,125209,0,0,136
476,108468,0,0,138
478,107328,0,0,139
480,110456,0,0,140
482,31609,0,0,141
483,31609,1,0,141
484,82826,0,0,142
485,118240,0,0,137
486,128360,0,0,143
487,128370,1,0,143
489,65972,0,0,145
493,30396,0,0,144
494,10612,0,0,147
495,10612,1,0,147
497,15460,0,0,149
499,39818,0,0,150
500,125367,0,0,151
502,37050,0,0,152
503,52052,0,0,146
510,5286,0,0,155
512,1905,1,0,155
513,127346,0,0,156
514,77408,1,0,156
517,137263,0,0,158
518,137264,1,0,158
519,137174,0,0,159
520,137264,1,0,159
521,44821,0,0,160
523,33773,0,0,162
524,35727,0,0,163
526,140229,1,0,163
527,33169,0,0,164
530,36449,1,0,164
531,109641,0,0,165
532,109641,1,0,165
536,45900,0,0,161
537,90011,0,0,168
543,40488,0,0,170
544,28187,1,0,170
545,26003,0,0,171
546,28456,0,0,172
547,47104,0,0,173
548,47104,1,0,173
549,111743,0,0,174
550,27862,0,0,175
551,28345,0,0,176
552,80266,0,0,177
553,80266,1,0,177
554,122072,0,0,178
557,108731,0,0,179
558,113270,1,0,179
559,63052,0,0,180
560,28188,0,0,181
561,137176,0,0,166
562,140345,0,0,167
564,108923,0,0,182
565,13316,0,0,183
566,105940,0,0,184
567,126759,1,0,184
568,128366,0,0,185
569,49968,0,0,186
570,73465,1,0,186
571,35781,0,0,187
572,5112,0,0,188
573,29405,0,0,189
574,74051,1,0,189
575,18842,0,0,190
578,58137,0,0,193
580,1908,0,0,194
581,44241,0,0,195
586,35561,0,0,198
587,35561,1,0,198
588,38633,0,0,199
589,35939,0,0,200
590,129456,0,0,201
592,50252,0,0,203
594,117049,0,0,204
596,5600,0,0,206
597,11505,1,0,206
598,57020,0,0,207
599,118803,0,0,208
601,14879,0,0,210
602,92961,0,0,132
603,88471,0,0,211
604,30648,0,0,212
605,30648,1,0,212
606,28738,0,0,213
607,48045,0,0,214
608,80280,0,0,215
611,128361,0,0,217
612,128369,1,0,217
613,128361,0,0,218
614,128369,1,0,218
615,3364,0,0,219
616,57848,1,0,219
617,2057,0,0,220
618,1927,1,0,220
619,25538,0,0,221
620,25538,1,0,221
621,61620,0,0,222
622,7944,1,0,222
623,51905,0,0,205
624,923,0,0,223
625,15217,0,0,224
626,116647,1,0,224
627,34670,0,0,216
628,30882,1,0,216
630,28802,0,0,225
631,67149,1,0,225
632,20978,0,0,191
633,27842,0,0,192
634,13024,0,0,196
635,13024,1,0,196
636,40244,0,0,197
637,84911,1,0,197
638,4087,0,0,148
639,16004,0,0,153
640,64620,0,0,154
641,140345,0,0,157
642,89116,1,0,157
643,25233,0,0,226
644,19356,0,0,227
645,85574,0,0,228
646,83761,0,0,229
647,83761,1,0,229
648,90012,0,0,230
649,52492,0,0,231
650,52492,1,0,231
651,89576,0,0,232
652,82595,0,0,233
653,82595,1,0,233
654,55939,0,0,234
655,37169,0,0,235
656,62235,1,0,235
657,2236,0,0,236
658,19142,1,0,236
659,28633,0,0,237
660,65461,0,0,238
661,57763,1,0,193
662,129456,0,0,202
663,89551,0,0,209
664,140748,1,0,167
665,2179,0,0,239
666,2179,1,0,239
667,32471,0,0,240
668,32471,1,0,240
669,45861,0,0,241
670,5285,0,0,242
671,61297,0,0,243
672,61297,1,0,243
673,23481,0,0,244
674,23481,1,0,244
677,49340,0,0,246
678,49340,1,0,246
681,10612,0,0,248
682,107339,1,0,248
683,54877,0,0,249
684,54878,1,0,249
685,120477,0,0,250
686,63084,0,0,251
687,134781,0,0,252
688,134781,1,0,252
689,35781,0,0,253
692,93730,0,0,254
693,137254,0,0,255
694,82826,0,0,256
695,93799,0,0,257
696,56004,0,0,258
697,18876,0,0,259
698,10823,0,0,260
699,18825,1,0,260
700,41261,0,0,261
701,43617,0,0,262
702,41261,0,0,263
703,38211,0,0,264
704,94649,0,0,265
705,65461,0,0,266
715,140555,0,0,276
716,138831,1,0,276
717,107134,0,0,274
723,84259,0,0,275
724,5598,0,0,277
726,2184,0,0,279
729,56090,0,0,280
730,42775,0,0,281
731,6219,0,0,282
733,12890,0,0,284
734,30445,0,0,285
736,5285,0,0,287
741,56090,0,0,289
743,55169,0,0,290
745,23051,0,0,286
746,107254,0,0,292
748,150586,0,0,278
749,106279,0,0,283
750,55048,0,0,247
857,109637,0,0,393
858,59246,0,0,394
859,58137,0,0,395
860,57763,1,0,395
868,9477,0,0,291
869,116023,0,0,396
871,31604,0,0,397
873,34058,0,0,398
875,1907,0,0,399
877,107263,0,0,400
879,133175,0,0,401
881,31824,0,0,288
884,2179,0,0,402
885,2179,0,0,403
886,2711,1,0,403
888,94106,0,0,404
890,155670,0,0,405
891,159130,0,0,406
892,170466,0,0,407
893,62798,0,0,408
894,94109,0,0,409
