ID,EmissionRate,ModelScale,AreaModelID,Flags
1233,1,1,520,0
1234,1,1,327,1
1235,1,1,327,0
1247,1,1,1212,0
1248,30,2.5,291,0
1249,15,5,256,0
1250,1,1,568,0
1252,1,1,542,0
1253,8,1,417,1
1254,10,1,417,0
1255,10,1.2,1140,0
1256,5,1,511,0
1261,15,5,338,0
1262,15,5,338,0
1263,15,5,338,0
1264,15,5,338,0
1265,15,5,338,0
1266,15,5,1207,0
1272,1,2,1213,0
1273,1,1,503,0
1274,0.75,1.5,1214,0
1275,4,1,256,0
1279,60,1,857,0
1280,10,1,857,1
1282,500,1,587,0
1286,50,1,961,0
1290,10,1,1217,0
1291,2,1,1217,1
1293,6,1,1220,0
1294,2,1,1220,1
1299,1,1,1227,0
1303,1,1,1226,1
1305,1,0.7,1229,0
1307,1,1,1234,0
1309,1,1,1226,1
1313,1,100,702,0
1314,10,2,975,0
1315,1,1,1231,0
1317,1,1,510,0
1329,1,2,672,1
1331,1,2,672,1
1335,50,0.35,529,0
1340,30,1,716,0
1344,1,0.5,532,1
1348,1,0.12,846,1
1352,10,0.7,1247,0
1353,0.5,3,1248,0
