ID,ModelName,GeoBox[0],GeoBox[1],GeoBox[2],GeoBox[3],GeoBox[4],GeoBox[5],FileDataID,ObjectEffectPackageID,OverrideLootEffectScale,OverrideNameScale,Field_1_15_4_56400_006
60,World\Azeroth\Duskwood\PassiveDoodads\Bush\Pumpkin01.mdx,-0.833388,-0.96388745,-0.42994887,0.8594232,2.474886,1.5291058,189409,0,0,0,0
63,World\Generic\Human\Passive Doodads\Flowers\FlowersBunch02.mdx,-0.215349,-0.428978,-0.114426,0.236487,0.3891,0.336756,198203,0,0,0,0
70,World\Generic\Human\Passive Doodads\Weapons&Armor\HumanMace02.mdx,-0.3698,-0.1702,-0.103035,0.989139,0.163201,0.185699,198651,0,0,0,0
90,World\Azeroth\Stranglethorn\PassiveDoodads\Waterfall\StranglethornWaterfall01.mdx,-1.5871879,-2.4194527,0,0.26826254,2.4168732,8.734192,190361,0,0,0,0
91,World\Generic\Human\Passive Doodads\Chairs\GeneralMedChair01.mdx,-0.8708253,-0.58493674,-0.1103706,0.15119167,0.5849367,1.6528472,198116,0,0,0,0
92,World\Generic\Human\Passive Doodads\Chairs\GeneralChairHighEnd01.mdx,-0.7630957,-0.80129325,-0.0023857213,0.15275413,0.80012095,2.0800388,198114,0,0,0,0
95,World\Generic\PassiveDoodads\ParticleEmitters\HouseSmoke.mdx,-1.3296757,-1.1432074,-0.060634356,1.0684416,1.150644,9.051079,199954,0,0,0,0
100,World\Generic\PassiveDoodads\Lights\Candle01.mdx,-0.11840178,-0.12108424,0,0.12145737,0.11877491,0.56408775,199806,0,0,0,0
105,World\Generic\Human\Passive Doodads\Books\BookMedium01.mdx,-0.113822,-0.222141,0.000166667,0.0984081,0.225543,0.604028,198022,0,0,0,0
107,World\Generic\Human\Passive Doodads\BookStacks\GeneralBookStackShort01.mdx,-0.53545326,-0.23256649,0,0.2594887,0.33755738,0.35005632,198055,0,0,0,0
112,World\Generic\Dwarf\Passive Doodads\PowderKegs\PowderKegFused.mdx,-0.3087367,-0.3606612,-0.0012088743,0.30960146,0.3533341,0.9676722,197464,0,0,0,0
113,World\Generic\PassiveDoodads\Crate02\Crate02.mdx,-0.43570986,-0.7637713,0.0031507413,0.42892313,0.76400656,0.503345,199634,0,0,0,0
114,World\Generic\Human\Passive Doodads\Food&Utensils\TurkeyLeg.mdx,-0.420042,-0.193695,-0.0062525,0.433622,0.175587,0.347467,198236,0,0,0,0
119,World\Lordaeron\SilverPine\PassiveDoodads\bushes\SilverPineBush01.mdx,-3.207876,-3.2463942,-0.3306854,3.0931835,2.6796477,2.701597,203967,0,0,0,0
124,World\Azeroth\RedRidge\PassiveDoodads\RowBoat\RowBoat01.mdx,-6.756661,-1.306908,-0.197767,1.583432,2.983114,1.45772,190104,0,0,0,0
130,World\Generic\Human\Passive Doodads\WeaponRacks\GeneralWeaponrack01.mdx,-0.59837085,-0.3484729,-0.12303343,0.6943012,0.70882636,2.7855022,198636,0,0,0,0
131,World\Azeroth\Elwynn\PassiveDoodads\Catapult\Catapult.mdx,-3.9378636,-4.903472,0.012081657,5.206622,4.9364448,3.439322,189709,0,0,0,0
133,World\Generic\PassiveDoodads\ParticleEmitters\SunkenFlame01.mdx,-0.11267951,-0.12072688,-0.025467152,0.09902535,0.10844842,-0.0004595783,199973,0,0,0,0
134,World\Azeroth\Duskwood\PassiveDoodads\Fence\RockWallRubble.mdx,-0.877033,-0.788389,0.0119842,0.393397,0.580761,0.818833,189478,0,0,0,0
137,World\Generic\Human\Passive Doodads\BookShelves\DuskwoodBookshelf03.mdx,-0.3168598,-1.4107935,-0.01043876,0.56614923,1.3956292,3.2273853,198054,0,0,0,0
138,World\Azeroth\Westfall\PassiveDoodads\WestfallChair\WestfallChair.mdx,-0.45415366,-0.34075436,-0.015294577,0.21038967,0.29068175,0.53184336,190658,0,0,0,0
139,World\Generic\Human\Passive Doodads\Statues\StatueKhadgar.mdx,-7.5144334,-6.347859,-0.045016397,8.462882,7.2717996,28.572968,198561,0,0,0,0
148,World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowRoot02.mdx,-0.8919968,-1.0240532,-0.87577665,2.4172585,1.9083184,4.6254983,190383,0,0,0,0
150,World\Generic\Human\Passive Doodads\SignPosts\HumanSignPostPointer04.mdx,-0.09028915,0.08338174,3.4631574,0.0902899,1.7558646,3.9073818,198471,0,0,0,0
151,World\Generic\Human\Passive Doodads\Tables\BloodyTable1.mdx,-1.4322519,-1.9918711,-0.00062179565,1.4322512,1.9918714,1.750918,198598,0,0,0,0
153,World\Generic\Human\Passive Doodads\CatapultRuins\CatapultBall01.mdx,-1.24867,-1.24735,-1.24131,1.23395,1.23527,1.24131,198095,0,0,0,0
154,World\Generic\Human\Passive Doodads\DogHouses\DogHouse.mdx,-1.4326298,-1.0308167,-0.11037129,1.4940974,1.0489484,1.9344984,198177,0,0,0,0
155,World\Azeroth\Elwynn\PassiveDoodads\Detail\ElwynnMushroom01\ElwynnMushroom01.mdx,-0.6254091,-0.5464134,-0.014037912,0.55341697,0.42324847,0.39241076,189761,0,0,0,0
156,World\Generic\Human\Passive Doodads\Posters\MissingPoster01.mdx,-0.21421577,-0.5067237,-1.652187,0.11620189,0.5224805,2.4974272,198409,0,0,0,0
159,World\Generic\Human\Passive Doodads\Rugs\StormwindRug01.mdx,-1.475753,-1.363018,0.00020805995,1.610912,1.417482,0.013889048,198435,0,0,0,0
163,World\Generic\Human\Passive Doodads\Scrolls\ScrollA02.mdx,-0.53071415,-0.38036257,0.004418936,0.51791304,0.42016187,0.1359228,198451,0,0,0,0
164,World\Generic\Human\Passive Doodads\Scrolls\ScrollB01.mdx,-0.4597442,-0.15842713,0.0014407834,0.44436252,0.13900961,0.13925822,198453,0,0,0,0
166,World\Azeroth\Elwynn\PassiveDoodads\Anvil\Anvil.mdx,-0.68427306,-0.35470888,2.6970442E-06,0.7743855,0.3583924,0.9684245,189642,0,0,0,0
169,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\FLORIST01.MDX,-6.038475,-0.662115,2.105483,2.871421,0.718584,8.584188,198502,0,0,0,0
181,World\Generic\Human\Passive Doodads\BallandChain\BallAndChain01.mdx,-0.25952345,-0.25796086,-0.14346857,0.49095616,0.99425304,0.47267586,197946,0,0,0,0
183,World\Generic\Human\Passive Doodads\Scrolls\ScrollB03.mdx,-0.45730665,-0.39627472,-0.007050051,0.45576087,0.4127929,0.147518,198455,0,0,0,0
184,World\Generic\Human\Passive Doodads\Books\BookLarge01.mdx,-0.126387,-0.337697,0.00232778,0.114266,0.350781,1.17456,198016,0,0,0,0
185,World\Generic\Human\Passive Doodads\Books\BookLarge02.mdx,-0.126514,-0.385117,0.000166667,0.114138,0.391069,1.04838,198017,0,0,0,0
187,World\Generic\Human\Passive Doodads\BookShelves\DuskwoodBookshelf02.mdx,-0.3168598,-1.4113747,-0.0029788371,0.56614906,1.3950322,1.7811784,198053,0,0,0,0
188,World\Generic\Human\Passive Doodads\BookShelves\DuskwoodBookshelf01.mdx,-0.31685978,-1.4066602,-0.01043876,0.56614923,1.3997624,4.0784473,198052,0,0,0,0
189,World\Generic\Human\Passive Doodads\BookShelves\AbbeyShelf01.mdx,-1.867228,-0.7809738,0.012151637,1.6888353,0.76514083,5.0730925,198047,0,0,0,0
190,World\Generic\Human\Passive Doodads\Scrolls\ScrollB02.mdx,-0.457042,-0.375353,-0.00705,0.456019,0.433708,0.147518,198454,0,0,0,0
191,World\Generic\Dwarf\Passive Doodads\Dynamite\GunShopDynamiteBundle.mdx,-0.1342969,-0.12390664,-0.00024959777,0.12521522,0.12856118,0.7525814,197331,0,0,0,0
192,World\Azeroth\Elwynn\PassiveDoodads\Campfire\ElwynnCampfire.mdx,-0.8640408,-1.0067995,-0.09937097,1.1650466,1.1288279,1.757961,189705,0,0,0,0
193,World\Azeroth\Westfall\PassiveDoodads\Tombstones\TombStone01.mdx,-0.5762709,-1.1793534,-3.639627E-07,0.5231455,1.1873835,1.5628036,190633,0,0,0,0
194,World\Generic\Human\Passive Doodads\Braziers\HumanBrazierMagic.mdx,-1.1585795,-1.1151539,-0.04329289,1.1585795,1.1091772,0.72408235,198065,0,0,0,0
195,World\Generic\Human\Passive Doodads\SignPosts\HumanSignPostPointer03.mdx,-0.09028915,0.058736783,3.4631574,0.0902899,1.7312196,3.9073818,198470,0,0,0,0
196,WORLD\AZEROTH\ELWYNN\PASSIVEDOODADS\SIGNS\SHOP\HUMANBLACKSMITHSIGN.MDX,-0.136721,-0.828006,0.676894,0.156303,0.674828,2.18664,189881,0,0,0,0
197,WORLD\GENERIC\DWARF\PASSIVE DOODADS\BRAZIERS\DWARVENBRAZIER02.MDX,-0.915952,-0.9174542,-0.003373806,0.9191017,0.91759956,1.442696,197293,0,0,0,0
199,World\Generic\Human\Passive Doodads\firewood\FirewoodPile01.mdx,-0.57092804,-0.780791,-0.078134,0.915707,0.72044,0.804467,198197,0,0,0,0
200,World\Azeroth\BurningSteppes\PassiveDoodads\Bonfire\OrcBonFire.mdx,-2.178994,-2.481435,-0.29855132,2.266473,2.024763,8.74709,189118,0,0,0,0
201,World\Generic\Orc\Passive Doodads\Braziers\SmallBrazier01.mdx,-0.9925514,-1.1990261,-0.14911596,1.1980189,1.2826425,2.2369561,199136,0,0,0,0
202,World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterWood01.mdx,0,-0.3685846,-0.045258608,0.047724497,0.389017,1.1036813,199428,0,0,0,0
203,World\Generic\Human\Passive Doodads\SignPosts\HumanSignPostPointer05.mdx,-0.09028915,0.11499625,3.4631574,0.0902899,1.7874792,3.9073818,198472,0,0,0,0
204,World\Azeroth\BurningSteppes\PassiveDoodads\SmeltingWeapons\SmeltingWeapons.mdx,-0.743717,-1.32396,0.143212,0.713533,1.42613,0.458631,189232,0,0,0,0
205,World\Azeroth\BurningSteppes\PassiveDoodads\LavaPillar\LavaPillar01.mdx,-1.6789509,-1.928581,-1.5340749,1.6248993,1.8863757,7.6906304,189158,0,0,0,0
206,World\Azeroth\BurningSteppes\PassiveDoodads\LavaAltar\LavaAltar.mdx,-3.3043108,-5.6047444,-0.80140966,4.071695,4.6747675,2.2227182,189141,0,0,0,0
207,World\Azeroth\BurningSteppes\PassiveDoodads\LavaShrine\LavaShrine01.mdx,-3.9018364,-3.1509392,-0.40222228,3.3113976,3.0074732,8.977763,189170,0,0,0,0
208,World\Azeroth\BurningSteppes\PassiveDoodads\OrcAnvilStoneBurningSteppes\OrcAnvilStoneBurningSteppes.mdx,-0.7264455,-1.7619615,-0.0068520075,1.276919,1.3813974,1.0693972,189186,0,0,0,0
209,World\Azeroth\BurningSteppes\PassiveDoodads\OrcFoundryPit\OrcSmallFoundryPit.mdx,-0.9737494,-1.127462,0.00018586052,0.9728831,1.1203158,1.5678493,189193,0,0,0,0
210,World\Goober\G_Scroll01.mdx,-0.53071415,-0.3803626,0.004418936,0.51791304,0.42016187,0.1359228,201113,0,0,0,0
211,World\Generic\Dwarf\Passive Doodads\DwarfCorpse\CorpseSkeletonDwarf.mdx,-0.8287792,-0.651999,-0.10610773,0.80525047,0.80772,0.450526,197330,0,0,0,0
212,World\Azeroth\Stranglethorn\PassiveDoodads\SerpentStatue02\SerpentStatue02.mdx,-2.2397277,-0.561092,-0.06719525,1.5194793,0.561092,4.7923546,190304,0,0,0,0
213,World\Azeroth\Elwynn\PassiveDoodads\jugs\jug01.mdx,-0.25196534,-0.28850514,5.8092948E-05,0.24885838,0.28402653,0.6868394,189820,0,0,0,0
214,World\Generic\PassiveDoodads\Plaque\PlaqueBronze02.mdx,-0.0008552008,-0.3555063,0.0029264954,0.06754854,0.3610328,0.42514873,199983,0,0,0,0
215,WORLD\GENERIC\PASSIVEDOODADS\MISC\WHEELBARROW\CAVEMINEWHEELBARROW01.MDX,-1.7277629,-0.78811485,-0.008782532,1.1581997,0.7968545,1.2308229,199886,0,0,0,0
216,World\Generic\Human\Passive Doodads\Cauldrons\Cauldron.mdx,-0.8074599,-1.1218002,-0.042288035,0.9724438,0.90082675,1.5269173,198100,0,0,0,0
217,World\Azeroth\Elwynn\PassiveDoodads\Skeleton\BattleGladeSkullHumanDark.mdx,-0.201085,-0.163374,-0.068108,0.155508,0.123893,0.222573,189896,0,0,0,0
218,World\Lordaeron\TirisfalGlade\PassiveDoodads\UtherShrine\UtherShrinePedestal.mdx,-0.31821227,-0.56979394,0.0030917062,0.3040101,0.56887287,1.1720244,204142,0,0,0,0
219,World\Dungeon\Cave\PassiveDoodads\Crystals\CaveMineCrystalFormation06.mdx,-0.9270202,-1.4659424,-0.08687742,1.1508173,1.3528758,2.3162832,190809,0,0,0,0
220,World\Generic\Human\Passive Doodads\Scrolls\ScrollA03.mdx,-0.53071415,-0.3911075,0.004418936,0.51791304,0.40941697,0.1359228,198452,0,0,0,0
221,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\TABLES\INNTABLE.MDX,-1.432252,-1.9918711,-0.00062190165,1.4322512,1.9918714,1.0310762,198603,0,0,0,0
222,World\Generic\Human\Passive Doodads\Scrolls\ScrollMap.mdx,-0.42443988,-0.5062119,0.00878355,0.39567083,0.50496256,0.12725158,198457,0,0,0,0
223,World\Azeroth\Westfall\PassiveDoodads\WreckedRowBoat\WreckedRowBoat.mdx,-6.70546,-1.7717322,-1.9626372,2.7850718,2.2384121,2.3222039,190677,0,0,0,0
224,World\Generic\Human\Passive Doodads\Food&Utensils\Haunch.mdx,-0.600933,-0.339263,-0.047453,0.593367,0.253576,0.594943,198232,0,0,0,0
225,World\Generic\Human\Passive Doodads\Bottles\Bottle01.mdx,-0.158805,-0.156214,0.0107936,0.152793,0.159946,0.723736,198057,0,0,0,0
226,World\Azeroth\TheBlastedlands\PassiveDoodads\Bones\BlastedLandsSkull02.mdx,-0.169425,-0.167378,-0.0594225,0.311892,0.225956,0.348714,190440,0,0,0,0
227,World\Generic\Human\Passive Doodads\Altars\Altar02.mdx,-1.159475,-2.027086,-0.16426,0.9965417,2.0393112,1.1678972,197832,0,0,0,0
228,World\Generic\Human\Passive Doodads\Bottles\GreenBottle02.mdx,-0.081213005,-0.08906599,-0.0013137391,0.07027412,0.066371396,0.53365207,198061,0,0,0,0
229,World\Generic\Human\Passive Doodads\Food\bread01.mdx,-0.7356397,-0.44304034,-0.048885435,0.6681913,0.42139748,0.5206123,198212,0,0,0,0
230,World\Generic\PassiveDoodads\ParticleEmitters\ShrineAuraBlue.mdx,-3.168073,-3.4398277,-0.0027077117,3.2564607,3.473341,11.632256,199969,0,0,0,0
231,WORLD\GENERIC\GNOME\ACTIVEDOODADS\GNOMEMACHINE\GNOMEMACHINE.MDX,-6.326479,-5.7974753,-1.3477138,4.559147,7.2969956,5.558093,197635,0,0,0,0
232,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\ARCHERYTARGETS\STORMWINDARCHERYTARGET01.MDX,-2.08384,-1.20424,-0.132554,0.857269,1.3081,4.58327,197849,0,0,0,0
233,World\SkillActivated\TradeskillEnablers\Tradeskill_Forge_01.mdx,-0.16244,-1.181084,0,2.171254,2.338611,4.772967,219412,0,0,0,0
234,World\Generic\Human\Passive Doodads\Tables\DuskwoodTable01.mdx,-1.2704259,-2.1495948,-0.0010878572,1.2995033,2.0993578,1.3383653,198602,0,0,0,0
235,World\Generic\PassiveDoodads\PlainRune\Runestone.mdx,-5.102673,-5.985953,-3.0126915,5.060145,5.9938974,13.010175,199976,0,0,0,0
236,World\Generic\NightElf\Passive Doodads\StoneRunes\KalidarStoneRune03.mdx,-1.0933907,-0.9710866,-0.18243767,0.71734124,1.5225624,2.4211059,198951,0,0,0,0
237,World\Generic\Human\Passive Doodads\Bottles\BottleSmoke.mdx,-0.23962569,-0.25813484,-0.0004995229,0.21219203,0.19920202,0.86232394,198058,0,0,0,0
238,World\Generic\Human\Passive Doodads\Bottles\GreenBottle01.mdx,-0.08064954,-0.53919387,-0.01617307,0.0708376,-0.044843312,0.34333378,198060,0,0,0,0
239,World\Generic\Human\Passive Doodads\Buckets\bucket.mdx,-0.48135415,-0.5392638,-0.0677329,0.47583288,0.53319913,0.8418058,198068,0,0,0,0
240,World\Generic\Human\Passive Doodads\Candelabras\GeneralCandelabra01.mdx,-0.16783424,-0.36048144,-0.0025668384,0.16784327,0.37517214,1.4357842,198076,0,0,0,0
241,World\Generic\Human\Passive Doodads\Cups\MetalCup03.mdx,-0.172105,-0.18447466,0.0001974558,0.14940603,0.15358202,1.1140472,198169,0,0,0,0
242,World\Azeroth\BootyBay\PassiveDoodad\DeadFish\FishDeadBlue.mdx,-0.13716361,-0.34277794,-0.014371823,0.17296274,0.33914033,0.16792719,189085,0,0,0,0
243,World\Goober\G_bombwagon.mdx,-3.6841435,-4.1307025,-0.10315412,4.093634,3.6470752,3.9267764,200898,0,0,0,0
244,World\Dungeon\Cave\PassiveDoodads\Crystals\CaveMineCrystalFormation02.mdx,-0.28735203,-0.58162475,-0.23204753,0.66283447,0.53058845,1.0224377,190805,0,0,0,0
245,World\Goober\G_Cannon01.mdx,-4.724608,-2.2360842,-0.008010473,5.4779325,2.2338254,4.126441,200947,0,0,0,0
246,World\Generic\Human\Passive Doodads\Books\BookLarge03.mdx,-0.0591719,-0.168265,0.000166667,0.0589569,0.218579,1.64941,198018,0,0,0,0
247,World\Generic\NightElf\Passive Doodads\StoneRunes\KalidarStoneRune02.mdx,-1.319021,-1.9314181,-0.100238,0.8361042,1.4218318,4.4553895,198950,0,0,0,0
248,World\Lordaeron\Arathi\PassiveDoodads\Rocks\ArathiRock01.mdx,-0.87389946,-2.1033733,-0.70557576,1.0874829,1.8502036,6.399526,203668,0,0,0,0
249,World\Generic\NightElf\Passive Doodads\Ruins\NightElfRuins03.mdx,-1.2231927,-0.97411305,0,0.9717772,0.91302234,1.9032593,198836,0,0,0,0
250,World\Generic\PassiveDoodads\ParticleEmitters\DruidWisp01.mdx,-4.166667,-4.1666665,-0.5329403,4.166667,4.1666665,21.585495,199938,0,0,0,0
251,World\Azeroth\Elwynn\PassiveDoodads\Haystacks\haystack01.mdx,-0.377489,-0.723556,0,0.361372,0.718575,0.701458,189810,0,0,0,0
252,World\Generic\Dwarf\Passive Doodads\TavernStuff\GrainSacs02.mdx,-0.500943,-0.5309873,-0.034535266,1.0425191,0.92306286,1.0567876,197608,0,0,0,0
253,World\Azeroth\Elwynn\PassiveDoodads\Detail\ElwynnFlower02.mdx,-0.55843467,-0.41973093,-0.04908954,0.32582977,0.4667784,0.85638773,189752,0,0,0,0
254,World\Generic\Human\Passive Doodads\Books\BookMediumOpen01.mdx,-0.30139467,-0.44658986,0.00033972,0.34107915,0.45595747,0.12949663,198029,0,0,0,0
255,World\Goober\G_Book01.mdx,-0.30283165,-0.224365,-0.00039330532,0.3010158,0.22332,0.12893926,200900,0,0,0,0
256,World\Generic\NightElf\Passive Doodads\Pottery\ElvenPottery01.mdx,-0.45444453,-0.6513209,-0.05565759,0.48042658,0.68551946,2.6106722,198801,0,0,0,0
257,World\Generic\NightElf\Passive Doodads\Pottery\ElvenPottery02.mdx,-0.3167032,-0.40637532,-0.05278758,0.3426852,0.4486084,1.9087067,198802,0,0,0,0
258,World\Generic\Orc\Passive Doodads\Jars\JarOrc06.mdx,-0.249397,-0.293447,0,0.248555,0.281536,0.676136,199184,0,0,0,0
259,World\SkillActivated\Containers\TreasureChest01.mdx,-0.6564974,-0.8510136,-0.002842871,0.6526823,0.85000587,1.3149991,219372,0,0,0,0
260,World\Generic\PassiveDoodads\ParticleEmitters\OrangeGroundFog.mdx,-9.019885,-11.080846,-3.304257,8.988398,8.973819,-1.7144448,199964,0,0,0,0
261,World\Generic\ActiveDoodads\Clam\GiantClamActive.mdx,-0.9228543,-1.2555828,-0.20187461,1.198285,1.3477038,1.3022583,196998,0,0,0,0
263,World\Generic\PassiveDoodads\ParticleEmitters\AuraBlueShort.mdx,-0.8553794,-0.92875344,-0.00024379102,0.87924397,0.93780214,1.5703541,199907,0,0,0,0
