ID,ComponentSection,MaterialResourcesID,ItemDisplayInfoID
907,4,45647,4637
908,0,28091,4638
909,1,28244,4638
910,3,43649,4638
911,4,45641,4638
912,0,28096,4639
913,1,28249,4639
914,3,43654,4639
915,4,45646,4639
916,0,24981,4640
917,1,26393,4640
918,3,44748,4640
919,4,34946,4640
920,1,25445,4685
921,2,34856,4685
922,6,31545,4713
923,7,25787,4713
924,3,44393,4723
925,4,45930,4723
926,6,28657,4734
927,7,28052,4734
928,5,33037,4744
929,6,28879,4744
930,5,32203,4765
931,6,28668,4765
932,0,28521,4767
933,3,45139,4767
934,4,44757,4767
935,1,31914,4768
936,2,32143,4768
937,7,25039,4835
938,5,33137,4849
939,5,31249,4852
940,1,25100,4855
941,2,31585,4855
942,5,32860,4857
943,5,33674,4858
944,5,31247,4859
945,5,31253,4860
946,5,33687,4864
947,6,29503,4873
948,7,25042,4873
949,5,33677,4878
950,5,34387,4881
951,5,34373,4882
952,5,33055,4888
953,5,32390,4905
954,5,32473,4907
955,5,35344,4912
956,6,29685,4912
957,1,26306,4916
958,1,26103,4919
959,2,31812,4919
960,6,32526,4921
961,7,25016,4921
962,5,32204,4954
963,6,31779,4956
964,7,25803,4956
965,5,32202,4989
966,5,32394,4990
967,7,25024,5080
968,5,34393,5236
969,6,31487,5236
970,3,45719,5243
971,4,34506,5243
972,0,30127,5249
973,2,33974,5249
974,3,45165,5249
975,4,34973,5249
976,5,32397,5249
977,0,27767,5250
978,2,33750,5250
979,3,43574,5250
980,4,45754,5250
981,2,31671,5251
982,2,33974,5268
983,0,28442,5271
984,1,31903,5271
985,3,45289,5271
986,4,35319,5271
987,2,32139,5272
988,0,28442,5274
989,3,45289,5274
990,4,35319,5274
991,3,45289,5277
992,4,35319,5277
993,0,30127,5294
994,1,27322,5294
995,0,30128,5295
996,1,27321,5295
997,3,45164,5295
998,4,34972,5295
999,5,29178,5296
1000,5,29178,5297
1001,6,28706,5297
1002,0,27469,5298
1003,1,28215,5298
1004,0,27469,5299
1005,1,28215,5299
1006,3,44300,5299
1007,4,33609,5299
1008,5,34799,5300
1009,6,34558,5300
1010,6,34559,5301
1011,7,27814,5301
1012,2,31572,5302
1013,0,28135,5305
1014,1,28482,5305
1015,3,45368,5305
1016,4,45807,5305
1017,5,35036,5305
1018,0,28135,5306
1019,1,28482,5306
1020,3,45368,5306
1021,4,45807,5306
1022,5,35036,5307
1023,5,35036,5308
1024,6,31283,5308
1025,0,24964,5315
1026,1,26370,5315
1027,3,44731,5315
1028,4,34307,5315
1029,5,32191,5315
1030,0,26780,5317
1031,1,25376,5317
1032,3,43572,5317
1033,0,26780,5318
1034,1,27578,5318
1035,5,33330,5319
1036,5,33331,5320
1037,6,29981,5320
1038,6,29980,5321
1039,7,28806,5321
1040,1,27578,5322
1041,3,44152,5324
1042,4,45036,5324
1043,0,24981,5326
1044,1,26393,5326
1045,3,44748,5326
1046,4,34946,5326
1047,5,32401,5326
1048,5,33332,5327
1049,6,29980,5331
1050,7,29031,5331
1051,2,35199,5332
1052,1,25441,5333
1053,5,31254,5339
1054,6,31760,5339
1055,0,27396,5340
1056,1,25445,5340
1057,3,45730,5340
1058,4,34598,5340
1059,5,31436,5340
1060,5,31437,5341
1061,6,31770,5341
1062,0,27863,5343
1063,3,43926,5343
1064,4,33615,5343
1065,5,34398,5343
1066,5,34398,5344
1067,3,44259,5345
1068,4,33623,5345
1069,5,29181,5346
1070,6,29501,5346
1071,6,29501,5347
1072,7,25041,5347
1073,0,30127,5350
1074,1,27322,5350
1075,3,45165,5350
1076,4,34973,5350
1077,6,28706,5351
1078,7,25038,5351
1079,0,27853,5352
1080,1,25377,5352
1081,3,43842,5352
1082,4,32971,5352
1083,5,34391,5353
1084,6,29778,5354
1085,7,26745,5354
1086,1,25377,5355
1087,0,27867,5360
1088,1,25382,5360
1089,3,44259,5360
1090,4,33623,5360
1091,5,32196,5361
1092,0,27866,5362
1093,3,44257,5362
1094,4,33621,5362
1095,6,29496,5363
1096,7,25039,5363
1097,0,27072,5364
1098,1,27237,5364
1099,3,44873,5364
1100,4,45380,5364
1101,5,33676,5365
1102,6,30020,5365
1103,7,32096,5366
1104,0,28082,5367
1105,1,28235,5367
1106,3,43640,5367
1107,4,45710,5367
1108,5,34363,5368
1109,5,34364,5369
1110,6,30261,5369
1111,7,32114,5370
1112,5,33134,5372
1113,7,32127,5374
1114,2,34857,5378
1115,0,27857,5379
1116,1,25379,5379
1117,3,43919,5379
1118,4,32975,5379
1119,6,28665,5380
1120,7,25018,5380
1121,1,25482,5382
1122,2,31640,5383
1123,0,24973,5385
1124,3,44740,5385
1125,4,34316,5385
1126,3,43574,5386
1127,4,45754,5386
1128,6,29984,5387
1129,7,29004,5387
1130,1,27584,5388
1131,2,35203,5389
1132,1,25454,5399
1133,2,34865,5399
1134,2,34865,5400
1135,6,31759,5401
1136,7,25793,5401
1137,2,34852,5406
1138,6,34199,5409
1139,7,27807,5409
1140,1,25433,5418
1141,2,34845,5418
1142,6,31763,5420
1143,7,25795,5420
1144,1,28004,5425
1145,1,29854,5434
1146,1,30926,5435
1147,2,31673,5435
1148,5,31241,5441
1149,6,31546,5441
1150,5,32191,5443
1151,2,33969,5444
1152,6,31771,5446
1153,7,25799,5446
1154,0,27389,5447
1155,3,45723,5447
1156,4,34510,5447
1157,0,24965,5448
1158,1,26371,5448
1159,3,44732,5448
1160,4,34308,5448
1161,5,34022,5449
1162,6,28705,5451
1163,7,25038,5451
1164,5,33699,5457
1165,5,33701,5458
1166,6,30031,5458
1167,6,30030,5459
1168,7,32096,5459
1169,0,28097,5460
1170,1,28250,5460
1171,3,43655,5460
1172,4,45647,5460
1173,5,34460,5461
1174,5,34461,5462
1175,6,30276,5462
1176,7,32118,5463
1177,0,28097,5464
1178,1,28250,5464
1179,3,43655,5464
1180,4,45647,5464
1181,0,28422,5467
1182,1,30926,5467
1183,3,45232,5467
1184,4,33214,5467
1185,5,32247,5468
1186,5,32248,5469
1187,6,29769,5469
1188,6,29768,5470
1189,7,26740,5470
1190,2,31673,5472
1191,0,28428,5477
1192,3,45274,5477
1193,4,33220,5477
1194,5,32259,5478
1195,5,32260,5479
1196,6,29781,5479
1197,6,29780,5480
1198,7,26746,5480
1199,0,28450,5486
1200,1,31924,5486
1201,3,45297,5486
1202,4,35327,5486
1203,5,32485,5488
1204,6,29825,5488
1205,6,29824,5489
1206,7,26940,5489
1207,0,27082,5490
1208,1,27247,5490
1209,3,44960,5490
1210,4,45425,5490
1211,0,27877,5491
1212,1,28228,5491
1213,3,43555,5491
1214,4,45450,5491
1215,5,33835,5492
1216,6,30254,5492
1217,0,28419,5497
1218,3,45894,5497
1219,4,33211,5497
1220,2,31572,5508
1221,5,34070,5512
1222,5,34579,5513
1223,6,31806,5513
1224,6,31805,5514
1225,7,29054,5514
1226,5,30499,5521
1227,6,28758,5521
1228,6,28757,5522
1229,7,26714,5522
1230,1,29832,5523
1231,0,27397,5558
1232,3,45731,5558
1233,4,34599,5558
1234,5,32192,5559
1235,1,25376,5572
1236,7,25793,5573
1237,1,25444,5578
1238,2,34855,5579
1239,0,28431,5582
1240,3,45277,5582
1241,4,33223,5582
1242,5,32457,5582
1243,5,32456,5583
1244,1,30944,5584
1245,2,31682,5585
1246,5,34462,5588
1247,5,34384,5589
1248,6,30270,5589
1249,6,28663,5591
1250,7,25017,5591
1251,6,28763,5594
1252,7,26717,5594
1253,0,27082,5597
1254,1,27247,5597
1255,3,44960,5597
1256,4,45425,5597
1257,5,33699,5597
1258,6,31775,5598
1259,7,25801,5598
1260,3,43648,5600
1261,4,45640,5600
1262,5,34382,5601
1263,6,30269,5601
1264,5,31439,5602
1265,0,27388,5604
1266,1,25436,5604
1267,3,45722,5604
1268,4,34509,5604
1269,5,31247,5604
1270,5,31248,5605
1271,6,31754,5605
1272,0,24976,5609
1273,1,26385,5609
1274,3,44743,5609
1275,4,34319,5609
1276,0,26778,5610
1277,1,27574,5610
1278,3,43570,5610
1279,4,45750,5610
1280,5,33248,5611
1281,6,29977,5611
1282,1,27575,5612
1283,6,29976,5615
1284,7,28804,5615
1285,5,33333,5619
1286,6,29983,5619
1287,6,29980,5620
1288,7,28806,5620
1289,5,33701,5622
1290,6,30031,5622
1291,3,44748,5623
1292,4,34946,5623
1293,0,28091,5624
1294,1,28244,5624
1295,3,43649,5624
1296,4,45641,5624
1297,0,28086,5625
1298,1,28239,5625
1299,3,43644,5625
1300,4,45636,5625
1301,5,34374,5626
1302,6,30265,5626
1303,0,27077,5627
1304,1,27242,5627
1305,3,44955,5627
1306,4,45385,5627
1307,0,27389,5631
1308,1,29833,5631
1309,3,45723,5631
1310,4,34510,5631
1311,5,31249,5631
1312,5,31250,5632
1313,6,31756,5632
1314,6,31755,5633
1315,7,25791,5633
1316,2,31649,5634
1317,5,33679,5652
1318,6,30021,5652
1319,0,27073,5653
1320,1,27238,5653
1321,3,44874,5653
1322,4,45381,5653
1323,5,31449,5654
1324,6,31782,5654
1325,0,27414,5655
1326,3,45860,5655
1327,4,35108,5655
1328,0,26782,5661
1329,1,27584,5661
1330,3,43574,5661
1331,4,45754,5661
1332,0,26782,5663
1333,1,27584,5663
1334,3,43574,5663
1335,4,45754,5663
1336,5,34330,5670
1337,0,26782,5673
1338,1,27575,5673
1339,3,43574,5673
1340,4,45754,5673
1341,6,29977,5674
1342,7,28804,5674
1343,2,35199,5675
1344,5,34702,5679
1345,5,30540,5680
1346,6,29761,5680
1347,0,27390,5700
1348,3,45724,5700
1349,4,34511,5700
1350,3,45730,5702
1351,4,34598,5702
1352,0,24977,5710
1353,1,26387,5710
1354,3,44744,5710
1355,4,34453,5710
1356,7,32114,5711
1357,5,35072,5714
1358,6,31289,5714
1359,0,24969,5715
1360,1,26375,5715
1361,3,44736,5715
1362,4,34312,5715
1363,5,35065,5716
1364,5,35038,5717
