Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Fist of the Fallen Watcher,,143,2,785,199,-1,0,48
Justice's Flame,,144,5,788,199,-1,0,48
Gravewarder,,145,4,786,199,-1,0,48
Protector's Judgment,,146,3,787,199,-1,0,48
Truthguard,,147,1,756,755,-1,0,49
Light of the Titans,,148,2,777,945,-1,0,49
Dark Keeper's Ward,,149,4,780,943,-1,0,49
Crest of Holy Fire,,150,5,778,944,-1,0,49
Vindicator's Bulwark,,151,6,779,946,-1,1,49
Light's Wrath,,152,1,705,0,-1,0,46
Crest of the Redeemed,,153,2,706,0,-1,0,46
Tomekeeper's Spire,,154,6,709,0,-1,1,46
Eternal Vigil,,155,4,708,0,-1,0,46
Chalice of Light,,156,3,707,0,-1,0,46
Banner of Purity,,157,2,950,0,-1,0,45
Keeper of Light,,158,3,948,0,-1,0,45
Memory of Argus,,159,5,949,0,-1,0,45
Embrace of the Void,,160,4,951,0,-1,0,45
The Dreadblades,,161,1,757,758,-1,0,44
Promise of the Seascourge,,162,2,868,873,-1,0,44
Flame's Kiss,,163,3,869,874,-1,0,44
Fencer's Reach,,164,5,870,875,-1,0,44
Scoundrel's Last Word,,165,4,871,876,-1,0,44
Stormkeeper,,166,2,880,885,-1,0,40
Earthspeaker,,167,3,881,886,-1,0,40
Rehgar's Legacy,,168,5,882,887,-1,0,40
Fist of the Fallen Shaman,,169,4,883,888,-1,0,40
Stormbringer,,170,2,632,0,-1,0,41
Legion's Doom,,171,3,633,0,-1,0,41
Blackhand's Fate,,172,4,634,0,-1,0,41
Typhoon,,173,5,635,0,-1,0,41
Scepter of the Deep,,174,2,801,963,-1,0,42
Titanborn,,175,3,802,961,-1,0,42
Totembearer,,176,4,803,962,-1,0,42
Frozen Fate,,177,5,804,959,-1,0,42
Deadwind Harvester,,178,1,646,0,-1,0,39
Hand of the Afflicted,,179,2,647,0,-1,0,39
Soul Siphon,,180,3,648,0,-1,0,39
Fate's End,,181,6,649,0,-1,1,39
Death's Hand,,182,4,650,0,-1,0,39
Skull of the Man'ari,,183,1,760,922,20,0,37
Gaze of the First Summoner,,184,2,781,927,20,0,37
Pride of the Pit Lord,,185,3,782,926,20,0,37
Burning Remnant,,186,4,783,923,20,0,37
Soul of the Forgotten,,187,5,784,925,20,0,37
"Stromkar, the Warbreaker",,188,1,641,0,-1,0,36
Vengeance of the Fallen,,189,2,749,0,-1,0,36
Wrath's Edge,,190,4,752,0,-1,0,36
Flamereaper,,191,3,750,0,-1,0,36
Blade of the Sky Champion,,192,5,751,0,-1,0,36
Warswords of the Valarjar,,193,1,639,640,-1,0,35
Arm of the Dragonrider,,194,2,761,765,-1,0,35
Stormbreath,,195,4,764,768,-1,0,35
Helya's Gaze,,196,5,763,767,-1,0,35
Valormaw,,197,3,762,766,-1,0,35
Wildrunner,,200,5,934,0,-1,0,55
Moonspirit,,203,6,636,637,-1,1,58
Ashbringer,,206,1,62,0,-1,0,80
Ashbringer,,207,1,62,0,-1,0,81
Ashbringer,,208,1,62,0,-1,0,80
Underlight Angler,,211,1,818,0,1,0,73
Woolomancer's Charge,,212,6,825,0,-1,1,4
Touch of Undeath,,213,6,826,0,-1,1,15
Dark Runeblade,,214,6,827,828,-1,1,12
Death's Deliverance,,215,5,829,0,-1,0,16
Deathwalker,,216,6,830,932,-1,1,3
Umberwing,,217,5,909,910,-1,0,60
Manascythe,,218,5,835,0,-1,0,59
Might of the Grizzlemaw,,219,5,188,638,-1,0,57
Night's Vigilance,,220,5,67,0,-1,0,13
Titan's Reach,,221,6,836,0,-1,1,56
Forests' Guardian,,222,5,837,0,-1,0,34
The Stars' Design,,223,6,842,938,-1,1,54
Elite Magus,,224,5,843,0,-1,0,53
Ancient Brewkeeper,,225,6,844,0,-1,1,52
Essence of Calm,,226,5,849,0,-1,0,51
Xuen's Enforcer,,227,5,850,851,-1,0,50
Watcher's Armament,,228,6,852,199,-1,1,48
Divine Protector,,229,3,853,942,-1,0,49
Corrupted Remembrance,,230,6,854,0,-1,1,2
Ascended Watch,,231,5,855,0,-1,0,46
Crest of the Lightborn,,232,6,947,0,-1,1,45
Claw of N'Zoth,,233,6,857,956,-1,1,47
Ghostblade,,234,5,862,867,-1,0,43
"Thunderfury, Hallowed Blade of the Windlord",,235,6,872,877,-1,1,44
Venombite,,236,6,878,879,-1,1,17
Prestige of the Amani,,237,6,884,889,-1,1,40
Zandalar Champion,,238,6,890,0,-1,1,41
Serpent's Coil,,239,6,891,960,-1,1,42
Spine of the Condemned,,240,5,892,0,-1,0,39
Thal'kiel's Visage,,241,6,893,924,20,1,37
Guise of the Darkener,,242,5,894,0,-1,0,38
Arcanite Bladebreaker,,243,6,895,0,-1,1,36
Dragonslayer's Edge,,244,6,896,897,-1,1,35
Legionbreaker,,245,5,898,964,-1,0,11
