ID,Name_lang,Description_lang,IconFileDataID,PetTypeEnum,Cooldown,BattlePetVisualID,Flags
133,Aura - Damage Shield 2.0,,0,-1,0,2,0
134,Damage Shield 2.0test,,0,0,0,0,0
135,Pristine Trap,Attempt to catch a pet below 35% health.  Capture chance is increased by 30% each time you fail.,638662,0,0,0,6
149,Heal Test 2.0,,538569,4,0,0,0
150,Custom Scripted Turn Test,,236216,4,0,0,0
151,Poison Fang,"Deals [StandardDamage(1,1)] [School()] damage every round.

|cFF1EFF00Poisoned.|r",136067,7,0,25,1
152,Poison Fang,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Instantly deals [StandardDamage(1,1)] [School()] damage and |cFF1EFF00Poisons|r the target for [StandardDamage(1,1,379)] additional [School(379)] damage per round for [duration(1,2)] |4round:rounds.",136067,7,0,0,0
153,Attack Reduction,"Damage dealt reduced by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 153 ))]%.",653219,-1,0,334,3
154,Speed Reduction,"Speed reduced by [abs(abilityStateMod(25,154))]%.",653221,-1,0,316,3
155,Hiss,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and reduces the target's speed by [abs(abilityStateMod(25,154))]% for [duration(1,2)] |4round:rounds;.",132211,7,0,0,0
156,Vicious Fang,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage. Damage increases by [FormatDamage (pointsincreaseperuse(1,1)*AttackBonus())] each time it hits. Max [FormatDamage (pointsmax(1,1)*AttackBonus())] [School()] damage.",236177,7,0,0,0
157,Jacob's Test Ability,"The target [cond(unitHasAura(220, ENEMY), ""does"", ""does not"")] have [abilityName(220)] on them.",132311,2,0,0,2
158,Counterstrike,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage. 

Deals [StandardDamage(1,2)] additional [School()] damage if you were struck this round.",132269,0,2,0,0
159,Burrow,"[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Burrow under the ground, becoming unattackable for one round.

On the next round, you attack, dealing [StandardDamage(2,1)] [School()] damage.",136025,7,4,0,0
160,Consume,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

The user is healed for [points(1,3)]% of the damage dealt.",136214,3,1,0,0
161,Adrenaline,"Speed increased by [abs(abilityStateMod(25,161))]%.",648208,-1,0,113,2
162,Adrenaline Rush,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and increases your speed by [abs(abilityStateMod(25,161))]% for [duration(1,2)] |4round:rounds;.",132307,4,0,0,0
163,Stampede,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Starts a stampede, causing [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] [School()] damage.

Opponents struck by the stampede take double damage for [duration(1,4)] |4round:rounds;.

Stampede continues for [numTurns()] |4round:rounds;.",134060,4,0,0,0
164,Crouch,"Your damage taken has been reduced by [abs(abilityStateMod(24,164))]%.",132118,-1,0,27,2
165,Crouch,"The user lowers its body close to the ground, reducing all damage taken by 50% for [duration(1,2)] |4round:rounds;.",132118,4,4,0,2
166,Nut Barrage,"Deals [StandardDamage(1,1)] [School()] damage to the current pet every round.",134057,4,0,0,0
167,Nut Barrage,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Hurls nuts at the enemy, dealing [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] [School()] damage. 

Nuts continue to fall on the enemy's current pet  dealing [StandardDamage(1,1, 166)] [School()] damage each round for [duration(1,4)] |4round:rounds;",134057,4,1,0,0
168,Healing Flame,"Restores [StandardDamage(1,1)] health plus half of the last hit taken by the user.",135794,1,3,0,2
169,Deep Breath,"[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Takes one round to breathe in deeply.  

The next round the user unleashes a devastating breath attack, dealing [StandardDamage(2,1)] [School()] damage.",135826,1,0,0,0
170,Lift-Off,"[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Fly up high, becoming unattackable for one round.

On the next round, you attack, dealing [StandardDamage(2,1)] [School()] damage.",132128,2,4,0,0
171,Scorched Earth,"Deals [StandardDamage(1,1)] [School()] damage to the front pet of both teams each round.

All pets count as |cFFFF2020Burning|r.",237588,1,0,172,0
172,Scorched Earth,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Scorches the ground, dealing [StandardDamage(1,1)] [School()] damage and dealing [StandardDamage(1,1,171)] [School(171)] damage to all active pets each round for [duration(1,2)] |4round:rounds;.

During Scorched Earth, all pets count as |cFFFF2020Burning|r.",237588,1,3,0,0
173,Cauterize,"Restores [StandardDamage(1,1)] health plus half of the last hit taken by the user.",236218,6,3,0,2
174,Stunned,Unable to give this pet commands.,135860,-1,0,103,3
175,Volcano,"After 2 |4round:rounds;, the ground erupts for 2 |4round:rounds;, causing the current enemy pet to take [StandardDamage(3,1,175)] [School()] damage and has a 25% chance to be stunned for the next [duration(3,3,175)] round;.

[StandardAccuracy(3,1)] |cffffffffHit Chance|r",524305,6,0,288,1
176,Volcano,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Causes the ground beneath the enemy team to tremble. 

After 2 rounds, the ground erupts for 2 rounds, causing the current enemy pet to take [StandardDamage(3,1,175)] [School()] damage and have a 25% chance to be stunned for 1 round.",524305,6,5,0,0
177,Immolate,"Deals [StandardDamage(1,1)] Elemental damage every round.

|cFFFF2020Burning|r",135817,6,0,28,0
178,Immolate,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage instantly.  The enemy |cFFFF2020Burns|r for  [StandardDamage(1,1,177)] additional [School()] damage per round for [duration(1,2)] |4round:rounds;.",135817,6,0,0,0
179,Conflagrate,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

Deals [StandardDamage(1,3)] [School()] additional damage if the target is |cFFFF2020Burning|r.",135827,6,4,0,0
184,Quills,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Flings 1-2 Quills at the enemy, dealing [StandardDamage(1,1)] [School()] damage per hit.

Hits an additional time if the user attacks first.",132924,2,0,0,0
185,Reckless Strike,"Your damage taken has been increased by [abs(abilityStateMod( 24, 185 ))]%.",464973,-1,0,530,3
186,Reckless Strike,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] Flying damage, but increases the damage you take for [duration(1,3)] round by [abs(abilityStateMod( 24, 185 ))]%.",132158,2,1,0,0
187,Accuracy,"Hit chance increased by [abs(abilityStateMod(41,187))]%.",132212,-1,0,0,2
188,Accuracy,"Increases your team's hit chance by [abs(abilityStateMod(41,187))]% for 4 |4round:rounds;.",132212,2,0,0,2
189,Cyclone,"Deals [StandardDamage(1,1)] [School()] damage to your team each round.

[StandardAccuracy(1,1)] |cffffffffHit Chance|r",136018,2,0,225,0
190,Cyclone,"Creates a cyclone which has a [accuracy(1,1,189)]% chance to deal [StandardDamage(1,1,189)] [School()] damage to the enemy team each round.

Lasts [duration(1,1)] rounds.",136018,2,5,0,0
193,Flank,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Flanks the enemy 1-2 times, dealing [StandardDamage(1,1)] [School()] damage per hit.

Hits an additional time if the user is faster than the enemy.",537468,4,0,0,0
194,Metabolic Boost,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Instantly deals [StandardDamage(1,1)] [School()] damage and increases your speed by [abs(abilityStateMod( 25, 195 ))]% for [duration(1,2)] round.",132307,5,0,0,0
195,Metabolic Boost,"Speed has been increased by [abs(abilityStateMod( 25, 195 ))]%.",648208,-1,0,26,2
196,Adrenaline Glands,"Chance to critically strike increased by [abs(abilityStateMod( 40, 196 ))]%.
Accuracy reduced by [abs(abilityStateMod( 41, 196 ))]%.",134339,-1,0,0,2
197,Adrenal Glands,"Increases your critical strike chance by [abs(abilityStateMod(40, 841))]% for [duration(1,1)] |4round:rounds.",134339,5,0,0,2
198,Zergling Rush,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Starts a Zergling Rush, causing [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] [School()] damage.

Opponents struck by the rush take double damage for [duration(1,4)] rounds.

Zergling Rush continues for [numTurns()] rounds.",136217,5,0,0,0
202,Thrash,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Wildly flails at the enemy 1-2 times, dealing [StandardDamage(1,1)] [School()] damage per hit.

Hits an additional time if the user is faster than the enemy.",451161,7,0,0,0
203,Lightning Storm,"All pets deal [StandardDamage(getProcIndex(PROC_ON_DAMAGE_DEALT ),1)] bonus [School()] damage each time they attack. 

Mechanical abilities deal 25% additional damage.",463562,9,0,169,2
204,Call Lightning,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and causes a Lightning Storm for [duration(1,2)] |4round:rounds;.

During a Lightning Storm, all pets deal [StandardDamage(getProcIndex(PROC_ON_DAMAGE_DEALT, 203 ),1,203)] bonus [School(203)] damage on each attack and Mechanical abilities deal 25% additional damage.",463562,9,5,0,0
205,Blizzard,All pets are considered |cFF0070DDChilled|r.,135857,6,0,170,2
206,Call Blizzard,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and causes a Blizzard for  [duration(1,2)] rounds.

During a Blizzard, all pets are considered |cFF0070DDChilled|r.",135857,6,3,0,0
207,Supercharged,"Damage increased by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 207 ))]%.",648206,-1,0,320,2
208,Supercharge,"Increases the damage of your next attack made within [duration(1,1)] |4round:rounds; by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 207 ))]%.",135769,9,3,0,2
209,Ion Cannon,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Instantly deals [StandardDamage(1,1)] Mechanical damage. The user must recharge for two |4round:rounds; afterwards.

While recharging, you cannot perform any other actions.",132207,9,5,0,0
210,Shadow Slash,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Slashes at the target with dark energy, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.",237244,3,0,0,0
211,Siphon Life,"Deals [StandardDamage(1,1)] Undead damage every round. The caster of the aura is healed for [StandardHealing(1,2)].",136188,3,0,0,0
212,Siphon Life,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1,211)] [School()] damage per round for [duration(1,1)] |4round:rounds and heals the user for [StandardHealing(1,2,211)].",136188,3,0,0,0
213,Death and Decay,"Deals [StandardDamage(1,1)] Undead damage to the current pet every round.",136144,3,0,104,0
214,Death and Decay,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1,213)] [School()] damage to the enemy's active pet every round for [duration(1,1)] |4round:rounds;. Persists through pet swaps.",136144,3,0,0,0
215,Inner Vision,"Damage increased by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 215 ))]%.",135934,-1,0,320,2
216,Inner Vision,"Increases damage by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 215 ))]% for 1 round.",135934,5,1,0,2
217,Curse of Doom,"Deals [StandardDamage(5,1)] [School()] damage when the effect ends.

[StandardAccuracy(5,1)] |cffffffffHit Chance|r",136122,3,0,0,0
218,Curse of Doom,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(5,1,217)] [School()] damage after [numTurns(217)] |4round:rounds;.",136122,3,5,0,0
219,Jab,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Jabs at the enemy, dealing [StandardDamage(1,1)] [School()] damage.",574572,0,0,0,0
220,Jacob's Test Aura,"Increases healing taken by [abilityStateMod(66)]%.

There are [remainingDuration()] |4round:rounds; remaining.

Deals [StandardDamage(getProcIndex(PROC_ON_SWAP_IN), 1)] damage when swapping in.",237161,-1,0,0,1
221,Takedown,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Takes down an enemy, dealing [StandardDamage(1,1)] [School()] damage.

Deals double damage if the target is |cFF808080Stunned|r.",628134,0,0,0,0
222,Focus Chi,"Damage increased by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 222 ))]%.",648206,-1,0,320,2
223,Focus Chi,"Increases the damage of your next attack made within [duration(1,1)] |4round:rounds; by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 222 ))]%.",572034,0,1,0,2
224,Staggered Steps,"Your damage taken has been reduced by [abs(abilityStateMod( 24, 224 ))]%.",574577,-1,0,27,2
225,Staggered Steps,"The user shrugs off attacks, reducing all damage taken by 50% for 2 rounds.",574577,0,3,0,2
226,"Fury of 1,000 Fists","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

Has a [accuracy(1,1)]% chance to stun the target for [duration(1,3)] |4round:rounds; if the target is |cff9933FFBlinded|r.",574573,0,4,0,0
227,Blackout Kick,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Stun the target for [duration(1,1)] |4round:rounds;.",574575,0,5,0,2
228,Tongue Lash,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Licks the enemy 1-2 times,  dealing [StandardDamage(1,1)] [School()] damage per hit.

Hits an additional time if the user is faster than the enemy.",350575,4,0,0,0
229,Cleansing Rain,"Hostile damage over time effects last one less round.

Aquatic abilities deal 25% more damage.",132852,8,0,177,2
230,Cleansing Rain,"Restores [StandardHealing(1,1)] health to your team and calls down a cleansing rain for [duration(1,4)] rounds. 

During a cleansing rain,  the duration of hostile damage over time effects is reduced by 1 round and Aquatic abilities deal 25% more damage.",132852,8,3,0,2
231,Swarm of Flies,"Deals [StandardDamage(1,1)] [School()] damage to the current pet every round.",136128,4,0,219,0
232,Swarm of Flies,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

A swarm of flies attacks the enemy's active pet, dealing [StandardDamage(1,1,231)] [School()] damage every round for [duration(1,1)] |4round:rounds;. Persists through pet swaps.",136128,4,0,0,0
233,Frog Kiss,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and has a [accuracy(1,3)]% chance to transform the target into a frog for [duration(1,3)] |4round:rounds;.
 
Damage increases by [FormatDamage(5*AttackBonus())] each time it is used. Max [FormatDamage(25 *AttackBonus())] [School()] damage.",136209,8,0,0,0
234,Jacob's Test Aura 2,"Every time you are damaged, you will heal for [points(getProcIndex(PROC_ON_DAMAGE_TAKEN), 1)]% of that damage. Every time you attack, you will take [points(getProcIndex(PROC_ON_DAMAGE_DEALT), 1)]% of that damage.",319458,-1,0,0,0
235,Jacob's Test Aura 3,Lasts forever increasing speed.,136072,-1,0,0,0
236,Critter,"|cFFFFFFFFPassive:|r
Critters are immune to stun, root, and sleep effects.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Beast abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Elemental abilities",618973,4,0,0,6
237,Beast,"|cFFFFFFFFPassive:|r
Beasts deal 25% extra damage below half health.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Mechanical abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Humanoids abilities",618972,7,0,44,6
238,Humanoid,"|cFFFFFFFFPassive:|r
Humanoids recover [percentage(1,1,726)]% of their maximum health if they dealt damage this round.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Undead abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Critter abilities",618977,0,0,0,6
239,Flying,"|cFFFFFFFFPassive:|r
Flying creatures gain 50% extra speed while above 50% health.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Magic abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Beast abilities",618976,2,0,0,6
240,Aquatic,"|cFFFFFFFFPassive: Purity|r
Harmful damage over time effects are reduced by 50% on Aquatic pets.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Flying abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Undead abilities",618981,8,0,0,10
241,Elemental,"|cFFFFFFFFPassive:|r
Elementals ignore all negative weather effects.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Aquatic abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Mechanical abilities",618975,6,0,0,6
242,Undead,"|cFFFFFFFFPassive:|r
Undead pets return to life immortal for one round when killed.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Critter abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Dragonkin abilities",618980,3,0,0,6
243,Magic,"|cFFFFFFFFPassive:|r
Magic pets cannot be dealt more than 35% of their maximum health in one attack.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Dragonkin abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Aquatic abilities",618978,5,0,0,6
244,Mechanical,"|cFFFFFFFFPassive:|r
Comes back to life once per battle, returning to 20% health.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Elemental abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Magic abilities",618979,9,0,0,6
245,Dragonkin,"|cFFFFFFFFPassive:|r
Dragons deal 50% additional damage on the next round after bringing a target's health below 50%.

|cFFFFFFFFDamage Taken|r
|TInterface\PetBattles\BattleBar-AbilityBadge-Strong.blp:24|t 50% from Humanoid abilities
|TInterface\PetBattles\BattleBar-AbilityBadge-Weak.blp:24|t 33% from Flying abilities",618974,1,0,0,6
246,Hibernation,"Hibernating. 
Restores increasing health every round.",132156,-1,0,45,2
247,Hibernate,"Fall asleep, restoring [StandardHealing(1,1,246)] health on the first round, [StandardHealing(2,1,246)] health on the second, then [StandardHealing(3,1, 246)] health on the third.

While Hibernating you cannot swap pets.",132156,7,5,0,2
248,Rooted,This pet cannot be swapped.,136091,-1,0,166,3
249,Grasp,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Grabs the target, dealing [StandardDamage(1,1)] [School()] damage.

The target cannot swap for [duration(1,2)] |4round:rounds;.",135834,8,0,0,0
250,Spiderling Swarm,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Swarms the enemy with spiderlings, dealing [FormatDamage(SimpleDamage(1,1)*2)] [School()] damage. 

Deals double damage if the target is |cffffffffWebbed|r.",136045,7,4,0,0
251,Uncanny Luck,"Hit chance increased by [abs(abilityStateMod(41,251))]%.
Critical strike chance increased by [abs(abilityStateMod(40,251))]%.",135725,-1,0,320,2
252,Uncanny Luck,"Increases your team's hit chance by [abs(abilityStateMod(41,251))]% and critical strike chance by [abs(abilityStateMod(40,251))]% for [duration(1,1)]  |4round:rounds;.",135725,4,0,0,2
253,Comeback,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage. 

Deals [StandardDamage(1,3)] additional damage if the user has lower health than the target.",132214,4,0,0,0
254,Tranquility,"Fills the area with peace, causing your active pet to restore [StandardHealing(1,1,255)] health every round.

Lasts [duration(1,1)] |4round:rounds;. Persists through pet swaps.",136107,4,0,0,2
255,Tranquility,"Restores [StandardHealing(1,1)] health per round.",136107,-1,0,142,0
256,Call Darkness,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

A shadow falls across the battlefield, dealing [StandardDamage(1,1)] [School()] damage and turning the weather to Darkness for [duration(1,2)] rounds.

During Darkness, all pets are considered |cff9933FFBlinded|r and all healing received is reduced by [abs(abilityStateMod(66,257))]%.",136223,0,5,0,0
257,Darkness,"Healing received reduced by [abs(abilityStateMod(66,257))]%.
Accuracy reduced by [abs(abilityStateMod(41,257))]%.

|cff9933FFBlinded|r by the darkness.",136223,-1,0,450,2
258,Starfall,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage to all enemy pets, restores [SimpleDamage(1,4)] health to all allies and turns the weather into Moonlight for [duration(1,7)]  |4round:rounds.

During Moonlight, all pets receive 25% additional healing and Magic abilities deal 10% additional damage.",236168,1,5,0,0
259,Invisibility,"After two |4round:rounds, you will become invisible for one round, becoming unable to be attacked.",132220,5,4,0,0
260,Fading,Turning invisible...,135994,-1,0,0,0
261,Invisible,"Invisible.
Immune to normal attacks.",132220,-1,0,370,0
262,Crystal Overload,"Damage increased by 100%.
Your next attack will deal [FormatDamage(SimpleDamage(1,1)*2)] [School()] damage to you.",463517,6,0,320,2
263,Crystal Overload,"Your next attack made within [duration(1,1)] |4round:rounds; deals double damage, but deals [FormatDamage(SimpleDamage(1,1,262)+SimpleDamage(1,1,262))] [School()] damage to you.",463517,6,1,0,2
264,Grounded,Grounded.,348539,-1,0,0,3
265,Boulder Toss,"Deals [StandardDamage(1,2)] [School()] damage. 

Can hit flying pets and will bring them to the ground for two  |4round:rounds.",237477,6,0,0,0
267,Photosynthesis,"Restores [StandardDamage(1,1,267)] health per round.

Twice as effective in Sunny weather.",136085,-1,0,0,0
268,Photosynthesis,"Restores [StandardDamage(1,1,267)] healing every round.  Lasts [duration(1,1)] |4round:rounds;.

Twice as effective in sunny weather.",136085,6,0,0,2
270,Glowing Toxin,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [points(1,1,271)]% of the target's max health as damage every round.

Lasts [duration(1,1)] |4round:rounds.",132273,2,0,0,2
271,Glowing Toxin,"Deals [points(1,1)]% of maximum health as damage every round.",132273,2,0,386,3
273,Wish,"Next round, your active pet will be healed for 50% of its maximum health.",645203,5,5,0,2
274,Wish,"Next round, your active pet will be healed for 50% of its maximum health.",645203,-1,0,0,0
275,Nerfbat,"Deals [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.

Deals double damage if the user has lower health.",252282,8,0,0,0
276,Swallow You Whole,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

Deals double damage if the target is below 25% health.",463487,8,0,0,0
277,Life Exchange,"[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Equalizes the health between the user and his enemy.

Health gained cannot exceed the caster's maximum health.",237586,5,5,0,2
278,Repair,"Enters repair mode, performing no actions for two |4round:rounds;, then repairs [StandardHealing(3,1)] health.",132281,9,5,0,2
279,Heartbroken,"Next round you take [abs(abilityStateMod( 24 , 280 ))]% additional damage. If hurt, you will deal [abs(abilityStateMod( 23 , 281 ))]% additional damage for [duration(getProcIndex(PROC_ON_DAMAGE_TAKEN,280),1,280)] |4round:rounds;.",135767,9,2,0,2
280,Overload,"Increases damage taken by [abs(abilityStateMod( 24 , 280 ))]%. 
If hurt, the user will deal [abs(abilityStateMod( 23 , 281 ))]% additional damage for [duration(getProcIndex(PROC_ON_DAMAGE_TAKEN),1)] |4round:rounds;.",136050,-1,0,483,2
