DisplayName_lang,Description_lang,ID,Type,Cost_Modifier,Race,Sex,Data
Short,,352,0,1,3,0,3
Topknot,,353,0,1,3,0,4
Short Tail,,354,0,1,3,0,5
Swept,,355,0,1,3,0,6
Receding,,356,0,1,3,0,7
Chonmage,,357,0,1,3,0,8
Braid,,358,0,1,3,0,9
Short Braid,,359,0,1,3,0,10
Full,,370,2,0.75,3,0,0
Double-Braided,,371,2,0.75,3,0,1
Groomed,,372,2,0.75,3,0,2
Short,,373,2,0.75,3,0,3
Grand Mustache,,374,2,0.75,3,0,4
Braided Mustache,,375,2,0.75,3,0,5
Styled,,376,2,0.75,3,0,6
Pointed,,377,2,0.75,3,0,7
Braided,,378,2,0.75,3,0,8
Humbug,,379,2,0.75,3,0,9
Grimbeard,,380,2,0.75,3,0,10
Topknot,,413,0,1,2,1,0
Tail,,414,0,1,2,1,1
Crest,,415,0,1,2,1,2
Tufts,,416,0,1,2,1,3
Boar Tails,,417,0,1,2,1,4
Horns,,418,0,1,2,1,5
Mane,,419,0,1,2,1,6
Shaved,,420,0,1,2,1,7
Unpierced,,429,2,0.75,2,1,0
Earrings,,430,2,0.75,2,1,1
Upper Earrings,,431,2,0.75,2,1,2
Nose Ring,,432,2,0.75,2,1,3
Nose & Earrings,,433,2,0.75,2,1,4
Nose & Upper Earrings,,434,2,0.75,2,1,5
Full Earrings,,435,2,0.75,2,1,6
Double-Braided,,459,0,1,3,1,0
Braided Buns,,460,0,1,3,1,1
Braided,,461,0,1,3,1,2
Boar Tails,,462,0,1,3,1,3
Braided Bun,,463,0,1,3,1,4
Looped,,464,0,1,3,1,5
Tied,,465,0,1,3,1,6
Short,,466,0,1,3,1,7
Parted,,467,0,1,3,1,8
Short Braids,,468,0,1,3,1,9
Bobbed,,469,0,1,3,1,10
Cropped,,470,0,1,3,1,11
Bangs & Braids,,471,0,1,3,1,12
Gathered,,472,0,1,3,1,13
Unpierced,,483,2,0.75,3,1,0
Earrings,,484,2,0.75,3,1,1
Upper Earring,,485,2,0.75,3,1,2
Double Upper Earring,,486,2,0.75,3,1,3
Nose Ring,,487,2,0.75,3,1,4
Small Earrings,,488,2,0.75,3,1,5
Tower,,519,0,1,7,1,0
Sprouts,,520,0,1,7,1,1
Boar Tails,,521,0,1,7,1,2
Parted,,522,0,1,7,1,3
Soaked,,523,0,1,7,1,4
Braided Buns,,524,0,1,7,1,5
Bobbed,,525,0,1,7,1,6
Unpierced,,535,2,0.75,7,1,0
Earrings,,536,2,0.75,7,1,1
Small Earrings,,537,2,0.75,7,1,2
Upper Earrings,,538,2,0.75,7,1,3
Full Earrings,,539,2,0.75,7,1,4
Left Earring,,540,2,0.75,7,1,5
Right Earring,,541,2,0.75,7,1,6
Bald,,565,0,1,7,0,0
Wings,,566,0,1,7,0,1
Groomed,,567,0,1,7,0,2
Cowlicked,,568,0,1,7,0,3
Styled,,569,0,1,7,0,4
Balding,,570,0,1,7,0,5
Combover,,571,0,1,7,0,6
Clean,,581,2,0.75,7,0,0
Goatee,,582,2,0.75,7,0,1
Chops,,583,2,0.75,7,0,2
Waxed,,584,2,0.75,7,0,3
Bearded,,585,2,0.75,7,0,4
Handlebars,,586,2,0.75,7,0,5
Styled,,587,2,0.75,7,0,6
Mustachioed,,588,2,0.75,7,0,7
Bald,,613,0,1,5,0,0
Mohawk,,614,0,1,5,0,1
Shaggy,,615,0,1,5,0,2
Wisps,,616,0,1,5,0,3
Spiked,,617,0,1,5,0,4
Wild,,618,0,1,5,0,5
Scholar,,619,0,1,5,0,6
Full,,620,0,1,5,0,7
Topknot,,621,0,1,5,0,8
Long,,622,0,1,5,0,9
Intact,,633,2,0.75,5,0,0
Rot-Kissed,,634,2,0.75,5,0,1
Strapped,,635,2,0.75,5,0,2
Strapped Slackjaw,,636,2,0.75,5,0,3
Strapped Drooler,,637,2,0.75,5,0,4
Rotting,,638,2,0.75,5,0,5
Rotting Slackjaw,,639,2,0.75,5,0,6
Rotting Drooler,,640,2,0.75,5,0,7
Bonejawed,,641,2,0.75,5,0,8
Jawsome,,642,2,0.75,5,0,9
Toothy,,643,2,0.75,5,0,10
Toothy Slackjaw,,644,2,0.75,5,0,11
Cheeky,,645,2,0.75,5,0,12
Cheeky Slackjaw,,646,2,0.75,5,0,13
Putrid,,647,2,0.75,5,0,14
Putrid Slackjaw,,648,2,0.75,5,0,15
Putrid Drooler,,649,2,0.75,5,0,16
Wild,,687,0,1,5,1,0
Shaggy,,688,0,1,5,1,1
Loose,,689,0,1,5,1,2
Windswept,,690,0,1,5,1,3
Long,,691,0,1,5,1,4
The Bride,,692,0,1,5,1,5
Tomboy,,693,0,1,5,1,6
Styled,,694,0,1,5,1,7
Bobbed,,695,0,1,5,1,8
Soaked,,696,0,1,5,1,9
Intact,,707,2,0.75,5,1,0
Stitched,,708,2,0.75,5,1,1
Strapped,,709,2,0.75,5,1,2
Rotting,,710,2,0.75,5,1,3
Bonejawed,,711,2,0.75,5,1,4
Toothy,,712,2,0.75,5,1,5
Cheeky,,713,2,0.75,5,1,6
Putrid,,714,2,0.75,5,1,7
Longhorn,,743,0,1,6,0,0
Bull,,744,0,1,6,0,1
Charger,,745,0,1,6,0,2
Broken,,746,0,1,6,0,3
Snapped,,747,0,1,6,0,4
Tiny,,748,0,1,6,0,5
Buffalo,,749,0,1,6,0,6
Gorefest,,750,0,1,6,0,7
Clean,,754,2,0.75,6,0,0
Triple Braids,,755,2,0.75,6,0,1
Ringed,,756,2,0.75,6,0,2
Braid,,757,2,0.75,6,0,3
Bearded,,758,2,0.75,6,0,4
Double Braids,,759,2,0.75,6,0,5
Ringed & Braided,,760,2,0.75,6,0,6
Bald,,779,0,1,2,0,0
Topknot,,780,0,1,2,0,1
Chonmage,,781,0,1,2,0,2
Crest,,782,0,1,2,0,3
Chonmage Long,,783,0,1,2,0,4
Braided,,784,0,1,2,0,5
Tail,,785,0,1,2,0,6
Clean,,794,2,0.75,2,0,0
Rough,,795,2,0.75,2,0,1
Groomed Beard,,796,2,0.75,2,0,2
Cropped Beard,,797,2,0.75,2,0,3
Wild Beard,,798,2,0.75,2,0,4
Thick Braid,,799,2,0.75,2,0,5
Twin Braids,,800,2,0.75,2,0,6
Chop Braids,,801,2,0.75,2,0,7
Thin Braid,,802,2,0.75,2,0,8
Chops,,803,2,0.75,2,0,9
Tufts,,804,2,0.75,2,0,10
Horned,,831,0,1,6,1,0
Low,,832,0,1,6,1,1
Long,,833,0,1,6,1,2
Upturned,,834,0,1,6,1,3
Small,,835,0,1,6,1,4
Wide,,836,0,1,6,1,5
Buffalo,,837,0,1,6,1,6
Maned,,841,2,0.75,6,1,0
Braids,,842,2,0.75,6,1,1
Loops,,843,2,0.75,6,1,2
Tails,,844,2,0.75,6,1,3
Tufts,,845,2,0.75,6,1,4
Long,,861,0,1,4,1,0
Loose Tail,,862,0,1,4,1,1
Short,,863,0,1,4,1,2
High Tail,,864,0,1,4,1,3
Braided Tails,,865,0,1,4,1,4
Short Tail,,866,0,1,4,1,5
Braided Tail,,867,0,1,4,1,6
Bear,,876,2,0.75,4,1,0
Blades,,877,2,0.75,4,1,1
Crane,,878,2,0.75,4,1,2
Leaf,,879,2,0.75,4,1,3
Claws,,880,2,0.75,4,1,4
Wings,,881,2,0.75,4,1,5
Serpent,,882,2,0.75,4,1,6
Owl,,883,2,0.75,4,1,7
Shadow,,884,2,0.75,4,1,8
No Tattoo,,885,2,0.75,4,1,9
Bald,,911,0,1,8,0,0
Receding,,912,0,1,8,0,1
Crest,,913,0,1,8,0,2
Windswept,,914,0,1,8,0,3
Topknot,,915,0,1,8,0,4
Tail,,916,0,1,8,0,5
Tusked,,927,2,0.75,8,0,0
Gougers,,928,2,0.75,8,0,1
Mammoth,,929,2,0.75,8,0,2
Upturned,,930,2,0.75,8,0,3
Bridle,,931,2,0.75,8,0,4
Tusked Mask,,932,2,0.75,8,0,5
Warpaint Gougers,,933,2,0.75,8,0,6
Striped Mammoth,,934,2,0.75,8,0,7
Painted Upturned,,935,2,0.75,8,0,8
Painted Bridle,,936,2,0.75,8,0,9
Spotted Mammoth,,937,2,0.75,8,0,10
Braids,,965,0,1,8,1,0
High Tail,,966,0,1,8,1,1
Swept Braids,,967,0,1,8,1,2
Topknot,,968,0,1,8,1,3
Braided Crest,,969,0,1,8,1,4
Nibblers,,980,2,0.75,8,1,0
Short,,981,2,0.75,8,1,1
Straight,,982,2,0.75,8,1,2
Upturned,,983,2,0.75,8,1,3
Long,,984,2,0.75,8,1,4
Oni,,985,2,0.75,8,1,5
Prince,,1012,0,1,1,0,12
Spikes,,1013,0,1,1,0,13
Swept,,1014,0,1,1,0,14
Foxtail,,1015,0,1,1,0,15
Slicked,,1016,0,1,1,0,16
Styled,,1017,0,1,10,1,14
Elaborate,,1018,0,1,10,1,15
Nape,,1019,0,1,10,1,16
Boar Tails,,1020,0,1,10,1,17
Bangs,,1021,0,1,10,1,18
Unpierced,,1022,2,0.75,10,1,0
Mane,,1029,0,1,10,0,11
Chonmage Braids,,1030,0,1,10,0,12
Tail,,1031,0,1,10,0,13
Windswept,,1032,0,1,10,0,14
Chonmage Long,,1033,0,1,10,0,15
Spiked,,1034,0,1,11,0,9
Backspike,,1035,0,1,11,0,10
Horned Foxtail,,1036,0,1,11,0,11
Topknot,,1037,0,1,11,0,12
Emo,,1038,0,1,11,0,13
Hairband,,1039,0,1,11,1,11
Trouble,,1040,0,1,11,1,12
Shy,,1041,0,1,11,1,13
High Tail,,1042,0,1,11,1,14
Soaked,,1043,0,1,11,1,15
Barbarian,,1044,0,1,3,0,11
Soldier,,1045,0,1,3,0,12
Scholar,,1046,0,1,3,0,13
Laurel Wreath,,1047,0,1,3,0,14
Fabulous,,1048,0,1,3,0,15
Bun,,1049,0,1,3,1,14
Flirty,,1050,0,1,3,1,15
Waved Bob,,1051,0,1,3,1,16
Braided Tails,,1052,0,1,3,1,17
Braided Tail,,1053,0,1,3,1,18
Windswept,,1054,0,1,7,0,7
Shaggy,,1055,0,1,7,0,8
Mohawk,,1056,0,1,7,0,9
Loose,,1057,0,1,7,0,10
Wild,,1058,0,1,7,0,11
Short,,1059,0,1,7,1,7
Cute,,1060,0,1,7,1,8
Tail,,1061,0,1,7,1,9
Looped,,1062,0,1,7,1,10
Tied,,1063,0,1,7,1,11
Slicked,,1064,0,1,1,1,19
Styled,,1065,0,1,1,1,20
Curled,,1066,0,1,1,1,21
Raquel,,1067,0,1,1,1,22
Simple,,1068,0,1,1,1,23
Short Braided Tail,,1069,0,1,4,0,7
Wild,,1070,0,1,4,0,8
Braided Tail,,1071,0,1,4,0,9
Mohawk,,1072,0,1,4,0,10
Long Braided Tail,,1073,0,1,4,0,11
Hairband,,1074,0,1,4,1,7
Soaked,,1075,0,1,4,1,8
Tomboy,,1076,0,1,4,1,9
Gathered,,1077,0,1,4,1,10
Looped,,1078,0,1,4,1,11
Spiked,,1079,0,1,2,0,7
Mohawk,,1080,0,1,2,0,8
Slicked Topknot,,1081,0,1,2,0,9
Long,,1082,0,1,2,0,10
Wild,,1083,0,1,2,0,11
Wild,,1084,0,1,2,1,8
Styled,,1085,0,1,2,1,9
Tomboy,,1086,0,1,2,1,10
Flipped,,1087,0,1,2,1,11
Tipped,,1088,0,1,6,0,8
Curled,,1089,0,1,6,0,9
Capped,,1090,0,1,6,0,10
Lyre,,1091,0,1,6,0,11
Ringed,,1092,0,1,6,0,12
Charger,,1093,0,1,6,1,7
Snapped,,1094,0,1,6,1,8
Gougers,,1095,0,1,6,1,9
Close,,1096,0,1,6,1,10
Stubs,,1097,0,1,6,1,11
Braids,,1098,0,1,8,0,6
Plume,,1099,0,1,8,0,7
Scruffy,,1100,0,1,8,0,8
Mohawk,,1101,0,1,8,0,9
Jungle Flower,,1102,0,1,8,1,5
Wrapped Braid,,1103,0,1,8,1,6
Mohawk,,1104,0,1,8,1,7
Mota,,1105,0,1,8,1,8
Fauxhawk,,1106,0,1,8,1,9
Swept,,1107,0,1,5,0,10
Monk,,1108,0,1,5,0,11
High,,1109,0,1,5,0,12
Barbarian,,1110,0,1,5,0,13
Short,,1111,0,1,5,0,14
Boar Tails,,1112,0,1,5,1,10
Parted,,1113,0,1,5,1,11
Short,,1114,0,1,5,1,12
Unkept,,1115,0,1,5,1,13
Sprouts,,1116,0,1,5,1,14
Long,,1117,0,1,2,1,12
,,1120,3,0.5,6,0,0
,,1121,3,0.5,6,0,1
,,1122,3,0.5,6,0,2
,,1123,3,0.5,6,0,3
,,1124,3,0.5,6,0,4
,,1125,3,0.5,6,0,5
,,1126,3,0.5,6,0,6
,,1127,3,0.5,6,0,7
,,1128,3,0.5,6,0,8
,,1129,3,0.5,6,0,9
,,1130,3,0.5,6,0,10
,,1131,3,0.5,6,0,11
,,1132,3,0.5,6,0,12
,,1133,3,0.5,6,0,13
,,1134,3,0.5,6,0,14
,,1135,3,0.5,6,0,15
,,1136,3,0.5,6,0,16
,,1137,3,0.5,6,0,17
,,1138,3,0.5,6,0,18
,,1139,3,0.5,6,1,0
,,1140,3,0.5,6,1,1
,,1141,3,0.5,6,1,2
,,1142,3,0.5,6,1,3
,,1143,3,0.5,6,1,4
,,1144,3,0.5,6,1,5
,,1145,3,0.5,6,1,6
,,1146,3,0.5,6,1,7
,,1147,3,0.5,6,1,8
,,1148,3,0.5,6,1,9
,,1149,3,0.5,6,1,10
Beaded Tails,,1150,0,1,22,0,0
Wild,,1151,0,1,22,0,1
Chops,,1152,0,1,22,0,2
Scruffy,,1153,0,1,22,0,3
Beaded Tufts,,1154,0,1,22,0,5
Clean,,1155,2,0.75,22,0,0
Mane,,1156,0,1,22,1,0
Clean,,1157,2,0.75,22,1,0
Topknot,,1158,0,1,9,0,0
Troublemaker,,1159,0,1,9,0,1
Mutton Tail,,1160,0,1,9,0,2
Greaser,,1161,0,1,9,0,3
Corsair,,1162,0,1,9,0,4
Topknot n' Mutton,,1163,0,1,9,0,5
Boing,,1164,0,1,9,0,6
Mohawk,,1165,0,1,9,0,7
Grump,,1166,0,1,9,0,8
Chonmage,,1167,0,1,9,0,9
Boltburns,,1168,0,1,9,0,10
Skeevy,,1169,0,1,9,0,11
The Executive,,1170,0,1,9,0,12
Scruffy,,1171,0,1,9,0,13
Roguish,,1172,0,1,9,0,14
Bolty,,1173,0,1,9,0,15
Topknot n' Boltburns,,1174,0,1,9,0,16
Scruffy Chonmage,,1175,0,1,9,0,17
Bald,,1176,0,1,9,0,18
Septum Ring,,1177,2,0.75,9,0,0
Nose Rings,,1178,2,0.75,9,0,1
Nose Ring,,1179,2,0.75,9,0,2
Simple,,1180,2,0.75,9,0,3
Flappy,,1181,2,0.75,9,0,4
Tall,,1182,2,0.75,9,0,5
Droopy Tips,,1183,2,0.75,9,0,6
Upper Rings,,1184,2,0.75,9,0,7
Studs,,1185,2,0.75,9,0,8
Rings n' Studs,,1186,2,0.75,9,0,9
Pierced,,1187,2,0.75,9,0,10
Boar Tails,,1188,0,1,9,1,0
Full Tilt,,1189,0,1,9,1,1
Twin Tufts,,1190,0,1,9,1,2
Upswept,,1191,0,1,9,1,3
Curly-Cute,,1192,0,1,9,1,4
Fauxhawk,,1193,0,1,9,1,5
Belle Bell,,1194,0,1,9,1,6
Bangs n' Tufts,,1195,0,1,9,1,7
Peek-A-Boo,,1196,0,1,9,1,8
Bad Girl,,1197,0,1,9,1,9
Kooky,,1198,0,1,9,1,10
Tough Girl,,1199,0,1,9,1,11
The Cupcake,,1200,0,1,9,1,12
Elegance,,1201,0,1,9,1,13
Naughty,,1202,0,1,9,1,14
Trifecta,,1203,0,1,9,1,15
Chavvy,,1204,0,1,9,1,16
Tall,,1205,2,0.75,9,1,0
Perky,,1206,2,0.75,9,1,1
Simple,,1207,2,0.75,9,1,2
Onyx n' Rings,,1208,2,0.75,9,1,3
Rings,,1209,2,0.75,9,1,4
The Bone,,1210,2,0.75,9,1,5
The Beak,,1211,2,0.75,9,1,6
Studs,,1212,2,0.75,9,1,7
Hoop,,1213,2,0.75,9,1,8
Skull,,1214,2,0.75,9,1,9
Tall Rings,,1215,2,0.75,9,1,10
,,1223,3,0.5,6,1,11
,,1224,3,0.5,6,1,12
,,1225,3,0.5,6,1,13
,,1226,3,0.5,6,0,19
,,1227,3,0.5,6,0,20
,,1228,3,0.5,6,0,21
Wrapped Tails,,1229,0,1,22,0,4
Short Tufts,,1230,0,1,22,0,6
Braided Tails,,1231,0,1,22,0,7
Quartet,,1232,0,1,22,0,8
Spikes,,1233,0,1,22,0,9
Long Braids,,1234,0,1,22,0,10
Grizzled,,1237,2,0.75,22,0,1
Tuft,,1238,2,0.75,22,0,2
Goatee,,1239,2,0.75,22,0,3
Bead,,1240,2,0.75,22,0,4
Gnawed,,1241,2,0.75,22,0,5
Ragged,,1242,2,0.75,22,0,6
Twin Tufts,,1243,2,0.75,22,0,7
Lopsided,,1244,2,0.75,22,0,8
Fuzzy,,1287,2,0.75,22,1,1
Alert,,1288,2,0.75,22,1,2
Pointed Pointer,,1289,2,0.75,22,1,3
Rounded Pointer,,1290,2,0.75,22,1,4
Large,,1291,2,0.75,22,1,5
Wide,,1292,2,0.75,22,1,6
Tufted,,1293,2,0.75,22,1,7
Tall,,1294,2,0.75,22,1,8
Scruffy,,1295,2,0.75,22,1,9
Small,,1296,2,0.75,22,1,10
Flopped,,1297,2,0.75,22,1,11
Beaded,,1299,0,1,22,1,1
Bangs,,1300,0,1,22,1,2
Styled,,1301,0,1,22,1,3
Salted Tail,,1302,0,1,22,1,4
Salted Mane,,1303,0,1,22,1,5
Long Braids,,1304,0,1,22,1,6
Full,,1305,0,1,22,1,7
Short Braids,,1306,0,1,22,1,8
Thin Braids,,1307,0,1,22,1,9
Full Bangs,,1308,0,1,22,1,10
Full Braids,,1309,0,1,22,1,11
Long Mane,,1310,0,1,22,1,12
Left Tail,,1311,0,1,22,1,13
Twin Tails,,1312,0,1,22,1,14
,,1314,3,0.5,22,0,0
,,1315,3,0.5,22,0,1
,,1316,3,0.5,22,0,2
,,1317,3,0.5,22,0,3
,,1318,3,0.5,22,0,4
,,1319,3,0.5,22,1,0
,,1320,3,0.5,22,1,1
,,1321,3,0.5,22,1,2
,,1322,3,0.5,22,1,3
,,1323,3,0.5,22,1,4
,,1324,3,0.5,22,1,5
,,1325,3,0.5,22,1,6
,,1326,3,0.5,22,1,7
,,1327,3,0.5,22,1,8
,,1328,3,0.5,22,1,9
,,1329,3,0.5,22,1,10
,,1330,3,0.5,22,1,11
Scruffy Braids,,1331,0,1,22,0,11
Mane,,1332,0,1,22,0,12
Short,,1367,0,1,10,0,16
Braided Tail,,1368,0,1,10,1,19
Slicked,,1369,0,1,11,1,16
Wings,,1370,0,1,3,1,19
Sassy Buns,,1371,0,1,3,1,20
Triple Knots,,1372,0,1,3,0,16
Tousled,,1373,0,1,3,0,17
Combover,,1374,0,1,3,0,18
Bangs & Braids,,1375,0,1,7,1,12
Punky,,1376,0,1,7,1,13
The Curl,,1377,0,1,7,0,12
Blade's Edge,,1378,0,1,7,0,13
Fauxhawk,,1379,0,1,7,0,14
Sassy Buns,,1380,0,1,4,1,12
Sassy Tails,,1381,0,1,4,1,13
Bangs,,1382,0,1,2,1,13
Braided Hawk,,1384,0,1,2,1,14
Wedge,,1385,0,1,2,0,12
High,,1386,0,1,6,1,12
Omega,,1387,0,1,6,1,13
Backswept,,1388,0,1,6,1,14
Sticks & Stones,,1389,0,1,8,1,10
Backblown,,1390,0,1,8,1,11
Balding Braids,,1391,0,1,8,0,10
Dragon's Crest,,1392,0,1,8,0,11
Falling Fauxhawk,,1393,0,1,8,0,12
Wedge,,1394,0,1,5,0,15
,,1410,3,0.5,22,0,5
,,1411,3,0.5,22,0,6
,,1412,3,0.5,22,0,7
