Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID,CovenantID
,,5155,271980,1309736,132161,4,2,-1,1271,7,0
,,5157,271993,1309752,132762,4,2,-1,1270,7,0
,,5158,7556,10705,132150,4,2,-1,1268,7,0
,,5159,272330,1310331,7831521,4,16466,-1,1272,7,0
,,5160,272329,1310330,7831522,4,16466,-1,1272,7,0
,,5161,272328,1310329,7831523,4,16466,-1,1272,7,0
,,5162,273391,1312880,656555,7,2,-1,1272,7,0
,,5167,273956,1314120,132834,2,2,-1,1267,7,0
,,5172,274334,1312880,132198,7,2,-1,1272,7,0
,,5174,274412,1315451,136219,5,2,-1,1272,7,0
,,5176,274947,1316778,134010,4,2,-1,1272,7,0
