ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,Node__Field_12_0_0_63534_001,EffectMiscValue[0],EffectMiscValue[1],EffectRadiusIndex[0],EffectRadiusIndex[1],EffectSpellClassMask[0],EffectSpellClassMask[1],EffectSpellClassMask[2],EffectSpellClassMask[3],ImplicitTarget[0],ImplicitTarget[1],SpellID
678937,9,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,1,0,450
678938,0,0,0,252,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,556
678942,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,544,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,560
678943,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,545,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,561
678944,8,0,0,6,0,0,1000,0.14,1,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,5,0,136
678945,26,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,512
678946,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,329,67,0,0,0,0,0,0,18,0,513
678947,0,0,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,25,47,514
678948,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,15630,61,0,0,0,0,0,0,17,0,518
678949,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,5388,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,519
678953,25,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,498
678954,39,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,498
678955,39,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,126,0,0,0,0,0,0,0,1,0,498
678956,137,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-5,0,0,0,0,0,0,0,0,0,0,6,0,67
678957,137,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-5,0,0,1,0,0,0,0,0,0,0,6,0,67
678959,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4277,65,12,12,0,0,0,0,32,0,126
678960,4,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,126
678961,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,1,0,0,0,0,0,0,0,1,0,128
678962,69,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,400,0,0,126,0,0,0,0,0,0,0,1,0,128
678963,105,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,130
678964,19,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,21,0,132
678965,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,512,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,520
678971,0,0,0,2,0,0,0,1.3,1,0,0,0,0,0,0,0,0,1,0,1.1,0,1,10,0,0,0,0,0,0,0,0,0,0,6,0,68
678972,36,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,1,0,71
678973,56,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,620,0,0,0,0,0,0,0,6,0,228
678974,27,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,126,0,0,0,0,0,0,0,6,0,228
678975,79,0,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-66,0,0,1,0,0,0,0,0,0,0,6,0,228
678976,319,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-35,0,0,0,0,0,0,0,0,0,0,6,0,246
678977,33,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-150,0,0,0,0,0,0,0,0,0,0,6,0,246
678979,78,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,359,0,0,0,0,0,0,0,1,0,581
678981,0,0,0,2,0,0,0,0.429,1,0,0,0,0,0,0.5,0,0,1,0,0.26666668,0,1,15,0,0,0,0,0,0,0,0,0,0,6,0,585
678982,103,0,0,6,0,0,0,0,1,0,0,0,0,0,-3,0,0,1,0,0,0,1,-275,0,0,0,0,0,0,0,0,0,0,1,0,586
678983,0,0,0,24,0,0,0,0,1,0,5349,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,587
678984,26,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,113
678985,0,0,0,56,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,416,0,0,0,0,0,0,0,32,0,688
678986,99,0,0,6,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,1,-46,0,0,0,0,0,13,0,0,0,0,22,15,99
678987,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7
678988,0,0,0,3,0,0,0,0.03,1,0,0,0,0,0,0.3,0,0,1,0,0,0,1,0,0,0,0,0,14,14,0,0,0,0,87,16,10
678989,31,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,0,11
678990,3,0,0,6,1,0,1000,1,1,0,0,0,0,0,0,0,0,1,0,1.25,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,12
678991,6,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,25,0,260
678992,0,0,0,28,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,48,61,0,0,0,0,0,0,0,0,261
678993,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,262
678994,15,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,21,0,467
678995,78,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,305,0,0,0,0,0,0,0,1,0,468
679000,33,0,0,6,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,0,1,-40,0,0,0,0,0,0,0,0,0,0,6,0,116
679001,0,0,1,2,0,0,0,0.407,1,0,0,0,0,0,0.5,0,0,1,0,0.10526316,0,1,19,0,0,0,0,0,0,0,0,0,0,6,0,116
679002,0,0,0,252,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,10,0,0,0,0,0,20,9,3
679003,0,0,0,252,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,0,0,0,0,0,0,11,0,4
679004,58,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,1,0,13
679005,0,0,0,252,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,34
679006,0,0,0,252,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,35
679008,0,0,1,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.48,0,1,75,0,0,75,0,8,0,0,0,0,0,22,15,45
679009,31,0,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,0,47
679010,0,0,0,10,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.6666667,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,49
679011,0,0,0,252,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,0,0,0,0,0,0,1,19,50
679013,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,365,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,537
679015,319,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,21,0,553
679017,0,0,0,28,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,852,61,0,0,0,0,0,0,18,0,555
679018,52,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,19
679019,8,0,0,6,1,0,1000,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,22
679020,0,0,0,2,0,0,0,0.429,1,0,0,0,0,0,0.6,0,0,1,0,0.44444445,0,1,18,0,0,0,0,0,0,0,0,0,0,6,0,133
679021,3,0,1,6,0,0,2000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,133
679022,0,0,0,2,0,0,0,0.571,1,0,0,0,0,0,0.7,0,0,1,0,0.36842105,0,1,37,0,0,0,0,0,0,0,0,0,0,6,0,143
679023,3,0,1,6,0,0,2000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,143
679024,0,0,0,2,0,0,0,0.714,1,0,0,0,0,0,0.9,0,0,1,0,0.31746033,0,1,53,0,0,0,0,0,0,0,0,0,0,6,0,145
679025,3,0,1,6,0,0,2000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,145
679026,84,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,1,0,433
679028,104,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,546
679029,0,0,0,10,0,0,0,0.714,0.2,0,0,0,0,0,1.5,0,0,1,0,0.18309858,0,1,131,0,0,0,0,0,0,0,0,0,0,45,0,547
679030,0,0,0,2,0,0,0,0.714,1,0,0,0,0,0,0.6,0,0,1,0,0.1632653,0,1,35,0,0,0,0,0,0,0,0,0,0,6,0,548
679033,0,0,0,10,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.11627907,0,1,43,0,0,0,0,0,0,0,0,0,0,1,0,24
679034,12,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,25
679035,0,0,0,11,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,26
679036,0,0,0,12,1,0,0,1,1,0,0,0,0,3.14159,0,0,0,1,0,1.6666666,0,1,3,0,0,8,0,0,0,0,0,0,0,17,0,27
679037,12,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,101
679038,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,6,0,101
679039,0,0,2,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,101
679040,0,0,0,21,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,90,0,0,0,0,0,0,0,0,0,108
679041,0,0,0,33,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,1,15,0,0,1,0,0,0,0,0,0,0,26,0,491
679043,78,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,356,0,0,0,0,0,0,0,1,0,578
679045,78,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4270,0,0,0,0,0,0,0,1,0,579
679047,78,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,358,0,0,0,0,0,0,0,1,0,580
679051,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,591,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,612
679053,0,0,0,10,0,0,0,0.714,1,0,0,0,0,0,0.8,0,0,1,0,0.18604651,0,1,43,0,0,0,0,0,0,0,0,0,0,21,0,635
679055,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,491,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,493
679058,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,199
679059,0,0,1,60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,199
679060,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200
679061,0,0,1,60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200
679062,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201
679063,0,0,1,60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201
679064,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202
679065,0,0,1,60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202
679066,13,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,464
679067,14,0,1,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,464
679068,35,0,2,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,464
679069,39,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,642
679070,39,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,126,0,0,0,0,0,0,0,1,0,642
679071,79,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-50,0,0,127,0,0,0,0,0,0,0,1,0,642
679075,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.6666666,0,1,3,0,0,0,0,0,0,0,0,0,0,25,0,5
679076,319,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-45,0,0,0,0,0,0,0,0,0,0,6,0,89
679077,140,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-45,0,0,0,0,0,0,0,0,0,0,6,0,89
679078,33,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-40,0,0,0,0,0,0,0,0,0,0,6,0,89
679080,22,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,55,0,0,1,0,10,10,0,0,0,0,1,0,465
679082,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,602,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,624
679083,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,603,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,625
679084,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,6739,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,626
679085,3,0,0,6,0,0,3000,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,0,589
679086,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,2052,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,613
679087,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,593,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,614
679088,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,527,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,615
679089,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,594,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,616
679090,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,6,0,96
679091,3,0,1,6,0,0,2000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1248,0,0,0,0,0,0,0,0,0,0,6,0,96
679092,0,0,0,121,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,6,0,53
679093,0,0,1,31,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,150,0,0,0,0,0,0,0,0,0,0,6,0,53
679094,0,0,2,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,53
679096,29,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,2374
679097,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,768,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,499
679098,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,605,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,627
679099,3,0,0,6,0,0,60000,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1742,0,0,0,0,0,0,0,0,0,0,6,0,603
679101,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110
679102,22,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,1,0,0,0,0,0,0,0,1,0,111
679103,28,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,0,112
679105,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,596,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,618
679106,0,0,0,121,0,0,0,0.429,1,0,0,0,0,0,0.1,0,0,1,0,0.25,0,1,17,0,0,0,0,0,0,0,0,0,0,6,0,678
679107,0,0,0,121,0,0,0,0.429,1,0,0,0,0,0,0.1,0,0,1,0,0.25,0,1,12,0,0,0,0,0,0,0,0,0,0,6,0,679
679110,53,0,0,6,1,0,1000,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,6,0,689
679112,0,0,0,2,0,0,0,0.571,1,0,0,0,0,0,0.6,0,0,1,0,0.21428572,0,1,28,0,0,0,0,0,0,0,0,0,0,6,0,591
