Name,ID,ValueType,Field_8_1_5_28938_002,Default,VisType
HorizontalCurrencies: Currency Text 3,62,1,0,0,9
HorizontalCurrencies: Currency Tooltip 3,63,1,0,0,9
HorizontalCurrencies: Currency ID 4,65,0,0,0,9
HorizontalCurrencies: Currency Text 4,66,1,0,0,9
HorizontalCurrencies: Currency Tooltip 4,67,1,0,0,9
HorizontalCurrencies: Shown State Value,68,0,903,1,9
IconTextAndCurrencies: Currency Leading Text 1,69,1,0,0,7
IconTextAndCurrencies: Currency Leading Text 2,70,1,0,0,7
IconTextAndCurrencies: Currency Leading Text 3,71,1,0,0,7
HorizontalCurrencies: Currency Leading Text 1,72,1,0,0,9
HorizontalCurrencies: Currency Leading Text 2,73,1,0,0,9
HorizontalCurrencies: Currency Leading Text 3,74,1,0,0,9
HorizontalCurrencies: Currency Leading Text 4,75,1,0,0,9
StatusBar: Shown State Value,76,0,903,1,2
BulletTextList: Line 1,77,1,0,0,10
BulletTextList: Line 2,78,1,0,0,10
BulletTextList: Line 3,79,1,0,0,10
BulletTextList: Line 4,80,1,0,0,10
BulletTextList: Shown State Value,81,0,903,1,10
BulletTextList: Text Color,82,0,905,1,10
IconTextAndCurrencies: Description Shown State Value,83,0,903,1,7
IconTextAndCurrencies: Description Text Color,84,0,905,1,7
StackedResourceTracker: Currency ID 1,185,0,0,0,6
StackedResourceTracker: Currency ID 2,186,0,0,0,6
StackedResourceTracker: Currency ID 3,187,0,0,0,6
StackedResourceTracker: Currency ID 4,188,0,0,0,6
StackedResourceTracker: Shown State Value,189,0,903,1,6
DoubleStatusBar: Shown State Value,190,0,903,1,3
IconTextAndBackground: Shown State Value,191,0,903,1,4
DoubleIconAndText: Shown State Value,192,0,903,1,5
ScenarioHeaderCurrenciesAndBackground: Currency ID 1,193,0,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency Text 1,194,1,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency Tooltip 1,195,1,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency ID 2,196,0,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency Text 2,197,1,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency Tooltip 2,198,1,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency ID 3,199,0,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency Text 3,200,1,0,0,11
ScenarioHeaderCurrenciesAndBackground: Currency Tooltip 3,201,1,0,0,11
ScenarioHeaderCurrenciesAndBackground: Shown State Value,202,0,903,1,11
TextureAndText: Shown State Value,203,0,903,1,12
TextureAndText: Tooltip,204,1,0,0,12
TextureAndText: Text,205,1,0,0,12
StatusBar: Bar Value Text Type,207,0,904,1,2
StatusBar: Tooltip,208,1,0,0,2
SpellDisplay: Shown State Value,209,0,903,1,13
SpellDisplay: Enabled State Value,210,0,905,1,13
SpellDisplay: Spell ID,211,0,0,0,13
SpellDisplay: Tooltip,212,1,0,0,13
SpellDisplay: Icon Size Type,213,0,906,2,13
HorizontalCurrencies: Currency Class,214,0,907,0,9
IconTextAndCurrencies: Currency Class,215,0,907,0,7
StackedResourceTracker: Currency Class,216,0,907,0,6
ScenarioHeaderCurrenciesAndBackground: Currency Class,217,0,907,0,11
DoubleStatusBar: Bar Value Text Type,218,0,904,2,3
DoubleStateIconRow: Shown State Value,219,0,903,1,14
DoubleStateIconRow: Left Icon 1 State,220,0,912,0,14
DoubleStateIconRow: Left Icon 1 State 1 Tooltip,221,1,0,0,14
DoubleStateIconRow: Left Icon 2 State,222,0,912,0,14
DoubleStateIconRow: Left Icon 2 State 1 Tooltip,223,1,0,0,14
DoubleStateIconRow: Left Icon 3 State,224,0,912,0,14
DoubleStateIconRow: Left Icon 3 State 1 Tooltip,225,1,0,0,14
DoubleStateIconRow: Left Icon 4 State,226,0,912,0,14
DoubleStateIconRow: Left Icon 4 State 1 Tooltip,227,1,0,0,14
DoubleStateIconRow: Left Icon 5 State,228,0,912,0,14
DoubleStateIconRow: Left Icon 5 State 1 Tooltip,229,1,0,0,14
DoubleStateIconRow: Right Icon 1 State,230,0,912,0,14
DoubleStateIconRow: Right Icon 1 State 1 Tooltip,231,1,0,0,14
DoubleStateIconRow: Right Icon 2 State,232,0,912,0,14
DoubleStateIconRow: Right Icon 2 State 1 Tooltip,233,1,0,0,14
DoubleStateIconRow: Right Icon 3 State,234,0,912,0,14
DoubleStateIconRow: Right Icon 3 State 1 Tooltip,235,1,0,0,14
DoubleStateIconRow: Right Icon 4 State,236,0,912,0,14
DoubleStateIconRow: Right Icon 4 State 1 Tooltip,237,1,0,0,14
DoubleStateIconRow: Right Icon 5 State,238,0,912,0,14
DoubleStateIconRow: Right Icon 5 State 1 Tooltip,239,1,0,0,14
DoubleStateIconRow: Left Icon 1 State 2 Tooltip,240,1,0,0,14
DoubleStateIconRow: Left Icon 2 State 2 Tooltip,241,1,0,0,14
DoubleStateIconRow: Left Icon 3 State 2 Tooltip,242,1,0,0,14
DoubleStateIconRow: Left Icon 4 State 2 Tooltip,243,1,0,0,14
DoubleStateIconRow: Left Icon 5 State 2 Tooltip,244,1,0,0,14
DoubleStateIconRow: Right Icon 1 State 2 Tooltip,245,1,0,0,14
DoubleStateIconRow: Right Icon 2 State 2 Tooltip,246,1,0,0,14
DoubleStateIconRow: Right Icon 3 State 2 Tooltip,247,1,0,0,14
DoubleStateIconRow: Right Icon 4 State 2 Tooltip,248,1,0,0,14
DoubleStateIconRow: Right Icon 5 State 2 Tooltip,249,1,0,0,14
DoubleStatusBar: Left Bar Tooltip,250,1,0,0,3
DoubleStatusBar: Right Bar Tooltip,251,1,0,0,3
CaptureBar: Neutral Zone Center,252,0,0,50,1
CaptureBar: Bar Max Value,253,0,0,100,1
CaptureBar: Bar Min Value,254,0,0,0,1
TextureAndTextRow: Shown State Value,255,0,903,1,15
TextureAndTextRow: Group 1 Shown State,256,0,903,0,15
TextureAndTextRow: Group 1 Text,257,1,0,0,15
TextureAndTextRow: Group 1 Tooltip,258,1,0,0,15
TextureAndTextRow: Group 2 Shown State,260,0,903,0,15
TextureAndTextRow: Group 2 Text,261,1,0,0,15
TextureAndTextRow: Group 2 Tooltip,262,1,0,0,15
TextureAndTextRow: Group 3 Shown State,263,0,903,0,15
TextureAndTextRow: Group 3 Text,264,1,0,0,15
TextureAndTextRow: Group 3 Tooltip,265,1,0,0,15
TextureAndTextRow: Group 4 Shown State,266,0,903,0,15
TextureAndTextRow: Group 4 Text,267,1,0,0,15
TextureAndTextRow: Group 4 Tooltip,268,1,0,0,15
TextureAndTextRow: Group 5 Shown State,269,0,903,0,15
TextureAndTextRow: Group 5 Text,270,1,0,0,15
TextureAndTextRow: Group 5 Tooltip,271,1,0,0,15
TextureAndTextRow: Text Size Type,272,0,923,1,15
StatusBar: Override Bar Text,273,1,0,0,2
StatusBar: Override Bar Text Shown Type,274,0,925,0,2
CaptureBar: Tooltip,275,1,0,0,1
CaptureBar: Glow Anim,276,0,926,0,1
SpellDisplay: Text,277,1,0,0,13
SpellDisplay: Spell Stack Display Count,278,0,0,0,13
SpellDisplay: Icon Display Type,279,0,936,0,13
ZoneControl: Shown State Value,334,0,903,1,16
ZoneControl: Zone 1 Active State,335,0,937,1,16
ZoneControl: Zone 1 State,336,0,939,0,16
ZoneControl: Zone 1 State 1 Min Value,337,0,0,0,16
ZoneControl: Zone 1 State 1 Max Value,338,0,0,100,16
ZoneControl: Zone 1 State 1 Current Value,339,0,0,0,16
ZoneControl: Zone 1 State 1 Capture Point,340,0,0,50,16
ZoneControl: Zone 1 State 1 Fill Type,341,0,938,0,16
ZoneControl: Zone 1 State 1 Tooltip,342,1,0,0,16
ZoneControl: Zone 1 State 2 Min Value,343,0,0,0,16
ZoneControl: Zone 1 State 2 Max Value,344,0,0,100,16
ZoneControl: Zone 1 State 2 Current Value,345,0,0,0,16
ZoneControl: Zone 1 State 2 Capture Point,346,0,0,50,16
ZoneControl: Zone 1 State 2 Fill Type,347,0,938,0,16
ZoneControl: Zone 1 State 2 Tooltip,348,1,0,0,16
ZoneControl: Zone 2 Active State,349,0,937,1,16
ZoneControl: Zone 2 State,350,0,939,0,16
ZoneControl: Zone 2 State 1 Min Value,351,0,0,0,16
ZoneControl: Zone 2 State 1 Max Value,352,0,0,100,16
ZoneControl: Zone 2 State 1 Current Value,353,0,0,0,16
ZoneControl: Zone 2 State 1 Capture Point,354,0,0,50,16
ZoneControl: Zone 2 State 1 Fill Type,355,0,938,0,16
ZoneControl: Zone 2 State 1 Tooltip,356,1,0,0,16
ZoneControl: Zone 2 State 2 Min Value,357,0,0,0,16
ZoneControl: Zone 2 State 2 Max Value,358,0,0,100,16
ZoneControl: Zone 2 State 2 Current Value,359,0,0,0,16
ZoneControl: Zone 2 State 2 Capture Point,360,0,0,50,16
ZoneControl: Zone 2 State 2 Fill Type,361,0,938,0,16
ZoneControl: Zone 2 State 2 Tooltip,362,1,0,0,16
ZoneControl: Zone 3 Active State,363,0,937,1,16
ZoneControl: Zone 3 State,364,0,939,0,16
ZoneControl: Zone 3 State 1 Min Value,365,0,0,0,16
ZoneControl: Zone 3 State 1 Max Value,366,0,0,100,16
ZoneControl: Zone 3 State 1 Current Value,367,0,0,0,16
ZoneControl: Zone 3 State 1 Capture Point,368,0,0,50,16
ZoneControl: Zone 3 State 1 Fill Type,369,0,938,0,16
ZoneControl: Zone 3 State 1 Tooltip,370,1,0,0,16
ZoneControl: Zone 3 State 2 Min Value,371,0,0,0,16
ZoneControl: Zone 3 State 2 Max Value,372,0,0,100,16
ZoneControl: Zone 3 State 2 Current Value,373,0,0,0,16
ZoneControl: Zone 3 State 2 Capture Point,374,0,0,50,16
ZoneControl: Zone 3 State 2 Fill Type,375,0,938,0,16
ZoneControl: Zone 3 State 2 Tooltip,376,1,0,0,16
ZoneControl: Zone 4 Active State,377,0,937,1,16
ZoneControl: Zone 4 State,378,0,939,0,16
ZoneControl: Zone 4 State 1 Min Value,379,0,0,0,16
ZoneControl: Zone 4 State 1 Max Value,380,0,0,100,16
ZoneControl: Zone 4 State 1 Current Value,381,0,0,0,16
ZoneControl: Zone 4 State 1 Capture Point,382,0,0,50,16
ZoneControl: Zone 4 State 1 Fill Type,383,0,938,0,16
ZoneControl: Zone 4 State 1 Tooltip,384,1,0,0,16
ZoneControl: Zone 4 State 2 Min Value,385,0,0,0,16
ZoneControl: Zone 4 State 2 Max Value,386,0,0,100,16
ZoneControl: Zone 4 State 2 Current Value,387,0,0,0,16
ZoneControl: Zone 4 State 2 Capture Point,388,0,0,50,16
ZoneControl: Zone 4 State 2 Fill Type,389,0,938,0,16
ZoneControl: Zone 4 State 2 Tooltip,390,1,0,0,16
ZoneControl: Zone Mode,391,0,942,0,16
ZoneControl: Leading Edge Type,392,0,943,0,16
ZoneControl: Zone Danger Flash Type,393,0,945,0,16
TextWithState: Tooltip,394,1,0,0,8
TextWithState: Text Size Type,395,0,923,0,8
CaptureZone: Shown State Value,396,0,903,1,17
CaptureZone: Zone Mode,397,0,942,0,17
CaptureZone: Danger Flash Type,398,0,945,0,17
CaptureZone: Leading Edge Type,399,0,943,0,17
CaptureZone: Active State,400,0,937,1,17
CaptureZone: Zone State,401,0,939,0,17
CaptureZone: State 1 Min Value,402,0,0,0,17
CaptureZone: State 1 Max Value,403,0,0,100,17
CaptureZone: State 1 Current Value,404,0,0,0,17
CaptureZone: State 1 Capture Point,405,0,0,50,17
CaptureZone: State 1 Fill Type,406,0,938,0,17
CaptureZone: State 1 Tooltip,407,1,0,0,17
CaptureZone: State 2 Min Value,408,0,0,0,17
CaptureZone: State 2 Max Value,409,0,0,100,17
CaptureZone: State 2 Current Value,410,0,0,0,17
CaptureZone: State 2 Capture Point,411,0,0,50,17
CaptureZone: State 2 Fill Type,412,0,938,0,17
CaptureZone: State 2 Tooltip,413,1,0,0,17
CaptureBar: Fill Direction,414,0,997,0,1
StatusBar: Bar Fill Color Tint ,415,0,1086,0,2
SpellDisplay: Text Shown State,416,0,1104,0,13
TextureWithAnimation: Shown State Value,417,0,903,1,18
TextureWithAnimation: Tooltip,418,1,0,0,18
DiscreteProgressSteps: Shown State Value,419,0,903,1,19
DiscreteProgressSteps: Tooltip,420,1,0,0,19
DiscreteProgressSteps: Minimum Progress,421,0,0,0,19
DiscreteProgressSteps: Maximum Progress,422,0,0,100,19
DiscreteProgressSteps: Progress Value,423,0,0,50,19
DiscreteProgressSteps: Number of Steps,424,0,0,6,19
StatusBar: Partition 1 Value,425,0,0,0,2
StatusBar: Partition 2 Value,426,0,0,0,2
StatusBar: Partition 3 Value,427,0,0,0,2
ScenarioHeaderCurrenciesAndBackground: Header Text,428,1,0,0,11
ScenarioHeaderTimer: Shown State Value,429,0,903,1,20
ScenarioHeaderTimer: Timer Min,430,0,0,0,20
ScenarioHeaderTimer: Timer Max,431,0,0,100,20
ScenarioHeaderTimer: Timer Value,432,0,0,0,20
ScenarioHeaderTimer: Header Text,433,1,0,0,20
ScenarioHeaderTimer: Timer Tooltip,434,1,0,0,20
TextWithState: Font Type,435,0,1127,0,8
TextWithState: Bottom Padding,436,0,0,0,8
TextColumnRow: Shown State Value,474,0,903,1,21
TextColumnRow: Text Size Type,475,0,923,0,21
TextColumnRow: Tooltip,477,1,0,0,21
TextColumnRow: Font Type,478,0,1127,0,21
TextColumnRow: Column 1 Shown State,479,0,903,0,21
TextColumnRow: Column 1 Text,480,1,0,0,21
TextColumnRow: Column 1 Text Color,481,0,905,1,21
TextColumnRow: Column 1 Horizontal Alignment,482,0,1161,0,21
TextColumnRow: Column 1 Width,483,0,0,0,21
TextColumnRow: Column 2 Shown State,484,0,903,0,21
TextColumnRow: Column 2 Text,485,1,0,0,21
TextColumnRow: Column 2 Text Color,486,0,905,1,21
TextColumnRow: Column 2 Horizontal Alignment,487,0,1161,0,21
TextColumnRow: Column 2 Width,488,0,0,0,21
TextColumnRow: Column 3 Shown State,489,0,903,0,21
TextColumnRow: Column 3 Text,490,1,0,0,21
TextColumnRow: Column 3 Text Color,491,0,905,1,21
TextColumnRow: Column 3 Horizontal Alignment,492,0,1161,0,21
TextColumnRow: Column 3 Width,493,0,0,0,21
TextColumnRow: Column 4 Shown State,494,0,903,0,21
TextColumnRow: Column 4 Text,495,1,0,0,21
TextColumnRow: Column 4 Text Color,496,0,905,1,21
TextColumnRow: Column 4 Horizontal Alignment,497,0,1161,0,21
TextColumnRow: Column 4 Width,498,0,0,0,21
IconAndText: Tooltip Location,499,0,1162,0,0
CaptureBar: Tooltip Location,500,0,1162,0,1
StatusBar: Tooltip Location,501,0,1162,0,2
DoubleStatusBar: Left Bar Tooltip Location,502,0,1162,0,3
DoubleStatusBar: Right Bar Tooltip Location,503,0,1162,0,3
DoubleIconAndText: Tooltip Location,504,0,1162,0,5
StackedResourceTracker: Tooltip Location,505,0,1162,0,6
IconTextAndCurrencies: Tooltip Location,506,0,1162,0,7
TextWithState: Tooltip Location,507,0,1162,0,8
HorizontalCurrencies: Tooltip Location,508,0,1162,0,9
TextureAndText: Tooltip Location,509,0,1162,0,12
SpellDisplay: Tooltip Location,510,0,1162,0,13
DoubleStateIconRow: Tooltip Location,511,0,1162,0,14
TextureAndTextRow: Tooltip Location,512,0,1162,0,15
ZoneControl: Tooltip Location,513,0,1162,0,16
CaptureZone: Tooltip Location,514,0,1162,0,17
TextureWithAnimation: Tooltip Location,515,0,1162,0,18
DiscreteProgressSteps: Tooltip Location,516,0,1162,0,19
TextColumnRow: Tooltip Location,517,0,1162,0,21
TextColumnRow: Bottom Padding,518,0,0,0,21
TextWithState: Horizontal Alignment,519,0,1161,1,8
Spacer: Shown State Value,520,0,903,1,22
Spacer: Width,521,0,0,1,22
Spacer: Height,522,0,0,1,22
UnitPowerBar: Bar Min,535,0,0,0,23
UnitPowerBar: Bar Max,536,0,0,100,23
UnitPowerBar: Bar Value,537,0,0,0,23
UnitPowerBar: Shown State Value,538,0,903,1,23
UnitPowerBar: Bar Value Text Type,539,0,904,1,23
UnitPowerBar: Tooltip,540,1,0,0,23
UnitPowerBar: Override Bar Text,541,1,0,0,23
UnitPowerBar: Override Bar Text Shown Type,542,0,925,3,23
UnitPowerBar: Tooltip Location,543,0,1162,0,23
UnitPowerBar: Fill Motion Type,544,0,1218,0,23
StatusBar: Bar Fill Motion Type,545,0,1218,0,2
DoubleStatusBar: Bar Fill Motion Type,546,0,1218,0,3
UnitPowerBar: Flash Blend Type,547,0,1224,0,23
UnitPowerBar: Spark Blend Type,548,0,1224,0,23
UnitPowerBar: Flash Moment Type,549,0,1225,0,23
StatusBar: Bar Text Color,551,0,905,3,2
StatusBar: Bar Text Font Type,552,0,1127,1,2
StatusBar: Bar Text Size Type,553,0,923,4,2
SpellDisplay: Text Font Type,565,0,1127,1,13
SpellDisplay: Text Size Type,566,0,923,0,13
SpellDisplay: Horizontal Alignment,567,0,1161,0,13
TextureAndTextRow: Fixed Width,568,0,0,0,15
TextureAndTextRow: Group 6 Shown State,569,0,903,0,15
TextureAndTextRow: Group 6 Text,570,1,0,0,15
TextureAndTextRow: Group 6 Tooltip,571,1,0,0,15
SpellDisplay: Border Color,573,0,1406,0,13
FillUpFrames: Shown State Value,575,0,903,1,24
FillUpFrames: Fill Min,576,0,0,0,24
FillUpFrames: Fill Max,577,0,0,100,24
FillUpFrames: Fill Value,578,0,0,0,24
FillUpFrames: Num Total Frames,579,0,0,0,24
FillUpFrames: Num Full Frames,580,0,0,0,24
FillUpFrames: Tooltip,581,1,0,0,24
FillUpFrames: Tooltip Location,582,0,1162,0,24
FillUpFrames: Pulse Filling Frame,583,0,1448,0,24
TextWithSubtext: Text,584,1,0,0,25
TextWithSubtext: Subtext,585,1,0,0,25
TextWithSubtext: Shown State Value,586,0,903,1,25
TextWithSubtext: Text Color,587,0,905,1,25
TextWithSubtext: Subtext Color,588,0,905,3,25
TextWithSubtext: Text Size Type,589,0,923,2,25
TextWithSubtext: Subtext Size Type,590,0,923,4,25
TextWithSubtext: Text Horizontal Alignment,591,0,1161,1,25
TextWithSubtext: Subtext Horizontal Alignment,592,0,1161,1,25
TextWithSubtext: Text Font Type,593,0,1127,0,25
TextWithSubtext: Subtext Font Type,594,0,1127,0,25
TextWithSubtext: Tooltip Location,597,0,1162,0,25
TextWithSubtext: Tooltip,598,1,0,0,25
TextWithSubtext: Spacing,599,0,0,2,25
TextWithSubtext: Spacing,600,0,0,2,25
StatusBar: Text Color,601,0,905,3,2
StatusBar: Text Font Type,602,0,1127,1,2
StatusBar: Text Size Type,603,0,923,0,2
ItemDisplay: Shown State Value,618,0,903,1,27
ItemDisplay: Item ID,619,0,0,0,27
ItemDisplay: Override Item Name,621,1,0,0,27
ItemDisplay: Override Tooltip,622,1,0,0,27
ItemDisplay: Tooltip Location,623,0,1162,0,27
ItemDisplay: Text Display Style,624,0,1482,0,27
ItemDisplay: Stack Count,625,0,0,0,27
ItemDisplay: Tooltip Enabled Setting,626,0,1484,0,27
ItemDisplay: Info Text,627,1,0,0,27
ItemDisplay: Icon Size Type,628,0,906,3,27
ItemDisplay: Info Text Color,629,0,905,1,27
TugOfWar: Shown State Value,630,0,903,1,28
TugOfWar: Min Value,631,0,0,0,28
TugOfWar: Max Value,632,0,0,100,28
TugOfWar: Current Value,633,0,0,50,28
TugOfWar: Neutral Zone Center,634,0,0,50,28
TugOfWar: Left Icon Source Type,635,0,1497,0,28
TugOfWar: Right Icon Source Type,636,0,1497,0,28
TugOfWar: Left Icon Source ID,637,0,0,0,28
TugOfWar: Right Icon Source ID,638,0,0,0,28
TugOfWar: Left Icon Size Type,639,0,906,2,28
TugOfWar: Right Icon Size Type,640,0,906,2,28
TugOfWar: Glow Anim Type,641,0,926,0,28
TugOfWar: Tooltip,642,1,0,0,28
TugOfWar: Tooltip Location,643,0,1162,0,28
TugOfWar: Neutral Zone Size,644,0,0,1,28
TugOfWar: Left Icon Tooltip,645,1,0,0,28
TugOfWar: Right Icon Tooltip,646,1,0,0,28
TugOfWar: Left Icon Tooltip Location,647,0,1162,1,28
TugOfWar: Right Icon Tooltip Location,648,0,1162,7,28
ItemDisplay: Show As Earned,649,0,1507,0,27
StatusBar: Glow Animation,651,0,926,0,2
StatusBar: Glow Shown State,652,0,1516,0,2
StatusBar: Fill Min Opacity,653,0,1517,0,2
StatusBar: Fill Max Opacity,654,0,1517,0,2
TugOfWar: Neutral Fill Style,658,0,1524,0,28
TugOfWar: Marker Arrow Shown State,660,0,1525,1,28
ItemDisplay: Item Name Text Font Type,661,0,1127,0,27
ItemDisplay: Item Name Text Size Type,662,0,923,4,27
ItemDisplay: Info Text Font Type,663,0,1127,0,27
ItemDisplay: Info Text Size Type,664,0,923,0,27
MapPinAnimation: Shown State Value,665,0,903,1,26
MapPinAnimation: Pin Anim Type,666,0,1537,1,26
TextureAndText: Text Size Type,667,0,1455,1,12
HorizontalCurrencies: Text Size Type,669,0,923,0,9
HorizontalCurrencies: Update Anim Type,670,0,1569,0,9
HorizontalCurrencies: Text Font Type,671,0,1127,0,9
SpellDisplay: Tint,673,0,1571,0,13
TextureAndTextRow: Group Horizontal Alignment,675,0,1586,0,15
ScenarioHeaderDelves: Shown State Value,676,0,903,1,29
ScenarioHeaderDelves: Header Text,677,1,0,0,29
ScenarioHeaderDelves: Currency ID,678,0,0,0,29
ScenarioHeaderDelves: Currency Text,679,1,0,0,29
ScenarioHeaderDelves: Currency Tooltip,680,1,0,0,29
ScenarioHeaderDelves: Tier Text,681,1,0,0,29
ScenarioHeaderDelves: Currency Class,682,0,907,0,29
ScenarioHeaderDelves: Currency Text Font Type,683,0,1127,0,29
ScenarioHeaderDelves: Currency Text Size Type,684,0,923,0,29
ScenarioHeaderDelves: Currency Text Color,685,0,905,3,29
ScenarioHeaderDelves: Currency Icon Size,686,0,1588,2,29
ScenarioHeaderDelves: Spell 1 ID,687,0,0,0,29
ScenarioHeaderDelves: Spell 1 Shown State,688,0,903,1,29
ScenarioHeaderDelves: Spell 1 Enabled State,689,0,905,1,29
ScenarioHeaderDelves: Spell 1 Tint,690,0,1571,0,29
ScenarioHeaderDelves: Spell 1 Glow Shown State,691,0,1516,0,29
ScenarioHeaderDelves: Spell 2 ID,692,0,0,0,29
ScenarioHeaderDelves: Spell 2 Shown State,693,0,903,1,29
ScenarioHeaderDelves: Spell 2 Enabled State,694,0,905,1,29
ScenarioHeaderDelves: Spell 2 Tint,695,0,1571,0,29
ScenarioHeaderDelves: Spell 2 Glow Shown State,696,0,1516,0,29
ScenarioHeaderDelves: Spell 3 ID,697,0,0,0,29
ScenarioHeaderDelves: Spell 3 Shown State,698,0,903,1,29
ScenarioHeaderDelves: Spell 3 Enabled State,699,0,905,1,29
ScenarioHeaderDelves: Spell 3 Tint,700,0,1571,0,29
ScenarioHeaderDelves: Spell 3 Glow Shown State,701,0,1516,0,29
ScenarioHeaderDelves: Spell 4 ID,702,0,0,0,29
ScenarioHeaderDelves: Spell 4 Shown State,703,0,903,1,29
ScenarioHeaderDelves: Spell 4 Enabled State,704,0,905,1,29
ScenarioHeaderDelves: Spell 4 Tint,705,0,1571,0,29
ScenarioHeaderDelves: Spell 4 Glow Shown State,706,0,1516,0,29
ScenarioHeaderDelves: Tier Tooltip Spell ID,707,0,0,0,29
ScenarioHeaderDelves: Spell 1 Override Tooltip,708,1,0,0,29
ScenarioHeaderDelves: Spell 2 Override Tooltip,709,1,0,0,29
ScenarioHeaderDelves: Spell 3 Override Tooltip,710,1,0,0,29
ScenarioHeaderDelves: Spell 4 Override Tooltip,711,1,0,0,29
ScenarioHeaderDelves: Currency Update Anim Type,712,0,1569,0,29
ScenarioHeaderDelves: Spell 1 Stack Display Count,713,0,0,0,29
ScenarioHeaderDelves: Spell 2 Stack Display Count,714,0,0,0,29
ScenarioHeaderDelves: Spell 3 Stack Display Count,715,0,0,0,29
ScenarioHeaderDelves: Spell 4 Stack Display Count,716,0,0,0,29
ScenarioHeaderDelves: Reward Shown State,717,0,1589,0,29
ScenarioHeaderDelves: Reward Earned Tooltip,718,1,0,0,29
ScenarioHeaderDelves: Reward Unearned Tooltip,719,1,0,0,29
ScenarioHeaderDelves: Tooltip,720,1,0,0,29
ScenarioHeaderDelves: Tooltip Location,721,0,1162,3,29
ItemDisplay: Item Name Custom Text Color,722,0,905,3,27
ItemDisplay: Item Name Custom Text Color Active State,723,0,1591,0,27
IconAndText: Shift Text Setting,725,0,1601,0,0
SpellDisplay: Show As Earned,726,0,1507,0,13
TextureAndText: Text Format Type,729,0,1641,0,12
TextureAndText: Update Anim Type,730,0,1569,0,12
