ID,Name_lang,PlayerConditionID,VisibleTrackingQuestID,QuestFeedbackEffectID,Flags,MaxHeight,MinHeight,VignetteType,RewardQuestID,Field_1_15_6_58185_009
100,Kar Warmaker,0,0,89,0,0,-50,0,0,0
101,Ubunti the Shade,0,0,89,0,0,-50,0,0,0
102,Disha Fearwarden,0,0,89,0,0,-50,0,0,0
103,Dalan Nightbreaker,0,0,89,0,0,-50,0,0,0
104,Mavis Harms,0,0,89,0,0,-50,0,0,0
105,Ferdinand,0,0,89,0,0,-50,0,0,0
106,Blackhoof,0,0,89,0,0,-50,0,0,0
107,Major Nanners,0,0,89,0,0,-50,0,0,0
108,Ik-Ik the Nimble,0,0,89,0,0,-50,0,0,0
109,The Yowler,0,0,89,0,0,-50,0,0,0
110,Scritch,0,0,89,0,0,-50,0,0,0
111,Spriggin,0,0,89,0,0,-50,0,0,0
112,Bonobos,0,0,89,0,0,-50,0,0,0
113,Mister Ferocious,0,0,89,0,0,-50,0,0,0
114,Ai-Ran the Shifting Cloud,0,0,89,0,0,-50,0,0,0
115,Ai-Li Skymirror,0,0,89,0,0,-50,0,0,0
116,Yul Wildpaw,0,0,89,0,0,-50,0,0,0
117,Ahone the Wanderer,0,0,89,0,0,-50,0,0,0
118,Ruun Ghostpaw,0,0,89,0,0,-50,0,0,0
119,Nasra Spothide,0,0,89,0,0,-50,0,0,0
120,Urobi the Walker,0,0,89,0,0,-50,0,0,0
121,Moldo One-Eye,0,0,89,0,0,-50,0,0,0
122,Omnis Grinlock,0,0,89,0,0,-50,0,0,0
123,Siltriss the Sharpener,0,0,89,0,0,-50,0,0,0
124,Nessos the Oracle,0,0,89,0,0,-50,0,0,0
125,Arness the Scale,0,0,89,0,0,-50,0,0,0
126,Salyin Warscout,0,0,89,0,0,-50,0,0,0
127,Sarnak,0,0,89,0,0,-50,0,0,0
128,Sahn Tidehunter,0,0,89,0,0,-50,0,0,0
129,Nelash Verdantis,0,0,89,0,0,-50,0,0,0
130,Eshelon,0,0,89,0,0,-50,0,0,0
131,Zai the Outcast,0,0,89,0,0,-50,0,0,0
132,Cournith Waterstrider,0,0,89,0,0,-50,0,0,0
133,Sele'na,0,0,89,0,0,-50,0,0,0
134,Aethis,0,0,89,0,0,-50,0,0,0
135,Kal'tik the Blight,0,0,89,0,0,-50,0,0,0
136,Gar'lok,0,0,89,0,0,-50,0,0,0
137,Lith'ik the Stalker,0,0,89,0,0,-50,0,0,0
138,Ski'thik,0,0,89,0,0,-50,0,0,0
139,Torik-Ethis,0,0,89,0,0,-50,0,0,0
140,Nal'lak the Ripper,0,0,89,0,0,-50,0,0,0
141,Krax'ik,0,0,89,0,0,-50,0,0,0
142,Urgolax,0,0,89,0,0,-50,0,0,0
143,Krol the Blade,0,0,89,0,0,-50,0,0,0
144,Kah'tir,0,0,89,0,0,-50,0,0,0
145,Havak,0,0,89,0,0,-50,0,0,0
146,Qu'nas,0,0,89,0,0,-50,0,0,0
147,Jonn-Dar,0,0,89,0,0,-50,0,0,0
148,Morgrinn Crackfang,0,0,89,0,0,-50,0,0,0
149,Kang the Soul Thief,0,0,89,0,0,-50,0,0,0
150,Karr the Darkener,0,0,89,0,0,-50,0,0,0
151,Norlaxx,0,0,89,0,0,-50,0,0,0
152,Borginn Darkfist,0,0,89,0,0,-50,0,0,0
153,Gaarn the Toxic,0,0,89,0,0,-50,0,0,0
154,Sulik'shor,0,0,89,0,0,-50,0,0,0
155,Kor'nas Nightsavage,0,0,89,0,0,-50,0,0,0
156,Yorik Sharpeye,0,0,89,0,0,-50,0,0,0
157,Dak the Breaker,0,0,89,0,0,-50,0,0,0
158,Lon the Bull,0,0,89,0,0,-50,0,0,0
159,Korda Torros,0,0,89,0,0,-50,0,0,0
160,Go-Kan,0,0,89,0,0,-50,0,0,0
161,Doctor Theolen Krastinov,0,0,89,0,0,-50,0,0,0
162,Mumta,0,0,89,0,0,-50,0,0,0
163,Zandalari Warbringer,0,0,89,0,0,-50,0,0,0
164,War-God Dokah,0,0,89,0,0,-50,0,0,0
165,Progenitus,0,0,89,0,0,-50,0,0,0
166,Ku'lai the Skyclaw,0,0,89,0,0,-50,0,0,0
167,Goda,0,0,89,0,0,-50,0,0,0
168,God-Hulk Ramuk,0,0,89,0,0,-50,0,0,0
169,Al'tabim the All-Seeing,0,0,89,0,0,-50,0,0,0
170,Backbreaker Uru,0,0,89,0,0,-50,0,0,0
171,Lu-Ban,0,0,89,0,0,-50,0,0,0
172,Molthor,0,0,89,0,0,-50,0,0,0
173,Krakkanon,0,0,89,0,0,-50,0,0,0
