ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
163,The Soulforges,White-hot forges here literally melt down souls into armor and weaponry to outfit the Jailer's army.,400,700,1,34450,60100,0,0,0,0,2162,0
164,Deadsoul Interstitia,"A strange, shifting place between cell blocks, filled with the shades of souls so tormented that they have forgotten who they once were.",425,300,1,34450,60101,0,0,0,0,2162,0
165,Kakophonus,The windswept roost of the Mawsworn Kyrian.,500,700,1,34450,60102,0,0,0,0,2162,0
166,Miscreation Wing,"Necromancers and soul-twisters perform experiments on souls here, transforming them into horrible, dark monstrosities.",525,300,1,34450,60103,0,0,0,0,2162,0
167,Darkness' Domain,"A place nearly untouched by light. Stealthy rogues, hounds, rats, soul eaters, and the ghosts of the forgotten lurk around every corner.",600,700,1,34450,60104,0,0,0,0,2162,0
168,Sineater Belfry,A temporary home for venthyr that are loyal to the Jailer.,625,300,1,34450,60105,0,0,0,0,2162,0
169,The Upper Reaches,Home to the Jailer's most precious prisoners... and his most dangerous lieutenants.,700,700,1,34450,60106,0,0,0,0,2162,0
171,The Winding Halls,"A section of Torghast with seemingly no beginning or end - just endless halls, ever climbing upward...",250,500,1,34450,60107,0,0,0,0,2162,0
172,Bastion,Those who have lived a life of service are drawn to Bastion to carry souls to the Shadowlands.,-2000,-4600,1,87724,62275,0,0,0,0,2222,0
173,Maldraxxus,"Maldraxxus is the birthplace of necromantic magic, where ambitious souls thrive.",2500,-2000,1,87723,62278,0,0,0,0,2222,0
174,Ardenweald,Ardenweald is a domain of endless restoration tended by the night fae.,-7000,800,1,87725,62277,0,0,0,0,2222,0
175,Revendreth,"Revendreth is home to the venthyr, the harvesters of sin. Wretched souls arrive here to find redemption... and avoid eternal torment within the Maw.",-2500,7000,1,87726,62279,0,0,0,0,2222,0
176,Torghast,"Torghast is the seat of power for the Jailer. Once a prison for the most dangerous souls of the cosmos, it now houses many innocents doomed to be tortured for all eternity.",3500,7000,1,93245,64846,0,0,0,0,2222,0
177,Battlegrounds,"The brokers of Oribos are recruiting eager competitors to fight each other in the battlegrounds of conflict, so that they may observe and learn.",-2100,1300,1,93585,65031,0,0,0,0,2222,0
178,Emerald Gardens Waygate,"A long-forgotten, dormant stone hidden away in the lush, verdant hillside of the Ohn'ahran Plains.",-1379.76,4499.69,1,101296,70706,0,0,0,0,2444,0
181,Waking Shores,The Waking Shores is the home of the Black and Red Dragonflight.,3200,0,1,103950,72266,0,0,0,0,2444,0
182,Ohn'ahran Plains,The Ohn'ahran Plains are home to centaurs and the Green Dragonflight.,-1000,2600,1,103951,72267,0,0,0,0,2444,0
183,Azure Span,Azure Span is the former home of the Blue Dragonflight.,-3300,-1000,1,103952,72268,0,0,0,0,2444,0
184,Thaldraszsus,Thaldraszsus is the seat of the dragon Aspects and home to the Bronze Dragonflight.,0,-2000,1,103953,72269,0,0,0,0,2444,0
