ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
650,The Broken Hall,189,285,1,0
651,Vault of the Shadowflame,189,286,2,0
652,The Twilight Enclave,190,294,1,0
653,Throne of the Apocalypse,190,295,2,0
654,The Twilight Caverns,190,296,3,0
655,Firelands,191,367,0,0
656,The Anvil of Conflagration,191,368,1,0
657,Sulfuron Keep,191,369,2,0
658,Hall of the Crescent Moon,192,391,1,0
659,The Imperial Mercantile,192,392,2,0
660,The Emperor's Step,193,393,3,0
661,The Imperial Exchange,193,394,4,0
662,Upper Quarry,194,372,6,0
663,Lower Quarry,194,373,7,0
664,Upper Deep,195,383,11,0
665,Lower Deep,195,384,12,0
666,Guo-Lai Halls,196,395,18,0
667,The Hall of the Serpent,196,396,19,0
668,Ruins of Korune,197,386,20,0
669,Crypt of Korune,197,387,21,0
670,End Time,198,401,0,0
671,Azure Dragonshrine,198,402,1,0
672,Ruby Dragonshrine,198,403,2,0
673,Obsidian Dragonshrine,198,404,3,0
674,Emerald Dragonshrine,198,405,4,0
675,Bronze Dragonshrine,198,406,5,0
676,Hour of Twilight,199,399,0,0
677,Wyrmrest Temple,199,400,1,0
678,Shado-Pan Monastery,200,443,0,0
679,Cloudstrike Dojo,200,444,1,0
680,Snowdrift Dojo,200,445,2,0
681,Sealed Chambers,200,446,3,0
682,Temple of the Jade Serpent,201,429,1,0
683,The Scrollkeeper's Sanctum,201,430,2,0
684,Grain Cellar,202,439,1,0
685,Stormstout Brewhall,202,440,2,0
686,The Great Wheel,202,441,3,0
687,The Tasting Room,202,442,4,0
688,Gate of the Setting Sun,203,437,1,0
689,Gate Watch Tower,203,438,2,0
690,Dragon Soul,204,409,0,0
691,Maw of Go'rath,204,410,1,0
692,Maw of Shu'ma,204,411,2,0
693,Eye of Eternity,204,412,3,0
694,Skyfire Airship,204,413,4,0
695,Spine of Deathwing,204,414,5,0
696,The Maelstrom,204,415,6,0
697,The Crimson Assembly Hall,205,453,1,0
698,Vaults of Kings Past,205,454,2,0
699,Throne of Ancient Conquerors,205,455,3,0
700,Training Grounds,206,431,1,0
701,Athenaeum,206,432,2,0
702,Forlorn Cloister,207,435,1,0
703,Crusader's Chapel,207,436,2,0
704,The Reliquary,208,476,1,0
705,Chamber of Summoning,208,477,2,0
706,The Upper Study,208,478,3,0
707,Headmaster's Study,208,479,4,0
708,Dais of Conquerors,209,471,1,0
709,The Repository,209,472,2,0
710,Forge of the Endless,209,473,3,0
711,Oratorium of the Voice,210,474,1,0
712,Heart of Fear,210,475,2,0
713,Siege of Niuzao Temple,211,457,0,0
714,The Hollowed Out Tree,211,458,1,0
715,Upper Tree Ring,211,459,2,0
716,Upper Burial Chamber,212,481,1,0
717,Crypt Depths,212,482,2,0
718,Alliance Excavation,213,419,1,0
719,Ruins of Ogudei,213,420,2,0
720,Reliquary Incursion,213,421,3,0
721,Overgrown Statuary,214,508,1,0
722,Royal Amphitheater,214,509,2,0
723,Forgotten Depths,214,510,3,0
724,Roost of Ji-Kun,214,511,4,0
725,Halls of Flesh-Shaping,214,512,5,0
726,Hall of Kings,214,513,6,0
727,Pinnacle of Storms,214,514,7,0
728,Hidden Cell,214,515,8,0
729,Dalaran City,215,501,1,0
730,The Underbelly,215,502,2,0
731,Black Temple,216,490,0,0
732,Karabor Sewers,216,491,1,0
733,Sanctuary of Shadows,216,492,2,0
734,Halls of Anguish,216,493,3,0
735,Gorefiend's Vigil,216,494,4,0
736,Den of Mortal Delights,216,495,5,0
737,Chamber of Command,216,496,6,0
738,Temple Summit,216,497,7,0
751,Siege of Orgrimmar,222,556,0,0
752,Pools of Power,222,557,1,0
753,Vault of Y'Shaarj,222,558,2,0
754,Gates of Orgrimmar,222,559,3,0
755,The Valley of Strength,222,560,4,0
756,The Cleft of Shadow,222,561,5,0
757,The Descent,222,562,6,0
758,Kor'Kron Barracks,222,563,7,0
759,The Menagerie,222,564,8,0
760,The Siegeworks,222,565,9,0
761,Chamber of the Paragons,222,566,10,0
762,The Inner Sanctum,222,567,11,0
763,Terrace of Endless Spring,222,568,12,0
764,Temple of the Jade Serpent,222,569,13,0
765,Temple of the Red Crane,222,570,14,0
1184,Timeless Tunnel,143,74,0,0
1185,Caverns of Time,143,75,1,0
