DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
Pet - Infernal,,,,,206,7,136235,0,0,0,0,0,0,0
Pet - Doomguard,,,,,207,7,136235,0,0,0,0,0,0,0
Pet - Wolf,,,,,208,7,136235,0,0,0,0,0,0,0
Pet - Cat,,,,,209,7,136235,0,0,0,0,0,0,0
Pet - Bear,,,,,210,7,136235,0,0,0,0,0,0,0
Pet - Boar,,,,,211,7,136235,0,0,0,0,0,0,0
Pet - Crocilisk,,,,,212,7,136235,0,0,0,0,0,0,0
Pet - Carrion Bird,,,,,213,7,136235,0,0,0,0,0,0,0
Pet - Crab,,,,,214,7,136235,0,0,0,0,0,0,0
Pet - Gorilla,,,,,215,7,136235,0,0,0,0,0,0,0
Pet - Raptor,,,,,217,7,136235,0,0,0,0,0,0,0
Pet - Tallstrider,,,,,218,7,136235,0,0,0,0,0,0,0
Racial - Undead,,,,,220,9,136235,0,0,0,146,0,0,0
Crossbows,,Higher weapon skill increases your chance to hit.,,,226,6,136235,0,0,0,128,0,0,0
Wands,,Higher weapon skill increases your chance to hit.,,,228,6,136235,0,0,0,128,0,0,0
Polearms,,Higher weapon skill increases your chance to hit.,,,229,6,136235,0,0,0,128,0,0,0
Pet - Scorpid,,,,,236,7,136235,0,0,0,0,0,0,0
Arcane,,,,,237,7,135932,0,0,0,1040,0,0,0
Pet - Turtle,,,,,251,7,136235,0,0,0,0,0,0,0
Assassination,,,,,253,7,132292,0,0,0,1040,0,0,0
Fury,,,,,256,7,132347,0,0,0,1040,0,0,0
Protection,,,,,257,7,132341,0,0,0,1040,0,0,0
Beast Training,,,,,261,7,136235,0,0,0,146,0,0,0
Protection,,,,,267,7,135893,0,0,0,1040,0,0,0
Pet - Generic,,,,,270,7,136235,0,0,0,0,0,0,0
Plate Mail,,Allows the wearing of plate armor.,,,293,8,136235,0,0,0,128,0,0,0
Language: Gnomish,,,,,313,10,136235,0,0,0,128,0,0,0
Language: Troll,,,,,315,10,136235,0,0,0,128,0,0,0
Enchanting,,Higher enchanting skill allows you to learn more powerful formulae.  Formulae can be found on trainers around the world as well as from quests and monsters.,,,333,11,136244,1,0,0,128,0,0,0
Demonology,,,,,354,7,136172,0,0,0,1040,0,0,0
Affliction,,,,,355,7,136145,0,0,0,1040,0,0,0
Fishing,,"Higher fishing skill increases your chance of catching fish in bodies of water around the world.  If you are having trouble catching fish in a given area, move to a lower level area or purchase a fishing lure and try again.",,,356,9,136245,0,0,0,128,0,0,0
Enhancement,,,,,373,7,136051,0,0,0,1040,0,0,0
Restoration,,,,,374,7,136052,0,0,0,1040,0,0,0
Elemental Combat,,,,,375,7,136048,0,0,0,1040,0,0,0
Skinning,,"Higher skinning skill allows you to skin hides from higher level monsters around the world.    Once your skill is above 100, you can divide your skill by 5 to determine the highest level of monster you can skin.",,,393,11,134366,0,0,0,128,0,0,0
Mail,,Allows the wearing of mail armor.,,,413,8,136235,0,0,0,128,0,0,0
Leather,,Allows the wearing of leather armor.,,,414,8,136235,0,0,0,128,0,0,0
Cloth,,Allows the wearing of cloth armor.,,,415,8,136235,0,0,0,128,0,0,0
Shield,,Allows the use of shields.,,,433,8,136235,0,0,0,128,0,0,0
Fist Weapons,,Allows for the use of fist weapons.  Chance to hit is determined by the Unarmed skill.,,,473,6,136235,0,0,0,130,0,0,0
Raptor Riding,,,,,533,9,136235,0,0,0,144,0,0,0
Mechanostrider Piloting,,,,,553,9,136235,0,0,0,144,0,0,0
Undead Horsemanship,,,,,554,9,136235,0,0,0,144,0,0,0
Restoration,,,,,573,7,136041,0,0,0,1040,0,0,0
Balance,,,,,574,7,136096,0,0,0,1040,0,0,0
Destruction,,,,,593,7,136186,0,0,0,1040,0,0,0
Holy,,,,,594,7,135920,0,0,0,1040,0,0,0
Discipline,,,,,613,7,135987,0,0,0,1040,0,0,0
Lockpicking,,,,,633,9,136058,0,0,0,128,0,0,0
Pet - Bat,,,,,653,7,136235,0,0,0,0,0,0,0
Pet - Hyena,,,,,654,7,136235,0,0,0,0,0,0,0
Pet - Bird of Prey,,,,,655,7,136235,0,0,0,0,0,0,0
Pet - Wind Serpent,,,,,656,7,136235,0,0,0,0,0,0,0
Language: Gutterspeak,,,,,673,10,136235,0,0,0,128,0,0,0
Kodo Riding,,,,,713,9,135997,0,0,0,144,0,0,0
Racial - Troll,,,,,733,9,0,0,0,0,146,0,0,0
Racial - Gnome,,,,,753,9,0,0,0,0,146,0,0,0
Racial - Human,,,,,754,9,0,0,0,0,146,0,0,0
Pet - Event - Remote Control,,,,,758,0,0,0,0,0,0,0,0,0
Riding,,Higher riding skill allows you to ride faster and more exotic beasts.,,,762,9,132164,0,0,0,144,0,0,0
Mounts,,Your mounts.,,,777,7,132167,0,0,0,2,0,0,0
Companions,,Your companions.,,,778,7,0,0,0,0,2,0,0,0
All - Specializations,,Misc specialization handling spells go here.,,,934,12,0,0,0,0,2,0,0,0
Engraving,,Higher engraving skill allows you to learn higher level runes and apply them to your armor and weapons.  Runes can be found hidden throughout the world.,,,2851,7,136235,0,0,0,146,0,0,0
Runes,,,,,2853,7,134419,0,0,0,18,0,0,0
Meditation,,,,,2885,7,135944,0,0,0,130,0,0,0
Pet - Felguard,,,,,2887,7,0,0,0,0,0,0,0,0
Pet - Core Hound,,,,,2897,7,136235,0,0,0,0,0,0,0
Explorer Imp,,,,,2898,7,237559,0,0,0,130,0,0,0
Astral Perfect Victory,,,,,2904,12,0,0,0,0,0,0,0,0
Test Profession [DNT],,Higher skill allows you to learn higher level recipes.  Recipes can be found on trainers around the world as well as from quests and as drops from monsters.,,,2933,11,134400,1,0,0,4224,0,0,0
Test Profession [DNT],,Higher skill allows you to learn higher level recipes.  Recipes can be found on trainers around the world as well as from quests and as drops from monsters.,,,2934,11,134400,0,2933,4,0,0,1159,0
Alchemy,,Higher alchemy skill allows you to learn higher level alchemy recipes.  Alchemy recipes can be found on trainers around the world as well as from quests and monsters.,,,2937,11,136240,0,171,4,0,0,1160,0
Blacksmithing,,Higher smithing skill allows you to learn higher level smithing plans.  Blacksmithing plans can be found on trainers around the world as well as from quests and monsters.,,,2938,11,136241,0,164,4,0,0,1161,0
Cooking,,Higher cooking skill allows you to learn higher level cooking recipes.  Recipes can be found on trainers around the world as well as from quests and as drops from monsters.,,,2939,9,133971,0,185,4,0,0,1162,0
Enchanting,,Higher enchanting skill allows you to learn more powerful formulae.  Formulae can be found on trainers around the world as well as from quests and monsters.,,,2940,11,136244,0,333,4,0,0,1163,0
Engineering,,Higher engineering skill allows you to learn higher level engineering schematics.  Schematics can be found on trainers around the world as well as from quests and monsters.,,,2941,11,136243,0,202,4,0,0,1164,0
First Aid,,Higher first aid skill allows you to learn higher level first aid abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters.,,,2942,9,135966,0,129,4,0,0,1165,0
Fishing,,"Higher fishing skill increases your chance of catching fish in bodies of water around the world.  If you are having trouble catching fish in a given area, move to a lower level area or purchase a fishing lure and try again.",,,2943,9,136245,0,356,4,0,0,1166,0
Herbalism,,"Higher herbalism skill allows you to harvest more difficult herbs around the world.  If you cannot harvest a specific herb, then increase your skill by harvesting easier to gather herbs in lower level areas.",,,2944,11,136246,0,182,4,0,0,1167,0
Leatherworking,,Higher leatherworking skill allows you to learn higher level leatherworking patterns.  Leatherworking patterns can be found on trainers around the world as well as from quests and monsters.,,,2945,11,136247,0,165,4,0,0,1168,0
Mining,,"Higher mining skill allows you to harvest more difficult minerals nodes around the world.  If you cannot harvest a specific mineral, then increase your skill by mining easier to mine minerals in lower level areas.",,,2946,11,136248,0,186,4,0,0,1169,0
Skinning,,"Higher skinning skill allows you to skin hides from higher level monsters around the world.    Once your skill is above 100, you can divide your skill by 5 to determine the highest level of monster you can skin.",,,2947,11,134366,0,393,4,0,0,1170,0
Tailoring,,Higher tailoring skill allows you to learn higher level tailoring patterns.  Tailoring patterns can be found on trainers around the world as well as from quests and monsters.,,,2948,11,136249,0,197,4,0,0,1171,0
Skyborne Racial,,,,,2980,9,136235,0,0,0,146,0,0,0
Poisons,,,,,2988,9,0,0,40,1,0,0,1214,0
Galestrider Riding,,,,,3011,9,136235,0,0,0,144,0,0,0
Comprehension,,,,,3012,9,135933,0,0,0,128,0,0,0
Feral Combat,,,,,3014,6,132276,0,0,0,128,0,0,0
Pet - Bat,,,,,3015,7,136235,0,0,0,0,0,0,0
Pet - Fox,,,,,3016,7,136235,0,0,0,0,0,0,0
