ID,PlayerConditionID,CreatureDisplayInfoID,PriorityCategory,BattlePetSpeciesID
229,84720,98308,0,2967
230,84721,98309,0,2967
231,84712,98310,0,2967
232,84713,98311,0,2967
233,84714,98312,0,2967
234,84715,98313,0,2967
235,84716,98314,0,2967
236,84727,98315,0,2967
237,84728,98316,0,2967
238,84729,98317,0,2967
239,84730,98318,0,2967
240,84731,98319,0,2967
241,84723,98320,0,2967
242,84724,98321,0,2967
243,84725,98322,0,2967
244,84726,98323,0,2967
245,84722,98324,0,2967
246,84737,98325,0,2967
247,84738,98326,0,2967
248,84739,98327,0,2967
249,84740,98328,0,2967
250,84741,98329,0,2967
251,84732,98330,0,2967
252,84733,98331,0,2967
253,84734,98332,0,2967
254,84735,98333,0,2967
255,84736,98334,0,2967
256,84748,98335,0,2967
257,84749,98336,0,2967
258,84750,98337,0,2967
259,84751,98338,0,2967
260,84752,98339,0,2967
261,84743,98340,0,2967
262,84744,98341,0,2967
263,84745,98342,0,2967
264,84746,98343,0,2967
265,84747,98344,0,2967
266,84758,98345,0,2967
267,84759,98346,0,2967
268,84760,98347,0,2967
269,84761,98348,0,2967
270,84762,98349,0,2967
271,84753,98350,0,2967
272,84754,98351,0,2967
273,84755,98352,0,2967
274,84756,98353,0,2967
275,84757,98354,0,2967
276,84768,98355,0,2967
277,84769,98356,0,2967
278,84770,98357,0,2967
279,84771,98358,0,2967
280,84772,98359,0,2967
281,84763,98360,0,2967
282,84764,98361,0,2967
283,84765,98362,0,2967
284,84766,98363,0,2967
285,84767,98364,0,2967
286,84778,98365,0,2967
287,84779,98366,0,2967
288,84780,98367,0,2967
289,84781,98368,0,2967
290,84782,98369,0,2967
291,84773,98370,0,2967
292,84774,98371,0,2967
293,84775,98372,0,2967
294,84776,98373,0,2967
295,84777,98374,0,2967
296,84788,98375,0,2967
297,84789,98376,0,2967
298,84790,98377,0,2967
299,84791,98378,0,2967
300,84792,98379,0,2967
301,84783,98380,0,2967
302,84784,98381,0,2967
303,84785,98382,0,2967
304,84786,98383,0,2967
305,84787,98384,0,2967
306,84798,98385,0,2967
307,84799,98386,0,2967
308,84800,98387,0,2967
309,84801,98388,0,2967
310,84802,98389,0,2967
311,84793,98390,0,2967
312,84794,98391,0,2967
313,84795,98392,0,2967
314,84796,98393,0,2967
315,84797,98394,0,2967
316,84808,98395,0,2967
317,84809,98396,0,2967
318,84810,98397,0,2967
319,84811,98398,0,2967
320,84812,98399,0,2967
321,84803,98400,0,2967
322,84804,98401,0,2967
323,84805,98402,0,2967
324,84806,98403,0,2967
325,84807,98404,0,2967
326,84818,98405,0,2967
327,84819,98406,0,2967
328,84820,98407,0,2967
329,84821,98408,0,2967
330,84822,98409,0,2967
331,84813,98410,0,2967
332,84814,98411,0,2967
333,84815,98412,0,2967
334,84816,98413,0,2967
335,84817,98414,0,2967
336,84828,98415,0,2967
337,84829,98416,0,2967
338,84830,98417,0,2967
339,84831,98418,0,2967
340,84832,98419,0,2967
341,84823,98420,0,2967
342,84824,98421,0,2967
343,84825,98422,0,2967
344,84826,98423,0,2967
345,84827,98424,0,2967
346,90604,101058,0,2967
347,90605,101059,0,2967
348,90558,101060,0,2967
349,90559,101061,0,2967
350,90560,101062,0,2967
351,90561,101063,0,2967
352,90562,101064,0,2967
353,90563,101065,0,2967
354,90564,101066,0,2967
355,90565,101067,0,2967
356,90566,101068,0,2967
357,90567,101069,0,2967
358,90568,101070,0,2967
359,90569,101071,0,2967
360,90570,101072,0,2967
361,90571,101073,0,2967
362,90572,101074,0,2967
363,90573,101075,0,2967
364,90574,101076,0,2967
365,90575,101077,0,2967
366,90576,101078,0,2967
367,90577,101079,0,2967
368,90578,101080,0,2967
369,90579,101081,0,2967
370,90580,101082,0,2967
371,90581,101083,0,2967
372,90582,101084,0,2967
373,90583,101085,0,2967
374,90584,101086,0,2967
375,90585,101087,0,2967
376,90586,101088,0,2967
377,90587,101089,0,2967
378,90588,101090,0,2967
379,90589,101091,0,2967
380,90590,101092,0,2967
381,90591,101093,0,2967
382,90592,101094,0,2967
383,90593,101095,0,2967
384,90594,101096,0,2967
385,90595,101097,0,2967
386,90596,101098,0,2967
387,90597,101099,0,2967
388,90598,101100,0,2967
389,90599,101101,0,2967
390,90600,101102,0,2967
391,90601,101103,0,2967
392,90602,101104,0,2967
393,90603,101105,0,2967
