Name_lang,ID,MapID,Flags,Field_12_0_0_63854_004,ExpansionLevel,RequiredWorldStateID,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2],CriteriaCount[3],CriteriaCount[4],FirstRewardQuestID[0],FirstRewardQuestID[1],FirstRewardQuestID[2],FirstRewardQuestID[3],FirstRewardQuestID[4],FirstRewardQuestID[5],RewardQuestID[0],RewardQuestID[1],RewardQuestID[2],RewardQuestID[3],RewardQuestID[4],RewardQuestID[5]
Grimrail Depot,166,1208,2,3,5,21786,1800,1440,1080,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Upper Blackrock Spire,167,1358,2,3,0,21791,5100,2580,1500,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
The Everbloom,168,1279,2,3,5,21790,1980,1584,1188,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Iron Docks,169,1195,2,3,5,21787,1800,1440,1080,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Eye of Azshara,197,1456,70,3,0,21796,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darkheart Thicket,198,1466,70,3,0,21795,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Rook Hold,199,1501,70,3,0,21793,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halls of Valor,200,1477,70,3,0,21797,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neltharion's Lair,206,1458,70,3,6,21799,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vault of the Wardens,207,1493,70,3,0,21800,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maw of Souls,208,1492,70,3,0,21798,1440,1152,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Arcway,209,1516,70,3,0,21792,2700,2160,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Court of Stars,210,1571,70,3,0,21794,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return to Karazhan: Lower,227,1651,70,3,0,21801,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cathedral of Eternal Night,233,1677,70,3,0,21803,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return to Karazhan: Upper,234,1651,66,3,0,21802,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seat of the Triumvirate,239,1753,70,3,0,21804,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atal'Dazar,244,1763,4,3,7,21805,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freehold,245,1754,4,3,7,21806,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tol Dagor,246,1771,0,3,7,21812,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The MOTHERLODE!!,247,1594,0,3,7,21814,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waycrest Manor,248,1862,0,3,7,21809,2220,1776,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings' Rest,249,1762,0,3,7,21813,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temple of Sethraliss,250,1877,0,3,7,21808,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Underrot,251,1841,0,3,7,21807,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrine of the Storm,252,1864,0,3,7,21810,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siege of Boralus,353,1822,0,3,7,21811,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operation: Mechagon - Junkyard,369,2097,4,3,7,21815,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operation: Mechagon - Workshop,370,2097,0,3,7,21816,1920,1536,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mists of Tirna Scithe,375,2290,0,3,8,21820,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Necrotic Wake,376,2286,0,3,8,21818,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Other Side,377,2291,0,3,8,21824,2580,2064,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halls of Atonement,378,2287,0,3,8,21821,1920,1536,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plaguefall,379,2289,0,3,8,21819,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanguine Depths,380,2284,0,3,8,21825,2460,1968,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spires of Ascension,381,2285,0,3,8,21822,2340,1872,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theater of Pain,382,2293,0,3,8,21823,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tazavesh: Streets of Wonder,391,2441,0,3,8,21826,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tazavesh: So'leah's Gambit,392,2441,0,3,8,21827,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby Life Pools,399,2521,0,3,9,22268,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nokhud Offensive,400,2516,0,3,9,22270,2400,1920,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Azure Vault,401,2515,0,3,9,22271,2250,1800,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeth'ar Academy,402,2526,0,3,9,22274,1920,1536,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uldaman: Legacy of Tyr,403,2451,0,3,9,22267,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neltharus,404,2519,0,3,9,22269,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brackenhide Hollow,405,2520,0,3,9,22272,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halls of Infusion,406,2527,0,3,9,22273,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Vortex Pinnacle,438,657,0,3,9,23327,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throne of the Tides,456,643,0,3,9,24627,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawn of the Infinite: Galakrond's Fall,463,2579,0,3,8,24972,2040,1632,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawn of the Infinite: Murozond's Rise,464,2579,0,3,9,24973,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priory of the Sacred Flame,499,2649,0,3,10,25990,1950,1560,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rookery,500,2648,0,3,10,25992,1740,1392,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Stonevault,501,2652,0,3,10,25996,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Threads,502,2669,0,3,10,25997,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ara-Kara, City of Echoes",503,2660,0,3,10,25993,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darkflame Cleft,504,2651,0,3,10,25991,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dawnbreaker,505,2662,0,3,10,25994,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinderbrew Meadery,506,2661,0,3,10,25995,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grim Batol,507,670,2,3,3,26055,2040,1632,1224,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Operation: Floodgate,525,2773,2,3,10,27048,1980,1584,1188,0,0,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
The Stonecore,541,725,0,3,3,28387,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eco-Dome Al'dani,542,2830,0,3,10,28353,1860,1488,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
