ID,TextureType,Layer,Flags,BlendMode,TextureSectionTypeBitMask,TextureSectionTypeBitMask2,Field_9_0_1_34365_006[0],Field_9_0_1_34365_006[1],Field_9_0_1_34365_006[2],ChrModelTextureTargetID[0],ChrModelTextureTargetID[1],CharComponentTextureLayoutsID
86,1,5,0,6,512,-1,0,0,0,29,0,108
87,1,6,0,15,32,-1,0,0,0,13,0,108
88,1,7,0,15,8,-1,0,0,0,14,0,108
89,1,8,0,15,1024,-1,0,0,0,11,0,108
90,1,9,0,15,512,-1,0,0,0,12,0,108
91,1,10,0,15,1024,-1,0,0,0,7,0,108
95,1,0,0,1,-1,-1,0,0,0,1,0,109
96,6,1,0,1,-1,-1,0,0,0,10,0,109
97,1,2,0,15,512,-1,0,0,0,4,0,109
98,1,3,0,15,1024,-1,0,0,0,5,0,109
99,1,4,0,6,512,-1,0,0,0,2,0,109
100,1,5,0,9,4096,-1,0,0,0,16,0,109
101,1,6,0,4,2048,-1,0,0,0,17,0,109
102,1,8,0,15,32,-1,0,0,0,13,0,109
103,1,9,0,15,1024,-1,0,0,0,11,0,109
104,1,10,0,15,512,-1,0,0,0,12,0,109
105,1,0,0,1,-1,-1,0,0,0,1,0,110
106,6,1,0,1,-1,-1,0,0,0,10,0,110
107,1,2,0,15,512,-1,0,0,0,4,0,110
108,1,3,0,15,1024,-1,0,0,0,5,0,110
109,1,4,0,6,512,-1,0,0,0,2,0,110
110,1,5,0,9,4096,-1,0,0,0,16,0,110
111,1,6,0,15,2048,-1,0,0,0,17,0,110
112,1,7,0,15,32,-1,0,0,0,13,0,110
113,1,9,0,15,8,-1,0,0,0,14,0,110
114,1,10,0,15,1024,-1,0,0,0,11,0,110
115,1,11,0,15,512,-1,0,0,0,12,0,110
120,1,12,0,15,1024,-1,0,0,0,7,0,110
121,1,0,0,1,-1,-1,0,0,0,1,0,111
122,6,1,0,1,-1,-1,0,0,0,10,0,111
123,1,2,0,15,32,-1,0,0,0,13,0,111
124,1,3,0,15,512,-1,0,0,0,4,0,111
125,1,4,0,15,1024,-1,0,0,0,5,0,111
126,1,5,0,15,1024,-1,0,0,0,11,0,111
127,1,6,0,15,512,-1,0,0,0,12,0,111
128,1,7,0,15,1024,-1,0,0,0,7,0,111
129,1,8,0,15,512,-1,0,0,0,8,0,111
130,19,9,0,1,-1,-1,0,0,0,25,0,111
131,1,0,0,1,-1,-1,0,0,0,1,0,112
132,6,1,0,1,-1,-1,0,0,0,10,0,112
133,1,2,0,15,512,-1,0,0,0,4,0,112
134,1,3,0,15,1024,-1,0,0,0,5,0,112
135,1,4,0,15,1024,-1,0,0,0,11,0,112
136,1,5,0,15,512,-1,0,0,0,12,0,112
137,1,6,0,15,1024,-1,0,0,0,7,0,112
138,1,7,0,15,512,-1,0,0,0,8,0,112
139,1,8,0,15,32,-1,0,0,0,13,0,112
140,1,9,0,15,8,-1,0,0,0,14,0,112
141,1,0,0,1,-1,-1,0,0,0,1,0,113
142,8,1,0,1,-1,-1,0,0,0,2,0,113
143,6,2,0,1,-1,-1,0,0,0,10,0,113
144,1,3,0,9,4096,-1,0,0,0,16,0,113
145,1,4,0,15,512,-1,0,0,0,4,0,113
146,1,5,0,15,1024,-1,0,0,0,5,0,113
147,1,6,0,9,2048,-1,0,0,0,19,0,113
148,1,7,0,15,32,-1,0,0,0,13,0,113
149,1,8,0,15,1024,-1,0,0,0,11,0,113
150,1,9,0,15,512,-1,0,0,0,12,0,113
151,1,0,0,1,-1,-1,0,0,0,1,0,114
152,8,1,0,1,-1,-1,0,0,0,2,0,114
153,6,2,0,1,-1,-1,0,0,0,10,0,114
154,1,3,0,9,4096,-1,0,0,0,16,0,114
155,1,4,0,15,512,-1,0,0,0,4,0,114
156,1,5,0,15,1024,-1,0,0,0,5,0,114
157,1,6,0,9,2048,-1,0,0,0,19,0,114
158,1,7,0,15,32,-1,0,0,0,13,0,114
159,1,8,0,15,8,-1,0,0,0,14,0,114
160,1,9,0,15,1024,-1,0,0,0,11,0,114
161,1,0,0,1,-1,-1,0,0,0,1,0,115
162,6,1,0,1,-1,-1,0,0,0,10,0,115
163,1,2,0,15,32,-1,0,0,0,13,0,115
164,1,3,0,15,512,-1,0,0,0,4,0,115
165,1,4,0,15,1024,-1,0,0,0,5,0,115
166,1,5,0,15,1024,-1,0,0,0,11,0,115
167,1,6,0,15,512,-1,0,0,0,12,0,115
168,1,7,0,15,1024,-1,0,0,0,7,0,115
169,1,8,0,15,512,-1,0,0,0,8,0,115
170,19,9,0,1,-1,-1,0,0,0,25,0,115
172,1,0,0,1,-1,-1,0,0,0,1,0,116
173,6,1,0,1,-1,-1,0,0,0,10,0,116
174,1,2,0,15,32,-1,0,0,0,13,0,116
175,1,3,0,15,8,-1,0,0,0,14,0,116
176,1,4,0,15,512,-1,0,0,0,4,0,116
177,1,5,0,15,1024,-1,0,0,0,5,0,116
178,1,6,0,15,1024,-1,0,0,0,11,0,116
179,1,7,0,15,512,-1,0,0,0,12,0,116
180,1,8,0,15,1024,-1,0,0,0,7,0,116
181,1,9,0,15,512,-1,0,0,0,8,0,116
183,1,0,0,1,-1,-1,0,0,0,1,0,117
184,6,1,0,1,-1,-1,0,0,0,10,0,117
185,1,2,0,9,4096,-1,0,0,0,16,0,117
186,1,3,0,15,32,-1,0,0,0,13,0,117
187,1,4,0,15,512,-1,0,0,0,4,0,117
188,1,5,0,15,1024,-1,0,0,0,5,0,117
189,1,6,0,9,2048,-1,0,0,0,19,0,117
190,1,7,0,15,1024,-1,0,0,0,11,0,117
191,1,8,0,15,512,-1,0,0,0,12,0,117
192,1,9,0,15,1024,-1,0,0,0,7,0,117
194,1,0,0,1,-1,-1,0,0,0,1,0,118
195,6,1,0,1,-1,-1,0,0,0,10,0,118
196,1,2,0,9,4096,-1,0,0,0,16,0,118
197,1,3,0,15,32,-1,0,0,0,13,0,118
198,1,4,0,15,8,-1,0,0,0,14,0,118
199,1,5,0,15,512,-1,0,0,0,4,0,118
200,1,6,0,15,1024,-1,0,0,0,5,0,118
201,1,7,0,9,2048,-1,0,0,0,19,0,118
202,1,8,0,15,1024,-1,0,0,0,11,0,118
203,1,9,0,15,512,-1,0,0,0,12,0,118
204,1,0,0,1,-1,-1,0,0,0,1,0,119
205,6,1,0,1,-1,-1,0,0,0,10,0,119
206,1,2,0,15,32,-1,0,0,0,13,0,119
207,1,3,0,15,512,-1,0,0,0,4,0,119
208,1,4,0,15,1024,-1,0,0,0,5,0,119
209,1,5,0,15,1024,-1,0,0,0,11,0,119
210,1,6,0,15,512,-1,0,0,0,12,0,119
211,1,7,0,15,1024,-1,0,0,0,7,0,119
212,1,8,0,15,512,-1,0,0,0,8,0,119
213,19,9,0,1,-1,-1,0,0,0,25,0,119
215,1,0,0,1,-1,-1,0,0,0,1,0,120
216,6,1,0,1,-1,-1,0,0,0,10,0,120
217,1,2,0,15,32,-1,0,0,0,13,0,120
218,1,3,0,15,8,-1,0,0,0,14,0,120
219,1,4,0,15,1024,-1,0,0,0,5,0,120
220,1,5,0,15,512,-1,0,0,0,4,0,120
221,1,6,0,15,1024,-1,0,0,0,11,0,120
222,1,7,0,15,512,-1,0,0,0,12,0,120
223,1,8,0,15,1024,-1,0,0,0,7,0,120
224,1,9,0,15,512,-1,0,0,0,8,0,120
225,1,0,0,1,-1,-1,0,0,0,1,0,121
226,6,1,0,1,-1,-1,0,0,0,10,0,121
227,1,2,0,15,512,-1,0,0,0,4,0,121
228,1,3,0,15,1024,-1,0,0,0,5,0,121
229,1,4,0,9,4096,-1,0,0,0,16,0,121
230,1,5,0,15,32,-1,0,0,0,13,0,121
231,1,6,0,15,1024,-1,0,0,0,11,0,121
232,1,7,0,15,512,-1,0,0,0,12,0,121
233,1,8,0,15,1024,-1,0,0,0,7,0,121
234,1,9,0,15,512,-1,0,0,0,8,0,121
236,1,0,0,1,-1,-1,0,0,0,1,0,122
237,6,1,0,1,-1,-1,0,0,0,10,0,122
238,1,2,0,15,512,-1,0,0,0,4,0,122
239,1,3,0,15,1024,-1,0,0,0,5,0,122
240,1,4,0,9,4096,-1,0,0,0,16,0,122
241,1,5,0,15,32,-1,0,0,0,13,0,122
242,1,6,0,15,8,-1,0,0,0,14,0,122
243,1,7,0,6,512,-1,0,0,0,29,0,122
244,1,8,0,15,1024,-1,0,0,0,11,0,122
245,1,9,0,15,512,-1,0,0,0,12,0,122
246,1,10,0,15,1024,-1,0,0,0,7,0,122
247,1,11,0,15,512,-1,0,0,0,8,0,122
248,1,0,0,1,-1,-1,0,0,0,1,0,123
249,8,1,0,1,-1,-1,0,0,0,2,0,123
250,6,2,0,1,-1,-1,0,0,0,10,0,123
251,1,3,0,15,32,-1,0,0,0,13,0,123
252,1,4,0,15,512,-1,0,0,0,4,0,123
254,1,5,0,15,1024,-1,0,0,0,11,0,123
255,1,6,0,15,512,-1,0,0,0,12,0,123
256,1,7,0,15,1024,-1,0,0,0,7,0,123
257,1,8,0,15,512,-1,0,0,0,8,0,123
258,19,9,0,1,-1,-1,0,0,0,25,0,123
259,1,0,0,1,-1,-1,0,0,0,1,0,124
260,6,1,0,1,-1,-1,0,0,0,10,0,124
261,1,2,0,15,32,-1,0,0,0,13,0,124
262,1,3,0,15,8,-1,0,0,0,14,0,124
264,1,4,0,15,512,-1,0,0,0,4,0,124
265,1,5,0,15,1024,-1,0,0,0,11,0,124
266,1,6,0,15,512,-1,0,0,0,12,0,124
267,1,7,0,15,1024,-1,0,0,0,7,0,124
268,1,8,0,15,512,-1,0,0,0,8,0,124
270,1,10,0,15,512,-1,0,0,0,12,0,114
272,1,0,0,1,-1,-1,0,0,0,1,0,125
273,8,1,0,1,-1,-1,0,0,0,2,0,125
274,1,2,0,15,32,-1,0,0,0,13,0,125
275,1,3,0,15,512,-1,0,0,0,4,0,125
276,1,4,0,15,1024,-1,0,0,0,5,0,125
277,1,5,0,15,1024,-1,0,0,0,11,0,125
278,1,6,0,15,512,-1,0,0,0,12,0,125
279,1,7,0,15,1024,-1,0,0,0,7,0,125
280,1,8,0,15,512,-1,0,0,0,8,0,125
282,1,0,0,1,-1,-1,0,0,0,1,0,126
283,8,1,0,1,-1,-1,0,0,0,2,0,126
284,1,2,0,15,32,-1,0,0,0,13,0,126
285,1,3,0,15,8,-1,0,0,0,14,0,126
286,1,4,0,15,512,-1,0,0,0,4,0,126
287,1,5,0,15,1024,-1,0,0,0,5,0,126
288,1,6,0,15,1024,-1,0,0,0,11,0,126
289,1,7,0,15,512,-1,0,0,0,12,0,126
290,1,8,0,15,1024,-1,0,0,0,7,0,126
291,1,9,0,15,512,-1,0,0,0,8,0,126
292,1,0,0,1,-1,-1,0,0,0,1,0,127
293,6,1,0,1,-1,-1,0,0,0,10,0,127
294,1,2,0,15,32,-1,0,0,0,13,0,127
295,1,3,0,15,512,-1,0,0,0,4,0,127
296,1,4,0,15,1024,-1,0,0,0,5,0,127
297,1,5,0,15,1024,-1,0,0,0,11,0,127
298,1,6,0,15,512,-1,0,0,0,12,0,127
299,1,7,0,15,1024,-1,0,0,0,7,0,127
300,1,8,0,15,512,-1,0,0,0,8,0,127
301,19,9,0,1,-1,-1,0,0,0,25,0,127
303,1,0,0,1,-1,-1,0,0,0,1,0,128
304,6,1,0,1,-1,-1,0,0,0,10,0,128
305,1,2,0,15,32,-1,0,0,0,13,0,128
306,1,3,0,15,8,-1,0,0,0,14,0,128
307,1,4,0,15,512,-1,0,0,0,4,0,128
308,1,5,0,15,1024,-1,0,0,0,5,0,128
309,1,6,0,6,512,-1,0,0,0,29,0,128
310,1,7,0,15,1024,-1,0,0,0,11,0,128
311,1,8,0,15,512,-1,0,0,0,12,0,128
312,1,9,0,15,1024,-1,0,0,0,7,0,128
313,1,10,0,15,512,-1,0,0,0,8,0,128
314,19,11,0,1,-1,-1,0,0,0,25,0,128
315,20,12,0,1,-1,-1,0,0,0,27,0,128
316,20,13,0,1,-1,-1,0,0,0,28,0,128
317,1,0,0,1,-1,-1,0,0,0,1,0,129
318,8,1,0,1,-1,-1,0,0,0,2,0,129
319,6,2,0,1,-1,-1,0,0,0,10,0,129
320,1,3,0,15,32,-1,0,0,0,13,0,129
321,1,4,0,15,512,-1,0,0,0,4,0,129
322,1,5,0,15,1024,-1,0,0,0,5,0,129
323,1,6,0,15,1024,-1,0,0,0,11,0,129
324,1,7,0,15,512,-1,0,0,0,12,0,129
325,1,8,0,15,1024,-1,0,0,0,7,0,129
326,1,9,0,15,512,-1,0,0,0,8,0,129
328,1,0,0,1,-1,-1,0,0,0,1,0,130
329,8,1,0,1,-1,-1,0,0,0,2,0,130
330,6,2,0,1,-1,-1,0,0,0,10,0,130
331,1,3,0,15,32,-1,0,0,0,13,0,130
332,1,4,0,15,8,-1,0,0,0,14,0,130
333,1,5,0,15,512,-1,0,0,0,4,0,130
334,1,6,0,15,1024,-1,0,0,0,5,0,130
335,1,7,0,15,1024,-1,0,0,0,11,0,130
336,1,8,0,15,512,-1,0,0,0,12,0,130
337,1,9,0,15,1024,-1,0,0,0,7,0,130
338,1,10,0,15,512,-1,0,0,0,8,0,130
339,20,14,0,1,-1,-1,0,0,0,27,0,104
341,1,0,0,1,-1,-1,0,0,0,1,0,131
342,1,1,0,1,1024,-1,0,0,0,5,0,131
343,1,2,0,9,4096,-1,0,16,16,16,0,131
344,1,3,0,9,2048,-1,0,16,16,19,0,131
345,6,4,0,1,-1,-1,0,0,0,10,0,131
346,1,5,0,15,32,-1,0,0,0,13,0,131
347,19,6,0,1,-1,-1,0,0,0,25,0,131
348,20,7,0,1,-1,-1,0,0,0,38,0,131
352,1,0,0,1,-1,-1,0,0,0,1,0,132
353,1,1,0,15,1024,-1,0,0,0,5,0,132
354,1,2,0,9,4096,-1,0,16,16,16,0,132
355,1,3,0,9,2048,-1,0,16,16,19,0,132
356,6,4,0,1,-1,-1,0,0,0,10,0,132
357,1,5,0,15,32,-1,0,0,0,13,0,132
358,1,6,0,15,8,-1,0,0,0,14,0,132
359,19,7,0,1,-1,-1,0,0,0,25,0,132
364,1,0,0,1,-1,-1,0,0,0,1,0,133
365,8,1,0,1,-1,-1,0,0,0,2,0,133
366,6,2,0,1,-1,-1,0,0,0,10,0,133
367,1,3,0,15,512,-1,0,0,0,4,0,133
368,1,4,0,15,1024,-1,0,0,0,5,0,133
369,1,5,0,9,-1,-1,0,0,0,16,0,133
370,1,6,0,15,32,-1,0,0,0,13,0,133
371,1,7,0,15,1024,-1,0,0,0,11,0,133
372,1,8,0,15,512,-1,0,0,0,12,0,133
373,1,9,0,15,1024,-1,0,0,0,7,0,133
374,1,10,0,15,512,-1,0,0,0,8,0,133
376,1,0,0,1,-1,-1,0,0,0,1,0,134
377,8,1,0,1,-1,-1,0,0,0,2,0,134
378,6,2,0,1,-1,-1,0,0,0,10,0,134
379,1,3,0,15,512,-1,0,0,0,4,0,134
380,1,4,0,15,1024,-1,0,0,0,5,0,134
381,1,5,0,9,-1,-1,0,0,0,16,0,134
382,1,6,0,15,32,-1,0,0,0,13,0,134
383,1,7,0,15,8,-1,0,0,0,14,0,134
384,1,8,0,15,1024,-1,0,0,0,11,0,134
385,1,9,0,15,512,-1,0,0,0,12,0,134
386,1,10,0,15,1024,-1,0,0,0,7,0,134
387,1,11,0,15,512,-1,0,0,0,8,0,134
388,1,0,0,1,-1,-1,0,0,0,1,0,135
389,1,1,0,15,1024,-1,0,0,0,5,0,135
390,6,2,0,1,-1,-1,0,0,0,10,0,135
391,7,3,0,1,-1,-1,0,0,0,11,0,135
392,1,4,0,15,32,-1,0,0,0,13,0,135
393,21,5,0,1,-1,-1,0,0,0,32,0,135
394,21,6,0,15,32,-1,0,0,0,33,0,135
395,22,7,0,1,-1,-1,0,0,0,35,0,135
396,24,8,0,1,-1,-1,0,0,0,0,0,135
398,1,0,0,1,-1,-1,0,0,0,1,0,136
399,1,1,0,15,1024,-1,0,0,0,5,0,136
400,6,2,0,1,-1,-1,0,0,0,10,0,136
401,7,3,0,1,-1,-1,0,0,0,11,0,136
402,1,4,0,15,32,-1,0,0,0,13,0,136
403,1,5,0,15,8,-1,0,0,0,14,0,136
404,21,6,0,1,-1,-1,0,0,0,32,0,136
405,21,7,0,15,32,-1,0,0,0,33,0,136
406,21,8,0,15,8,-1,0,0,0,34,0,136
407,22,9,0,1,-1,-1,0,0,0,35,0,136
408,24,10,0,1,-1,-1,0,0,0,0,0,136
409,1,0,0,1,-1,-1,0,0,0,1,0,137
410,8,1,0,1,-1,-1,0,0,0,2,0,137
411,1,2,0,15,1024,-1,0,0,0,5,0,137
412,6,3,0,1,-1,-1,0,0,0,10,0,137
413,1,4,0,9,2048,-1,0,0,0,17,0,137
414,1,5,0,9,4096,-1,0,16,16,16,0,137
415,1,6,0,15,32,-1,0,0,0,13,0,137
416,19,7,0,1,-1,-1,0,0,0,25,0,137
417,1,8,0,7,512,-1,0,0,0,36,0,137
418,20,9,0,1,-1,-1,0,0,0,38,0,137
422,1,0,0,1,-1,-1,0,0,0,1,0,138
423,1,1,0,15,1024,-1,0,0,0,5,0,138
424,6,2,0,1,-1,-1,0,0,0,10,0,138
425,1,3,0,9,2048,-1,0,0,0,17,0,138
426,1,4,0,9,4096,-1,0,16,16,16,0,138
427,1,5,0,15,32,-1,0,0,0,13,0,138
428,1,6,0,15,8,-1,0,0,0,14,0,138
429,19,7,0,1,-1,-1,0,0,0,25,0,138
430,1,8,0,7,512,-1,0,0,0,36,0,138
431,20,9,0,1,-1,-1,0,0,0,38,0,138
433,1,0,0,1,-1,-1,0,0,0,1,0,139
434,8,1,0,1,-1,-1,0,0,0,2,0,139
435,6,2,0,1,-1,-1,0,0,0,10,0,139
436,1,3,0,15,512,-1,0,0,0,4,0,139
437,1,4,0,15,1024,-1,0,0,0,5,0,139
438,1,5,0,9,-1,-1,0,0,0,16,0,139
439,1,6,0,15,32,-1,0,0,0,13,0,139
440,1,7,0,15,1024,-1,0,0,0,11,0,139
441,1,8,0,15,512,-1,0,0,0,12,0,139
442,1,9,0,15,1024,-1,0,0,0,7,0,139
443,1,10,0,15,512,-1,0,0,0,8,0,139
444,19,11,0,1,-1,-1,0,0,0,25,0,139
446,1,0,0,1,-1,-1,0,0,0,1,0,140
447,6,1,0,1,-1,-1,0,0,0,10,0,140
448,1,2,0,15,512,-1,0,0,0,4,0,140
449,1,3,0,15,1024,-1,0,0,0,5,0,140
450,1,4,0,9,-1,-1,0,0,0,16,0,140
451,1,5,0,15,32,-1,0,0,0,13,0,140
452,1,6,0,15,8,-1,0,0,0,14,0,140
453,1,7,0,15,1024,-1,0,0,0,11,0,140
454,1,8,0,15,512,-1,0,0,0,12,0,140
455,1,9,0,15,1024,-1,0,0,0,7,0,140
456,1,10,0,15,512,-1,0,0,0,8,0,140
457,1,0,0,1,-1,-1,0,0,0,1,0,141
458,6,1,0,1,-1,-1,0,0,0,10,0,141
459,1,2,0,15,32,-1,0,0,0,13,0,141
460,1,3,0,15,512,-1,0,0,0,4,0,141
461,1,4,0,15,1024,-1,0,0,0,5,0,141
462,1,5,0,15,1024,-1,0,0,0,11,0,141
463,1,6,0,15,512,-1,0,0,0,12,0,141
464,1,7,0,15,1024,-1,0,0,0,7,0,141
465,1,8,0,15,512,-1,0,0,0,8,0,141
467,1,0,0,1,-1,-1,0,0,0,1,0,142
468,6,1,0,1,-1,-1,0,0,0,10,0,142
469,1,2,0,15,32,-1,0,0,0,13,0,142
470,1,3,0,15,8,-1,0,0,0,14,0,142
471,1,4,0,15,512,-1,0,0,0,4,0,142
472,1,5,0,15,1024,-1,0,0,0,5,0,142
473,1,6,0,15,1024,-1,0,0,0,11,0,142
474,1,7,0,15,512,-1,0,0,0,12,0,142
475,1,8,0,15,1024,-1,0,0,0,7,0,142
476,1,9,0,15,512,-1,0,0,0,8,0,142
477,1,0,0,1,-1,-1,0,0,0,1,0,143
478,8,1,0,1,-1,-1,0,0,0,2,0,143
479,6,2,0,1,-1,-1,0,0,0,10,0,143
480,1,3,0,15,512,-1,0,0,0,4,0,143
481,1,4,0,15,1024,-1,0,0,0,5,0,143
482,1,5,0,9,-1,-1,0,0,0,19,0,143
483,1,6,0,15,32,-1,0,0,0,13,0,143
484,1,7,0,15,1024,-1,0,0,0,11,0,143
485,1,8,0,15,512,-1,0,0,0,12,0,143
486,1,9,0,15,1024,-1,0,0,0,7,0,143
487,1,10,0,15,512,-1,0,0,0,8,0,143
488,19,11,0,1,-1,-1,0,0,0,25,0,143
490,1,0,0,1,-1,-1,0,0,0,1,0,144
491,6,1,0,1,-1,-1,0,0,0,10,0,144
492,1,2,0,15,512,-1,0,0,0,4,0,144
493,1,3,0,15,1024,-1,0,0,0,5,0,144
494,1,4,0,9,-1,-1,0,0,0,16,0,144
495,1,5,0,15,32,-1,0,0,0,13,0,144
496,1,6,0,15,8,-1,0,0,0,14,0,144
497,1,7,0,15,1024,-1,0,0,0,11,0,144
498,1,8,0,15,512,-1,0,0,0,12,0,144
499,1,9,0,15,1024,-1,0,0,0,7,0,144
500,1,10,0,15,512,-1,0,0,0,8,0,144
501,1,0,0,1,-1,-1,0,0,0,1,0,145
502,8,1,0,1,-1,-1,0,0,0,2,0,145
503,6,2,0,1,-1,-1,0,0,0,10,0,145
504,1,3,0,15,512,-1,0,0,0,4,0,145
505,1,4,0,15,1024,-1,0,0,0,5,0,145
506,1,5,0,9,-1,-1,0,0,0,16,0,145
507,1,6,0,15,32,-1,0,0,0,13,0,145
508,1,7,0,15,1024,-1,0,0,0,11,0,145
509,1,8,0,15,512,-1,0,0,0,12,0,145
510,1,9,0,15,1024,-1,0,0,0,7,0,145
511,1,10,0,15,512,-1,0,0,0,8,0,145
512,19,11,0,1,-1,-1,0,0,0,25,0,145
514,1,0,0,1,-1,-1,0,0,0,1,0,146
515,6,1,0,1,-1,-1,0,0,0,10,0,146
516,1,2,0,15,512,-1,0,0,0,4,0,146
517,1,3,0,15,1024,-1,0,0,0,5,0,146
518,1,4,0,9,-1,-1,0,0,0,16,0,146
519,1,5,0,15,32,-1,0,0,0,13,0,146
520,1,6,0,15,8,-1,0,0,0,14,0,146
521,1,7,0,15,1024,-1,0,0,0,11,0,146
522,1,8,0,15,512,-1,0,0,0,12,0,146
523,1,9,0,15,1024,-1,0,0,0,7,0,146
524,1,10,0,15,512,-1,0,0,0,8,0,146
525,1,0,0,1,-1,-1,0,0,0,1,0,147
526,8,1,0,1,-1,-1,0,0,0,2,0,147
527,6,2,0,1,-1,-1,0,0,0,10,0,147
528,1,3,0,15,512,-1,0,0,0,4,0,147
529,1,4,0,15,1024,-1,0,0,0,5,0,147
530,1,5,0,15,32,-1,0,0,0,13,0,147
531,1,6,0,15,1024,-1,0,0,0,11,0,147
532,1,7,0,15,512,-1,0,0,0,12,0,147
533,1,8,0,15,1024,-1,0,0,0,7,0,147
534,1,9,0,15,512,-1,0,0,0,8,0,147
535,19,10,0,1,-1,-1,0,0,0,25,0,147
538,1,0,0,1,-1,-1,0,0,0,1,0,148
539,6,1,0,1,-1,-1,0,0,0,10,0,148
540,1,2,0,15,512,-1,0,0,0,4,0,148
541,1,3,0,15,1024,-1,0,0,0,5,0,148
542,1,4,0,15,32,-1,0,0,0,13,0,148
543,1,5,0,15,8,-1,0,0,0,14,0,148
544,1,6,0,15,1024,-1,0,0,0,11,0,148
545,1,7,0,15,512,-1,0,0,0,12,0,148
546,1,8,0,15,1024,-1,0,0,0,7,0,148
547,1,9,0,15,512,-1,0,0,0,8,0,148
549,1,0,0,1,-1,-1,0,0,0,1,0,149
550,8,1,0,1,-1,-1,0,0,0,2,0,149
