Name_lang,InitialRotation[0],InitialRotation[1],InitialRotation[2],ID,Field_12_0_0_63534_003,GameObjectID,Flags,Type,ModelType,ModelFileDataID,ThumbnailFileDataID,WeightCost,ItemID,InitialScale,Field_12_0_0_63534_013,OrderIndex,Field_12_0_0_63534_015,Field_12_0_0_63534_016,UiModelSceneID
Cenarion Rectangular Rug,0,0,0,677,0,0,3,4,1,1108813,7416077,5,238861,1,10,74,2,0,0
[DNT] Cenarion Round Rug - do not use - new asset,0,0,0,678,0,0,128,4,1,1115314,7416081,3,238862,2,0,75,2,0,0
Kaldorei Desk,0,0,0,679,0,0,3,1,1,1240416,7416085,3,238863,1,10,76,2,0,0
Silvermoon Wooden Chair,0,0,0,714,0,554684,131,1,1,4235683,7416089,1,245284,1,10,77,0,0,0
Small Silvermoon Bookcase,0,0,0,715,0,0,131,1,1,4239013,7416093,1,245279,1,10,78,0,0,0
Reliquary Storage Crate,0,0,0,716,0,0,3,1,1,4239016,7416097,1,245285,1,10,79,2,0,0
Long Sin'dorei Rug,0,0,0,717,0,0,3,4,1,4239027,7416101,5,245287,1,10,80,2,0,0
Circular Sin'dorei Rug,0,0,0,718,0,0,3,4,1,4239028,7416107,3,245288,1,10,81,2,0,0
Reliquary Telescope,0,0,0,720,0,0,3,1,1,4496829,7416109,1,238975,1,10,82,3,0,0
Ceiling Cobweb,0,0,0,721,0,0,3,1,1,6709919,7416113,3,245400,1,0,83,1,0,0
Tented Cobweb,0,0,0,722,0,0,3,1,1,6709920,7416119,3,245401,1,0,84,1,0,0
Small Dangling Cobweb,0,0,0,723,0,0,3,3,1,6709924,7416121,1,245402,1,0,85,1,0,0
Large Dangling Cobweb,0,0,0,724,0,0,3,3,1,6709925,7416125,3,245403,1,0,86,1,0,0
Pillar Cobweb,0,0,0,725,0,0,3,1,1,6709926,7416131,3,245404,1,0,87,1,0,0
Wrought Iron Chandelier,0,0,0,726,0,527893,2,3,1,6712076,7416133,3,239075,1,0,88,1,2,0
[DNT] Chair - do not use,0,0,0,744,0,0,192,1,1,6372825,7413231,3,245351,1,0,89,0,0,0
Hungry Human's Platter,0,0,0,749,0,0,3,1,1,960868,7416137,1,245428,1,10,90,2,0,0
Tirisgarde Book Tempest,0,0,0,750,0,0,3,1,1,964976,7416141,3,245429,1,10,91,3,0,0
Wooden Mug,0,0,0,751,0,0,3,1,1,1002891,7416147,1,239162,1,10,92,2,0,0
"""Night on the Jeweled Estate"" Painting",0,0,0,752,0,0,2,1,1,1399648,7416149,1,245448,1,10,93,3,0,0
"""The Final Study"" Painting",0,0,0,753,0,0,130,1,1,1465437,7416155,1,245447,1,10,94,0,0,0
"""The Fallen Archmage"" Painting",0,0,0,754,0,0,130,1,1,1472527,7416157,1,245446,1,10,95,0,0,0
Boralus-Style Lobster Platter,0,0,0,755,0,0,3,1,1,1852909,7416163,1,245484,1,10,96,2,0,0
Venthyr Tome of Unforgiven Sins,0,0,0,756,0,0,3,1,1,3533100,7416167,1,245501,1,10,97,2,0,0
"""Aspects in the Clouds"" Painting",0,0,0,757,0,0,130,2,1,4504445,7416169,1,245277,1,10,98,0,0,0
"""Water Falls Home"" Painting",0,0,0,758,0,0,130,1,1,4629274,7416175,1,245278,1,10,99,0,0,0
Dornic Mine and Cheese Platter,0,0,0,759,0,0,3,1,1,5203802,7416177,1,239170,1,10,100,3,0,0
Literature of Dornogal,0,0,0,760,0,0,3,1,1,5346791,7416181,1,245295,1,10,101,2,0,0
Literature of Taelloch,0,0,0,761,0,0,3,1,1,5346792,7416185,1,245296,1,10,102,2,0,0
Literature of Gundargaz,0,0,0,762,0,0,3,1,1,5346796,7416189,1,245297,1,10,103,2,0,0
Collection of Arathi Scripture,0,0,0,763,0,0,3,1,1,5533958,7416193,1,245293,1,10,104,2,0,0
Councilward's Jeweled Goblet,0,0,0,764,0,0,3,1,1,5647269,7416197,1,245294,1,10,105,2,0,0
Kaheti Predator's Assortment,0,0,0,765,0,0,3,1,1,5650143,7416201,1,245326,1,10,106,2,0,0
Open Tome of Twilight Nihilism,0,0,0,766,0,0,3,1,1,6717970,7416205,1,239177,1,10,107,2,0,0
Tome of Silvermoon Intrigue,0,0,0,767,0,0,3,1,1,6717972,7416209,1,245332,1,10,108,3,0,0
Tome of Twilight Nihilism,0,0,0,768,0,0,3,1,1,6717974,7416215,1,239179,1,10,109,2,0,0
"""Edge of Val'sharah"" Painting",0,0,0,769,0,0,130,1,1,6718228,7416217,1,245331,1,10,110,0,0,0
Stormwind Produce Seller's Stand,0,0,0,770,0,0,3,1,1,6324621,7416221,5,245367,1,0,111,1,0,0
Small Poppy Cluster,0,0,0,771,0,0,3,1,1,6242990,7416225,1,245329,1,0,112,1,0,0
Creeping Corner Ivy,0,0,0,772,0,0,3,1,1,6717275,7416229,3,245327,1,0,113,1,0,0
Small Boxwood Bush,0,0,0,773,0,0,3,1,1,6254055,7416233,3,245328,1,0,114,1,0,0
Cozy Four-Pipe Bed,0,0,0,825,0,0,3,1,1,5793099,7416237,5,245306,1,10,115,2,0,0
[DNT] Relaxing Goblin Beach Chair with Cup Gripper - DO NOT USE - new asset,0,0,0,826,0,554706,192,1,1,5793100,7416241,3,245304,1,0,116,0,0,0
Rocket-Unpowered Rocket,0,0,0,827,0,0,3,1,1,5900860,7416245,3,245303,1,10,117,2,0,0
Well-Lit Incontinental Loveseat,0,0,0,828,0,563487,3,1,1,5929345,7467860,3,239213,1,10,118,2,0,0
Well-Lit Incontinental Couch,0,0,0,829,0,565737,3,1,1,5929346,7427579,3,239214,1,10,119,2,0,0
Lordaeron Banded Crate,0,0,0,837,0,0,3,1,1,2341251,7416257,1,245467,1,10,120,2,0,0
Lordaeron Banded Barrel,0,0,0,838,0,0,3,1,1,2341255,7416261,1,245463,1,10,121,2,0,0
Inert Blight Canister,0,0,0,839,0,0,3,1,1,2351845,7416265,1,245464,1,10,122,2,0,0
Banshee Queen's Banner,0,0,0,840,0,0,2,2,1,2530077,7416269,5,245462,1,10,123,2,0,0
Brill Coffin,0,0,0,854,0,0,3,1,1,189415,7416273,3,245502,1,10,124,2,0,0
Gilnean Cauldron,0,0,0,855,0,566043,35,1,1,304249,7416277,1,245517,1,10,125,2,0,0
[DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available,0,0,0,856,0,0,192,1,1,304637,7416283,1,245519,1,0,126,0,0,0
Gilnean Celebration Keg,0,0,0,857,0,0,3,1,1,304638,7416285,1,245520,1,10,127,3,0,0
Worgen's Chicken Coop,0,0,0,858,0,0,3,1,1,305584,7416289,3,245518,1,10,128,2,0,0
Gilnean Bench,0,0,0,859,0,618818,3,1,1,7508748,7416293,3,245516,1,10,129,2,0,0
Gilnean Wooden Bed,0,0,0,860,0,0,3,1,1,322817,7416297,3,245515,1,10,130,2,0,0
Open Lordaeron Banded Crate,0,0,0,861,0,0,131,1,1,2341253,7416301,1,245468,1,10,131,0,0,0
Forsaken Studded Table,0,0,0,862,0,0,3,1,1,2341256,7416307,5,245473,1,10,132,2,0,0
Tirisfal Wooden Chair,0,0,0,863,0,554703,3,1,1,2341259,7416309,1,245465,1,10,133,2,0,0
Forsaken Spiked Chair,0,0,0,864,0,554704,3,1,1,2341260,7416315,3,245466,1,10,134,2,0,0
Forsaken Round Rug,0,0,0,865,0,0,3,4,1,2620663,7416317,3,239606,1,10,135,2,0,0
Studious Sin'dorei Desk,0,0,0,866,0,0,131,1,1,6727994,7416321,3,245397,1,10,136,0,0,0
Brill Coffin Lid,0,0,0,922,0,0,3,1,1,189416,7416325,3,245503,1,10,137,2,0,0
Lordaeron Fence,0,0,0,923,0,0,3,1,1,397900,7416329,1,245504,1,10,138,2,0,0
Lordaeron Fencepost,0,0,0,924,0,0,3,1,1,397901,7416333,1,245505,1,10,139,2,0,0
Elodor Barrel,0,0,0,925,0,0,3,1,1,875378,7416337,1,241043,1,10,140,2,0,0
Argussian Crate,0,0,0,926,0,0,3,1,1,877007,7416343,1,241044,1,10,141,2,0,0
Spherical Draenic Topiary,0,0,0,927,0,0,3,1,1,904942,7416345,3,245423,1,10,142,2,0,0
Hanging Draenethyst Light,0,0,0,928,0,0,2,3,1,917996,7416349,1,245425,1,10,143,2,0,0
Karabor Bed,0,0,0,929,0,0,3,1,1,979920,7416353,5,245421,1,10,144,2,0,0
Draenic Bookcase,0,0,0,930,0,0,3,1,1,979926,7416359,3,245422,1,10,145,2,0,0
Draenic Storage Chest,0,0,0,931,0,563600,3,1,1,1062118,7416361,3,245424,1,10,146,2,0,0
Forsaken War Planning Table,0,0,0,932,0,0,2,1,1,2341258,7416365,5,245474,1,10,147,3,0,0
Lordaeron Spiked Weapon Rack,0,0,0,933,0,0,3,1,1,2351848,7416369,3,245483,1,10,148,2,0,0
Lordaeron Lantern,0,0,0,934,0,0,2,1,1,2353882,7416373,1,245469,1,10,149,2,0,0
Forsaken Long Table,0,0,0,935,0,0,3,1,1,2445708,7416377,5,245475,1,10,150,2,0,0
Lordaeron Hanging Lantern,0,0,0,936,0,0,2,1,1,2470997,7416381,1,245470,1,10,151,2,0,0
Large Forsaken War Tent,0,0,0,937,0,0,3,1,1,2481224,7416385,5,245476,1,10,152,3,0,0
Small Forsaken War Tent,0,0,0,938,0,0,3,1,1,2481225,7416389,5,245477,1,10,153,3,0,0
Blightfire Lantern,0,0,0,939,0,0,2,1,1,2493893,7416393,1,245471,1,10,154,2,0,0
Blightfire Hanging Lantern,0,0,0,940,0,0,2,2,1,2493894,7416397,1,245472,1,10,155,2,0,0
Lordaeron Sconce,0,0,0,941,0,0,2,2,1,2503603,7416401,1,245478,1,10,156,2,0,0
Blightfire Sconce,0,0,0,942,0,0,2,2,1,2510482,7416405,1,245479,1,10,157,2,0,0
Undercity Spiked Chest,0,0,0,943,0,0,3,1,1,2579334,7416409,3,245482,1,10,158,2,0,0
Lordaeron Rectangular Rug,0,0,0,944,0,0,3,4,1,2620664,7416415,3,241062,1,10,159,2,0,0
Lordaeron Torch,0,0,0,945,0,0,2,1,1,2622608,7416419,3,245480,1,10,160,2,0,0
Blightfire Torch,0,0,0,946,0,0,2,1,1,2622609,7416421,3,245481,1,10,161,2,0,0
Dark Ship's Lantern,0,0,0,947,0,0,2,1,1,6431407,7416425,1,245411,1,10,162,3,0,0
Forsaken Spiked Brazier,0,0,0,948,0,0,2,1,1,6431408,7416429,3,241066,1,10,163,2,0,0
Large Forsaken Spiked Brazier,0,0,0,949,0,0,2,1,1,6431409,7416433,3,241067,1,10,164,2,0,0
Elegant Padded Chair,0,0,0,984,0,570990,3,1,1,6435017,7416437,3,241617,1,0,828,1,0,0
Elegant Padded Footstool,0,0,0,985,0,567418,3,1,1,6435018,7416441,1,241618,1,0,844,1,0,0
Elegant Covered Bench,0,0,0,986,0,614755,3,1,1,6435019,7467868,3,253437,1,0,829,1,0,0
Elegant Wooden Dresser,0,0,0,987,0,0,3,1,1,6435025,7416445,3,241620,1,0,940,1,0,0
Small Elegant End Table,0,0,0,988,0,0,3,1,1,6435026,7416449,3,241621,1,0,845,1,0,0
Ornate Weapon Rack,0,0,0,989,0,0,3,1,1,6435030,7416453,3,241622,1,0,830,1,0,0
Elegant Carved Bench,0,0,0,991,0,614756,3,1,1,6711382,7467869,3,253439,1,0,831,1,0,0
Open Elven Wood Crate,0,0,0,992,0,0,131,1,1,6712072,7416461,1,241625,1,0,846,1,0,0
Grand Elven Bookcase,0,0,0,994,0,0,3,1,1,6783465,7447729,5,253441,1,0,934,1,0,0
Stormwind Hall Rug,0,0,0,1044,0,0,3,4,1,6390440,7416469,3,242255,1,0,165,1,0,0
Secretive Bookcase Wall,0,0,0,1083,0,535963,3,1,1,6840500,7416481,5,245370,1,0,166,1,0,0
Dark Iron Expedition Tent,0,0,0,1118,0,0,3,1,1,1019061,7416477,5,245427,1,10,167,2,0,0
Loch Modan Bearskin Rug,0,0,0,1119,0,0,3,4,1,4871092,7416487,5,242948,1,10,168,2,0,0
Replica Dark Iron Mole Machine,0,0,0,1120,0,0,3,1,1,4993909,7416493,5,245291,1,10,169,3,0,0
Gallagio L.U.C.K. Spinner,0,0,0,1121,0,0,3,1,1,5933736,7416497,5,245302,1,10,170,3,0,0
Sturdy Wooden Bench,0,0,0,1122,0,554708,3,1,1,6390429,7416501,3,242951,1,0,171,1,0,0
Wicker Basket,0,0,0,1123,0,0,3,1,1,6390444,7416507,1,245334,1,0,172,1,0,0
Small Elegant Padded Chair,0,0,0,1153,0,612070,3,1,1,6435016,7416579,1,253479,1,0,832,1,2,0
Standing Ornate Weapon Rack,0,0,0,1155,0,0,3,1,1,6435831,7416585,3,243088,1,0,933,1,0,0
"Small Mask of Bwonsamdi, Loa of Graves",0,0,0,1161,0,0,2,1,1,1929218,7416609,1,245496,1,10,173,2,0,0
Elegant Elven Desk,0,0,0,1162,0,0,3,1,1,6435024,7416619,3,253490,1,0,917,1,0,0
Carved Elven Bookcase,0,0,0,1163,0,0,3,1,1,6435028,7416615,3,253493,1,0,918,1,0,0
Grand Elven Bench,0,0,0,1165,0,612071,3,1,1,6435835,7416625,3,253495,1,0,936,1,0,0
Red Dazar'alor Rug,0,0,0,1168,0,0,3,4,1,1590845,7416635,3,243101,1,10,174,2,0,0
Square Pandaren Table,0,0,0,1169,0,0,3,1,1,538547,7416631,1,245513,1,10,175,2,0,0
Zandalari Rickshaw,0,0,0,1170,0,0,3,1,1,1590851,7416643,3,245488,1,10,176,2,0,0
[DNT] Zandalari Wall Shelf - DO NOT USE,0,90,0,1171,0,0,192,1,1,2103086,7416639,1,243104,1,0,177,0,0,0
Pandaren Cradle Stool,0,0,0,1172,0,563482,3,1,1,555960,7416645,1,245512,1,10,178,2,0,0
Gemmed Eversong Lantern,0,0,0,1173,0,0,130,1,1,4381789,7416649,1,243106,1,10,179,0,0,0
Bookcase of Gonk,0,0,0,1175,0,0,3,1,1,1597477,7416653,3,245487,1,10,180,2,0,0
Circular Silvermoon Table,0,0,0,1176,0,0,131,1,1,4235679,7416663,3,245289,1,10,181,0,0,0
Blood Elven Candelabra,0,0,0,1177,0,0,2,1,1,4239021,7416659,3,245283,1,10,182,2,0,0
Dazar'alor Market Tent,0,0,0,1178,0,0,3,1,1,1590834,7416665,5,245495,1,10,183,2,0,0
Bwonsamdi's Golden Gong,0,0,0,1179,0,0,3,1,1,1661034,7416669,5,245491,1,10,184,2,0,0
Blue Dazar'alor Rug,0,0,0,1180,0,0,3,4,1,1590846,7416683,3,243113,1,10,185,2,0,0
Rectangular Sin'dorei Rug,0,0,0,1181,0,0,3,4,1,4239026,7416675,5,245286,1,10,186,2,0,0
"Grand Mask of Bwonsamdi, Loa of Graves",0,0,0,1183,0,0,2,1,1,668138,7416677,5,245522,1,10,187,3,0,0
"Idol of Pa'ku, Master of Winds",0,0,0,1185,0,0,3,1,1,1922339,7416679,1,245494,1,10,188,2,0,0
Pandaren Wooden Table,0,0,0,1187,0,0,3,1,1,538827,7416681,3,245514,1,10,189,2,0,0
Golden Loa's Altar,0,0,0,1188,0,0,3,1,1,2432865,7416697,5,245497,1,10,190,2,0,0
Stone Zandalari Lamp,0,0,0,1189,0,0,2,1,1,792633,7416705,1,245521,1,10,191,2,0,0
Sin'dorei Display Case,0,0,0,1190,0,0,131,1,1,4239014,7416701,3,245281,1,10,192,0,0,0
Dazar'alor Forge,0,0,0,1191,0,0,2,1,1,1696757,7416699,5,245490,1,10,193,2,0,0
Zuldazar Stool,0,0,0,1192,0,554702,3,1,1,1597479,7416709,1,245489,1,10,194,2,0,0
Tired Troll's Bench,0,0,0,1193,0,563484,3,1,1,1597478,7416711,3,245486,1,10,195,2,0,0
Pandaren Stone Wall,0,0,0,1194,0,0,3,1,1,518523,7416719,1,245509,1,10,196,2,0,0
Silvermoon Library Bookcase,0,0,0,1195,0,0,131,1,1,4478904,7416721,3,245282,1,10,197,0,0,0
"Idol of Rezan, Loa of Kings",0,0,0,1196,0,0,3,1,1,1888157,7416727,1,245493,1,10,198,2,0,0
Zandalari Weapon Rack,0,0,0,1197,0,0,3,1,1,1597757,7416731,3,243130,1,10,199,2,0,0
Long Silvermoon Table,0,0,0,1198,0,0,131,1,1,4235680,7416735,3,245290,1,10,200,0,0,0
Zandalari Sconce,0,0,0,1199,0,0,2,2,1,6653374,7416737,3,245413,1,10,201,2,0,0
Zandalari Skullfire Lamp,0,0,0,1200,0,0,2,1,1,6653375,7416741,3,245414,1,10,202,2,0,0
Pandaren Cooking Table,0,0,0,1201,0,566046,35,1,1,528075,7416745,5,245508,1,10,203,2,0,0
Golden Zandalari Bed,0,0,0,1205,0,0,3,1,1,2098556,7416761,5,245485,1,10,204,3,0,0
Dark Iron Brazier,0,0,0,1216,0,0,2,1,1,1018949,7416771,1,245426,1,10,205,2,0,0
Gilded Zandalari Table,0,0,0,1217,0,0,3,1,1,1597475,7416757,3,245499,1,10,206,2,0,0
Red Dazar'alor Tent,0,0,0,1218,0,0,3,1,1,1629654,7416763,5,245500,1,10,207,2,0,0
Suramar Dresser,0,0,0,1219,0,0,3,1,1,6749303,7416767,3,245396,1,10,208,2,0,0
Stonebull Canoe,0,0,0,1231,0,0,3,1,1,1255423,7416823,5,245452,1,10,209,2,0,0
Thunder Totem Brazier,0,0,0,1232,0,0,2,1,1,1313217,7416819,5,245451,1,10,210,2,0,0
Whitewash River Basket,0,0,0,1235,0,0,3,1,1,1322950,7416825,1,245453,1,10,211,2,0,0
Enchanted Blood Elven Candelabra,0,0,0,1236,0,0,130,1,1,6431404,7416827,1,245330,1,10,212,0,0,0
Zandalari Ritual Drum,0,0,0,1241,0,0,3,1,1,6653373,7416833,5,245412,1,10,213,2,0,0
Tauren Leather Fence,0,0,0,1242,0,0,3,1,1,6711672,7416837,1,245406,1,10,214,2,0,0
Tauren Fencepost,0,0,0,1243,0,0,3,1,1,6711673,7416841,1,245407,1,10,215,2,0,0
Empty Wicker Basket,0,0,0,1244,0,0,3,1,1,6712067,7416845,1,245335,1,0,216,1,0,0
Circular Elven Floor Rug,0,0,0,1245,0,0,3,4,1,6435032,7416849,3,243242,1,0,866,1,0,0
Rectangular Elven Floor Rug,0,0,0,1246,0,0,3,4,1,6435033,7416855,5,243243,1,0,801,1,1,0
Large Highmountain Drum,0,0,0,1251,0,0,3,1,1,6711671,7416861,3,245405,1,10,217,2,0,0
Tauren Waterwheel,0,0,0,1252,0,0,3,1,1,6872427,7416865,5,243290,0.3,10,218,3,0,0
Undermine Round Table,0,0,0,1257,0,0,3,1,1,5689813,7416869,1,245314,1,10,219,2,0,0
Undermine Rectangular Table,0,0,0,1258,0,0,3,1,1,5689815,7416875,3,243312,1,10,220,2,0,0
Spring-Powered Undermine Chair,0,0,0,1259,0,541710,3,1,1,5689816,7416879,1,245313,1,10,221,2,0,0
