ID,SalvagedItemID,ItemSalvageID,ResultingTreasureID
188,22786,21,24892
189,22785,21,24892
190,13467,22,24891
191,13466,22,24891
192,13465,22,24891
193,13464,22,24891
194,13463,22,24891
195,8846,22,24890
196,8845,22,24890
197,8839,22,24890
198,8838,22,24890
200,8831,22,24890
201,4625,22,24890
202,3821,22,24889
203,3820,22,24887
204,3819,22,24889
205,3818,22,24889
206,3369,22,24888
207,3358,22,24889
208,3357,22,24888
209,3356,22,24888
210,3355,22,24888
211,2453,22,24887
212,2452,22,24887
213,2450,22,24887
214,2449,22,24341
215,2447,22,24341
216,785,22,24887
217,765,22,24341
218,168185,5,96612
220,152579,5,88160
221,152513,5,88162
222,152512,5,88159
223,151564,6,74988
224,123919,6,62787
225,123918,6,62777
226,72103,8,40263
227,72094,8,40263
228,72093,8,40262
229,72092,8,40261
230,53038,9,36407
231,52185,9,36408
232,52183,9,36409
233,36912,10,25388
234,36910,10,27294
235,36909,10,25385
236,23425,11,18690
237,23424,11,18687
238,10620,12,18680
239,3858,12,18677
240,2772,12,18669
241,2771,12,18666
242,2770,12,18665
243,193216,23,112253
244,193217,24,112254
245,193222,23,112255
246,193223,24,112256
247,193208,25,112257
248,193210,26,112258
249,193213,27,112259
250,193214,28,112260
251,198651,35,112465
252,194785,36,113060
253,194786,36,113062
254,194787,36,113062
255,194788,36,113062
256,194789,36,113062
257,194790,36,113062
258,194792,36,113062
259,194799,36,113062
260,194793,37,113067
261,194794,37,113064
262,194795,37,113064
263,194796,37,113064
264,194797,37,113064
265,194798,37,113064
266,194791,37,113064
267,194800,37,113064
268,194801,38,113069
269,194802,38,113065
270,194803,38,113065
271,194804,38,113065
272,194805,38,113065
273,194806,38,113065
274,194807,38,113065
275,194808,38,113065
276,194809,39,113068
277,194810,39,113066
278,194811,39,113066
279,194812,39,113066
280,194813,39,113066
281,194814,39,113066
282,194815,39,113066
283,194816,39,113066
284,192852,46,113077
285,192853,46,113077
286,192855,46,113077
287,192856,46,113077
288,192857,46,113077
289,192858,46,113077
290,192859,46,113077
291,192860,46,113077
292,192861,46,113077
293,192862,46,113077
294,192863,46,113077
295,192865,46,113077
296,192866,46,113077
297,192867,46,113077
298,192868,46,113077
301,191460,40,113689
302,191461,41,113690
303,191464,40,113692
304,191465,41,113691
305,191467,40,113693
306,191468,41,113694
307,191470,40,113695
308,191471,41,113696
312,200113,44,113717
313,194124,44,113718
314,190327,45,113720
315,190316,45,113721
316,190321,45,113722
317,190329,45,113723
318,190324,45,113724
321,200061,13,113925
324,192837,46,115149
325,192838,46,115149
326,192839,46,115149
327,192840,46,115149
328,192841,46,115149
329,192842,46,115149
330,192843,46,115149
331,192844,46,115149
332,192845,46,115149
333,192846,46,115149
334,192847,46,115149
335,192848,46,115149
336,192849,46,115149
337,192850,46,115149
338,192851,46,115149
340,194545,2,112133
341,199344,2,112127
349,192880,2,115688
350,109124,48,55045
351,109125,48,55044
352,109126,48,55046
353,109127,48,55049
354,109128,48,55047
355,109129,48,55050
357,197720,4,114773
358,197721,4,114773
359,197722,4,114773
370,204000,49,117249
371,204001,49,117249
372,204002,49,117249
373,204003,49,117249
374,204004,49,117249
375,204005,49,117249
376,204006,49,117249
377,204007,49,117249
378,204008,49,117249
379,204009,49,117249
380,204010,49,117249
381,204011,49,117249
382,204012,49,117249
383,204013,49,117249
384,204014,49,117249
385,204015,49,117249
386,204016,49,117249
387,204017,49,117249
388,204018,49,117249
389,204019,49,117249
390,204020,49,117249
391,204021,49,117249
392,204022,49,117249
393,204023,49,117249
394,204024,49,117249
395,204025,49,117249
396,204026,49,117249
397,204027,49,117249
398,204028,49,117249
399,204029,49,117249
400,204030,49,117249
402,52177,50,117387
403,52178,50,117387
404,52179,50,117387
405,52180,50,117387
406,52181,50,117387
407,52182,50,117387
408,52190,50,117388
409,52191,50,117388
410,52192,50,117388
411,52193,50,117388
412,52194,50,117388
413,52195,50,117388
414,71805,50,117389
415,71806,50,117389
416,71807,50,117389
417,71808,50,117389
418,71809,50,117389
419,71810,50,117389
453,206604,52,118649
454,206605,52,118650
455,206606,52,118651
456,206607,52,118652
457,206608,52,118653
458,206609,52,118654
459,206610,52,118655
460,206611,52,118656
467,2770,53,119392
468,2771,53,119392
469,2447,54,119392
470,765,54,119392
