ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
192,Boots of the Seasons of Plenty,256,13861
193,Helm of Bwonsamdi's Pact,2,13862
195,Bracers of Shadow Word: Manipulation,512,13863
197,Waist Wrap of Splintered Elements,64,13867
198,Chain Shirt of the Elemental Conduit,32,13869
199,Shard of Annihilation Leggings,128,13871
200,Footpads of Decaying Souls,256,13872
201,Headwrap of the Contained Perpetual Explosion,2,13873
202,Gloves of the Soulstalkers,1024,13874
203,Gauntlets of Master Munitions,512,13875
204,Necklace of Elder Antler Fragments,4,13876
205,Boots of Razor Fragments,256,13877
206,Vest of the Bountiful,32,13866
207,Grips of the Abomination,1024,13832
208,Chestplate of Rampant Transference,32,13833
209,Wrappings of the Fae Harmony,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,Footwraps of Raging Vesper,256,13884
219,Wristwraps of Sinister Teachings,512,13885
220,Band of Sinister Teachings,2048,13885
222,Mantle of the Spheres' Harmony,8,13887
223,Leggings of the Spheres' Harmony,128,13887
224,Ring of Pallid Command,2048,13888
225,Sandals of Pallid Command,256,13888
226,Chestplate of the Deadly Coil,32,13663
227,Legplates of Monstrosity,128,13665
228,Waistguard of Reanimation,64,13666
229,Vampiric Band,2048,13668
230,Shoulderguards of the Crimson Rune,8,13669
231,Armguards of Absolute Zero,512,13673
232,Warboots of the Unending Grasp,256,13675
233,Charm of the Molten Sky,4,13679
234,Shoulderpads of Deep-Freeze,8,13682
235,Wristwraps of Disciplinary Command,64,13684
236,Boots of Expanded Potential,256,13685
237,Embroidered Shoulderpads of Arcane Harmony,8,13691
238,Inscribed Mantle of Time,32,13692
239,Bind of the Mad Paragon,64,13694
240,Uther's Devotion,4,13695
242,Relentless Inquisitor's Scales,128,13709
243,Legguards of Reprisal,128,13713
244,Gauntlets of the Thunderlord,1024,13716
245,Armplates of the Unhinged,512,13720
246,Battlelord's Wristguard,512,13722
247,Great Helm of Seismic Reverberation,2,13723
248,Painbringer Waistguard,64,13742
249,Engraved Bracelet of Collective Anguish,512,13775
250,Half-Giant Shoulderguards,8,13776
251,Darkglare Waistband,64,13777
253,Spaulders of a Fallen Doomlord,8,13779
254,Chaos Theory Cord,64,13780
255,Erratic Fel Core,2048,13781
256,Fel Bombardier Pendant,4,13782
258,Defiler's Lost Vambraces,512,13784
259,Spiraling Fel Flame Lash,64,13785
260,Scorched Soul Shackles,512,13786
261,Toxic Poisoner's Waistwrap,64,13791
262,Zoldyck Family Training Leggings,128,13796
263,Duskwalker's Loop,2048,13797
264,Greenskin Waterlogged Waistband,64,13798
265,Guile Bracelet,512,13799
266,Celerity Mantle,8,13789
267,Bird Whistle Vambraces,512,13800
268,Finality,32,13801
269,Akaari's Twisted Vision,2,13802
270,Rotten Aftermath,128,13803
271,Deathly Shadow Wrap,64,13804
273,Ever Burning Shoulderguards,8,13810
274,Solemn Grasp of Collective Anguish,512,13775
275,Vesture of the Darkest Hour,128,13778
276,Fel Bombardier's Shoulderguards,8,13782
277,Everburn,0,13810
278,Emblazoned Medallion of the Darkness Flame,4,13783
280,Unending Cycle of Chaos,64,13780
282,Mantle of Dusk and Dawn,8,13697
283,Waistguard of Rampant Transference,64,13833
284,Legplates of Finality,128,13834
285,Legplates of the Insatiable Hunger,128,13835
286,Waistguard of the Abomination,64,13832
287,Waistguard of Glory,64,13836
288,Helm of the Sinful,2,13837
289,Cord of Sinful Indulgence,64,13839
290,Bindings of the Wrathful Swarm,512,13841
291,Talisman of Kindred Affinity,4,13844
292,Leggings of Celestial Spirits,128,13846
293,Bindings of the Locust Swarm,512,13841
294,Waistguard of Resounding Clarity,64,13851
295,Waistguard of Divine Resonance,64,13853
296,Pauldrons of the Duty-Bound Gavel,8,13854
297,Spaulders of Blazing Slaughter,8,13857
298,Bracers of Radiant Embers,512,13853
299,Leggings of the Seasons of Plenty,128,13861
300,Clasp of Bwonsamdi's Pact,64,13862
301,Bracers of Bwonsamdi's Pact,512,13863
302,Pauldrons of the Bountiful,8,13866
303,Amulet of Splintered Elements,4,13867
304,Wristwraps of Elemental Conductivity,512,13869
305,Belt of Shards of Annihilation,64,13871
306,Decaying Soul Satchel Handwraps,1024,13872
307,Shoulderguards of Perpetual Explosive Energy,8,13873
308,Waistband of Soulstalking,64,13874
309,Chain Hood of Munitions,2,13875
310,Legguards of Razor Wire,128,13877
312,Wristguards of the Abomination,512,13832
313,Waistguard of Rampant Trasnference,64,13833
314,Waistcord of Fae Harmony,64,13881
315,Boots of Test 1 Override,256,13882
316,Ring 1 Test 2 Override,0,13883
317,dfg,16777216,13588
318,Test,131072,13588
319,Sabatons of Elysian Might,256,13889
320,Greaves of Elysian Might,128,13889
321,Waistguard of Divine Resonance,64,13890
322,Chestplate of Divine Resonance,32,13890
323,Talisman of Deep-Freeze,4,13682
324,Incanter's Gloves,1024,13681
325,Doomlord Legguards,128,13809
326,Waistguard of the Crimson Rune,64,13669
327,Nessingwary's Pendant of Trapping,4,13744
328,Band of Soulforge Embers,2048,13745
329,Rylakstalker's Greaves,128,13750
330,Choker of Dusk and Dawn,4,13697
331,Blood-Fanged Band,2048,13792
332,Bloodstained Shroud,65536,13795
333,Deeptremor Signet,2048,13725
334,Wristwraps of Deep Elements,512,13726
335,Mantle of Demonic Synergy,8,13761
336,Sabatons of Seismic Reverberation,256,13723
337,Band of the Unhinged,2048,13720
338,Cloak of Finality,65536,13834
339,Pendant of the Sinful,4,13837
340,Ring of the Duty-Bound Gavel,2048,13854
341,Shroud of Blazing Slaughter,65536,13857
342,Grips of Bwondsamdi's Pact,1024,13862
343,Choker of the Bountiful,0,13866
344,Charm of Perpetual Explosion,4,13873
