ID,Geoset[0],Geoset[1],Geoset[2],Geoset[3],Geoset[4],RaceID,SexID,VariationID
243,3,0,0,-1,2,5,0,6
244,4,0,0,-1,2,5,0,7
245,2,0,0,-1,2,5,0,8
246,3,0,0,-1,2,5,0,9
247,2,0,0,-1,-1,5,0,10
248,3,0,0,-1,-1,5,0,11
249,2,0,0,-1,2,5,0,12
250,3,0,0,-1,2,5,0,13
251,2,0,0,-1,2,5,0,14
252,3,0,0,-1,2,5,0,15
253,4,0,0,-1,2,5,0,16
254,0,2,0,-1,-1,1,1,1
255,0,3,0,-1,-1,1,1,2
256,0,4,0,-1,-1,1,1,3
257,0,5,0,-1,-1,1,1,4
258,0,6,0,-1,-1,1,1,5
259,0,7,0,-1,-1,1,1,6
260,0,2,0,-1,-1,2,1,1
261,0,3,0,-1,-1,2,1,2
262,0,4,0,-1,-1,2,1,3
263,0,5,0,-1,-1,2,1,4
264,0,6,0,-1,-1,2,1,5
265,0,7,0,-1,-1,2,1,6
266,0,0,0,-1,-1,6,1,0
267,0,0,2,-1,-1,6,1,1
268,0,0,3,-1,-1,6,1,2
269,0,0,4,-1,-1,6,1,3
294,0,3,0,-1,-1,8,0,1
295,0,5,0,-1,-1,18,0,3
296,0,6,0,-1,-1,8,0,4
313,0,2,0,-1,-1,8,0,0
333,0,2,0,-1,-1,3,1,1
334,0,3,0,-1,-1,3,1,2
335,0,4,0,-1,-1,3,1,3
336,0,5,0,-1,-1,3,1,4
337,0,6,0,-1,-1,3,1,5
353,0,0,5,-1,-1,6,1,4
373,0,0,2,-1,-1,7,1,1
374,0,0,7,-1,-1,7,1,6
375,0,0,3,-1,-1,7,1,2
376,0,0,6,-1,-1,7,1,5
377,0,0,5,-1,-1,7,1,4
378,0,0,4,-1,-1,7,1,3
393,0,2,0,-1,-1,8,0,5
394,0,3,0,-1,-1,8,0,6
395,0,4,0,-1,-1,8,0,7
396,0,5,0,-1,-1,8,0,8
397,0,6,0,-1,-1,8,0,9
398,0,4,0,-1,-1,8,0,10
413,0,7,0,-1,-1,8,1,5
414,0,0,0,0,2,10,1,0
416,5,0,4,0,0,11,0,4
418,1,0,0,0,0,11,0,0
419,2,0,0,0,0,11,0,1
420,3,0,2,0,0,11,0,2
421,0,0,0,0,0,12,0,0
422,0,0,0,0,0,12,1,0
423,4,0,3,0,0,11,0,3
424,6,0,5,0,0,11,0,5
425,7,0,6,0,0,11,0,6
426,8,0,0,0,0,11,0,7
428,4,0,0,0,0,11,1,2
429,5,0,0,0,0,11,1,3
430,6,0,0,0,0,11,1,4
431,7,0,0,0,0,11,1,5
432,8,0,0,0,0,11,1,6
435,0,0,0,0,0,13,0,0
436,0,0,0,0,0,13,1,0
438,0,0,0,0,0,14,1,0
439,0,0,0,0,0,15,0,0
440,0,0,0,0,0,15,1,0
441,3,0,0,0,0,11,1,1
442,2,0,0,0,0,11,1,0
443,0,0,0,0,2,10,0,0
444,0,3,0,0,2,10,1,2
445,0,4,0,0,2,10,1,3
446,0,5,0,0,2,10,1,4
447,0,6,0,0,2,10,1,5
448,0,7,0,0,2,10,1,6
449,0,8,0,0,2,10,1,7
450,0,9,0,0,2,10,1,8
451,0,10,0,0,2,10,1,9
452,0,11,0,0,2,10,1,10
453,2,0,0,0,2,10,0,1
454,3,0,0,0,2,10,0,2
455,4,0,0,0,2,10,0,3
456,5,0,0,0,2,10,0,4
457,6,0,0,0,2,10,0,5
458,7,0,0,0,2,10,0,6
459,8,0,0,0,2,10,0,7
460,9,0,0,0,2,10,0,8
461,10,0,0,0,2,10,0,9
462,0,2,0,0,2,10,1,1
463,0,0,0,0,0,16,0,0
464,0,0,0,0,0,16,1,0
465,8,0,0,0,0,17,0,6
466,0,0,0,0,0,17,1,0
471,2,0,0,0,0,16,0,1
472,3,0,0,0,0,16,0,2
473,4,0,0,0,0,16,0,3
474,5,0,0,0,0,16,0,4
475,6,0,0,0,0,16,0,5
477,0,0,0,-858993460,-858993460,18,1,0
478,0,2,0,0,0,18,0,0
479,0,4,0,0,0,18,0,10
480,0,3,0,0,0,18,0,1
481,0,4,0,0,0,18,0,2
482,0,5,0,0,0,8,0,3
483,0,6,0,0,0,18,0,4
484,0,2,0,0,0,18,0,5
485,0,3,0,0,0,18,0,6
486,0,4,0,0,0,18,0,7
487,0,5,0,0,0,18,0,8
488,0,6,0,0,0,18,0,9
489,3,0,0,0,0,17,0,1
490,4,0,0,0,0,17,0,2
491,2,0,0,0,0,17,0,0
492,6,0,0,0,0,17,0,4
493,5,0,0,0,0,17,0,3
494,7,0,0,0,0,17,0,5
497,0,0,0,0,0,19,1,0
499,2,0,0,0,0,19,0,0
500,3,0,0,0,0,19,0,1
501,4,0,0,0,0,19,0,2
502,1,0,0,0,0,20,0,1
503,0,0,0,0,0,20,1,0
504,0,2,0,0,0,21,0,0
505,0,0,0,0,0,21,1,0
506,0,3,0,0,0,21,0,1
507,0,4,0,0,0,21,0,2
508,0,5,0,0,0,21,0,3
509,0,6,0,0,0,21,0,4
510,2,0,0,0,0,20,0,2
511,3,0,0,0,0,20,0,3
512,4,0,0,0,0,20,0,4
513,0,0,0,0,0,20,0,0
