ID,PathID,Sequence,PropertyIndex,Value
6815,3050,7,6,0
6816,3050,8,3,0
6817,3050,8,6,0
6819,3045,7,6,0
6826,3051,1,3,0
6827,3051,1,6,0
6828,3051,2,3,0
6829,3051,2,6,0
6830,3051,3,3,0
6831,3051,3,6,0
6832,3051,4,3,0
6833,3051,4,6,0
6834,3051,5,3,0
6835,3051,5,6,0
6836,3051,6,3,0
6837,3051,6,6,0
6838,3051,7,3,0
6839,3051,7,6,0
6840,3051,8,3,0
6841,3051,8,6,0
6842,3052,1,3,0
6843,3052,1,6,0
6844,3052,2,3,0
6845,3052,2,6,0
6846,3052,3,3,0
6847,3052,3,6,0
6848,3052,4,3,0
6849,3052,4,6,0
6850,3052,5,3,0
6851,3052,5,6,0
6852,3052,6,3,0
6853,3052,6,6,0
6854,3052,7,3,0
6855,3052,7,6,0
6856,3052,8,3,0
6857,3052,8,6,0
6904,3058,1,3,0
6905,3058,1,6,0
6906,3058,2,3,0
6907,3058,2,6,0
6908,3058,3,3,0
6909,3058,3,6,0
6910,3058,4,3,0
6911,3058,4,6,0
6912,3058,5,3,0
6913,3058,5,6,0
6914,3058,6,3,0
6915,3058,6,6,0
6916,3058,7,3,0
6917,3058,7,6,0
6918,3058,8,3,0
6919,3058,8,6,0
6920,3059,1,3,0
6921,3059,1,6,0
6922,3059,2,3,0
6923,3059,2,6,0
6924,3059,3,3,0
6925,3059,3,6,0
6926,3059,4,3,0
6927,3059,4,6,0
6928,3059,5,3,0
6929,3059,5,6,0
6930,3059,6,3,0
6931,3059,6,6,0
6932,3059,7,3,0
6933,3059,7,6,0
6934,3059,8,3,0
6935,3059,8,6,0
6936,3060,1,3,0
6937,3060,1,6,0
6938,3060,2,3,0
6939,3060,2,6,0
6940,3060,3,3,0
6941,3060,3,6,0
6942,3060,4,3,0
6943,3060,4,6,0
6944,3060,5,3,0
6945,3060,5,6,0
6946,3060,6,3,0
6947,3060,6,6,0
6948,3060,7,3,0
6949,3060,7,6,0
6950,3060,8,3,0
6951,3060,8,6,0
6952,3061,1,3,0
6953,3061,1,6,0
6954,3061,2,3,0
6955,3061,2,6,0
6956,3061,3,3,0
6957,3061,3,6,0
6958,3061,4,3,0
6959,3061,4,6,0
6960,3061,5,3,0
6961,3061,5,6,0
6962,3061,6,3,0
6963,3061,6,6,0
6964,3061,7,3,0
6965,3061,7,6,0
6966,3061,8,3,0
6967,3061,8,6,0
6968,3062,1,3,0
6969,3062,1,6,0
6970,3062,2,3,0
6971,3062,2,6,0
6972,3062,3,3,0
6973,3062,3,6,0
6974,3062,4,3,0
6975,3062,4,6,0
6976,3062,5,3,0
6977,3062,5,6,0
6978,3062,6,3,0
6979,3062,6,6,0
6980,3062,7,3,0
6981,3062,7,6,0
6982,3062,8,3,0
6983,3062,8,6,0
7187,3094,1,5,50000
7189,3094,2,5,30000
7193,3094,3,5,30000
7207,3094,4,5,30000
7256,3159,1,3,0
7257,3159,1,6,0
7258,3159,2,3,0
7259,3159,2,6,0
7260,3159,3,3,0
7261,3159,3,6,0
7262,3159,4,3,0
7263,3159,4,6,0
7264,3159,5,3,0
7265,3159,5,6,0
7266,3159,6,3,0
7267,3159,6,6,0
7337,3181,1,3,0
7338,3181,1,6,0
7339,3181,2,3,0
7340,3181,2,6,0
7341,3181,3,3,0
7342,3181,3,6,0
7343,3181,4,3,0
7344,3181,4,6,0
7345,3181,5,3,0
7346,3181,5,6,0
7347,3181,6,3,0
7348,3181,6,6,0
7349,3182,1,3,0
7350,3182,1,6,0
7351,3182,2,3,0
7352,3182,2,6,0
7353,3182,3,3,0
7354,3182,3,6,0
7355,3182,4,3,0
7356,3182,4,6,0
7357,3182,5,3,0
7358,3182,5,6,0
7359,3182,6,3,0
7360,3182,6,6,0
7619,3227,1,6,3000
8756,3045,1,3,1
8757,3045,2,3,3
8760,3045,5,3,1
8761,3045,6,3,2
8762,3045,7,3,1
8923,4044,1,3,1000
8924,4044,2,3,2000
8925,4044,3,3,10000
8926,4044,4,3,15000
8927,4044,5,3,5000
8928,4044,6,3,1000
8929,4044,7,3,200
8930,4045,2,3,2000
8931,4045,3,3,3000
8932,4045,4,3,4000
8933,4045,5,3,5000
8934,4045,6,3,5500
8935,4045,7,3,7000
10797,4807,1,8,32919
10800,4807,2,8,32923
10801,4807,3,8,32925
10802,4807,4,8,32927
10804,4807,5,8,32931
10826,4827,1,8,33026
10827,4827,2,8,33028
14196,5768,1,8,41029
14197,5768,2,8,41031
15845,6516,2,8,47203
15847,6526,1,8,47248
15848,6526,2,8,47272
15882,6533,1,8,47248
15883,6533,2,8,47272
15893,6534,1,8,47295
15894,6534,2,8,47297
15897,6540,1,8,47295
15898,6540,2,8,47297
15912,6552,1,8,47358
15913,6553,1,8,47358
15914,6554,1,8,47362
15916,6555,1,8,47362
15920,6555,2,8,47370
15934,6564,1,8,47362
15935,6564,2,8,47413
15936,6566,1,8,47362
15937,6566,2,8,47413
15966,6516,3,8,47671
16009,6650,1,8,47976
16010,6650,2,8,47978
16011,6650,3,8,47980
16012,6650,4,8,47982
16013,6650,5,8,47984
16014,6650,6,8,47986
16015,6650,7,8,47988
16016,6650,8,8,47990
16017,6650,9,8,47992
16018,6650,10,8,47994
16019,6650,11,8,47996
16020,6650,12,8,47998
16021,6652,1,8,47976
16022,6652,2,8,47978
16023,6652,3,8,47980
16024,6652,4,8,47982
16025,6652,5,8,47984
16026,6652,6,8,47986
16027,6652,7,8,47988
16028,6652,8,8,47990
16029,6652,9,8,47992
16030,6652,10,8,47994
16031,6652,11,8,47996
16032,6652,12,8,47998
16033,6667,1,8,48108
16034,6669,1,8,48111
16060,6696,1,8,48375
16062,6699,1,8,48375
16096,6796,1,8,49002
16097,6796,2,8,49004
16098,6796,3,8,49008
16100,6796,4,8,49010
16108,6802,1,8,49030
16109,6802,2,8,49032
16110,6802,3,8,49034
16111,6859,1,8,49181
16112,6859,2,8,49183
16113,6863,1,8,49195
16114,6870,1,8,49209
16115,6870,2,8,49211
16116,6870,3,8,49213
16185,6888,1,8,49209
16186,6888,2,8,49211
16188,6889,1,8,49209
16189,6889,2,8,49211
16252,6863,2,8,49449
