Name_lang,ID,Flags,PlayerConditionID,ReagentType,ReagentSource,Field_11_2_0_61476_006,Field_12_0_0_63534_007
Handful of Serevite Bolts (DNT),194,0,0,1,0,0,0
Shock-Spring Coil (DNT),195,0,0,1,0,0,0
Everburning Blasting Powder (DNT),196,0,0,1,0,0,0
Greased-Up Gears (DNT),197,0,0,1,0,0,0
Arclight Capacitor (DNT),198,0,0,1,0,0,0
Reinforced Machine Chassis (DNT),199,0,0,1,0,0,0
Assorted Safety Fuses (DNT),200,0,0,1,0,0,0
Primal Deconstruction Charge (DNT),201,0,0,1,0,0,0
Darkmoon Sigil,202,2,0,0,0,0,0
Refreshing Healing Potion (DNT),203,0,0,1,0,0,0
Aerated Mana Potion (DNT),204,0,0,1,0,0,0
Potion of Gusts (DNT),205,0,0,1,0,0,0
Creature Combustion Canister (DNT),206,0,0,1,0,0,0
Draconium Gun Shoes (DNT),207,0,0,1,0,0,0
Gravitational Displacer (DNT),208,0,0,1,0,0,0
Blazing Ink (DNT),209,0,0,1,0,0,0
Cosmic Ink (DNT),210,0,0,1,0,0,0
Flourishing Ink (DNT),211,0,0,1,0,0,0
Burnished Ink (DNT),212,0,0,1,0,0,0
Serene Ink (DNT),213,0,0,1,0,0,0
Serene Pigment (DNT),214,0,0,1,0,0,0
Flourishing Pigment (DNT),215,0,0,1,0,0,0
Blazing Pigment (DNT),216,0,0,1,0,0,0
Shimmering Pigment (DNT),217,0,0,1,0,0,0
Chilled Rune (DNT),218,0,0,1,0,0,0
Runed Writhebark (DNT),219,0,0,1,0,0,0
Potion of the Hushed Zephyr (DNT),220,0,0,1,0,0,0
Blotting Sand,221,2,0,2,2,0,0
Customize Crafting Stat,222,0,0,0,0,0,0
Safety Components,223,2,0,0,0,0,0
Amplify Secondary Stat,224,2,0,0,0,0,0
Amplify Secondary Stat,225,0,0,0,0,0,0
Add Embellishment,226,2,0,0,1,0,0
Customize Secondary Stats,227,0,0,0,0,0,0
Spare Parts,230,2,0,2,2,0,0
Customize Gathering Stat,231,0,0,0,0,0,0
Customize Crafting Stat,232,0,0,0,0,0,0
Add Embellishment,233,2,0,0,1,0,0
Polishing Cloth,234,0,0,2,2,0,0
Lesser Illustrious Insight,235,0,0,2,2,0,0
Steelforged Essence,236,0,0,0,0,0,0
Truesteel Essence,237,0,0,0,0,0,0
Linkgrease Locksprocket,238,0,0,0,0,0,0
True Iron Trigger,239,0,0,0,0,0,0
Burnished Essence,240,0,0,0,0,0,0
Hexweave Essence,241,0,0,0,0,0,0
Weapon Crystal,242,0,0,0,0,0,0
Customize Secondary Stat,243,2,0,0,0,0,0
Grant PvP Item Level,244,0,0,0,1,0,0
Grant PvP Item Level,245,0,0,0,1,0,0
Grant PvP Item Level,246,0,0,0,1,0,0
Spark,247,4,0,0,1,0,0
Shadowed Alloy (DNT),248,0,0,1,0,0,0
Blotting Sand,249,0,0,2,2,0,0
Wildercloth Bandage (DNT),250,0,0,1,0,0,0
Socket,251,0,0,3,3,0,0
Socket,252,0,0,3,3,0,0
Potion of Withering Vitality (DNT),253,0,0,1,0,0,0
Competitor's Heraldry,255,4,0,0,1,0,0
Spark,256,4,0,0,1,0,0
Mycobloom,257,0,0,1,0,0,0
Luredrop,258,0,0,1,0,0,0
Orbinid,259,0,0,1,0,0,0
Blessing Blossom,260,0,0,1,0,0,0
Arathor's Spear,261,0,0,1,0,0,0
Bismuth,262,0,0,1,0,0,0
Aqirite,263,0,0,1,0,0,0
Ironclaw Ore,264,0,0,1,0,0,0
Gilded Vial,267,0,0,1,0,0,0
Harmonious Horticulture,268,0,0,1,0,0,0
Stormcharged Leather,269,0,0,1,0,0,0
Gloom Chitin,270,0,0,1,0,0,0
Thunderous Hide,271,0,0,1,0,0,0
Sunless Carapace,272,0,0,1,0,0,0
Crushed Gemstones,275,0,0,1,0,0,0
Engraved Gemcutter,276,0,0,1,0,0,0
Decorative Lens,277,0,0,1,0,0,0
Marbled Stone,278,0,0,1,0,0,0
Inverted Prism,279,0,0,1,0,0,0
Gemdust & Polishing Cloth,280,2,0,2,0,0,0
Add Embellishment,281,0,0,0,1,0,0
Amplify Secondary Stat,282,2,0,0,0,0,0
Customize Secondary Stats,283,2,0,0,0,0,0
Infuse with Power,284,2,0,0,1,0,0
Leather Armor,286,2,0,2,2,0,0
Mail Armor,287,2,0,2,2,0,0
Deadly Cypher,288,0,0,1,0,0,0
Quick Cypher,289,0,0,1,0,0,0
Masterful Cypher,290,0,0,1,0,0,0
Versatile Cypher,291,0,0,1,0,0,0
Carapace-Backed Hide,293,0,0,1,0,0,0
Crystalfused Hide,294,0,0,1,0,0,0
Writhing Hide,295,0,0,1,0,0,0
Sporecoated Hide,296,0,0,1,0,0,0
Leyfused Hide,297,0,0,1,0,0,0
Deepfury Hide,298,0,0,1,0,0,0
Storm-Touched Weapon Wrap,299,0,0,1,0,0,0
Chitin Armor Banding,300,0,0,1,0,0,0
Storm Dust,301,0,0,1,0,0,0
Gleaming Shard,302,0,0,1,0,0,0
Refulgent Crystal,303,0,0,1,0,0,0
Handful of Bismuth Bolts,304,0,0,1,0,0,0
Whimsical Wiring,305,0,0,1,0,0,0
Gyrating Gear,306,0,0,1,0,0,0
Safety Switch,307,0,0,1,0,0,0
Chaos Circuit,308,0,0,1,0,0,0
Entropy Enhancer,309,0,0,1,0,0,0
Select Safety Component,311,2,0,0,0,0,0
Add Embellishment,312,2,0,0,1,0,0
Core Alloy,313,0,0,1,0,0,0
Charged Alloy,314,0,0,1,0,0,0
Sanctified Alloy,315,0,0,1,0,0,0
Ironclaw Alloy,316,0,0,1,0,0,0
Forge Accessories,317,2,0,2,2,0,0
Secret Ingredient,318,0,0,2,2,0,0
Codified Greenwood,319,0,0,1,0,0,0
Boundless Cipher,320,0,0,1,0,0,0
Sable Ink,321,0,0,1,0,0,0
Luredrop Pigment,322,0,0,1,0,0,0
Apricate Ink,323,0,0,1,0,0,0
Apricate Pigment,324,0,0,1,0,0,0
Spool of Duskthread,327,0,0,1,0,0,0
Spool of Dawnthread,328,0,0,1,0,0,0
Spool of Weaverthread,329,0,0,1,0,0,0
Duskcloth Bolt,330,0,0,1,0,0,0
Dawncloth Bolt,331,0,0,1,0,0,0
Weavercloth Bolt,332,0,0,1,0,0,0
Embroidery Thread,333,2,0,2,2,0,0
Add Embellishment,334,2,0,0,1,0,0
Add Embellishment,340,2,0,0,1,0,0
Add Embellishment,341,0,0,0,1,0,0
Empower,342,0,0,0,1,0,0
Customize Gathering Stat,344,0,0,0,0,0,0
Customize Crafting Stat,345,0,0,0,0,0,0
Artisan's Authenticity,346,2,0,2,0,0,0
Spare Parts,347,2,0,2,0,0,0
Potion of the Reborn Cheetah,348,0,0,1,0,0,0
Algari Healing Potion,349,0,0,1,0,0,0
Cavedweller's Delight,350,0,0,1,0,0,0
Tempered Potion,351,0,0,1,0,0,0
Customize Crafting Stat,352,2,0,0,0,0,0
Customize Gathering Stat,353,2,0,0,0,0,0
Artisan's Authenticity,354,0,0,2,0,0,0
Orbinid Pigment,355,0,0,1,0,0,0
Blossom Pigment,356,0,0,1,0,0,0
Exquisite Weavercloth Bolt,357,0,0,1,0,0,0
Crafted Reagents,358,2,0,2,2,0,0
Drafting Supplies,359,2,0,2,2,0,0
Radiant Reagents,360,0,0,2,0,0,0
Mysterious Concoction,362,0,0,2,0,0,0
Socket,363,0,0,3,3,0,0
Socket,364,0,0,3,3,0,0
Customize Secondary Stats,365,0,0,0,0,0,0
Infuse with Power,366,0,0,0,1,0,0
Radiant Reagents,367,2,0,2,0,0,0
Empower,368,0,0,0,1,0,0
Forge Accessories,369,2,0,2,2,0,0
Embroidery Thread,370,2,0,2,2,0,0
Drafting Supplies,371,2,0,2,2,0,0
Radiant Reagents,372,0,0,2,0,0,0
Radiant Reagents,374,0,0,2,0,0,0
Embroidery Thread,375,2,0,2,2,0,0
Spare Parts,376,2,0,2,0,0,0
Embroidery Thread,377,2,0,2,2,0,0
Enchants and Equipment,378,0,0,2,2,0,0
Consumables and Reagents,379,0,0,2,2,0,0
Socket,380,0,0,3,3,0,0
Socket,381,0,0,3,3,0,0
Forge Accessories,382,0,0,2,2,0,0
Black Blood Residue,383,0,0,1,0,0,0
Augment Beyond,384,0,0,0,1,145038,0
Bright Linen,385,0,0,1,0,0,0
Refulgent Copper Ingot,386,0,0,1,0,0,0
Artisan's Authenticity,387,0,0,2,0,0,0
Artisan's Authenticity,388,2,0,2,0,0,0
Add Embellishment,389,2,0,0,1,0,0
Add Embellishment,390,2,0,0,1,0,0
Add Embellishment,391,2,0,0,0,0,0
Infuse with Power,392,2,0,0,1,0,0
Customize Secondary Stats,393,2,0,0,0,0,0
Customize Gathering Stat,394,2,0,0,0,0,0
Customize Crafting Stat,395,2,0,0,0,0,0
Artisan's Authenticity,396,2,0,2,0,0,0
Song Gear,397,0,0,1,0,0,0
Soul Sprocket,398,0,0,1,0,0,0
Aetherlume,399,0,0,1,0,0,0
Lumiflux,400,0,0,1,0,0,0
Spark,401,4,0,0,1,0,0
Dawn Crystal,402,0,0,1,0,0,0
Radiant Shard,403,0,0,1,0,0,0
Eversinging Dust,404,0,0,1,0,0,0
Sunglass Vial,405,0,0,1,0,0,0
Amani Lapis,406,0,0,1,0,0,0
Flawless Amani Lapis,407,0,0,1,0,0,0
Harandar Peridot,408,0,0,1,0,0,0
Sanguine Garnet,409,0,0,1,0,0,0
Tenebrous Amethyst,410,0,0,1,0,0,0
Flawless Harandar Peridot,411,0,0,1,0,0,0
Flawless Sanguine Garnet,412,0,0,1,0,0,0
Flawless Tenebrous Amethyst,413,0,0,1,0,0,0
Glimmering Gemdust,414,0,0,1,0,0,0
Crystalline Glass,415,0,0,1,0,0,0
Sin'dorei Lens,416,0,0,1,0,0,0
Duskshrouded Stone,417,0,0,1,0,0,0
Kaleidoscopic Prism,418,0,0,1,0,0,0
Void-Tempered Hide,419,0,0,1,0,0,0
Void-Tempered Plating,420,0,0,1,0,0,0
Void-Tempered Leather,421,0,0,1,0,0,0
Void-Tempered Scales,422,0,0,1,0,0,0
Scalewoven Hide,423,0,0,1,0,0,0
Infused Scalewoven Hide,424,0,0,1,0,0,0
Silvermoon Weapon Wrap,425,0,0,1,0,0,0
Sin'dorei Armor Banding,426,0,0,1,0,0,0
Socket,427,0,0,3,3,0,0
Socket,428,0,0,3,3,0,0
Eversong Diamond,429,0,0,1,0,0,0
Azeroot,430,0,0,1,0,0,0
Sanguithorn,431,0,0,1,0,0,0
Peacebloom,432,0,0,1,0,0,0
Argentleaf,433,0,0,1,0,0,0
Mana Lily,434,0,0,1,0,0,0
Refulgent Copper Ore,435,0,0,1,0,0,0
Umbral Tin Ore,436,0,0,1,0,0,0
Brilliant Silver Ore,437,0,0,1,0,0,0
Draught of Rampant Abandon,438,0,0,1,0,0,0
Enlightenment Tonic,439,0,0,1,0,0,0
Light's Potential,440,0,0,1,0,0,0
Light's Preservation,441,0,0,1,0,0,0
Midnight Healing Potion,442,0,0,1,0,0,0
Midnight Mana Potion,443,0,0,1,0,0,0
Potion of Devoured Dreams,444,0,0,1,0,0,0
Potion of Recklessness,445,0,0,1,0,0,0
Potion of Zealotry,446,0,0,1,0,0,0
Refreshing Serum,447,0,0,1,0,0,0
Void-Shrouded Tincture,448,0,0,1,0,0,0
Midnight Critical Flask,449,0,0,1,0,0,0
Midnight Haste Flask,450,0,0,1,0,0,0
Midnight Mastery Flask,451,0,0,1,0,0,0
Midnight Versatility Flask,452,0,0,1,0,0,0
Arcanoweave,453,0,0,1,0,0,0
Arcanoweave Bolt,454,0,0,1,0,0,0
Bright Linen Bolt,455,0,0,1,0,0,0
Imbued Bright Linen Bolt,456,0,0,1,0,0,0
Sunfire Silk,457,0,0,1,0,0,0
Sunfire Silk Bolt,458,0,0,1,0,0,0
Amplify Secondary Stat,459,2,0,0,0,0,0
Optional Reagent,460,0,0,0,0,0,0
Alchemy Combined Reagent,461,0,0,1,0,0,0
Codified Azeroot,462,0,0,1,0,0,0
Munsell Ink,463,0,0,1,0,0,0
Sienna Ink,464,0,0,1,0,0,0
Soul Cipher,465,0,0,1,0,0,0
Gloaming Alloy,466,0,0,1,0,0,0
Sterling Alloy,467,0,0,1,0,0,0
Smuggler's Enchanted Edge,468,0,0,1,0,0,0
Empower,469,0,0,0,1,0,0
Empower,470,0,0,0,1,0,0
Competitor's Heraldry,471,4,0,0,1,0,0
Powder Pigment,472,0,0,1,0,0,0
Sanguithorn Pigment,473,0,0,1,0,0,0
Argentleaf Pigment,474,0,0,1,0,0,0
Mana Lily Pigment,475,0,0,1,0,0,0
Wondrous Synergist,476,0,0,1,0,0,0
Oil of Beledar's Grace,477,0,0,1,0,0,0
Duskweave,478,0,0,1,0,0,0
Weavercloth,479,0,0,1,0,0,7
Secret Ingredient,480,0,0,2,2,0,0
Slumbering Soul Serum,481,0,0,1,0,0,0
Red Dye Herbs,482,0,0,1,0,0,0
Orange Dye Herbs,483,0,0,1,0,0,0
Yellow Dye Herbs,484,0,0,1,0,0,0
Green Dye Herbs,485,0,0,1,0,0,0
Blue Dye Herbs,486,0,0,1,0,0,0
Teal Dye Herbs,487,0,0,1,0,0,0
Purple Dye Herbs,488,0,0,1,0,0,0
White Dye Herbs,489,0,0,1,0,0,0
Black Dye Herbs,490,0,0,1,0,0,0
Brown Dye Herbs,491,0,0,1,0,0,0
Basic Currency,492,1,0,0,0,0,0
Required Basic Currency,493,5,0,0,0,0,0
Artisan's Authenticity,495,0,0,2,0,0,0
Artisan's Authenticity,496,0,0,2,0,0,0
Artisan's Authenticity,497,0,0,2,0,0,0
Artisan's Authenticity,498,0,0,2,0,0,0
Add Embellishment,499,2,0,0,1,0,0
Spark,500,4,0,0,1,0,0
