ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
38,Spirit Lodge,Mage Tower,Enables instant travel to strategic points in Draenor!,Unlocks access to a second Ogre Waygate for a total of 2.,2,13,230420,224809,0,2,3600,824,900,149,29,975740,1242,1241,0,14,0,0,300,1
39,Spirit Lodge,Mage Tower,Enables instant travel to strategic points in Draenor!,Unlocks access to a third Ogre Waygate for a total of 3.,2,13,230421,224810,0,3,3600,824,1200,150,30,975740,1244,1243,0,21,0,0,500,1
40,Lumber Mill,Lumber Mill,The Lumber Mill enables access to different types of Timber throughout Draenor.,Allows you to mark small trees in Draenor for harvest. Harvested Timber can be converted to work orders for garrison supplies.,2,4,230422,224811,0,1,3600,0,0,8,9,975739,1246,1245,0,7,0,0,300,1
41,Lumber Mill,Lumber Mill,The Lumber Mill enables access to different types of Timber throughout Draenor.,Allows you to mark medium trees for additional Timber.,2,4,230423,224812,0,2,3600,0,0,161,62,975739,1248,1247,0,14,0,0,500,1
42,Menagerie,Menagerie,The Menagerie provides new opportunities to develop and enhance your pet retinue.,Attracts elite pets you can battle for rewards.  Also lets 5 of your battle pets hang out in your garrison.,2,7,230426,224813,0,1,3600,824,50,163,100,975741,1250,1249,5,1,0,0,0,0
51,Storehouse,Storehouse,The Storehouse has room to keep your and the garrison's items safe and secure.,Enables access to your personal bank and increases the total number of active work orders for all buildings by 5.,2,15,230437,224854,0,1,3600,824,50,140,71,975745,1200,1199,0,5,0,0,150,1
52,Salvage Yard,Salvage Yard,The Salvage Yard turns other people's trash into your treasure.,Allows Salvage to be occasionally recovered from missions.,2,14,230440,224853,0,1,3600,824,50,141,64,975742,1202,1201,0,1,0,0,150,1
60,The Forge,The Forge,"The Forge produces both basic components for use by blacksmiths, as well as armor and weapons ready for battle.",Allows the production of Blacksmithing items and work orders.,2,17,230448,225537,0,1,3600,824,50,5,4,4620670,1204,1203,0,7,0,0,150,1
61,Frostwall Mines,Lunarfall Excavation,"The mine was once abandoned, but there are still underground riches ready to be discovered.",Allows players to mine Draenic Stone from mineral nodes in Draenor. Draenic Stone can be converted to work orders for Draenor minerals.,2,1,230466,225538,0,1,3600,824,50,160,33,4620679,1206,1205,0,7,0,0,0,0
62,Frostwall Mines,Lunarfall Excavation,"The mine was once abandoned, but there are still underground riches ready to be discovered.","Allows followers with the Mining trait to work here, granting a unique bonus.  Also opens a new mineshaft, granting access to additional mining nodes and allows up to 14 work orders at one time.",2,1,230467,225539,0,2,3600,824,50,160,33,4620679,1208,1207,0,14,52,0,300,1
63,Frostwall Mines,Lunarfall Excavation,"The mine was once abandoned, but there are still underground riches ready to be discovered.","A final mineshaft allows access to rich mining nodes.  In addition, garrison guards will patrol your mine, keeping it clear of hostile goren. Also allows up to 21 work orders at one time.",2,1,230468,225540,0,3,3600,824,100,160,33,4620679,1210,1209,0,21,52,0,500,1
64,Fishing Shack,Fishing Shack,The Fishing Shack provides support to those looking for their next big catch.,Allows small Draenor fish to be caught in garrison waters and provides access to daily Fishing quests.,2,24,230984,230985,0,1,3600,824,50,134,85,4620674,1212,1211,0,1,227,0,0,0
65,Stables,Stables,The stables provide significant benefits to your mounts.,Enables the capture and training of special mounts on Draenor.  Also allows you remain mounted while interacting with objects in outdoor Draenor zones.,2,11,230469,225577,0,1,3600,824,150,151,68,975744,1214,1213,3,1,0,0,150,1
66,Stables,Stables,The stables provide significant benefits to your mounts.,You will no longer get dazed by enemies while riding mounts in outdoor Draenor zones.,2,11,230470,225578,0,2,3600,824,900,152,69,975744,1216,1215,5,3,0,0,300,1
67,Stables,Stables,The stables provide significant benefits to your mounts.,Increases mount speed in Draenor by 20%.,2,11,230471,225579,0,3,3600,824,1200,153,70,975744,1218,1217,7,5,0,0,500,1
76,Alchemy Lab,Alchemy Lab,The Alchemy Lab creates a variety of reagents and alchemical wonders.,Allows the production of Alchemy items and work orders.,2,16,230443,227179,0,1,3600,824,50,23,20,4620669,1282,1281,0,7,0,0,150,1
90,The Tannery,The Tannery,"The Tannery refines raw leather into strong, leatherworked items that are useful for adventurers of any kind.",Allows the production of Leatherworking items and work orders.,2,22,230457,227070,0,1,3600,824,50,114,97,133611,1316,1315,0,7,0,0,150,1
91,Engineering Works,Engineering Works,"The Engineering Works produces a host of useful gizmos and parts for the intrepid tinkerer, and also creates wondrous mechanical devices.",Allows the production of Engineering items and work orders.,2,19,230454,227072,0,1,3600,824,50,123,39,136243,1318,1317,0,7,0,0,150,1
93,Enchanter's Study,Enchanter's Study,"The Enchanter's Study creates both the magical precursors that form an enchantment, as well as completed and usable item enchantments.",Allows the production of Enchanting items and allows non-Enchanters to disenchant items.  Also allows work orders.,2,18,230451,227073,0,1,3600,824,50,126,80,4620672,1320,1319,0,7,0,0,150,1
94,Tailoring Emporium,Tailoring Emporium,The Tailing Emporium is your one stop shop for anything crafted with cloth.,Allows the production of Tailoring items and work orders.,2,23,230463,227180,0,1,3600,824,50,111,91,4620681,1322,1321,0,7,0,0,150,1
95,Scribe's Quarters,Scribe's Quarters,"The Scribe's Quarters produces all manners of magical inks, pigments, and paper, and can also create glyphs and other magical items.",Allows the production of Inscription items and work orders.,2,20,230427,227074,0,1,3600,824,50,120,94,4620676,1324,1323,0,7,0,0,150,1
96,Gem Boutique,Gem Boutique,The Gem Boutique allows for the creation of wondrous gems and other jewelcrafted items.,Allows the production of Jewelcrafting items and work orders.,2,21,230460,227075,0,1,3600,824,50,117,77,4620677,1326,1325,0,7,0,0,150,1
111,Trading Post,Trading Post,The Trading Post is the garrison's center of commerce with the natives of Draenor.,A merchant shows up each day selling trade goods.  Also allows the trade of crafting reagents for garrison resources.,2,6,230472,227673,0,1,3600,0,0,154,72,975746,1252,1251,0,7,0,0,300,1
117,The Forge,The Forge,"The Forge produces both basic components for use by blacksmiths, as well as armor and weapons ready for battle.","Allows followers with the Blacksmithing trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,17,230449,227588,0,2,3600,824,100,129,83,4620670,1284,1283,0,14,55,0,300,1
118,The Forge,The Forge,"The Forge produces both basic components for use by blacksmiths, as well as armor and weapons ready for battle.","Unlocks Blacksmithing missions, and allows up to 21 work orders at one time.",2,17,230450,227589,0,3,3600,824,300,130,84,4620670,1286,1285,0,21,55,0,500,1
119,Alchemy Lab,Alchemy Lab,The Alchemy Lab creates a variety of reagents and alchemical wonders.,"Allows followers with the Alchemy trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,16,230444,227590,0,2,3600,824,100,24,21,4620669,1288,1287,0,14,54,0,300,1
120,Alchemy Lab,Alchemy Lab,The Alchemy Lab creates a variety of reagents and alchemical wonders.,"Unlocks Alchemy missions, and allows up to 21 work orders at one time.",2,16,230445,227591,0,3,3600,824,300,25,22,4620669,1290,1289,0,21,54,0,500,1
121,The Tannery,The Tannery,"The Tannery refines raw leather into strong, leatherworked items that are useful for adventurers of any kind.","Allows followers with the Leatherworking trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,22,230458,227592,0,2,3600,824,100,115,98,133611,1292,1291,0,14,60,0,300,1
122,The Tannery,The Tannery,"The Tannery refines raw leather into strong, leatherworked items that are useful for adventurers of any kind.","Unlocks Leatherworking missions, and allows up to 21 work orders at one time.",2,22,230459,227593,0,3,3600,824,300,116,99,133611,1294,1293,0,21,60,0,500,1
123,Engineering Works,Engineering Works,"The Engineering Works produces a host of useful gizmos and parts for the intrepid tinkerer, and also creates wondrous mechanical devices.","Allows followers with the Engineering trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,19,230455,227594,0,2,3600,824,100,124,40,136243,1296,1295,0,14,57,0,300,1
124,Engineering Works,Engineering Works,"The Engineering Works produces a host of useful gizmos and parts for the intrepid tinkerer, and also creates wondrous mechanical devices.","Unlocks Engineering missions, and allows up to 21 work orders at one time.",2,19,230456,227595,0,3,3600,824,300,125,41,136243,1298,1297,0,21,57,0,500,1
125,Enchanter's Study,Enchanter's Study,"The Enchanter's Study creates both the magical precursors that form an enchantment, as well as completed and usable item enchantments.","Allows followers with the Enchanting trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,18,230452,227596,0,2,3600,824,100,127,81,4620672,1300,1299,0,14,56,0,300,1
126,Enchanter's Study,Enchanter's Study,"The Enchanter's Study creates both the magical precursors that form an enchantment, as well as completed and usable item enchantments.","Unlocks Enchanting missions, and allows up to 21 work orders at one time.",2,18,230453,227597,0,3,3600,824,300,128,82,4620672,1302,1301,0,21,56,0,500,1
127,Tailoring Emporium,Tailoring Emporium,The Tailing Emporium is your one stop shop for anything crafted with cloth.,"Allows followers with the Tailoring trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,23,230464,227598,0,2,3600,824,100,112,92,4620681,1304,1303,0,14,61,0,300,1
128,Tailoring Emporium,Tailoring Emporium,The Tailing Emporium is your one stop shop for anything crafted with cloth.,"Unlocks Tailoring missions, and allows up to 21 work orders at one time.",2,23,230465,227599,0,3,3600,824,300,113,93,4620681,1306,1305,0,21,61,0,500,1
129,Scribe's Quarters,Scribe's Quarters,"The Scribe's Quarters produces all manners of magical inks, pigments, and paper, and can also create glyphs and other magical items.","Allows followers with the Inscription trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,20,230430,227600,0,2,3600,824,100,121,95,4620676,1308,1307,0,14,58,0,300,1
130,Scribe's Quarters,Scribe's Quarters,"The Scribe's Quarters produces all manners of magical inks, pigments, and paper, and can also create glyphs and other magical items.","Unlocks Inscription missions, and allows up to 21 work orders at one time.",2,20,230432,227601,0,3,3600,824,300,122,96,4620676,1310,1309,0,21,58,0,500,1
131,Gem Boutique,Gem Boutique,The Gem Boutique allows for the creation of wondrous gems and other jewelcrafted items.,"Allows followers with the Jewelcrafting trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.",2,21,230461,227602,0,2,3600,824,100,118,78,4620677,1312,1311,0,14,59,0,300,1
132,Gem Boutique,Gem Boutique,The Gem Boutique allows for the creation of wondrous gems and other jewelcrafted items.,"Unlocks Jewelcrafting missions, and allows up to 21 work orders at one time.",2,21,230462,227603,0,3,3600,824,300,119,79,4620677,1314,1313,0,21,59,0,500,1
133,Barn,Barn,"The Barn houses captured creatures that provide the garrison with leather, meat, and fur.","Allows you to capture elite beasts to harvest for savage blood, used in all epic crafted armor and weapons.",2,3,233188,233186,0,3,3600,824,600,133,26,975737,1232,1231,0,21,62,0,500,1
134,Fishing Shack,Fishing Shack,The Fishing Shack provides support to those looking for their next big catch.,Allows medium Draenor fish to be caught in garrison waters.,2,24,230986,230987,0,2,3600,824,50,135,86,4620674,1254,1253,0,3,227,0,300,1
135,Fishing Shack,Fishing Shack,The Fishing Shack provides support to those looking for their next big catch.,Allows enormous Draenor fish to be caught in garrison waters.  Also grants you a chance to catch a unique fish that can be used to lure mysterious creatures onto the shore.,2,24,230990,230989,0,3,3600,824,100,136,87,4620674,1256,1255,0,5,227,0,500,1
136,Herb Garden,Herb Garden,A bountiful garden for the planting and harvesting of Draenor herbs.,"Allows followers with the Herbalism trait to work here, granting a unique bonus.  Also increases the amount of herbs that can be harvested at the garden and allows up to 14 work orders at one time.",2,2,236448,235990,0,2,3600,824,50,137,59,134221,1258,1257,0,14,53,0,300,1
137,Herb Garden,Herb Garden,A bountiful garden for the planting and harvesting of Draenor herbs.,Grow a unique Draenor fruit tree in your garden that grants food buffs. Also allows up to 21 work orders at one time.,2,2,236449,235991,0,3,3600,824,100,137,59,134221,1260,1259,0,21,53,0,500,1
138,Lumber Mill,Lumber Mill,The Lumber Mill enables access to different types of Timber throughout Draenor.,Allows you to mark large trees for even more Timber.,2,4,233266,233267,0,3,3600,0,0,162,63,975739,1262,1261,0,21,228,0,1000,1
140,Salvage Yard,Salvage Yard,The Salvage Yard turns other people's trash into your treasure.,"Increases your chance at recovering Salvage from missions. In addition, you may now discover follower items in Salvage.",2,14,230441,230475,0,2,3600,824,100,141,64,975742,1266,1265,0,3,0,0,300,1
141,Salvage Yard,Salvage Yard,The Salvage Yard turns other people's trash into your treasure.,Greatly increases your chance at recovering Salvage from missions.,2,14,230442,230476,0,3,3600,824,300,141,64,975742,1268,1267,0,5,0,0,500,1
142,Storehouse,Storehouse,The Storehouse has room to keep your and the garrison's items safe and secure.,Enables access to your guild bank.,2,15,230438,234678,0,2,3600,824,100,140,71,975745,1270,1269,0,5,0,0,300,1
143,Storehouse,Storehouse,The Storehouse has room to keep your and the garrison's items safe and secure.,Enables access to an Ethereal Trader for Void Storage and Transmogrification and increases the total number of active work orders for all buildings by 15.,2,15,230439,234679,0,3,3600,824,300,140,71,975745,1272,1271,0,15,0,0,500,1
144,Trading Post,Trading Post,The Trading Post is the garrison's center of commerce with the natives of Draenor.,Grants access to the Sha'tari Defense or Laughing Skull factions. Also unlocks the ability to acquire parts from around Draenor to build an auctioneer.,2,6,230473,227674,0,2,3600,0,0,155,73,975746,1274,1273,0,14,0,0,500,1
145,Trading Post,Trading Post,The Trading Post is the garrison's center of commerce with the natives of Draenor.,Increases reputation gain in Draenor by 20%.,2,6,230474,233189,0,3,3600,0,0,156,74,975746,1276,1275,0,21,0,0,1000,1
159,Gladiator's Sanctum,Gladiator's Sanctum,Show your might over opposing hostile players across Draenor and hone your strength on the blood-soaked arena floor. Slay your enemies and return with proof of their demise to earn powerful tributes!,Increases your out-of-combat regeneration in outdoor Draenor zones and allows the collection of broken bones from defeated enemy players (used for Conqueror's Tribute).,2,25,230477,230480,0,1,3600,824,100,145,65,975743,1332,1331,0,7,0,0,150,1
160,Gladiator's Sanctum,Gladiator's Sanctum,Show your might over opposing hostile players across Draenor and hone your strength on the blood-soaked arena floor. Slay your enemies and return with proof of their demise to earn powerful tributes!,Enables safe fall and underwater breathing in outdoor Draenor zones.  Also enables the Nemesis quest series for defeating enemy players of specific races.,2,25,230478,230486,0,2,3600,824,300,146,66,975743,1334,1333,0,14,0,0,300,1
161,Gladiator's Sanctum,Gladiator's Sanctum,Show your might over opposing hostile players across Draenor and hone your strength on the blood-soaked arena floor. Slay your enemies and return with proof of their demise to earn powerful tributes!,"While below 35% life, all damage taken is reduced by 50% in outdoor Draenor zones.  Grants access to the Highmaul Coliseum gladiator tournament.",2,25,230479,230487,0,3,3600,824,600,147,67,975743,1336,1335,0,21,0,0,500,1
162,Goblin Workshop,Gnomish Gearworks,Crush your enemies with your mechanized might!,Unlocks a personal engineer that creates a powerful invention each day. Exceptional work!,2,26,230489,230492,0,1,3600,824,150,157,88,975747,1264,1263,0,0,0,0,150,1
163,Goblin Workshop,Gnomish Gearworks,Crush your enemies with your mechanized might!,Your engineer gains access to five new and amazing devices.,2,26,230490,230493,0,2,3600,824,900,158,89,975747,1278,1277,0,0,0,0,300,1
164,Goblin Workshop,Gnomish Gearworks,Crush your enemies with your mechanized might!,Allows the creation of a siege vehicle once per day. Drive it to victory in Draenor!,2,26,230491,230494,0,3,3600,824,1200,159,90,975747,1280,1279,0,1,0,0,500,1
167,Menagerie,Menagerie,The Menagerie provides new opportunities to develop and enhance your pet retinue.,Increases your trap chance and reduces the cooldown of Revive Battle Pets while in Draenor.  Up to 10 of your pets can now hang out in your garrison.,2,7,236180,235992,0,2,3600,824,50,163,100,975741,1328,1327,10,3,0,0,300,1
168,Menagerie,Menagerie,The Menagerie provides new opportunities to develop and enhance your pet retinue.,Unlocks a pet battle daily with unique pet rewards.,2,7,236181,235993,0,3,3600,824,100,163,100,975741,1330,1329,10,5,0,0,500,1
205,Frostwall Shipyard,Lunarfall Shipyard,Build ships and run naval missions from the coast near your garrison.,,2,9,230489,230489,0,1,0,0,0,14,14,1126431,0,0,0,1,0,0,0,2
206,Frostwall Shipyard,Lunarfall Shipyard,Build ships and run naval missions from the coast near your garrison.,,2,9,230489,230489,0,2,0,0,0,14,14,1126431,0,0,2,1,0,0,0,2
207,Frostwall Shipyard,Lunarfall Shipyard,Build ships and run naval missions from the coast near your garrison.,,2,9,230489,230489,0,3,0,0,0,14,14,1126431,0,0,4,1,0,0,0,2
209,Class Order Hall,Class Order Hall,,,3,0,230489,230489,0,1,0,0,0,154,72,132093,0,0,0,1,0,0,0,0
