ID,PrimaryColor,SecondaryColor,Duration,Value,FadeInTime,FadeOutTime,AttachPos,Flags,InnerStrength,OuterStrength,InitialDelay,CurveID,Priority
221,-4267491,0,0.6,0.9,0.1,0.1,1,0,1,1,0,0,0
223,0,-16767489,0,1,1,1,-1,1,0.8,0.2,0,0,0
225,-16777216,-16672581,0,1,1,1,-1,1,0.8,0.2,0,0,0
226,0,-655105,0,1,1,1,-1,1,0.8,0.2,0,0,0
227,0,-16711930,0,1,1,1,-1,1,0.8,0.2,0,0,0
228,-16493972,-16746198,0,1,0.2,0.2,-1,0,0.9,0.4,0,106,1
229,0,-16711734,0,1,1,1,-1,1,0.8,0.2,0,0,0
230,0,-16727809,0,1,1,1,-1,1,0.8,0.2,0,0,0
231,-4160038,-2865153,0,1,0,0,-1,1,0.2,0.6,0,0,0
238,0,-16747521,0,1,1,1,-1,1,0.8,0.2,0,0,0
244,-4390932,0,0,1,0,0,19,0,1,1,0,106,0
245,-7864166,0,0,0.8,0.25,0.25,1,0,1,1,0,0,0
246,-16777216,-10813185,0,1,1,1,-1,1,0.6,0.5,0,0,0
248,-16777216,-65024,0,0.7,1,1,-1,1,0.8,0.2,0,0,0
249,-16777216,-65024,0,0.7,1,1,-1,1,0.8,0.2,0,0,0
250,-2464754,-1893626,0,0.9,0,0,-1,1,0.5,1,0,0,0
252,-65536,-65536,0,1,0,0,-1,0,1,1,0,0,0
254,-16777216,-65024,0,0.7,1,1,-1,1,0.8,0.2,0,0,0
255,0,-4240299,0,0.5,0,0,-1,1,1,1,0,0,0
256,-16734209,-16777216,0,0.75,0,0,-1,0,0.5,0.5,0,0,0
258,-57856,-53504,0.1,1,0,0.5,19,1,1,1,0,106,0
262,-12957617,-12891577,0,1,0,0,-1,1,1,0.1,0,0,0
263,-16029932,-16777216,0,0.35,0,0,-1,0,1,1,0,0,0
264,-16777216,-15110975,0,1,0.15,0.3,-1,1,1,1,0,0,0
265,-6990610,0,0,0.8,1,1,-1,0,1,1,0,0,0
266,-16777216,-15110975,0,1,0.15,0.3,-1,1,1,1,0,0,0
271,-16777216,-10921347,0.5,0.2,0,0,-1,1,1,1,0,0,0
273,-15195393,-5683543,0,1,1,1,-1,1,1,0.5,0,0,0
274,0,-9615242,0,0.8,0,0,-1,1,0.8,0.2,0,0,0
279,0,-8333100,0,0.5,0.5,0.5,-1,1,0.8,0.2,0,0,0
288,0,-11802048,0,0.5,1,1,-1,1,1,1,0,0,0
292,-8176200,0,0,0.4,0,0,-1,0,1,1,0,0,0
293,-5545473,-10806028,0,1,0,0,-1,1,0.8,0.2,0,0,0
294,-5626625,-2979073,0,1,0,0,-1,0,0.1,0.5,0,0,0
296,-1993729,0,0,1,0,0,-1,1,0.75,0.25,0,0,0
297,-11141002,0,0,1,0,0,-1,1,0.75,0.25,0,0,0
299,-9046273,0,0,0.3,0,0,-1,0,0.7,1,0,0,0
300,-16777216,-10354433,15,0.4,1,1,-1,1,0,0.15,0,0,0
304,0,-16747521,0,1,0,1,-1,1,0.8,0.2,0,106,0
305,0,-16747521,0,1,0,1,-1,0,0.8,0.2,0,0,0
306,0,-13529068,0,0.75,1,1,-1,1,0.5,0.4,0,0,0
307,-10496,-56320,0,0.25,0.25,0.5,-1,1,1,1,0,0,0
308,-3862264,-5432819,0,1,0.2,0.2,-1,0,0.9,0.4,0,0,0
309,-14890726,-14377926,0,1,0.2,0.2,-1,0,0.9,0.4,0,0,0
310,-16493972,-16746198,0,1,0.2,0.2,-1,0,0.9,0.4,0,0,0
311,0,-6860593,0,0.5,0,0,-1,0,1,1,0,0,0
312,-5670415,0,0,0.5,0,0,-1,1,0.8,0.2,0,0,0
315,-1018582,0,0.6,1,0,0.2,1,0,1,1,0,106,0
316,-1018582,0,0.6,1,0,0.2,2,0,1,1,0,106,0
318,-21,-112,0,1,0,1,-1,1,0.8,0.2,0,0,0
319,-6033921,0,0,0.6,0,0,-1,0,0.75,0.25,0,0,0
322,-11294875,0,0,0.7,0,0,-1,0,0.75,0.25,0,0,0
323,0,-14353090,0,1,0,0,-1,1,0.8,0.2,0,0,0
324,-1651136,-1,0,0.5,0,0,-1,0,1,1,0,0,0
326,-16777216,-9747345,0,1,0.5,0.5,-1,1,0.8,0.2,0,0,0
328,-10878833,-4302081,0,0.5,0,0,-1,0,0.7,0.3,0,0,0
329,-16777216,-3622957,0,0.25,0,0,-1,1,0.8,0.2,0,0,0
330,-16777216,-3622957,0,0.5,0,0,-1,1,0.8,0.2,0,0,0
331,0,-10714040,1,0.5,0,9,-1,1,0.1,0.5,0,0,0
332,-5552921,0,0,0.25,0,0,-1,0,1,1,0,0,0
333,0,-11833022,0,1,0,0,19,1,0.2,0.8,0,0,0
335,0,-11833022,0,1,0,0,19,1,0.2,0.8,0,0,0
336,-16777216,-16773633,0,1,0,1,-1,1,0.5,0.2,0,0,0
337,0,-6920556,0,0.75,0.5,3,-1,1,0.8,0.2,0,0,0
338,-6204980,-7056717,0.1,1,0,0.15,2,0,1,1,0,0,0
339,-10086255,-5495572,0.1,0.8,0,0.3,1,1,1,1,0,0,0
340,-64768,0,0,0.1,0,0,-1,0,1,1,0,0,0
342,-10754769,0,0,1,0,0,-1,0,0.5,1,0,0,0
343,0,-8213126,0,0.8,0,0,-1,1,0.8,0.2,0,0,0
344,0,-8213126,0,0.8,0,0,34,1,0.8,0.2,0,0,0
345,-11534228,0,0.35,0.9,0,0.3,2,0,1,1,0,0,0
346,-11534228,0,0.35,0.6,0,0.3,1,0,1,1,0,0,0
348,-12397266,-16777216,4.5,0.9,0.25,0.25,1,0,1,1,0,0,0
349,0,-14418176,0.5,1,0,1,-1,0,1,1,0,0,0
350,-14041460,-16777216,4.5,0.9,0.25,0.25,2,0,1,1,0,0,0
351,0,-14418176,0,1,1.5,0,-1,0,1,1,0,0,0
353,-983296,-18176,0,1,0,0,-1,1,1,1,0,106,0
354,-16777216,-46518,0,1,0,1,-1,1,0.2,0.8,0,0,0
355,0,-9884809,0,0.75,10,10,-1,1,0.2,0.8,0,0,0
356,-4815165,0,0,0.5,3,3,-1,0,0.1,1,0,0,0
357,-15686398,0,0.5,0.9,0,0.25,2,0,1,1,0,0,0
358,-15686398,0,0.5,0.9,0,0.25,1,0,1,1,0,0,0
359,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
360,-13145088,0,0.35,0.6,0,0.15,27,0,1,1,0,0,0
361,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
362,-13145088,0,0.35,0.6,0,0.15,27,0,1,1,0,0,0
363,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
364,-13145088,0,0.35,0.6,0,0.15,26,0,1,1,0,0,0
365,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
366,-13145088,0,0.35,0.6,0,0.15,26,0,1,1,0,0,0
367,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
368,-13145088,0,0.35,0.6,0,0.15,26,0,1,1,0,0,0
369,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
370,-13145088,0,0.35,0.6,0,0.15,26,0,1,1,0,0,0
371,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
372,-13145088,0,0.35,0.6,0,0.15,26,0,1,1,0,0,0
373,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
374,-13145088,0,0.35,0.6,0,0.15,26,0,1,1,0,0,0
375,-5626625,-2979073,0,1,0,0,-1,0,0.1,0.5,0,0,0
378,-907265,-11599709,1,0,0,0,-1,0,0.8,0.2,0,0,0
379,-907265,-11599709,1,1,0.2,0.2,-1,1,0.8,0.2,0,106,0
380,-1834753,0,0,1,0,0,-1,0,1,1,0,0,0
383,-13137959,0,0,0.3,0.15,0.15,1,0,1,1,0,0,0
384,-13137959,0,0,0.3,0.15,0.15,2,0,1,1,0,0,0
386,-7860298,0,0,0.5,0.15,0.15,34,0,1,1,0,0,0
390,-11731200,-16777216,0,0.2,0,0,-1,0,1,1,0,0,0
391,-3149782,0,0.6,1,0,0.2,1,0,1,1,0,0,0
392,-1971432,0,0.6,1,0,0.2,2,0,1,1,0,0,0
393,-1018582,0,0.6,1,0,0.2,1,0,1,1,0,0,0
394,-1018582,0,0.6,1,0,0.2,2,0,1,1,0,0,0
395,-16777216,-16773633,0,1,0,1,-1,1,0.5,0.2,0,106,0
397,-16777216,-16747521,0,1,0,1,-1,1,0.8,0.2,0,0,0
398,-16777216,-5111553,0,1,0,1,-1,1,0.8,0.2,0,0,0
399,-9277516,-14213807,0.5,0.8,0,1,-1,1,1,1,0,0,0
400,-10560983,-460552,0,1,0,0,34,0,1,1,0,0,0
401,-9277516,-14213807,0.5,0.8,0,1,-1,1,1,1,0,0,0
403,-4989713,-1068083,0,0.85,0.1,0.1,-1,0,0.4,1,0,0,0
404,-16777216,-11927353,0,1,1,1,-1,0,0.8,0.2,0,0,0
406,-3529228,0,0,0.8,0,0,-1,1,0.8,1,0,0,0
407,0,-11340007,0,0.5,1,1,-1,0,1,1,0,0,0
408,-16777216,-589958,0,0.8,0,1,-1,1,0.8,0.2,0,0,0
410,0,-5598796,0,0.5,0.25,0.75,-1,1,0.8,0.2,0,0,0
411,-6204980,-7056717,0.1,1,0,0.15,2,0,1,1,0,0,0
412,-10086255,-5495572,0.1,0.8,0,0.3,1,1,1,1,0,0,0
413,0,-10992290,0,1,0.25,0.75,-1,1,0.9,0.1,0,0,0
414,-3149782,0,0.6,1,0,0.2,1,0,1,1,0,0,0
415,-1971432,0,0.6,1,0,0.2,2,0,1,1,0,0,0
417,-8514370,0,0.6,1,0,0.2,1,0,1,1,0,0,0
418,-8514370,0,0.6,1,0,0.2,2,0,1,1,0,0,0
419,-16777216,-7389757,0,0.5,0,0,1,1,1,0.5,0,0,0
420,-16777216,-7389757,0,0.5,0,0,2,1,0.5,1,0,0,0
422,0,-16768769,0,0.75,0,0,-1,1,0.8,0.4,0,0,0
423,-15686398,0,0.5,0.9,0,0.25,2,0,1,1,0,0,0
424,-15686398,0,0.5,0.9,0,0.25,1,0,1,1,0,0,0
427,-13291378,-16252673,0,0.65,1,1,-1,1,0.35,1,0,0,0
435,-2684,0,0,0.25,0.5,0.5,-1,0,1,1,0,0,0
437,-9277516,-14213807,0.5,0.8,0,1,-1,1,1,1,0,106,0
438,0,-6636921,0,0.8,0,0,-1,1,0.2,0.8,0,0,0
442,-16777216,-16758858,0,1,1,1,-1,1,0.8,0.2,0,0,0
443,0,-15990795,0,1,0,0,-1,1,0.8,0.2,0,0,0
445,0,-16714753,0,0.75,0,0,-1,1,0.5,0.5,0,0,0
449,-16777216,-2614529,0,1,1,1,-1,0,0.9,0.1,0,0,0
450,0,-16714753,0,0.75,0,0,-1,0,0.5,0.5,0,0,0
452,0,-16768769,0,0.5,0,0,-1,1,0.6,0.4,0,106,0
454,-16733441,-4722177,0.4,1,0.1,0.3,1,3,1,1,0,0,0
455,-16730113,-4523777,0.4,1,0.1,0.3,1,1,1,1,0,106,0
457,-14915297,-13378017,0,0.75,0,0,-1,1,0.5,1,0,0,0
460,0,-5111915,0,1,1,1,-1,1,0.8,0.2,0,0,0
461,-16777216,-16715749,0,1,0,1,-1,1,0.8,0.2,0,0,0
462,-16777216,-13697280,0,0.5,1,1,-1,1,0.8,0.2,0,0,0
466,0,-6953093,0,0.25,1,1,-1,1,0.8,0.2,0,0,0
469,0,-7864097,1,1,1,1,-1,1,0.8,0.2,0,0,0
474,-10941534,-2686509,0,0.5,0,0,-1,0,1,1,0,0,0
476,0,-15995610,0,0.5,0,1,-1,1,0.9,0.75,0,0,0
477,0,-15995610,0,0.5,0,1,-1,1,0.9,0.75,0,0,0
478,0,-5015297,0,1,0.1,0.2,-1,1,0.8,0.2,0,0,0
479,0,-5015297,0,1,0.1,0.2,-1,0,0.8,0.2,0,0,0
480,0,-15344899,0,0.5,0,1,-1,1,0.8,0.4,0,0,0
481,0,-5287937,2,1,0.1,0.2,-1,1,0.8,0.2,0,0,0
483,0,-3762689,0,1,1,1,-1,1,0.8,0.2,0,0,0
484,0,-10486447,1,1,0.1,0.8,-1,1,0.2,0.8,0,0,0
486,-13675993,-16648431,0,0.2,0,1,-1,1,1,1,0,0,0
489,-15991040,-2883690,0,1,0,0,-1,0,0.2,0.8,0,0,0
490,0,-13894897,0,1,0,1,-1,1,0.8,0.2,0,0,0
491,-2382849,-8386103,0,1,0,0,-1,1,0.2,0.8,0,0,0
502,0,-16768769,0,0.15,0,0,-1,1,1,0.6,0,0,0
503,0,-16768769,0,0.75,0,0,-1,1,0.8,0.4,0,0,0
505,0,-16741121,0,1,0,0,-1,1,1,1,0,0,0
509,0,-16768769,0,0.75,0,0,-1,1,0.8,0.4,0,0,0
510,-5895413,0,0.5,0.8,0,1,-1,1,1,1,0,0,0
512,-16711695,-16747521,0,1,0,1,-1,1,0.5,0.1,0,0,0
513,-14582730,-10817443,0,1,0,1,-1,1,1,1,0,0,0
514,-15895347,0,0,0.35,0,0,-1,0,1,1,0,0,0
515,-3332339,0,0,0.35,0,0,-1,0,1,1,0,0,0
517,-14761681,-15605474,0,1,0,0,-1,0,1,1,0,0,0
520,-11810250,-9918387,0,0.75,0,0,-1,0,0.6,0.3,0,0,0
521,-16744449,0,1.5,0.7,1.3,0.2,1,0,1,1,0,0,0
522,-16742657,0,0,0.35,0.2,0.2,1,0,1,1,0,0,0
523,-16730113,-4523777,0.5,1,0.1,0.3,1,1,1,1,0,106,0
524,-16750593,-4530945,0.4,1,0.1,0.3,1,0,1,1,0,0,0
525,-16744449,0,1.5,0.7,1.3,0.2,1,0,1,1,0,0,0
527,-590080,-5130439,0,0.7,0,0,-1,0,0.6,0.3,0,0,0
528,-590080,-5130439,0,0.7,0,0,-1,0,0.6,0.3,0,0,0
529,0,-16768769,0,0.75,0,0,-1,1,0.8,0.4,0,0,0
530,-11810250,-9918387,0,0.75,0,0,-1,0,0.6,0.3,0,0,0
531,-13654272,-10682184,0.43,1,0.1,0.3,1,1,1,1,0,0,0
533,-14761681,-15605474,0,1,0,0,-1,0,1,1,0,0,0
534,0,-10493082,0,1,0,0,-1,1,0.8,0.2,0,0,0
535,0,-1030311,0,1,0,0,-1,1,0.8,0.2,0,0,0
536,-7370873,0,0,1,0,0,-1,0,1,1,0,0,0
541,-14178626,-14788726,0,0.5,0,0,-1,0,1,1,0,0,0
542,-14178626,-14788726,0,0.5,0,0,-1,0,1,1,0,0,0
543,0,-15967206,0,0.75,0,0,-1,1,0.8,0.4,0,0,0
544,0,-15711086,0,0.75,0,0,-1,1,0.8,0.4,0,0,0
545,0,-8513519,0,0.5,0,0,-1,1,0.6,0.5,0,0,0
546,0,-15967206,0,0.5,0,0,-1,1,0.8,0.4,0,0,0
547,-16777216,-855708,0,1,0,1,-1,1,0.5,0.2,0,0,0
548,-14178626,-14788726,0,0.1,0,0,-1,0,1,1,0,0,0
554,0,-3549729,0,1,0,0,-1,1,1,1,0,0,0
556,-18949,-4100609,0,0.85,0,0,-1,1,0.6,0.5,0,0,0
557,-1,-13462016,0,0.2,0,0,-1,1,1,0.6,0,0,0
559,-9277516,-14213807,0.5,0.8,0,1,-1,1,1,1,0,106,0
560,0,-14850584,0,1,0,0,-1,1,1,1,0,0,0
561,-16730881,-16769025,0.5,1,0.1,0.2,2,1,1,1,0,0,0
562,-16730881,-16769025,0.5,1,0.1,0.2,1,1,1,1,0,0,0
563,-16750593,-4530945,0.4,1,0.1,0.3,1,0,1,1,0,0,0
565,-2949219,0,0,0.7,0,0,-1,1,1,1,0,0,0
566,-16777216,-5111553,0,0.8,0,1,-1,1,0.8,0.7,0,0,0
567,-10092289,-16645,0,0.5,0,0,-1,1,1,1,0,0,0
568,-12976326,-1,0,0.8,0,0,-1,1,0.7,1,0,0,0
569,-1,-16056080,2,1,0.5,0.5,-1,0,1,1,0,0,0
570,0,-44802,0,0.75,0,0,-1,0,0.6,0.4,0,0,0
571,0,-8646458,0,1,0,0,-1,1,0.8,0.2,0,0,0
573,0,-8646458,0,1,0,0,-1,1,0.8,0.2,0,0,0
575,-16777216,-16747521,0,1,0,1,-1,1,0.8,0.2,0,106,0
576,-13419627,-9942147,0,0.8,0.5,0.5,-1,1,0.8,0.2,0,0,0
578,0,-16276481,0,1,0,0,-1,1,1,1,0,0,0
579,0,-12320565,0,1,0,0,-1,1,1,1,0,0,0
585,0,-7143247,0,1,0,0,-1,0,0.6,0.4,0,0,0
587,0,-7274311,0,1,1,1,-1,0,0.9,0.4,0,0,0
588,-10606717,-9216600,0,0.6,0,0,-1,0,0.6,0.4,0,0,0
590,0,-655105,0,1,1,1,-1,1,0.8,0.2,0,106,0
591,0,-16729345,0,1,1,1,-1,1,0.8,0.2,0,0,0
592,0,-38656,0,1,1,1,-1,1,0.8,0.2,0,0,0
594,-1051130,-94457,0,1,0,0,-1,1,1,0.8,0,0,0
596,0,0,0,0,0,0,-1,0,1,1,0,3230,0
598,-13145088,0,1.05,0.9,0.6,0.1,2,0,1,1,0,106,0
599,-13145088,0,1.05,0.9,0.6,0.1,1,0,1,1,0,106,0
600,-16777216,-1442048,0,1,0,0,-1,1,0.8,0.2,0,0,0
603,0,-4521792,0,1,1,1,-1,1,0.6,0.4,0,0,0
605,0,-12691220,0,0.2,0,1,-1,1,0.4,0.1,0,106,0
607,-13145088,0,0,0.5,0,0.15,2,0,1,1,0,106,0
608,-13145088,0,0,0.5,0,0.15,1,0,1,1,0,106,0
609,-18949,-4100609,0,0.85,0,0,-1,1,0.6,0.5,0,0,0
612,-4063226,-4581609,0,0.3,0,0,-1,0,1,1,0,0,0
613,-4063226,-4581609,0,0.3,0,0,-1,0,1,1,0,0,0
614,-4063226,-4581609,0,0.3,0,0,-1,0,1,1,0,0,0
616,0,-15008000,0,1,1,1,-1,1,0.8,0.2,0,0,0
619,-16777216,-9305953,0,1,0,0,-1,1,0.4,1,0,3368,0
621,-5767244,0,0,0.5,0,0,-1,0,1,1,0,3428,0
622,-16777216,-4224299,0,0.6,0.25,0.25,-1,1,0.45,0.6,0,3429,0
623,0,0,0,0,0,0,-1,0,1,1,0,3430,0
624,-14652161,-3604225,0,1,1,1,-1,1,1,1,0,3449,0
627,-9175040,-65536,0,0.75,0,0,-1,1,1,0.25,0,3465,0
632,-14751970,-16777216,0,0.35,0,0,-1,0,1,1,0,3476,0
633,-14751970,-16777216,0,0.25,0,0,-1,0,1,1,0,3476,0
634,0,-1732357,0,0.9,0,0,-1,1,0,0.4,0,3481,0
635,0,-7143247,0,1,0,0,-1,0,0.6,0.4,0,3484,0
639,-16777216,-16171701,0,1,0,1,-1,1,0.8,0.2,0,3495,0
642,-595,-8192,0,1,0,0,-1,0,1,1,0,3508,0
644,-4980852,-14250491,0,0.5,0,1,-1,1,1,1,0,3528,0
656,-16777216,-62720,0,1,0,1,-1,1,0.8,0.2,0,3571,0
725,0,0,1,1,1,1,-1,0,1,0.3,0,3942,0
726,-768,-9984,0,0.25,0,0,-1,0,0.5,0.5,0,3945,0
728,-5114738,-16777216,2.5,0.65,0,0,34,1,0.4,0.2,0,3948,0
729,-5114738,-16777216,0,0.65,0,0,19,1,0.4,0.2,0,3948,0
730,-5114738,-16777216,0,0.65,0,0,19,1,0.4,0.2,0,3948,0
743,7143573,15366143,0,0.75,0,0,-1,1,1,1,0,0,0
747,6824338,7821042,1,0.4,0.1,1,-1,0,0.5,1,0,0,0
762,0,430080,0,1,1,1,-1,1,0.2,0.9,0,0,0
781,16776192,9009423,0,0.7,0,0,-1,0,0.9,0.7,0,0,0
789,5912256,5974922,0,0.5,0.5,0.5,-1,0,1,1,0,0,0
1031,-16777216,-4224299,0,0.6,0.25,0.25,-1,1,0.45,0.6,0,3429,0
1088,-4980852,-14250491,0,0.5,0,1,-1,1,1,1,0,5050,0
1093,16750348,16766554,0,1,0,0,21,0,1,1,0,106,0
1107,3080295,7537390,0,0.75,0.1,0.1,-1,1,0.2,0.8,0,5717,0
1110,16711680,14900781,0,1,0.1,0.1,-1,0,1,1,0,106,0
1111,5631,2991843,0,1,0.1,0.1,-1,0,1,1,0,106,0
1112,1482752,9692735,0,1,0.1,0.1,-1,0,1,1,0,106,0
1113,16776960,14928685,0,1,0.1,0.1,-1,0,1,1,0,106,0
1117,-8927745,-14586625,0.2,1,0,0.5,1,1,1,1,0,106,0
1118,-8927745,-14586625,0.2,1,0,0.5,2,1,1,1,0,106,0
1119,-2739919,-2739919,0,1,0.25,0.75,-1,0,1,1,0,106,0
1122,0,7995582,0,1,0.5,0.5,-1,1,0.8,0.2,0,106,0
1123,15512561,5769644,0,0.75,0,0,-1,1,1,1,0,6191,0
1124,16776192,9009423,1,0.5,0,1,-1,0,0.5,0.2,0,6206,0
1125,16776192,9009423,1,0.5,0,1,1,0,0.5,0.2,0,6207,0
1126,0,22181,0,1,0,0,-1,1,0.8,0.2,0,106,0
1129,-16777216,-16773633,0,1,0,1,-1,1,0.5,0.2,0,106,0
1130,-16777216,-589569,0,0.4,1,1,-1,1,0.1,1,0,106,0
1131,-16777216,-16726017,0,0.4,1,1,-1,1,0.1,1,0,106,0
1132,-16777216,-57600,0,0.4,1,1,-1,1,0.1,1,0,106,0
1134,-16777216,-57600,0,0.4,1,1,-1,1,0.1,1,0,106,0
1135,-11372938,-13962771,0,1,0,1,-1,1,0.8,0.2,0,106,0
1140,11490304,8461824,0,1,0.1,0.2,1,1,1,1,0,106,0
1141,9322,50923,0,0.5,0.1,0.6,1,1,0.5,1,0,106,0
1142,-16645630,-1,0,1,0,0,-1,0,1,1,0,106,0
1143,9399710,13463292,0,0.65,0,0,-1,1,0.4,0.6,0,106,0
1144,12024009,0,0,0.35,0,0,-1,0,1,1,0,106,0
1146,-16645630,-1,0,1,0,0,-1,0,1,0.5,0,106,0
1147,-16645630,-1,0,1,0,0,-1,0,1,0,0,106,0
1149,11490304,8461824,0,1,0.1,0.2,2,1,1,1,0,106,0
1150,9322,50923,0,0.5,0.1,0.6,2,1,0.5,1,0,106,0
1152,0,10156799,0,0.7,0,0,-1,1,0.3,0.7,0,106,0
1154,0,16711680,0,1,0,0,-1,1,1,1,0,106,0
1162,-16777216,-16773633,0,1,0,1,-1,1,0.5,0.2,0,106,0
1164,0,0,0,0,0,0,-1,0,1,1,0,106,0
1165,-16777216,-16773121,0,0.5,1,1,-1,1,0.1,0.6,0,106,0
1166,983144,3825151,0,1,1,1,-1,1,0.8,0.2,0,106,1
1167,-16777216,-5046017,0,0.4,1,1,-1,1,0.1,1,0,106,0
1169,0,-8646458,0,0.5,0,0,-1,1,0.8,0.2,0,106,0
1174,0,-8646458,0,0.5,0,0,19,1,0.8,0.8,0,106,0
1176,8807066,14458623,0,0.8,0,0,-1,1,0.6,0.8,0,106,0
1178,12257288,12324872,0,1,0,1,-1,1,0.8,0.2,0,106,0
1179,43410,0,0,0.4,0,0,-1,0,0.2,1,0,106,0
1180,16719360,0,0,0.4,0,0,-1,0,0.2,1,0,106,0
1181,43410,0,0,0.4,0,0,-1,0,0.2,1,0,106,0
1182,16718592,0,0,0.4,0,0,-1,0,0.2,1,0,106,0
1195,-10616716,0,1,0.4,0,0.15,2,0,1,1,0,106,0
1196,-10616716,0,1,0.4,0,0.15,1,0,1,1,0,106,0
1202,12976128,0,3,1,0,0,-1,0,1,1,0,106,0
1204,14159872,0,3,1,0,0,19,0,1,1,0,106,0
1210,2087646,0,0,1,0,0,-1,0,1,1,0,106,0
1311,0,-7864097,1,1,1,1,-1,1,0.8,0.2,0,106,0
1317,16776192,511,0,0.5,0,0.5,-1,1,1,1,0,7083,0
1318,0,8958399,0,0.25,0,0,-1,1,0.8,0.8,0,106,1
1319,-16777216,-16773633,0,1,0,1,-1,1,0.5,0.2,0,106,0
1322,-16777216,-16773633,0,1,0,1,-1,1,0.5,0.2,0,106,0
1325,16770048,16761630,0,1,0,1,-1,1,0.5,0.25,0,106,0
1326,12085456,0,0,0.7,0.35,0.5,-1,0,0.9,0.8,0,106,0
1327,15001884,14856214,0,1,0,0,-1,1,0.1,1,0,106,0
1328,-15895347,0,0,0.35,0,0,-1,0,1,1,0,106,0
